,FaName,Zoonomia,Common.Name.or.Group ,scientific,phenotype,phenotypeSimplified,Supraprimates
1,hg38,REFERENCE,Human,homo_sapiens,Generalist,Generalist,1
2,panTro5,vs_panTro6,Chimp,pan_troglodytes,Omnivore,Omnivore,1
3,panPan2,vs_panPan3,Bonobo,pan_paniscus,Omnivore,Omnivore,1
4,gorGor5,vs_gorGor6,Gorilla,gorilla_gorilla_gorilla,Herbivore,Herbivore,1
5,ponAbe2,vs_ponAbe3,Orangutan,pongo_abelii,Omnivore,Omnivore,1
6,nomLeu3,vs_HLnomLeu4,Gibbon,nomascus_leucogenys,Herbivore,Herbivore,1
7,rheMac8,vs_rheMac10,Rhesus Macaca,macaca_mulatta,Omnivore,Omnivore,1
8,macFas5,vs_HLmacFas6,Crab-eating macaque,macaca_fascicularis,Omnivore,Omnivore,1
9,macNem1,vs_macNem1,Southern Pig-tailed Macaca,macaca_nemestrina,Omnivore,Omnivore,1
10,papAnu3,vs_HLpapAnu5,Olive Baboon,papio_anubis,Generalist,Generalist,1
11,manLeu1,vs_manLeu1,Drill,mandrillus_leucophaeus,Omnivore,Omnivore,1
12,cerAty1,vs_cerAty1,Sooty Mangabey,cercocebus_atys,Omnivore,Omnivore,1
13,chlSab2,vs_chlSab2,Green monkey,chlorocebus_sabaeus,Omnivore,Omnivore,1
14,nasLar1,vs_nasLar1,Proboscis Monkey,nasalis_larvatus,Herbivore,Herbivore,1
15,rhiRox1,vs_HLrhiRox2,Snub-nosed Langur ,rhinopithecus_roxellana,Herbivore,Herbivore,1
16,rhiBie1,vs_rhiBie1,Snub-nosed Langur ,rhinopithecus_bieti,Herbivore,Herbivore,1
17,colAng1,vs_colAng1,Black-and-white Colobus Monkey,colobus_angolensis_palliatus,Herbivore,Herbivore,1
18,HLpilTep1,vs_HLpilTep2,Red Colobus Monkey,piliocolobus_tephrosceles,Herbivore,Herbivore,1
19,calJac3,vs_HLcalJac4,Marmoset,callithrix_jacchus,Omnivore,Omnivore,1
20,aotNan1,vs_aotNan1,Night Monkey,aotus_nancymaae,Omnivore,Omnivore,1
21,saiBol1,vs_HLsaiBol1,Squirrel monkey,saimiri_boliviensis,Omnivore,Omnivore,1
22,cebCap1,vs_cebCap1,Ring-tailed Monkey,cebus_capucinus_imitator,Omnivore/Generalist,Omnivore/Generalist,1
23,tarSyr2,NA,Philippine tarsier,carlito_syrichta,Insectivore,Insectivore,1
24,otoGar3,vs_otoGar3,Bushbaby,otolemur_garnettii,Herbivore,Herbivore,1
25,micMur3,vs_micMur3,Mouse Lemur,microcebus_murinus,Omnivore,Omnivore,1
26,proCoq1,vs_proCoq1,Sifakas,propithecus_coquereli,Herbivore,Herbivore,1
27,galVar1,NA,Sunda flying lemur,galeopterus_variegatus,Herbivore,Herbivore,1
28,tupChi1,vs_tupChi1,Chinese tree shrew,tupaia_chinensis,Ambiguous,Ambiguous,1
29,jacJac1,vs_jacJac1,Lesser Egyptian jerboa,jaculus_jaculus,Herbivore,Herbivore,1
30,micOch1,vs_micOch1,Prairie vole,microtus_ochrogaster,Herbivore,Herbivore,1
31,criGri1,vs_HLcriGri3,Chinese hamster,cricetulus_griseus,Herbivore,Herbivore,1
32,mesAur1,vs_mesAur1,Golden hamster,mesocricetus_auratus,Omnivore,Omnivore,1
33,perManBai1,vs_HLperManBai2,Deer mouse,peromyscus_maniculatus_bairdii,Omnivore,Omnivore,1
34,mm10,vs_HLammLer1,Aoudad,ammotragus_lervia,Herbivore,removedDueToNonsensicalBranchLength_PossibleQualityIssue,2
35,HLmusCar1,vs_HLmusCar1,Ryukyu mouse,mus_caroli,Generalist,Generalist,1
