,X52,Common.Name.or.Group,Species.Name,Laurasiatheria,Genome,Tip_Label..Red.is.included.in.CMU.enhancer.dataset..but.missing.alignment.,Assembly_Name,FaName,Secondary_Terrestrial_Vertebrate,Secondary_Frugivore,Secondary_Arthropoda,Secondary_Terrestrial_Invertebrate,Secondary_Vegetation..leaves..browse..bulbs..grass..etc..,Secondary_Granivore..seeds.,Secondary_Veg_Exudants,Secondary_eggs,Secondary_fungi,Secondary_lichen,Secondary_Mollusks,Secondary_fish,Secondary_Marine_Mammals,Meyer.Lab.Classification,True_carn_v_all,Vert_v_herb,CarnFish_Herbs,Ins_v_herbs,MarineAquatic,MarineAquaticBinary,MarineSemiaquaticBinary,PON1Fx,X..Protein..Spring.,X..Protein..Fall.,X..Protein..Winter.,X..Protein..Summer.,X..Lipids..Summer.,X..Lipids..Fall.,X..Lipids..Spring.,X..Lipids..Winter.,X..Carbohydrate..Fall.,X..Carbohydrate..Summer.,X..Carbohydrate..Spring.,X..Carbohydrate..Winter.,Carbohydrate...mean.,Carb..SE.,Lipid.,Lipid..SE.,Protein.,Protein..SE.,Brain.mass..in.kg.,Body.mass..in.kg.,Another.set.of.eyes.,Level.of.Description..Order..Genus..Species.,NowakNotes,NutritionalGeometryNotes,NutritionalGeometryRef,Did.you.find.any.data.articles.for.this.species.,Initials.for.who.inputed.data,GeneralNotes,Domestication,DomesticationNumeric,DomesticationBinary,Echolocation
1,834,Cheetah,Acinonyx jubatus,1,aciJub1,Acinonyx_jubatus,HLaciJub2,vs_HLaciJub2,1,0,0,0,0,0,0,0,0,0,0,0,0,Carnivore,1,1,1,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,38.5,0,Species,"The diet consists mainly of gazelles... and also includes impalas, other small and medium-sized ungulates, and the calves of large ungulates...Hares, other small mammals, and birds are sometimes taken. ",,,,,NA,wild,0,0,0
2,1590,Spiny mouse,Acomys cahirinus,0,,Acomys_cahirinus,HLacoCah1,vs_HLacoCah1,1,0,0,0,1,1,0,0,0,0,0,0,0,Omnivore,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Genus,"Spiny mice are omnivorous but feed mainly on plant material, especially grains and grasses. Osborn and Helmy (1980:299) wrote that dates are a staple in some areas and that ""the dried flesh and bone marrow of mummified humans is a source of food for A. calririn11s in the tombs of Gebel Drunka southwest of Asyut.""",,,,,NA,captive,2,0,0
3,693,Panda,Ailuropoda melanoleuca,1,ailMel1,Ailuropoda_melanoleuca,HLailMel2,vs_HLailMel2,1,0,0,0,1,0,0,0,0,0,0,1,0,Omnivore,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"bamboo, gentians, irises, crocuses, tufted grasses, occassionally hunts for fish, pikas, and small rodents",,,,,NA,captive,2,0,0
4,695,Red Panda ,Ailurus fulgens,1,ailFul1,Ailurus_fulgens,HLailFul2,vs_HLailFul2,0,1,1,0,1,1,0,1,0,0,0,0,0,Omnivore,0,0,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.4,NA,4.95,NA,23.95,NA,NA,NA,0,Species,"The diet consists mostly of bamboo sprouts, grasses, roots, fruits, and acorns. It also occasionally takes insects, eggs, young birds, and small rodents. ","The macronutrient bal- ance of the early-summer-leaves diet was 25.4 % crude pro- tein, 6.8 % fat, and 65.4 % available carbohydrate, while the winter-leaves diet had a balance of 22.5, 3.1, and 73.4 %, respectively. Differences in diet between sampling periods may reflect preferences associated with seasonal physiological demands.",,YES,ARG,NA,wild,0,0,0
5,1341,Gobi jerboa,Allactaga bullata,0,,Allactaga_bullata,HLallBul1,vs_HLallBul1,0,0,0,0,0,1,0,0,0,0,0,0,0,Insectivore/herbivore,0,0,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"No info on A. bullata. Genus info: Most species of Allactaga are primarily vegetarian. A. major  is almost exclusively a seed eater but also takes bulbs and some other plant matter. In contrast, A. sibirica is mainly insectivorous. ",,,,,NA,wild,0,0,0
6,543,Howler Monkey,Alouatta palliata,0,,Alouatta_palliata,HLaloPal1,vs_HLaloPal1,0,1,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"The diet of Alouatta is varied but consists mainly of leaves, fruits, and other vegetable matter.",,,,,NA,NA,NA,NA,0
7,1229,Aoudad,Ammotragus lervia,1,,Ammotragus_lervia,HLammLer1,vs_HLammLer1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"Diet consists of grass, herbaceous plants, and stunted bushes.",,,,,NA,NA,NA,NA,0
8,373,Geoffroy's Long-nosed Bats,Anoura caudifer,1,,Anoura_caudifer,HLanoCau1,vs_HLanoCau1,0,1,1,0,0,0,1,0,0,0,0,0,0,Insectivore/Herbivore,0,0,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"The diet of this genus includes fruit, pollen, nectar, and insects",,,,,NA,wild,0,0,1
9,1132,Pronghorn,Antilocapra americana,1,,Antilocapra_americana,HLantAme1,vs_HLantAme1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"The pronghorn both grazes and browses on a wide variety of shrubs, forbs, grasses, cacti, and other plants. ",,,no,ARG,NA,captive,2,0,0
10,551,Night Monkey,Aotus nancymaae,0,aotNan1,Aotus_nancymaae,aotNan1,vs_aotNan1,1,1,1,0,1,1,1,0,0,0,0,0,0,Omnivore,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"The diet consists mainly of fruits, nuts, leaves, bark, flowers, gums, insects, and small vertebrates",,,,,NA,captive,2,0,0
11,1245,Sewellel ,Aplodontia rufa,0,,Aplodontia_rufa,HLaplRuf1,vs_HLaplRuf1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,This rodent eats almost any plant material,,,,,NA,wild,0,0,0
12,397,Neotropical Fruit Bats,Artibeus jamaicensis,1,,Artibeus_jamaicensis,HLartJam2,vs_HLartJam2,0,1,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"Artibeus is primarily frugivorous but also consumes pollen, nectar, flower parts, and insects. Certain kinds of leaves may also be significant, at least in the diet of A. jamaicensis. Figs are the most important food of A. jamaicensis on Barro Colorado Island. a bat there may eat more than its weight in figs during a night. Other fruits known to be taken by Artibeus include mangoes, avocados, bananas, espave nuts, and the pulpy later surrounding the seeds of Acrocomia palms. ",,,,,NA,wild,0,0,1
