Scientific_Binomial,CommonName,ScientificNameFull,HillerName,Zoonomia,MSW3_ID,MSWFamilyLatin,Genome,Assembly_Name,Divider,Meyer.Diet.Categorical,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.Source,Diet.Certainty,ForStrat.Value,ForStrat.Certainty,ForStrat.Comment,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,Activity.Source,Activity.Certainty,BodyMass.Value,BodyMass.Source,BodyMass.SpecLevel,Laurasiatheria,Secondary_Terrestrial_Vertebrate,Secondary_Frugivore,Secondary_Arthropoda,Secondary_Terrestrial_Invertebrate,Secondary_Vegetation..leaves..browse..bulbs..grass..etc..,Secondary_Granivore..seeds.,Secondary_Veg_Exudants,Secondary_eggs,Secondary_fungi,Secondary_lichen,Secondary_Mollusks,Secondary_fish,Secondary_Marine_Mammals,Meyer.Lab.Classification,True_carn_v_all,Vert_v_herb,CarnFish_Herbs,Ins_v_herbs,MarineAquatic,MarineAquaticBinary,MarineSemiaquaticBinary,PON1Fx,X..Protein..Spring.,X..Protein..Fall.,X..Protein..Winter.,X..Protein..Summer.,X..Lipids..Summer.,X..Lipids..Fall.,X..Lipids..Spring.,X..Lipids..Winter.,X..Carbohydrate..Fall.,X..Carbohydrate..Summer.,X..Carbohydrate..Spring.,X..Carbohydrate..Winter.,Carbohydrate...mean.,Carb..SE.,Lipid.,Lipid..SE.,Protein.,Protein..SE.,Brain.mass..in.kg.,Body.mass..in.kg.,Another.set.of.eyes.,Level.of.Description..Order..Genus..Species.,NowakNotes,NutritionalGeometryNotes,NutritionalGeometryRef,Did.you.find.any.data.articles.for.this.species.,Initials.for.who.inputed.data,GeneralNotes,Domestication,DomesticationNumeric,DomesticationBinary,Echolocation,LaurasiatheriaFilter,NoAoudad,HerbBinary,CarnBinary,CarnInsectBinary
acinonyx_jubatus,Cheetah,Acinonyx jubatus,HLaciJub1,vs_HLaciJub2,4791,Felidae,aciJub1,HLaciJub2,-,Carnivore,0,100,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,0,0,1,Ref_1,ABC,46700,Ref_117,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Carnivore,1,1,1,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,38.5,0,Species,"The diet consists mainly of gazelles... and also includes impalas, other small and medium-sized ungulates, and the calves of large ungulates...Hares, other small mammals, and birds are sometimes taken. ",,,,,NA,wild,0,0,0,1,1,0,1,1
acomys_cahirinus,Spiny mouse,Acomys cahirinus,NA,vs_HLacoCah1,2063,Muridae,,HLacoCah1,-,NA,0,0,0,0,30,0,0,0,0,70,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,52.45,Ref_117,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,Omnivore,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Genus,"Spiny mice are omnivorous but feed mainly on plant material, especially grains and grasses. Osborn and Helmy (1980:299) wrote that dates are a staple in some areas and that ""the dried flesh and bone marrow of mummified humans is a source of food for A. calririn11s in the tombs of Gebel Drunka southwest of Asyut.""",,,,,NA,captive,2,0,0,0,1,0,0,0
ailuropoda_melanoleuca,Panda,Ailuropoda melanoleuca,ailMel1,vs_HLailMel2,5026,Ursidae,ailMel1,HLailMel2,-,Omnivore,0,10,0,0,0,0,0,0,0,90,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,108400,Ref_117,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,Omnivore,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"bamboo, gentians, irises, crocuses, tufted grasses, occassionally hunts for fish, pikas, and small rodents",,,,,NA,captive,2,0,0,1,1,0,0,0
ailurus_fulgens,Red Panda ,Ailurus fulgens,HLailFul1,vs_HLailFul2,5077,Ailuridae,ailFul1,HLailFul2,-,Omnivore,10,10,0,0,0,0,10,0,10,60,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,4900,Ref_117,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,Omnivore,0,0,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.4,NA,4.95,NA,23.95,NA,NA,NA,0,Species,"The diet consists mostly of bamboo sprouts, grasses, roots, fruits, and acorns. It also occasionally takes insects, eggs, young birds, and small rodents. ","The macronutrient bal- ance of the early-summer-leaves diet was 25.4 % crude pro- tein, 6.8 % fat, and 65.4 % available carbohydrate, while the winter-leaves diet had a balance of 22.5, 3.1, and 73.4 %, respectively. Differences in diet between sampling periods may reflect preferences associated with seasonal physiological demands.",,YES,ARG,NA,wild,0,0,0,1,1,0,0,0
allactaga_bullata,Gobi jerboa,Allactaga bullata,NA,vs_HLallBul1,1262,Dipodidae,,HLallBul1,-,NA,20,0,0,0,0,0,0,0,50,30,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,89.35,Ref_178,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Insectivore/herbivore,0,0,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"No info on A. bullata. Genus info: Most species of Allactaga are primarily vegetarian. A. major  is almost exclusively a seed eater but also takes bulbs and some other plant matter. In contrast, A. sibirica is mainly insectivorous. ",,,,,NA,wild,0,0,0,0,1,0,0,1
alouatta_palliata,Howler Monkey,Alouatta palliata,NA,vs_HLaloPal1,634,Atelidae,,HLaloPal1,-,NA,0,0,0,0,0,0,40,0,0,60,Ref_1,ABC,Ar,A,,0,0,1,Ref_1,ABC,7274.95,Ref_117,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"The diet of Alouatta is varied but consists mainly of leaves, fruits, and other vegetable matter.",,,,,NA,NA,NA,NA,0,0,1,1,0,0
ammotragus_lervia,Aoudad,Ammotragus lervia,mm10,vs_HLammLer1,5205,Bovidae,,HLammLer1,-,Herbivore,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,0,1,1,Ref_3,D2,48000,Ref_117,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"Diet consists of grass, herbaceous plants, and stunted bushes.",,,,,NA,NA,NA,NA,0,0,0,1,0,0
anoura_caudifer,Geoffroy's Long-nosed Bats,Anoura caudifer,NA,vs_HLanoCau1,4143,Phyllostomidae,,HLanoCau1,-,NA,30,0,0,0,0,0,30,40,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,10.81,Ref_58,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,Insectivore/Herbivore,0,0,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"The diet of this genus includes fruit, pollen, nectar, and insects",,,,,NA,wild,0,0,1,1,1,1,0,1
antilocapra_americana,Pronghorn,Antilocapra americana,NA,vs_HLantAme1,5332,Antilocapridae,,HLantAme1,-,NA,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,46082.92,Ref_117,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"The pronghorn both grazes and browses on a wide variety of shrubs, forbs, grasses, cacti, and other plants. ",,,no,ARG,NA,captive,2,0,0,1,1,1,0,0
aotus_nancymaae,Night Monkey,Aotus nancymaae,aotNan1,vs_aotNan1,642,Aotidae,aotNan1,aotNan1,-,Omnivore,20,0,0,0,10,0,20,10,20,20,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,788.01,Ref_117,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,Omnivore,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"The diet consists mainly of fruits, nuts, leaves, bark, flowers, gums, insects, and small vertebrates",,,,,NA,captive,2,0,0,0,1,0,0,0
