GO.ID	Description	p.Val	Empty	phenoType
'De Novo' AMP Biosynthetic Process (GO:0044208)	'De Novo' AMP Biosynthetic Process 	0.988673630468664		1
'De Novo' Post-Translational Protein Folding (GO:0051084)	'De Novo' Post-Translational Protein Folding 	0.645556317884699		-1
2-Oxoglutarate Metabolic Process (GO:0006103)	2-Oxoglutarate Metabolic Process 	0.782094668660831		-1
3'-UTR-mediated mRNA Destabilization (GO:0061158)	3'-UTR-mediated mRNA Destabilization 	0.998439266359642		1
3'-UTR-mediated mRNA Stabilization (GO:0070935)	3'-UTR-mediated mRNA Stabilization 	0.820996772114847		1
3'-Phosphoadenosine 5'-Phosphosulfate Metabolic Process (GO:0050427)	3'-Phosphoadenosine 5'-Phosphosulfate Metabolic Process 	0.383381344587854		-1
5S Class rRNA Transcription By RNA Polymerase III (GO:0042791)	5S Class rRNA Transcription By RNA Polymerase III 	0.915704388909774		1
7-Methylguanosine RNA Capping (GO:0009452)	7-Methylguanosine RNA Capping 	0.698928429969622		-1
7-Methylguanosine mRNA Capping (GO:0006370)	7-Methylguanosine mRNA Capping 	0.698928429969622		-1
ADP Transport (GO:0015866)	ADP Transport 	0.997521058850119		1
AMP Biosynthetic Process (GO:0006167)	AMP Biosynthetic Process 	0.92813463239371		1
AMP Metabolic Process (GO:0046033)	AMP Metabolic Process 	0.920829956477087		-1
ATF6-mediated Unfolded Protein Response (GO:0036500)	ATF6-mediated Unfolded Protein Response 	0.857367320569553		-1
ATP Biosynthetic Process (GO:0006754)	ATP Biosynthetic Process 	0.442649288225816		1
ATP Metabolic Process (GO:0046034)	ATP Metabolic Process 	0.69826864216381		1
ATP Synthesis Coupled Electron Transport (GO:0042773)	ATP Synthesis Coupled Electron Transport 	0.341603438608834		1
ATP Transport (GO:0015867)	ATP Transport 	0.878029287383714		1
AV Node Cell Action Potential (GO:0086016)	AV Node Cell Action Potential 	0.896631756466967		1
AV Node Cell To Bundle Of His Cell Communication (GO:0086067)	AV Node Cell To Bundle Of His Cell Communication 	0.925472871743786		1
Arp2/3 Complex-Mediated Actin Nucleation (GO:0034314)	Arp2/3 Complex-Mediated Actin Nucleation 	0.996766110729549		-1
B Cell Activation (GO:0042113)	B Cell Activation 	0.385576865193782		-1
B Cell Activation Involved In Immune Response (GO:0002312)	B Cell Activation Involved In Immune Response 	0.852437729720525		1
B Cell Chemotaxis (GO:0035754)	B Cell Chemotaxis 	0.946640969803796		-1
B Cell Differentiation (GO:0030183)	B Cell Differentiation 	0.659563663122823		-1
B Cell Homeostasis (GO:0001782)	B Cell Homeostasis 	0.919442685757929		-1
B Cell Mediated Immunity (GO:0019724)	B Cell Mediated Immunity 	0.946169876695921		-1
B Cell Proliferation (GO:0042100)	B Cell Proliferation 	0.533022706902147		-1
B Cell Receptor Signaling Pathway (GO:0050853)	B Cell Receptor Signaling Pathway 	0.671456029724365		-1
BMP Signaling Pathway (GO:0030509)	BMP Signaling Pathway 	0.476867178783833		1
C-terminal Protein Amino Acid Modification (GO:0018410)	C-terminal Protein Amino Acid Modification 	0.728731222475288		1
C-terminal Protein Deglutamylation (GO:0035609)	C-terminal Protein Deglutamylation 	0.681686327935428		1
C-terminal Protein Lipidation (GO:0006501)	C-terminal Protein Lipidation 	0.982259815595535		-1
C4-dicarboxylate Transport (GO:0015740)	C4-dicarboxylate Transport 	0.832197148589771		1
CD4-positive, Alpha-Beta T Cell Activation (GO:0035710)	CD4-positive, Alpha-Beta T Cell Activation 	0.881228025531471		1
CD40 Signaling Pathway (GO:0023035)	CD40 Signaling Pathway 	0.79124553953314		1
CENP-A Containing Chromatin Assembly (GO:0034080)	CENP-A Containing Chromatin Assembly 	0.928904351518439		1
COPI Coating Of Golgi Vesicle (GO:0048205)	COPI Coating Of Golgi Vesicle 	0.858062113933675		-1
COPI-coated Vesicle Budding (GO:0035964)	COPI-coated Vesicle Budding 	0.858062113933675		-1
COPII Vesicle Coating (GO:0048208)	COPII Vesicle Coating 	0.737617719332813		-1
COPII-coated Vesicle Budding (GO:0090114)	COPII-coated Vesicle Budding 	0.649580599499893		-1
COPII-coated Vesicle Cargo Loading (GO:0090110)	COPII-coated Vesicle Cargo Loading 	0.866874116342731		-1
CRD-mediated mRNA Stabilization (GO:0070934)	CRD-mediated mRNA Stabilization 	0.53221807151889		-1
Cdc42 Protein Signal Transduction (GO:0032488)	Cdc42 Protein Signal Transduction 	0.793569301563525		1
DNA Alkylation (GO:0006305)	DNA Alkylation 	0.649580599499893		-1
DNA Biosynthetic Process (GO:0071897)	DNA Biosynthetic Process 	0.866874116342731		1
DNA Catabolic Process (GO:0006308)	DNA Catabolic Process 	0.856958824130254		1
DNA Conformation Change (GO:0071103)	DNA Conformation Change 	0.919442685757929		-1
DNA Cytosine Deamination (GO:0070383)	DNA Cytosine Deamination 	0.856958824130254		-1
DNA Damage Checkpoint Signaling (GO:0000077)	DNA Damage Checkpoint Signaling 	0.915704388909774		-1
DNA Damage Response (GO:0006974)	DNA Damage Response 	0.73156700130477		-1
DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)	DNA Damage Response, Signal Transduction By P53 Class Mediator 	0.998546474650074		-1
DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)	DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest 	0.797593522725442		1
DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Transcription Of P21 Class Mediator (GO:0006978)	DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Transcription Of P21 Class Mediator 	0.945489567044664		1
DNA Damage Response, Signal Transduction Resulting In Transcription (GO:0042772)	DNA Damage Response, Signal Transduction Resulting In Transcription 	0.976322949836869		-1
DNA Dealkylation (GO:0035510)	DNA Dealkylation 	0.959393551781385		-1
DNA Dealkylation Involved In DNA Repair (GO:0006307)	DNA Dealkylation Involved In DNA Repair 	0.959393551781385		-1
DNA Deamination (GO:0045006)	DNA Deamination 	0.980155708485726		1
DNA Double-Strand Break Processing (GO:0000729)	DNA Double-Strand Break Processing 	0.996849205443636		-1
DNA Double-Strand Break Processing Involved In Repair Via Single-Strand Annealing (GO:0010792)	DNA Double-Strand Break Processing Involved In Repair Via Single-Strand Annealing 	0.998676193850327		-1
DNA Duplex Unwinding (GO:0032508)	DNA Duplex Unwinding 	0.904836474991957		-1
DNA Geometric Change (GO:0032392)	DNA Geometric Change 	0.916447211813497		-1
DNA Integrity Checkpoint Signaling (GO:0031570)	DNA Integrity Checkpoint Signaling 	0.856958824130254		-1
DNA Ligation (GO:0006266)	DNA Ligation 	0.72394963201223		1
DNA Metabolic Process (GO:0006259)	DNA Metabolic Process 	0.961144577250228		-1
DNA Methylation (GO:0006306)	DNA Methylation 	0.5181961920049		-1
