"","tissue_specific.stat","tissue_specific.pval","tissue_specific.p.adj","tissue_specific.num.genes","tissue_specific.gene.vals"
"adrenal.gland",-0.01358864053846,0.629054406430594,0.771036921955812,107,"SLC14A2:1, CYP11A1:14, MCOLN3:23, ABCB1:209, MGST1:333, AKR1B1:559, ADGRV1:653, BCO2:764, FNDC4:1097, GSTA4:1376, KCNK3:1782, WHRN:1843, MRAP:2122, CCN3:2232, DLK1:2272, FAM43B:2301, PAPSS2:2333, IDH1:2339, TPD52L1:2618, TSPAN12:2774, IFITM10:2841, FAM166B:3251, C4B:3600, MC2R:3695, CYP17A1:4114, CYP2W1:4322, RARRES2:4578, LRRN3:4599, SCARB1:4605, SOAT1:4622, AGRP:4677, SLC40A1:4737, ALAS1:4833, ALKAL2:5052, CTSA:5058, RMDN2:5149, CTNNAL1:5370, RNF128:5392, PLEK2:5431, TM7SF2:5440, CDH2:5789, MAP3K5:5932, LY6D:5975, SPINK13:6185, AOX1:6358, QPCT:6397, HSD3B2:6552, SNTB1:6587, BABAM2:6833, DHCR24:7170, NR5A1:7288, KCNN2:7377.5, PLBD2:7481, FDX1:7697, STAR:7807, HDHD3:7856, GASK1B:7985, KCTD14:8129, TMEM150C:8134, AS3MT:8488, APOE:8543, MAMSTR:8751, CYP21A2:8778, KCNJ5:8808, GIPC2:8980, AKAP7:9220, GNS:9273, CYB561A3:9431, ASB4:9463, ZNF275:9985, ALAD:10119, CELA1:10319, SLC37A2:10389, RDX:10458, FADS2:10567, TBX3:10918, SERPINA5:11189, GALM:11195, AMHR2:11349, NR0B1:11603, MAP3K15:11918, SREBF1:12085, QPRT:12092, CYB5B:12106, PPIF:12366, KLF14:12432, KLHL4:12622, GML:12641, ZBED6CL:12681, TBC1D4:12923, SEMA6A:12959, SLC47A1:13129, KCNQ1:13157, FERMT1:13577, C2CD2:13598, HTR2B:13703, ABCC3:13755, FDXR:14017, EPHX1:14067, CYSLTR2:14132, SLC16A9:14527, INHA:14692, RBKS:14697, TKFC:14713, RGN:14724, RIMS2:14866, DNAH11:14968"
"amygdala",0.0573646980034322,0.599271569273581,0.771036921955812,7,"PTPRZ1:836, SLC38A8:997, BCAN:4859, PCDH15:5275, NEUROD6:6827, TNR:12225, SLC17A7:12948"
"aorta",0.0214684024140855,0.367743370033977,0.601761878237417,150,"TNFRSF11B:18, PDGFD:25, PCDH11X:38, PPP1R14A:83, S100A4:113, NOX4:156, OGN:224, POSTN:268, ACTN1:405, ASPN:461, PTGIR:785, PRDM6:990, C1QTNF8:1015, MEGF6:1136, AEBP1:1152, LTBP2:1226, LMCD1:1264, EFEMP1:1330, NPR1:1492, ITGA9:1692, ITGB1:1752, FOXS1:1832, PID1:1853, IGFBP7:1908, SUSD5:2024, MYH10:2026, PRDM16:2078, CAVIN3:2206, PCDH10:2244, SOST:2382, NIBAN1:2444, FGL2:2466, LOXL1:2470, CALHM5:2471, SPARC:2809, ITGA10:2897, ITGB3:2909, C1QTNF2:3023, MYOCD:3029, GLIPR1:3036, IRAG1:3142, FILIP1L:3171, PKD2:3291, THRB:3312, TC2N:3333, ANO1:3413, PRKG1:3438, ANTXR1:3453, PLXDC2:3521, OSR1:3585, COL8A2:3586, EXT1:3603, SCUBE3:3710, TINAGL1:4134, ADRA1B:4248, THBS2:4393, ITGA8:4404, FBLIM1:4442, ART4:4468, ADAMTSL3:4744, SUGCT:4828, LTBP4:4924, CYTL1:5011, FOXL1:5062, CDH13:5222, OMD:5280, KALRN:5338, STAC:5358, ECM2:5482, ITGB5:5490, FRZB:5513, MGP:5888, MYH9:6141, PLD5:6181, THSD7B:6285, HEPH:6324, MEDAG:6628, BGN:6702, SYNPO:6819, KCNK17:6903, TBXA2R:6912, HAPLN3:7005, MYO18B:7226, CD151:7227, PTGIS:7254, C8orf34:7644, ITGA11:7977, GDF7:7980, PXDC1:8105, GEM:8346, MRAP2:8505, IL31RA:8701, GABRR1:8747, PRSS35:8887, NAV1:8898, CPXM2:8934, ERG:9080, LDOC1:9149, COL21A1:9229, VCAN:9297, MFAP4:9344, SMOC2:9615, LGR6:9663, PDLIM7:9666, ZNF385D:9768, CLEC18A:9848, CNTN4:9936, WWP2:10103, FMO2:10107, SGCA:10130, PMEPA1:10152, HRH1:10254, FMOD:10455, PDE5A:10462, LTBP1:10565, NXPH3:10869, CYP4X1:10953, MYO1D:11131, ALCAM:11333, NPR3:11749, COL4A2:11792, CCN2:11803, HAPLN1:11840, IGFBP2:12003, F2R:12077, ARID5A:12421, FBLN5:12483, HAUS7:12523, SULF1:12632, SCRG1:12662, CCN3:12755, SOD3:12815, IGFBPL1:12891, HMCN1:12899, SLC22A3:13003, ATP10A:13039, TPH1:13114, AQP1:13158, MTUS2:13161, ST6GAL2:13347, KCNK15:13355, GAS6:13391, MFGE8:13479, PDGFA:13822, NAV2:13985, PCDH7:14066, MYOZ2:14076, COL14A1:14492, PRRX2:14625, CRISPLD1:14629"
"atrium.auricle",0.0692245042613588,0.026265423242399,0.141833285508954,87,"CHRNE:42, SCN5A:49, ASB15:53, TCAP:145, LMOD3:204, NRAP:231, CASQ2:245, MYLK3:325, LMAN1L:359, TNNI3:582, DHRS7C:616, CKMT2:629, FSD2:864, C1orf105:1041, ADAMTS7:1055, MYBPHL:1239, DOK7:1433, RBM20:1440, HSPB3:1615, ADPRHL1:1794, SBK3:1859, LMOD2:1884, FABP3:2175, MYOM2:2411, ASB11:2429, SMPX:2448, DSC1:2460, MYOM3:2526, FBXO40:2542, MB:2632, ASB10:2691, MYH7:3391, TNNI3K:3989, NPPA:4230, NEBL:4621, TBX5:4728, CORIN:4914, SMCO1:4990, SRL:5095, FAM155B:5119, HJV:5256, DKK3:5772, LRRC10:5840, GHRH:6249, NKX2-5:6322, MYL7:6526, MYH6:6562, BMP10:6683, IGSF5:6894, MYO18B:7226, NRTN:7583, PAM:7675, RPL3L:7725, TECRL:7804, FAM216B:7845, RYR2:7848, XIRP1:8004, TMEM182:8157, MYPN:8479, TNNT2:8561, ANKRD1:8707, ITGB1BP2:8716, C10orf71:8870, SGCG:8932, SYNPO2L:8943, RD3L:9083, ALPK2:9332, SBK2:9475, LRRC14B:9896, ACTN2:10029, METTL7B:10140, DAND5:10161, SHD:10707, KLHL31:11295, CCDC141:11610, TRIM55:11710, COX6A2:12126, OTOGL:12532, MLIP:12693, NMRK2:12854, ADAMTSL2:13025, MYBPC3:13234, TBX20:13511, MYOZ2:14076, PPP1R3A:14150, MYL4:14214, PRR32:14390"
"bladder",-0.135344442316287,0.0247964536549304,0.141833285508954,23,"UGT1A6:625, SLC14A1:796, UPK1A:1996, ACER2:2283, ID1:3095, DHRS2:3160, TMC7:3673, UPK1B:3717, SNX31:3841, PLA2G4A:4001, UPK3A:4244, CYP4B1:4550, PLA2G2F:5115, CLEC3A:5624, PSCA:5647, PADI3:5925, ARL14:6234, RD3:7085, SIGLEC15:11067, UPK2:11556, WFDC13:12646, SEMA3E:14024, KRT13:14463"
"blood",-0.0203488405256451,0.258892425082164,0.482075550152994,267,"SLC4A1:27, SLA:41, EPB42:42, SLC6A6:53, RHAG:75, PGLYRP1:83, GZMM:115, CLEC4E:224, GP9:242, GMIP:259, CX3CR1:274, CD177:280, CSF2RA:331, FKBP8:382, CXCR4:425, LY6G6F:431, CD19:565, SLC25A39:604, FPR2:610, PLAUR:688, PLXNC1:754, SLC11A1:808, MBOAT7:838, PTPRC:946, PRG3:964, ACSL1:1041, IRF1:1112, TREML1:1123, TREM1:1182, GFI1B:1436, CTSW:1442, CST7:1453, GATA1:1475, SPI1:1479, TREML2:1535, GPR141:1554, REM2:1602, SLC22A4:1656, STK17B:1736, RETN:1845, HPSE:1896, TSPO2:1959, NCF2:2292, P2RY13:2306, RNF149:2309, AOAH:2432, PADI4:2451, IL1R2:2555, AGTRAP:2612, MPIG6B:2735, TCL1A:2826, SRGN:2828, APBB1IP:2848, R3HDM4:2900, HCAR2:2916, CLEC12A:3007, VNN2:3022, CREB5:3110, RGS19:3245, CLEC7A:3396, RASGRP4:3410, VASP:3493, HBM:3837, RGS18:3854, STK10:4012, VSTM1:4027, TAGAP:4099, LPAR2:4145, KCNJ15:4243, PHOSPHO1:4359, AQP9:4368, MEFV:4438, CCL5:4635, GK:4902, PREX1:4945, LCP2:4950, IFNG:5140, AQP10:5144, LYL1:5151, GCA:5209, HRH2:5272, KCNH7:5405, ALPL:5423, GRK6:5428, CLEC1B:5480, CXCR1:5533, ADGRE1:5859, ADAM8:5914, FCER1G:5980, VAV1:6101, ICAM3:6138, RELT:6150, OSCAR:6303, NTNG2:6355, STX11:6416, EMB:6435, LSP1:6551, TBXAS1:6571, MFSD2B:6611, KLF1:6615, ELANE:6624, FCAR:6779, FMNL1:6785, LRG1:6803, PROK2:6924, TSPAN32:6974, NAMPT:7026, SELL:7068, ZDHHC18:7084, ITGB2:7156, ADGRE3:7247, FCGR1A:7249, C19orf38:7280, TLR8:7292, FGD3:7325, GRAP2:7334, MPP1:7344, MMP8:7498, CDA:7504, NLRP3:7570, PYGL:7591, DOK3:7593, PRTN3:7692, IL1B:7750, VNN3:7820, ARHGAP45:7882, HK3:7908, GLT1D1:7944, MPO:7970, ITGA2B:8009, MXD1:8022, PLBD1:8067, TRIM10:8118, CSF2RB:8130, CHIT1:8133, CYTH4:8151, HBQ1:8237, TLR1:8242, JAK3:8255, FFAR2:8292, STXBP2:8336, C3AR1:8428, ADGRG3:8477, DHX34:8483, NKG7:8597, OR2W3:8612, NCF4:8657, SLC43A2:8662, PEAK3:8680, KCNE1:8757, SLC25A37:8769, ARRB2:8792, S1PR4:8805, SNAI3:8914, ARL11:8947, LRRC25:8989, CORO1A:9032, FOLR3:9091, TLR2:9092, PF4V1:9103, C5AR1:9112, TNFAIP6:9209, AZU1:9212, PF4:9214, THEMIS2:9326, TNFRSF1B:9333, FFAR3:9386, C5AR2:9405, MMP9:9428, NFAM1:9500, SLC16A3:9507, RIPOR2:9546, CASP5:9628, ARHGDIB:9671, RIN3:9742, CFP:9835, NHSL2:9839, SH2D2A:9905, IL18RAP:9967, CXCR2:9975, CTSS:10050, DOK2:10093, SLC12A9:10116, IL17RA:10130, CSF3R:10167, NPL:10171, DENND3:10183, TYROBP:10204, ALOX5AP:10253, BLK:10264, TNFSF13B:10353, PPP1R18:10511, NFE2:10537, NLRP12:10589, WAS:10622, MYD88:10726, VNN1:10755, CLEC4D:10794, FCGR1B:10846, HCK:10885, ITGAX:10937, FUT7:10949, NLRC4:11103, DYSF:11151, CD300LB:11181, FCGR3B:11251, MMP25:11266, UPP1:11336, CCR3:11453, ITGAM:11524, SH2D1B:11618, CEBPE:11666, BPI:11751, COTL1:11754, TRIM58:11788, LIMD2:11855, CD247:11879, MSRB1:11886, ALAS2:12016, S100A12:12040, CDKN2D:12054, SEMA4A:12067, ALOX5:12229, PIK3CG:12279, IFI30:12362, CD14:12411, EFHD2:12462, AHSP:12477, JAML:12610, IGSF6:12638, BIN2:12639, GPSM3:12760, PRF1:12845, BST1:12872, SLC2A3:12956, PSTPIP1:12970, ACAP1:13086, NCR1:13148, VSIR:13196, PTAFR:13232, PRSS57:13249, FGR:13384, PIK3R5:13397, B3GNT8:13442, BMX:13448, CPPED1:13556, XPO6:13564, CCR1:13572, GPR84:13642, SIRPB2:13728, DPEP2:13757, NBEAL2:13765, FYB1:13780, TUBB1:13850, ARHGAP9:14007, SHKBP1:14124, NCF1:14184, GNLY:14197, CD300E:14312, TMEM71:14330, MYO1F:14402, SYTL3:14422, LITAF:14481, SAMD3:14492, BCL2A1:14580, SLA2:14610, RPS6KA1:14833"
"breast",0.0511386252697296,0.507904244022831,0.741265653438727,14,"THRSP:386, ABCB5:1190, ALX4:1388, TNN:1402, HCAR1:2065, KRT5:3827, NPY2R:7543, CIDEC:7550, LMX1B:8736, PLIN1:9264, FABP4:9440, LEP:9481, GSC:11920, ADIPOQ:14217"
"Brodmann.area.24",-0.0258921866327097,0.641857254288912,0.771036921955812,27,"SHANK1:70, IDS:1200, SLC25A18:1524, SLC17A7:2039, NPTXR:2422, NTRK2:3675, DDN:3935, UPP2:4204, SLC6A1:5782, GRIN3A:6080, DOK6:6490, FAM189A1:7070, NEUROD6:8160, CNTN5:8406, TAC3:8416, RAPGEF4:8714, FAM107A:9704, OSTN:9777, NANOS3:9803, KCNS1:10532, CRH:10904, CSPG5:10919, GAD1:11157, TMEM271:12114, DRD5:12756, PTER:13725, SLC39A12:13993"
"Brodmann.area.9",-0.0433845351538425,0.06190282161678,0.208922022956632,158,"SERPINI1:468, INSM2:486, RXFP1:710, SYT16:717, FREM3:856, LRRTM4:876, KCNV1:1173, GABBR2:1174, NRG3:1280, GABRB3:1344, SCG3:1417, GABRG2:1470, PAX7:1513, NSF:1523, CNTNAP2:1754, KCNC2:1765, GAP43:1855, SLC17A7:2039, SLC4A10:2102, OLFM1:2127, ZNF365:2246, UCHL1:2314, OMG:2378, PCDH8:2446, NPM2:2560, PLCB1:2666, SNX10:2749, ADAM23:2908, CACNG8:3089, CBLN4:3090, MPPED1:3347, B3GALT2:3505, GALNT8:3554, EPHA5:3596, KCNQ5:3794, ATRNL1:3809, EPHX4:4061, NAT8L:4062, DPP10:4144, GABRA2:4155, MCF2L2:4195, C3orf80:4256, RBFOX1:4274, ASTN1:4275, HTR1A:4340, CSMD1:4364, SNTG1:4461, CCK:4486, NETO1:4492, RAB3C:4572, C2orf80:4586, GPR26:4606, SLC35F1:4670, SYP:4802, FAM81A:4895, MATK:5029, KCNQ3:5063, RHBDL3:5214, NELL2:5288, CBLN2:5315, MEPE:5560, GABRA3:5608, GLRA3:5702, GRIA3:5793, NECAB1:5958, GRIN3A:6080, MCHR2:6095, KCNB1:6119, BAALC:6130, GRM5:6224, PTPRT:6302, SYN2:6495, SYT1:6512, ERC2:6688, KIAA1549L:6801, NEFL:6806, NCAM2:6880, NEFM:6886, HS6ST3:6960, LRRTM3:7063, KCNH5:7287, PHYHIPL:7297, PPFIA2:7305, PDE6H:7377.5, KCNS2:7633, RSPO2:7721, HECW1:7764, DLGAP1:7777, PLPPR4:7814, GPR22:7942, MCHR1:7943, NEUROD6:8160, RNF175:8391, CNTN5:8406, KCNB2:8427, RIMKLA:8471, NRCAM:8743, CREG2:8835, PNMA2:8929, RND1:8976, AGBL4:9063, RPH3A:9070, POU6F2:9073, NWD2:9098, GDA:9128, MAP2:9203, RGS7BP:9380, HTR2A:9562, GRIN2B:9593, CHN1:9703, GRM7:9723, NANOS3:9803, TESPA1:9820, GLRB:9845, CHRNB2:9852, HTR1E:9928, SCN1A:10137, CDH8:10237, NELL1:10418, KCNS1:10532, AJAP1:10646, RS1:10706, DRGX:10752, SYT13:11046, HS3ST2:11071, CDH9:11101, AK5:11260, CADM2:11342, KCNK4:11477, CSMD3:11686, DLGAP2:11930, NRSN1:11977, SULT4A1:12005, SCN3B:12031, TMEM132D:12257, VSTM2A:12463, MAS1:12470, RGS4:12545, PLPPR5:12586, KCTD16:12867, CAMK2A:12880, HCN1:12886, C11orf87:13020, PCDH19:13478, METTL21C:13562, RORB:13866, HTR3B:13890, CTNND2:14000, GRIN2A:14019, VSTM5:14022, FRMPD4:14053, CSRNP3:14441, CLEC2L:14460, DACH2:14604, RNF157:14642, PCDHGC5:14715, CALHM1:14848, SLITRK1:14872"
"C1.spinal.cord",-0.0337893194197985,0.131829607184662,0.374673620419565,170,"ADARB2:3, PAQR4:128, SEC14L5:278, ZNF488:511, LRAT:524, SCD:557, SLC44A1:570, QDPR:640, SLCO1A2:681, SLC6A9:714, RASSF2:1129, CNP:1157, CNTN2:1274, TTYH2:1609, OLIG1:1618, RND2:1803, LGR5:1805, ENPP2:1936, FAM222A:2104, FNTB:2111, PCSK6:2156, PADI2:2194, DTX4:2251, MARCKSL1:2318, PMP2:2506, NKX2-2:2699, P2RY12:2760, TBC1D12:2836, PCDHA1:2912, FMNL2:2940, RBM11:3016, ELOVL7:3032, HAPLN2:3040, EDIL3:3079, MAG:3107, DBX2:3240, TRAK2:3241, PIEZO2:3443, B3GAT1:3566, TMEFF1:3577, TP53INP2:3582, TMEM144:3630, CNDP1:3751, KLK6:3765, MDGA2:3908, ENPP6:3923, PAQR8:4016, UGT8:4038, MAP4K4:4060, TRPV5:4261, CERS1:4357, LIX1:4477, SPINK8:4491, FA2H:4528, PAIP2B:4696, ANLN:4703, CERCAM:4974, FAM181B:5468, TNFRSF21:5486, S1PR5:5561, PSRC1:5752, MVB12B:5786, RAPGEF5:5898, NINJ2:5982, TPPP3:6024, FRMD5:6078, MMD2:6164, HS3ST5:6169, MAP7:6189, APLP1:6209, PDE6B:6339, LGI3:6373, SNORC:6381, OLIG2:6446, PRRG1:6511, BCAS1:6570, KLHL32:6644, CDH20:6752, FGF1:6787, TGFA:6825, LRRC63:6945, TLL2:7072, NKX6-2:7080, HHIP:7096, EVI2A:7103, HOXD1:7298, PEX5L:7347, APLN:7360, PEA15:7377.5, SIRT2:7466, CHADL:7469, SPOCK3:7660, MOBP:7787, MEGF10:7892, PIP4K2A:7928, AGPAT4:7962, GAS2:7968, CHRM5:8001, CMTM5:8014, ANKRD40:8247, HSPA2:8303, GPM6B:8722, SEMA4D:8814, LHPP:8851, PKP4:9001, LANCL1:9004, TAFA4:9006, DBNDD2:9056, FAM124A:9127, GPR62:9205, ELOVL2:9468, HIPK2:9496, C10orf90:9691, TREM2:9698, CDK18:9856, SHTN1:9908, POLR2F:9950, ARHGAP22:9987, STMN4:9991, GPRC5B:10015, SLC5A11:10049, ACSBG1:10070, ERMN:10331, COLGALT2:10509, CLDND1:10632, CA14:10642, VXN:10698, PAQR6:10789, TMEM151A:10986, PACC1:11031, KIF6:11122, MYH15:11304, GJC2:11478, RFTN2:11634, ABCA2:11771, HHATL:11792, DPYSL5:11898, LPAR1:12089, SYNJ2:12099, FOLH1:12172, GFAP:12321, TMEM235:12336, MBP:12352, HCN2:12384, DTNB:12501, SLC24A2:12505, FEZ1:12591, ZNF536:12678, SEPTIN8:12995, HEPACAM:13018, SLAIN1:13248, CHST6:13267, CTNNA3:13391, PLD4:13480, CARNS1:13510, PLEKHB1:13609, ANKS1B:13705, SLC31A2:13733, WDR49:13911, OR2K2:13982, PLCL1:13985, KCNJ10:14194, CLDN11:14383, MYRF:14434, MOG:14546, GPR37:14761, DSCAML1:14838, BACE1:14841, FGFR2:14948, CCNE2:14950"
