,Background...Herbivore.Rho,Background...Herbivore.P,Background...Herbivore.p.adj
ARF5,NA,NA,NA
M6PR,1.28128502337676,0.200093571391083,0.501961163821722
FKBP4,-0.479157003006884,0.631826939958133,0.841251408584966
CYP26B1,1.08288065534041,0.278861399326473,0.590962483048894
NDUFAF7,-0.281730692989215,0.778150017782438,0.915199865260191
FUCA2,-0.431483855411579,0.666116589084031,0.859637394896488
DBNDD1,0.822140629582958,0.410996863972549,0.702492060332165
HS3ST1,-0.97047995942567,0.33180730949568,0.636274253984235
SEMA3F,-1.71399935221048,0.0865288448379962,0.330651618336247
CFTR,0.711303744295851,0.476896031825526,0.748281468519539
CYP51A1,-2.09698189179794,0.0359951783602454,0.207617990603064
USP28,0.987035267678311,0.32362534954278,0.628292173983875
SLC7A2,-0.03685823100053,0.970598043932791,0.989567703577914
HSPB6,1.02496774738374,0.305378406166948,0.61236305375195
PDK4,-1.59735482927136,0.110186635324683,0.372931787911895
USH1C,0.749628735692611,0.453478339042796,0.731283495449299
RALA,NA,NA,NA
BAIAP2L1,-1.74013559826389,0.0818352107768413,0.321456723207556
CACNG3,NA,NA,NA
TMEM132A,0.474077170806186,0.635444877495179,0.84324227157597
DVL2,2.79647764607695,0.00516629847391652,0.0709755477616604
RPAP3,-0.177932375744532,0.858776084367789,0.948879446294218
HOXA11,2.04563165647845,0.0407926244469361,0.221726430375387
TRAPPC6A,-0.303624061310827,0.761414318194629,0.906023084768286
SPATA20,0.16846417107422,0.866218128139671,0.952454944424574
CD79B,-0.927819253588589,0.353501334981462,0.655930089125034
RHBDD2,-2.24181577911806,0.0249732809987966,0.170922202198285
RPUSD1,0.135547234777445,0.892179220873556,0.961601339836045
TSR3,-1.62084581004422,0.105050711076151,0.362278700359662
NDUFAB1,-1.38918902739914,0.164775277417952,0.458494566809076
YBX2,2.63419957102347,0.00843359012148666,0.0933688014035944
ITGA3,1.6845753235361,0.092070535617351,0.340437957976366
KRT33A,-2.50535529832034,0.0122328441387234,0.116671080749308
LRRC23,1.68567462962853,0.0918584860445506,0.340076285629734
TFAP2D,NA,NA,NA
CRY1,-0.318141024801065,0.750377965671801,0.901293161703561
PGLYRP1,-1.54417395150685,0.12254619744545,0.395202333716527
STARD3NL,1.78093199957309,0.0749235602625296,0.30526957203757
CD74,1.5085255930215,0.131420061535345,0.408646084346119
RPS20,NA,NA,NA
MGST1,-3.26094807566177,0.0011104037217805,0.0271089192949062
CPA1,-3.27329006405327,0.00106303325569832,0.02641455006243
SYPL1,-2.38425858396595,0.0171135724986508,0.140566624605178
RANBP9,-1.86623372832838,0.0620086721348849,0.277243417915911
CD4,1.21015848697786,0.226218084046844,0.532574775358843
PLEKHG6,1.15419856592814,0.248418770393874,0.559541593011119
QPCTL,-1.24406124039809,0.213477024774515,0.517412156919402
PPP5C,-1.51679074672812,0.129319524017647,0.406041273001181
UBR7,2.56135420547861,0.010426499328628,0.105306606293965
MAP4K5,1.02285993535883,0.306374074907526,0.612818294126251
ERCC1,-0.711688729668165,0.476657548227577,0.748213774773564
GPRC5A,-4.21664627902123,2.47962461822875e-05,0.00222995532386857
HEBP1,1.07074522653232,0.284284001176252,0.594642848268541
COX15,-0.765750025530722,0.443825054881009,0.725693229501695
MS4A12,-0.226981390251605,0.820438212953804,0.932355412404714
XYLT2,-0.426670418011288,0.669619399878061,0.861998620169789
FTSJ1,-2.24919824238861,0.024499886253279,0.168752179152029
SCTR,0.183607830955228,0.854321119354857,0.946378885477979
RALBP1,-3.67046146406414,0.000242112970888846,0.00978291769003273
SYT13,-1.70948223156333,0.0873616602836806,0.332211728788873
SNAI2,0.262672288611543,0.792803177427988,0.922170690986126
SLC7A9,-3.78759171962593,0.000152114539415367,0.0072515928064512
RTF2,-0.73658592717539,0.461374195562724,0.736801835432642
RB1CC1,-1.30220503943607,0.192846302937565,0.494940370324188
AKAP11,1.32161611131457,0.186296015660068,0.48736817617237
B4GALT7,-0.0368344341904852,0.970617018155551,0.989567703577914
FAM13B,-3.39192159016919,0.000694042986386501,0.0200542592930646
CHPF2,-0.35291116400663,0.724155041011232,0.890361722847064
GABARAPL2,NA,NA,NA
MYOC,1.82612581872899,0.0678313119547999,0.290115873844572
FAM136A,-0.534018153503131,0.59332897441811,0.820482899531516
NSMAF,-1.21189004691304,0.22555447260787,0.53159376014506
OTC,-1.70030883263725,0.0890728499154444,0.336013207169794
