,Background...Insectivore.Rho,Background...Insectivore.P,Background...Insectivore.p.adj
ARF5,-0.374105840161421,0.708325573849646,0.888435287977165
M6PR,-0.787077736081577,0.431236361575327,0.731489353314467
FKBP4,-0.520329230209088,0.602834126213746,0.838957529990437
CYP26B1,0.913019163875542,0.361232462657607,0.67596901137227
NDUFAF7,1.14976854174865,0.250239215259368,0.575374932565104
FUCA2,0.183625814975281,0.85430701004762,0.950008289901106
DBNDD1,-1.63344225240592,0.102376016724938,0.376369438669659
HS3ST1,0.0272989264998103,0.978221313079748,0.993508098558048
SEMA3F,1.02470827862229,0.305500855640814,0.631072402437464
CFTR,0,1,1
CYP51A1,-2.32679433369726,0.0199762141426659,0.165119248966169
USP28,-1.83952523241947,0.0658379701192051,0.30221856551954
SLC7A2,-0.0504480494254762,0.959765347200928,0.986420424372573
HSPB6,0.804357902901861,0.421190306010027,0.72328357560298
PDK4,-0.326367817723537,0.744146083374376,0.904973449141284
USH1C,-0.12523732536461,0.900335668481612,0.968196502322227
RALA,-0.108767067571806,0.913387245079726,0.971935125256526
BAIAP2L1,-1.05066335267211,0.29341323309933,0.619908119826256
CACNG3,-3.08452652884397,0.00203876426794608,0.0496297795019535
TMEM132A,-0.416305073389199,0.6771867806011,0.874414126245777
DVL2,1.71540451889077,0.0862710874846504,0.34476530005885
RPAP3,0.51261052593526,0.608223788726572,0.842551866632681
HOXA11,-0.695359481509246,0.486830046366865,0.771286112946977
TRAPPC6A,-0.167820125611967,0.866724789097016,0.954527932224048
SPATA20,1.5201473105245,0.128473956335581,0.416775079381297
CD79B,0.148998818935156,0.881554564915418,0.961065236932608
RHBDD2,2.35780041227757,0.0183835739785877,0.158499654584536
RPUSD1,-1.98821313067575,0.0467881233771576,0.255780334509392
TSR3,1.97801340940849,0.0479271939378582,0.259718559778852
NDUFAB1,1.55874142017877,0.119057594052389,0.402292765273249
YBX2,-1.19942538326764,0.23036258250223,0.555151219116658
ITGA3,-1.74573819194764,0.0808564554109026,0.333092600786304
KRT33A,-0.073877008487216,0.941108250415725,0.978600438220971
LRRC23,1.15667533504964,0.247405030459848,0.571905130717245
TFAP2D,-0.925836632717182,0.35453088645829,0.671801629483566
CRY1,0.667602081252417,0.504387628839486,0.780590507250213
PGLYRP1,-0.376477188585271,0.70656217108011,0.887832840227308
STARD3NL,-0.781298943904344,0.434626691129424,0.73406940049149
CD74,0.753011094827648,0.451443246960427,0.745764736035626
RPS20,-1.69786266604152,0.0895336850481731,0.352157706871504
MGST1,1.20419665760917,0.228513577549151,0.55274982517448
CPA1,1.02059291188332,0.307447349069947,0.632734139293394
SYPL1,-0.0683155166146283,0.945534472513053,0.980498257626772
RANBP9,1.30674632047941,0.191298881447522,0.508321896620146
CD4,-0.519004996494357,0.603757256963914,0.839928318453747
PLEKHG6,-1.92945967254953,0.0536738218626651,0.272306472191751
QPCTL,1.38677227022818,0.165511215244688,0.470744216160931
PPP5C,0.64626432813228,0.518108185530721,0.789435568647062
UBR7,-0.0855020009155793,0.931862304797968,0.976177871349043
MAP4K5,0.762303160891126,0.445879087806757,0.741803791705495
ERCC1,2.33134353975127,0.0197352521028976,0.164432478044312
GPRC5A,0.568101103629042,0.569966318430525,0.821445080464319
HEBP1,-0.469573816707001,0.638659534984126,0.858092871564796
COX15,0.459866548415232,0.645612012396797,0.86037936707424
MS4A12,-0.912987626189544,0.361249049408858,0.67596901137227
XYLT2,-0.838708598048433,0.401632852279528,0.708768948120531
FTSJ1,3.07234368907775,0.00212385034137046,0.0507945608241323
SCTR,-0.773091581172743,0.439468183157264,0.736904522916742
RALBP1,3.26317572735498,0.00110171183554922,0.0360067352436856
SYT13,-0.451719312933862,0.651471203302433,0.8630863845811
SNAI2,-0.337027586200212,0.736096104633504,0.901029284619109
SLC7A9,1.7949149290329,0.0726672549747856,0.316318625733367
RTF2,-0.0574566263582297,0.954181456149712,0.984176087987953
RB1CC1,-0.346445087174148,0.729008245879458,0.897568906757322
AKAP11,0.115056120961918,0.908400639256935,0.970665672585868
B4GALT7,0.081248195075202,0.935244572049976,0.977346067906343
FAM13B,3.25264812836335,0.001143349849285,0.0367390408474189
CHPF2,0.0759637532200642,0.939447935582667,0.978191789545798
GABARAPL2,-1.64533159414053,0.0999014478447504,0.371570116593749
MYOC,0.218324956619515,0.827175930867086,0.937928972607527
FAM136A,1.03940349424164,0.298617119627203,0.624875405633531
NSMAF,-0.951659810537821,0.341269537785159,0.662241572352062
OTC,1.25020479633142,0.211224745183895,0.534542060060227
TTC17,0.0902357613683493,0.928099866769465,0.975498759076853
HOXC8,0.0284095494863564,0.977335507887855,0.992962987144831
MRI1,1.78622071925263,0.07406352762132,0.319705917234082
TARBP1,2.57557044503181,0.0100074885515047,0.114961999951339
RTN4R,-1.01710075828521,0.309105499616579,0.633862475458872
PSMA4,0.89984433105479,0.368203098917027,0.683329978285561
ZPBP,-1.06226499893387,0.288115399255374,0.61391645938351
LCP2,0.626741728948373,0.530828545729135,0.796925433665074
DCN,-1.40274224674771,0.160693714480527,0.463879682638443
TNFRSF17,0.440273638502153,0.659738931160596,0.867151178655701
MRPS10,1.2965727342724,0.194778238956837,0.513192534988844
GRN,1.42780518353924,0.153347940449833,0.452341540810071
THAP3,0.352054168049989,0.724797639314446,0.895055763163688
VAMP3,-0.789879132356719,0.429598359314576,0.73043036477935
RCN1,-0.23125499410014,0.81711670853916,0.934498322776494
RFC2,2.49007871460323,0.0127714806259301,0.13035889072957
PPP1R3F,2.53281196966702,0.0113151631453778,0.122459801341161
NFE2L3,3.79459608970376,0.000147884002072972,0.0126698090886048
