,Rho,N,P,p.adj
ARF5,NA,NA,NA,NA
M6PR,0.00494143929476886,282,0.238651062392652,0.643150486882634
FKBP4,0.0122453032552636,320,0.048106778119924,0.346608340489539
CYP26B1,0.000908130885012303,230,0.648369499973274,0.890319215633837
NDUFAF7,0.0117961107327138,329,0.0491821757210973,0.34926740577877
FUCA2,0.000850152712616903,350,0.585956577194651,0.863394675757173
DBNDD1,0.00240215684437686,277,0.41550448102271,0.774541227955588
HS3ST1,0.00242848394740742,270,0.418948773362857,0.774927033422216
SEMA3F,0.0056984235937041,296,0.194786987412706,0.597568200117907
CFTR,0.000743453814001686,357,0.606930102801019,0.872868652452818
CYP51A1,0.00463198513093002,298,0.240835024990132,0.644906607904053
USP28,0.00214586554912527,343,0.391626471605225,0.759703170386261
SLC7A2,0.000422821386761546,320,0.713424971304167,0.912688036888222
HSPB6,0.000133515399417452,232,0.860593220588378,0.960694116066236
PDK4,0.0276630567071549,284,0.00514246347906001,0.148024586848676
USH1C,0.000541926853204278,348,0.664545722438083,0.895559932951343
RALA,NA,NA,NA,NA
BAIAP2L1,0.0155355680483245,316,0.0269547987014063,0.280910203460752
CACNG3,NA,NA,NA,NA
TMEM132A,0.00317759458621903,349,0.292996124571848,0.692139294670464
DVL2,0.027718113728365,280,0.00542099659119416,0.152555121948093
RPAP3,0.00350849526010474,337,0.277589338869758,0.678191371689185
HOXA11,0.00118402292648581,207,0.621397173379444,0.878664392652572
TRAPPC6A,2.74065950348653e-06,262,0.978662866085133,0.994790692962839
SPATA20,0.000899801818275597,347,0.576864314219622,0.858535175419833
CD79B,0.000119705731113657,348,0.83850318084831,0.953571823166977
RHBDD2,0.00594036531658351,271,0.205351591154999,0.605830923309664
RPUSD1,0.00348454702951209,295,0.311464165040851,0.706097579072507
TSR3,2.99519436126545e-05,297,0.924983452145453,0.979905357786336
NDUFAB1,0.00224033775402647,259,0.447094520065968,0.794414154877943
YBX2,0.000104365080585467,261,0.86915901625754,0.962722558370885
ITGA3,0.0278425934988091,352,0.00177117305649529,0.102486135818122
KRT33A,0.00689937029747285,227,0.21177394223033,0.612494364831589
LRRC23,0.0147819073059216,333,0.0267388739830851,0.280804630738277
TFAP2D,NA,NA,NA,NA
CRY1,0.00248558682203164,267,0.416148569653972,0.774541227955588
PGLYRP1,0.00312733730052698,286,0.345127663463573,0.728024741800883
STARD3NL,5.45192852893127e-06,221,0.972372622077658,0.992569734046208
CD74,0.00174612761519642,338,0.443021055847463,0.792306425925509
RPS20,NA,NA,NA,NA
MGST1,0.000162078262806141,291,0.828363391963331,0.95162235435129
CPA1,0.000391049984058378,336,0.717395648552744,0.913663402303072
SYPL1,0.00913709928594835,322,0.0867856098707914,0.43567183404871
RANBP9,0.00082923889134548,282,0.629296377266965,0.88215818453533
CD4,6.2835356910325e-05,348,0.882610049944639,0.967580186516267
PLEKHG6,0.000290124413043356,365,0.745204026837561,0.923132752103625
QPCTL,0.000976781770168194,281,0.600994282134707,0.86971447655755
PPP5C,0.00907694849530597,220,0.158565682224506,0.555532232701624
UBR7,0.00512626277422839,320,0.200974602548252,0.604163157690309
MAP4K5,0.0144013002364062,281,0.0446353525708981,0.339129938688493
ERCC1,0.000584983947379801,173,0.751090176793895,0.926342508096739
GPRC5A,0.0145811525971087,338,0.0266422178508539,0.280670640413641
HEBP1,4.92492541387838e-05,269,0.908535457457183,0.975752364013334
COX15,0.000174670706035811,318,0.813968434743424,0.94598869382778
MS4A12,5.09934630334569e-05,230,0.913946117774359,0.97734435721661
XYLT2,0.00112015451033907,325,0.546883440553385,0.848178419958676
FTSJ1,0.0209454630973282,254,0.0213351946708744,0.259903700052978
SCTR,0.00234958516953684,333,0.377122094163602,0.750052865129174
RALBP1,0.000878089913058767,307,0.604208178144286,0.871256323219261
SYT13,0.0131279430192475,321,0.0404015362029908,0.326479009639497
SNAI2,0.00108283218785784,193,0.648415384281763,0.890319215633837
SLC7A9,0.00173612061181494,321,0.456055307674003,0.800082169673734
RTF2,3.68306510599959e-05,309,0.915179731300892,0.97734435721661
RB1CC1,0.0110400761123518,347,0.0506482784591921,0.353231896787964
AKAP11,0.00189025330785496,372,0.402352595359211,0.766812924705778
B4GALT7,0.000234745386450186,277,0.799079748658454,0.94195809493733
FAM13B,0.00519590672424339,318,0.199353764889706,0.602045182856361
CHPF2,0.000484426648268639,299,0.703985326035533,0.910316221374672
GABARAPL2,NA,NA,NA,NA
MYOC,0.0032549232763955,315,0.312034204947073,0.706264751024896
FAM136A,0.000211502092386484,217,0.830750428915045,0.952628455335227
NSMAF,0.0219952766549995,338,0.00647755589462409,0.161810481926969
OTC,0.00299772892936984,278,0.362165297452094,0.739275343166993
TTC17,0.00289712905956809,308,0.345634904638396,0.728333309597242
HOXC8,NA,NA,NA,NA
MRI1,0.00293290798853168,306,0.344250795314296,0.727677701532932
TARBP1,0.000278698479855228,353,0.754119471172387,0.927195079650885
RTN4R,0.0120734300979466,302,0.0566071189954381,0.36873270749291
PSMA4,NA,NA,NA,NA
ZPBP,4.04020176255648e-05,311,0.910892013717891,0.976750490675438
LCP2,0.010408732252378,335,0.0622456403911631,0.38187589941374
DCN,0.0184989727623931,319,0.0152905884613754,0.228475209946634
TNFRSF17,0.000104882693465198,309,0.857362363487537,0.959005217330519
MRPS10,4.66482224939119e-08,298,0.997030147821723,0.998845717414469
GRN,0.000573530759424046,354,0.652745407485962,0.893182091913755
THAP3,0.00294846762460921,321,0.331376883549893,0.718276877104444
