,Background...Omnivore.Rho,Background...Omnivore.P,Background...Omnivore.p.adj
ARF5,NA,NA,NA
M6PR,1.17836515640531,0.238651062392641,0.64315048688262
FKBP4,1.97642397739681,0.0481067781199263,0.346608340489526
CYP26B1,-0.456028477913227,0.648369499973244,0.890319215633812
NDUFAF7,-1.96700897820276,0.049182175721093,0.349267405778739
FUCA2,-0.544704779401921,0.585956577194653,0.863394675757176
DBNDD1,0.814245226604338,0.415504481022732,0.774541227955641
HS3ST1,0.80824636210291,0.41894877336286,0.774927033422221
SEMA3F,-1.29654732275479,0.19478698741272,0.597568200117952
CFTR,0.514460453081292,0.606930102801013,0.872868652452681
CYP51A1,1.17290220559352,0.240835024990144,0.644906607904048
USP28,0.856671476005094,0.391626471605256,0.759703170386252
SLC7A2,-0.367260156260976,0.713424971304265,0.91268803688831
HSPB6,0.175619068626807,0.860593220588566,0.960694116065854
PDK4,2.79797159530342,0.00514246347906013,0.148024586848679
USH1C,0.433645728748539,0.66454572243811,0.895559932951344
RALA,NA,NA,NA
BAIAP2L1,2.21217176892352,0.0269547987014065,0.280910203460769
CACNG3,NA,NA,NA
TMEM132A,1.05157164092809,0.292996124571853,0.692139294670505
DVL2,-2.78089081594616,0.00542099659119457,0.152555121948105
RPAP3,-1.08575061933907,0.27758933886976,0.678191371689191
HOXA11,-0.493871160178535,0.621397173379433,0.878664392652524
TRAPPC6A,0.0267453197853757,0.978662866084954,0.994790692962657
SPATA20,-0.557970813863391,0.576864314219611,0.858535175419952
CD79B,-0.203808460806952,0.838503180848196,0.953571823166932
RHBDD2,1.26645119743225,0.205351591154994,0.605830923309615
RPUSD1,1.01215454683391,0.311464165040849,0.706097579072503
TSR3,0.0941582461042462,0.924983452145107,0.979905357785969
NDUFAB1,-0.76026780843252,0.447094520065984,0.794414154877972
YBX2,-0.164726807023371,0.869159016257794,0.962722558370879
ITGA3,3.12613984301435,0.00177117305649546,0.102486135818128
KRT33A,1.24870240138667,0.211773942230336,0.612494364831622
LRRC23,-2.2153088329996,0.026738873983084,0.280804630738267
TFAP2D,NA,NA,NA
CRY1,-0.813121205393382,0.416148569653983,0.774541227955641
PGLYRP1,0.944082163082349,0.345127663463558,0.728024741800849
STARD3NL,-0.0346327052992872,0.972372622077861,0.992569734047216
CD74,0.767101692294516,0.443021055847496,0.792306425925485
RPS20,NA,NA,NA
MGST1,0.216801052150688,0.828363391963574,0.951622354351283
CPA1,0.361941631564535,0.717395648552702,0.913663402303273
SYPL1,1.71260295188039,0.0867856098707913,0.435671834048675
RANBP9,0.482717441644663,0.629296377267047,0.88215818453537
CD4,-0.147661331592706,0.882610049945044,0.967580186516605
PLEKHG6,0.324969669889014,0.745204026837569,0.923132752103508
QPCTL,0.522971218755929,0.600994282134729,0.869714476557621
PPP5C,1.40991195486528,0.158565682224502,0.555532232701659
UBR7,-1.27877981880336,0.200974602548265,0.604163157690348
MAP4K5,-2.00807471628768,0.044635352570895,0.339129938688469
ERCC1,-0.317202205145606,0.751090176794004,0.926342508096873
GPRC5A,2.2167201955199,0.0266422178508515,0.28067064041363
HEBP1,-0.114886030957123,0.908535457457572,0.975752364013124
COX15,-0.235309612666647,0.813968434743464,0.945988693827827
MS4A12,-0.108062495967553,0.913946117774081,0.977344357216059
XYLT2,0.602436769586397,0.546883440553475,0.848178419958753
FTSJ1,-2.30199960113465,0.0213351946708741,0.259903700052977
SCTR,-0.88321134293336,0.377122094163627,0.750052865129257
RALBP1,-0.518358479621946,0.604208178144291,0.871256323219247
SYT13,2.04961990772903,0.0404015362029915,0.32647900963949
SNAI2,0.455964669759322,0.648415384281745,0.890319215633812
SLC7A9,-0.745358031942218,0.456055307674005,0.800082169673737
RTF2,-0.106507466998054,0.915179731301403,0.977344357216059
