,Rho,N,P,p.adj
ARF5,NA,NA,NA,NA
M6PR,0.000700104247546901,282,0.657373920152717,0.848702939566342
FKBP4,0.000659891136762701,320,0.646371664485348,0.843473416306987
CYP26B1,0.00134167566439594,230,0.579376490106847,0.802866915692295
NDUFAF7,0.000248699577542003,329,0.775176321392225,0.908110072000943
FUCA2,0.00433513798502202,350,0.218687491132174,0.508397085741165
DBNDD1,0.00121505114748824,277,0.56252326903631,0.793882043464651
HS3ST1,0.00973405280547562,270,0.10562689450044,0.365341473323658
SEMA3F,0.00608456527263493,296,0.180324610013198,0.466400276177595
CFTR,2.34679981107281e-05,357,0.927171948131258,0.971666230058376
CYP51A1,0.0514135010565904,298,9.31941704484322e-05,0.0185700865072696
USP28,0.00178399473705143,343,0.434740297545096,0.70363453216043
SLC7A2,0.00959022817054928,320,0.0802770959852012,0.321704764595511
HSPB6,0.00311532267731356,232,0.396262172520356,0.673547586512205
PDK4,0.0103164478665745,284,0.0875120086076652,0.334797714794877
USH1C,0.00534315406239015,348,0.173310253256898,0.461427474914892
RALA,NA,NA,NA,NA
BAIAP2L1,0.0076078005415541,316,0.121610385733633,0.3921441644152
CACNG3,NA,NA,NA,NA
TMEM132A,0.0223275293739107,349,0.00531216307079422,0.0878330899353846
DVL2,0.000667610922261773,280,0.666044885593899,0.85339891940496
RPAP3,0.00327071225841382,337,0.294494603784621,0.585709767348366
HOXA11,0.000231479357692642,207,0.827142103186101,0.931338049568274
TRAPPC6A,0.00138863492314932,262,0.547157709523866,0.784089963058219
SPATA20,0.000208375125857935,347,0.788306529942005,0.91425827112665
CD79B,0.0015465536495968,348,0.463822686492826,0.726493607465275
RHBDD2,3.84241488299503e-07,271,0.99187325631992,0.996704022821445
RPUSD1,0.0069158145568386,295,0.153891270292173,0.436256333801235
TSR3,0.00300805443038336,297,0.345373238599587,0.632804103678532
NDUFAB1,0.0108015647811154,259,0.095043629387115,0.347419888253385
YBX2,0.00400709721134481,261,0.307392697818705,0.595948225209191
ITGA3,0.00867238508646585,352,0.0810356521447491,0.322604768053319
KRT33A,0.0134765913861948,227,0.0809507286261447,0.322510268583533
LRRC23,0.00162752058659042,333,0.462293164739512,0.725310914823424
TFAP2D,NA,NA,NA,NA
CRY1,0.000616572440932935,267,0.685492694196545,0.863166457119184
PGLYRP1,0.0234118656317254,286,0.00979182504573555,0.116590373174813
