,Carnivore...Herbivore.Rho,Carnivore...Herbivore.P,Carnivore...Herbivore.p.adj,Carnivore...Omnivore.Rho,Carnivore...Omnivore.P,Carnivore...Omnivore.p.adj,Herbivore...Omnivore.Rho,Herbivore...Omnivore.P,Herbivore...Omnivore.p.adj
ARF5,0.14253932901996,1,1,0.8315218406203,1,1,0.641426980589818,1,1
M6PR,1.44055027257993,0.449135332983685,1,2.43497997617402,0.0446778414203345,0.283610225151513,1.26614434896846,0.616384221929178,1
FKBP4,-0.044820032439231,1,1,1.863125259143,0.187333935644348,0.682799624050141,2.17954999072242,0.0878725056756935,0.483913798753478
CYP26B1,-1.93853482192121,0.157674020136115,0.536171436095238,0.381022486940821,1,1,2.43556247964952,0.0446059696775055,0.325978350735959
NDUFAF7,-0.312021771946024,1,1,-1.0578343607366,0.870392893793048,1,-0.90018155352785,1,1
FUCA2,-1.72234865723526,0.255019135242344,0.732163042504841,-2.53860650160818,0.0333884768412399,0.234358629873455,-1.22505763648625,0.661660515644959,1
DBNDD1,2.36651613078066,0.0538691752435007,0.262226172307832,3.26011970292772,0.00334095606274473,0.0519556924743817,1.40974803458733,0.475842287150354,1
HS3ST1,-0.584716564824505,1,1,1.56678740081556,0.351493179975186,0.982767376148335,2.34128377719848,0.0576526617283191,0.378484913991774
SEMA3F,-0.946962889948805,1,1,-0.429127899792106,1,1,0.456423312796837,1,1
CFTR,1.46051703163338,0.432444090484096,1,-0.0993483554926704,1,1,-1.51252837337502,0.391198500529987,1
CYP51A1,-2.40869391254682,0.0480291564135378,0.242126984769748,1.11853522734325,0.790015409619532,1,3.69011974934758,0.000672445534704681,0.0255212858230271
USP28,2.51007989314745,0.0362111548218926,0.199235453474342,2.26922775981622,0.069763436907042,0.374470628056768,0.168807126469072,1,1
SLC7A2,1.50496397122595,0.397000019579357,0.965675577582392,0.26312640952267,1,1,-1.21466486091244,0.673481819413861,1
HSPB6,-0.250952015900189,1,1,0.730532533683979,1,1,1.04172396069835,0.892619030484454,1
PDK4,1.2675713971029,0.614853155322216,1,3.93825920267412,0.000246224715067351,0.00929362197331235,3.28648433147558,0.0030433925236879,0.0671544752490914
USH1C,-0.73472395939605,1,1,0.977905796964423,0.984362753321447,1,1.82100078591371,0.205820212200434,0.777045639997295
RALA,0.51234753829798,1,1,2.57153679425943,0.0303744767777718,0.220594466648113,1.69256677166574,0.271613881203998,0.906509655725978
BAIAP2L1,-0.706957116498653,1,1,1.42340218329263,0.463858799821053,1,2.29700578364339,0.0648553194065503,0.403489653866888
