,X_Omnivore...Carnivore.Rho,X_Omnivore...Carnivore.P,X_Omnivore...Carnivore.p.adj,X_Omnivore...Herbivore.Rho,X_Omnivore...Herbivore.P,X_Omnivore...Herbivore.p.adj,Carnivore...Herbivore.Rho,Carnivore...Herbivore.P,Carnivore...Herbivore.p.adj
ARF5,1.04570170865886,0.887096321078037,1,1.17949196635725,0.714607001365914,1,-0.111851788143161,1,1
M6PR,-2.97701497906537,0.00873209366211667,0.115491740011114,0.793636899605283,1,1,3.82616379420058,0.000390467113127208,0.0163895030230234
FKBP4,-2.88055221085714,0.0119093758809306,0.1415669171114,-2.6413896837288,0.0247700073359693,0.391607774516471,0.750308566445899,1,1
CYP26B1,-2.14966262223048,0.0947457332171274,0.507195654342395,-1.32525526643669,0.555259501460149,1,1.26230979517566,0.620512000287359,1
NDUFAF7,-1.56802587188866,0.350625283760187,1,1.1614329939865,0.736397573386945,1,2.62770696331544,0.0257887595882979,0.246652587278396
FUCA2,1.53253681986089,0.37617005645498,1,-0.301956902411802,1,1,-1.90638306139682,0.169801574215495,0.739351009255428
DBNDD1,0.342028838066398,1,1,0.432311607007519,1,1,-0.00184214708053116,1,1
HS3ST1,-0.665652527491781,1,1,-1.24955079340226,0.634391063266302,1,-0.319322435668295,1,1
SEMA3F,0.727146786640918,1,1,0.618344531878586,1,1,-0.244146996599726,1,1
CFTR,-3.56141556385352,0.00110658220087764,0.0294882316095715,0.950564490797967,1,1,4.67204133637044,8.94662763414971e-06,0.00125384295537043
CYP51A1,0.902078461764809,1,1,-0.7901324005949,1,1,-1.60756479887585,0.323791580757183,1
USP28,-2.4529784369518,0.0425036493812422,0.315313245089233,-1.54347921095367,0.36814364321726,1,1.30622069411213,0.574432552071492,1
SLC7A2,1.35553124674981,0.525745080549869,1,1.40415833837125,0.480815114284569,1,-0.248470214648901,1,1
HSPB6,-1.52849741424185,0.379167255146943,1,-1.12778066704947,0.778237680265009,1,0.716536636613601,1,1
PDK4,0.176270908759349,1,1,-1.85838095324343,0.189344805364861,1,-1.70396991248477,0.265160125177081,0.946282896061468
USH1C,-0.910339512560963,1,1,0.513740885977408,1,1,1.43680783776844,0.452317808210263,1
RALA,1.19852125636988,0.692142458601128,1,-0.0400174599849362,1,1,-1.27944664052442,0.602219455563883,1
BAIAP2L1,-2.52126406092386,0.0350802193441322,0.280676401883274,-3.57015939508384,0.00107029221585233,0.0795600245774635,-0.273482338910916,1,1
CACNG3,-0.465138007417757,1,1,-0.363426574432035,1,1,0.208552338959008,1,1
TMEM132A,-2.75157708272505,0.0177927179681304,0.186950464669033,-3.80208702338468,0.000430446924082671,0.0471310297618898,-0.262946622569647,1,1
DVL2,1.42901762245697,0.458997505376911,1,3.01768188238469,0.00764148410697294,0.219919596703848,0.978803166330521,0.983031734784499,1
RPAP3,1.85766978611233,0.189647764920706,0.748324235940077,2.49127919911601,0.0381852161206239,0.48350831934572,0.112591124403717,1,1
HOXA11,-2.29748907814068,0.0647726562255437,0.404470509192843,-1.1890789148586,0.70322584408879,1,1.35601706065084,0.525281219615346,1
TRAPPC6A,1.74240578546136,0.244312392857037,0.864280572925545,-0.432395344926072,1,1,-2.17132622512387,0.0897195638169135,0.520643400057891
SPATA20,-0.137309614890061,1,1,0.0942283705822181,1,1,0.237111739462982,1,1
CD79B,-0.397563218480258,1,1,0.135419863291441,1,1,0.548556069088192,1,1
RHBDD2,-0.118721773954618,1,1,-2.22676935956774,0.0778880765399611,0.696181070231699,-1.77142147502381,0.229471920246058,0.87274743000625
RPUSD1,0.941606810232594,1,1,1.05185852505628,0.878593389016266,1,-0.137604480611537,1,1
TSR3,-0.959534022464275,1,1,1.08091391162499,0.839206229315051,1,1.87395022067257,0.182811859657125,0.767336204705891
NDUFAB1,-0.644208016088415,1,1,-0.648208851548709,1,1,0.157088708807235,1,1
YBX2,-0.976818886328353,0.985976472806432,1,2.19437182989105,0.0846260681062668,0.7182533955494,3.1895867572322,0.00427429099315319,0.0786062005346969
ITGA3,-2.02827444017354,0.127596738373192,0.601490356451109,0.856050687148272,1,1,2.93419551824193,0.0100324044152583,0.135793664441116
KRT33A,-0.14899028747419,1,1,-2.36879459753349,0.0535384843807795,0.577574577791384,-1.55048557712153,0.363075037820364,1
LRRC23,-0.849751726609708,1,1,2.70563797754167,0.0204519962324089,0.364090684711581,3.2117817673224,0.00395743621038471,0.0746430517819012
TFAP2D,0.746819668719407,1,1,0.901581790449532,1,1,-0.169159726169821,1,1
CRY1,1.57879857105465,0.343146799438525,1,0.460357878719557,1,1,-1.31713099302402,0.563384159512419,1
PGLYRP1,-0.0934144539866771,1,1,-1.76751549964683,0.23142580672543,1,-1.20670346273127,0.682639095203387,1
STARD3NL,-2.10318412280983,0.106349032893737,0.542185975753407,-2.57447300183123,0.0301178763964163,0.436096351090936,0.246569608935271,1,1
CD74,-3.20550880678026,0.00404471762816666,0.0695674257022891,1.17677921624013,0.717850920613031,1,4.47969776604455,2.24246415117544e-05,0.00235975905267695
RPS20,0.683763458757828,1,1,-1.05700761012082,0.871524342877583,1,-1.90261369821747,0.171272911230139,0.742365892924215
MGST1,2.97013138099638,0.00893017236871328,0.116965766142193,-1.39002942832105,0.493559823861079,1,-4.26251663929741,6.06412326015765e-05,0.0047720040418738
CPA1,-0.976819294533727,0.985975866428413,1,-1.33611531378252,0.54453475604562,1,-0.1193879630227,1,1
SYPL1,-1.23997728236758,0.644951390825592,1,0.0314098361371256,1,1,1.38120830079506,0.501644769739748,1
RANBP9,0.959778299487695,1,1,-0.37021550657796,1,1,-1.30186110841826,0.578891608511866,1
CD4,-0.429921942746747,1,1,0.443085008519153,1,1,0.846476839223899,1,1
PLEKHG6,-3.34862039081498,0.00243644962403502,0.0504799959189455,-0.268904689716012,1,1,3.40481064607798,0.00198629839567769,0.0480289060594412
QPCTL,-0.655626450742244,1,1,-1.77270066098721,0.228834964579392,1,-0.7727964345333,1,1
PPP5C,-0.858002614964788,1,1,-0.758784493028704,1,1,0.288120571591709,1,1
UBR7,-1.4674035851359,0.426798899410953,1,1.22245470013961,0.664607173709249,1,2.6235831403427,0.0261030618253678,0.24892395979671
MAP4K5,0.597736435389163,1,1,1.27160975956886,0.610535422248431,1,0.325101754498243,1,1
ERCC1,0.590802503555834,1,1,-0.00275661923663846,1,1,-0.681906298793191,1,1
GPRC5A,-0.499068617127604,1,1,-2.16439826994699,0.0913013894974188,0.741587321968071,-1.39475596235236,0.48926832836874,1
