,Rho,N,P,p.adj
ARF5,NA,NA,NA,NA
M6PR,0.02353964939898,282,0.157708849954926,0.256317273554479
FKBP4,0.0204310177840714,320,0.163691409680617,0.262921585345474
CYP26B1,0.0209879362666503,230,0.30776264510033,0.412549215005522
NDUFAF7,0.0152999506458525,329,0.285416397488046,0.391188661926368
FUCA2,0.0423619250673424,350,0.00517012468762471,0.0246374781979766
DBNDD1,0.0253686737598727,277,0.135795565791679,0.230864923922022
HS3ST1,0.0143739395914158,270,0.424361941152597,0.519025593048481
SEMA3F,0.0259862935806865,296,0.104610076366926,0.192594485820418
CFTR,0.0350269987209556,357,0.0141802906887987,0.0493901458217901
CYP51A1,0.084896684408644,298,4.55562977473785e-05,0.000957413294037749
USP28,0.0260987922454757,343,0.0629814598309473,0.135622778930707
SLC7A2,0.00802039470059635,320,0.634190930993482,0.700211833040495
HSPB6,0.00526954709742212,232,0.875247887623073,0.896362869067382
PDK4,0.0560852065844634,284,0.00319565782193336,0.0177880806358202
USH1C,0.00777218983203332,348,0.60974845126848,0.679296193751276
RALA,NA,NA,NA,NA
BAIAP2L1,0.0356341979609556,316,0.0241507077029605,0.0706331197038736
CACNG3,NA,NA,NA,NA
TMEM132A,0.0165220513703135,349,0.218638989982541,0.323589140530971
DVL2,0.0397508679264097,280,0.0255656128230425,0.0732967754080756
RPAP3,0.0155039177347733,337,0.266486623025246,0.372735025114941
HOXA11,0.0270834310681433,207,0.232856086908305,0.338155144131342
TRAPPC6A,0.00495056490693877,262,0.862714884813316,0.886236523006031
SPATA20,0.0133244567719514,347,0.329672709654228,0.433362181177398
CD79B,0.013212226423819,348,0.332628705046991,0.435917149022887
RHBDD2,0.0273947758849974,271,0.116356663242942,0.207503404536077
RPUSD1,0.0575520447420208,295,0.00200309403383759,0.0130123405965372
TSR3,0.059265116468161,297,0.00151582695677318,0.010765800219382
NDUFAB1,0.0221358475065379,259,0.221791546482408,0.326619151557199
YBX2,0.0391840017840445,261,0.0373796574474475,0.0953051628134802
ITGA3,0.0436985538655636,352,0.00404881245367532,0.020818714598888
KRT33A,0.0525361578370343,227,0.0183197395481332,0.058944661556344
LRRC23,0.019290148320352,333,0.170919115584664,0.271092611132022
TFAP2D,NA,NA,NA,NA
CRY1,0.0110572068502534,267,0.567710297480186,0.643789457736937
PGLYRP1,0.022887486661397,286,0.163351098288831,0.262514864823094
STARD3NL,0.018200487712943,221,0.405450272913925,0.502428964239908
CD74,0.0146115805666107,338,0.295174065696327,0.400383277492409
RPS20,NA,NA,NA,NA
MGST1,0.0708887525615763,291,0.000387444426253079,0.004161311349734
CPA1,0.0545985888107021,336,0.00108274405658767,0.00850783924756663
SYPL1,0.0310039724186402,322,0.0412393201706474,0.102038711917883
RANBP9,0.0249045682262468,282,0.13598424117842,0.231050563562566
CD4,0.0158897123751198,348,0.238525218041417,0.343935472742269
PLEKHG6,0.0183322742614709,365,0.1542142577298,0.252297338064027
