GO.ID	Description	pVal	p.adj	Phenotype	Gene.vals
REACTOME_INTERLEUKIN_6_SIGNALING	Both	0.828148840688419	0.919700638972013	1	CBL:544, JAK2:5939, TYK2:5939, STAT1:5939, IL6ST:5939, PTPN11:5939, SOCS3:5939, IL6R:9718, JAK1:11524, IL6:14611
REACTOME_APOPTOSIS	Carnivore	0.0859499314623223	0.25635261853725	1	PLEC:6, PTK2:106, UBA52:122, RPS27A:169, DBNL:263, SPTAN1:284, TP53BP2:375, BCAP31:444, H1-2:559, DSG2:604, DSP:709, PSMF1:710, PKP1:737, PSMD12:818, DSG1:860, PPP1R13B:917, VIM:930, H1-4:943, XIAP:984, H1-3:1162, PSMA8:1256, APIP:1428, TRAF2:1538, DSG3:1631, GSN:2034, PSMA1:2184, ADD1:2325, AKT1:2427, BMX:2483, ROCK1:2556, TICAM2:2588, TP73:2613, PSMB1:5939, FAS:5939, CDH1:5939, PSME4:5939, ARHGAP10:5939, BAX:5939, PSMD8:5939, PSMD10:5939, STK24:5939, TRADD:5939, MAPK3:5939, TJP1:5939, GSDMD:5939, GSDME:5939, PSMD3:5939, C1QBP:5939, BIRC2:5939, LMNB1:5939, TFDP2:5939, FASLG:5939, TJP2:5939, APAF1:5939, PSMB2:5939, CASP9:5939, STK26:5939, NMT1:5939, PSMB7:5939, RIPK1:5939, UACA:5939, CASP6:5939, PSMB6:5939, CDKN2A:5939, PSMD4:5939, PSMB4:5939, LMNA:5939, PSMD6:5939, HMGB2:5939, FADD:5939, DFFB:5939, AVEN:5939, UBB:5939, BCL2L1:5939, BCL2:5939, PSMD1:5939, SFN:5939, SATB1:5939, DIABLO:5939, H1-5:5939, PSMD13:5939, DCC:5939, H1-0:5939, PSMB8:5939, PSMB10:5939, PPP3R1:5939, PSMB11:5939, PSMB9:5939, GAS2:9034, PSMD5:9076, APPL1:9157, AKT2:9238, DAPK1:9312, BMF:9464, PAK2:9490, TFDP1:9626, PSME3:9875, OMA1:9983, PSMD9:10073, APC:10105, LY96:10183, BBC3:10209, PSMB5:10386, CASP3:10460, DFFA:10559, PSMD2:10568, TP53:10810, H1-1:10816, DYNLL2:10886, BID:10887, DNM1L:11021, CD14:11201, MAPT:11395, TP63:11610, OPA1:11794, BCL2L11:11869, E2F1:11883, CFLAR:11962, DAPK2:12053, OCLN:12112, UNC5A:12137, UNC5B:12140, FNTA:12387, CASP8:12497, SEM1:12501, TNFSF10:12525, PSME1:13047, TLR4:13065, DYNLL1:13091, BAK1:13466, PSME2:13588, BAD:14116, PRKCQ:14179, ACIN1:14381, DAPK3:14552, PRKCD:14629, CLSPN:14663, PPP3CC:14686
REACTOME_HEMOSTASIS	Unclear	0.507111134864119	0.708776260589152	1	DOCK1:43, RHOB:86, PTK2:106, CARMIL1:153, KIF26B:183, PIK3R5:189, GNAT3:205, ITPR1:210, TUBA4A:234, PRKCG:237, PPP2R1B:249, KIF1A:250, DGKI:258, DOCK4:262, PPP2CA:294, ITGA6:295, H3C13:351, SLC8A3:354, GNB2:459, ECM1:575, DAGLA:576, H3C4:584, TRPC6:587, CDC42:629, JAM2:666, RHOA:685, ISLR:698, RAP1A:708, VPS45:717, ATP2A2:734, ITGA1:781, CABLES2:852, TIMP1:853, ATP1B2:868, PPIA:875, ITGA3:886, P2RX2:895, ATP2B3:955, TUBB4A:1009, GNA12:1108, PDGFA:1128, H3C1:1135, GNB3:1163, GNA13:1173, P2RX3:1180, L1CAM:1187, H3C11:1188, TLN1:1200, PDE10A:1230, H3C10:1239, TOR4A:1246, ATP2A3:1255, PRKCA:1261, MAFK:1296, KIF2B:1343, NOS1:1380, TUBA1B:1391, VEGFD:1441, GPC1:1459, SHC1:1508, KCNMA1:1509, PRKG2:1549, P2RX7:1554, GATA5:1557, DOCK11:1568, PTPN6:1641, KIF3C:1713, TRPC3:1723, PDE11A:1728, TGFB3:1733, PIK3CG:1748, KIF26A:1753, PTGIR:1754, KIF1B:1771, GNA14:1772, P2RY1:1788, SDC1:1791, RAPGEF4:1816, H3C8:1850, SOD1:1859, KIF21B:1868, PDE1B:1903, DOCK8:1932, FCER1G:1980, STIM1:2081, PIK3R6:2098, ADRA2C:2148, CDC37L1:2150, WDR1:2178, AKAP10:2194, CAV1:2211, MAFF:2250, CHID1:2293, DOCK10:2299, VAV2:2354, GUCY1A2:2363, VAV3:2413, AKT1:2427, AK3:2485, TUBB2B:2572, KIF25:2647, GNB5:2658, KLKB1:2689, TUBB1:2705, F13A1:2748, JAM3:2772, RAB27B:2778, PROS1:2823, JAK2:5939, PTPN11:5939, MAPK3:5939, C1QBP:5939, TFPI:5939, KDM1A:5939, CD9:5939, EHD3:5939, IGF1:5939, CD74:5939, HGF:5939, EHD2:5939, VCL:5939, LCP2:5939, HSPA5:5939, BCAR1:5939, DGKG:5939, GNA15:5939, GUCY1B1:5939, PPP2R5A:5939, RASGRP2:5939, PPP2R5B:5939, TRPC7:5939, ATP2B1:5939, PRKACA:5939, SPP2:5939, ACTN1:5939, KIFAP3:5939, DGKD:5939, ACTN2:5939, CAPZB:5939, PPP2R5C:5939, RAPGEF3:5939, APLP2:5939, APOB:5939, DOCK3:5939, KIF9:5939, RCOR1:5939, APOH:5939, ANGPT2:5939, TGFB2:5939, BRPF3:5939, ABL1:5939, PICK1:5939, SLC16A8:5939, TIMP3:5939, PDGFB:5939, VTI1B:5939, ABHD12:5939, KIF3B:5939, F9:5939, SLC7A5:5939, STX4:5939, CSK:5939, KLC3:5939, TGFB1:5939, MAG:5939, GATA3:5939, LGALS3BP:5939, PRKAR1A:5939, PF4V1:5939, EHD1:5939, VWF:5939, PHACTR2:5939, PPP2R5D:5939, FN1:5939, QSOX1:5939, STXBP3:5939, CAPZA1:5939, DOCK7:5939, PLA2G4A:5939, CD2:5939, CD48:5939, APOA1:5939, SLC8A2:5939, MYB:5939, EPCAM:5939, AKAP1:5939, PIK3CA:5939, PLAU:5939, ITPR2:5939, SDC4:5939, PLCG1:5939, F10:5939, RAP1B:5939, AAMP:5939, CALU:5939, KIF1C:5939, ACTN4:5939, F12:5939, CAP1:5939, DOCK2:5939, CD36:5939, DGKB:5939, KLC4:5939, TUBB2A:5939, ARRB1:5939, THBS1:5939, KIF23:5939, OLA1:5939, PDE5A:5939, PDPK1:5939, SLC16A3:5939, APP:5939, ITGA10:5939, ATP1B1:5939, F13B:5939, LEFTY2:5939, MANF:5939, DGKQ:5939, PCYOX1L:5939, KCNMB1:5939, DOK2:5939, DGKZ:5939, FERMT3:5939, ALDOA:5939, ADRA2A:5939, VEGFC:5939, SLC7A11:5939, MERTK:5939, CXADR:5939, KIF5A:5939, TSPAN7:5939, ATP2B2:5939, F11R:5939, CYB5R1:5939, PDE9A:5939, JAML:5939, ITGA5:5939, ABHD6:5939, PF4:5939, CLEC3B:5939, ANXA5:5939, GUCY1A1:5939, ITGA2:5939, DAGLB:5939, COL1A2:5939, NOS3:5939, TMX3:5939, IGF2:5939, TUBA1A:5939, SERPINF2:5939, SLC3A2:5939, SDC2:5939, PCDH7:5939, ITGAM:5939, ZFPM2:5939, KIF5B:5939, MFN1:5939, KCNMB3:5939, PRKCE:5939, FGB:5939, GTPBP2:5939, CTSW:5939, RASGRP1:5939, SELP:5939, KLC2:5939, SH2B1:5939, GP5:5939, F2:5939, F2R:5939, ANXA2:5939, LCK:5939, SLC8A1:5939, F8:5939, PDE2A:5939, PRKAR1B:5939, KIF19:5939, NHLRC2:5939, FLNA:5939, FAM3C:5939, SRC:5939, KCNMB2:5939, SERPINB2:5939, CFD:5939, PLCG2:5939, F5:5939, LAT:5939, ITGB3:5939, ADRA2B:5939, ORAI2:9023, TUBAL3:9059, SERPINA5:9085, AHSG:9120, HDAC1:9137, SOS1:9146, KLC1:9162, ITIH3:9164, PRKACB:9210, SCCPDH:9229, SELL:9308, PROCR:9337, SLC7A8:9371, APOOL:9382, KIF22:9384, FGR:9392, ENDOD1:9410, GP6:9416, PLEK:9430, SYK:9489, SRGN:9605, MIF:9638, RAF1:9671, ATP2A1:9682, ITGAV:9690, ITGAX:9758, TBXA2R:9810, CD177:9965, PRKCB:9991, H3C2:9996, ORM1:9997, PHF21A:9999, KIFC2:10000, F3:10006, ITGB2:10009, PSAP:10021, ARRB2:10084, CD63:10124, ORAI1:10131, F11:10147, A1BG:10154, P2RX5:10156, KIF13B:10157, KIF2A:10255, SELE:10261, KIF27:10323, APBB1IP:10334, ITPK1:10379, SPARC:10380, CD109:10409, RAD51B:10421, ACTB:10425, DGKH:10437, TUBB4B:10488, CD47:10493, GRB7:10536, SIN3A:10607, TEX264:10635, CFL1:10641, IRAG1:10752, TP53:10810, MFN2:10842, TAGLN2:10843, BSG:10882, LHFPL2:10885, JCHAIN:10920, MICAL1:10930, PRKAR2B:10936, SERPINE2:10961, PAFAH2:11069, SYTL4:11090, TREM1:11112, KIF2C:11116, CD84:11204, VAV1:11214, LYN:11320, RAD51C:11379, KIF21A:11380, OLR1:11416, ITGAL:11507, VEGFB:11517, PRKCH:11543, ORM2:11579, CD244:11592, PLG:11689, RBSN:11702, P2RX4:11716, KIF12:11727, KIF3A:11757, P2RX1:11799, STXBP2:11832, ITPR3:11852, PIK3R1:11894, CD44:11898, CABLES1:11928, HBE1:11957, SDC3:11979, PTPN1:11988, ITGA4:12022, LRP8:12107, F2RL3:12144, GP1BB:12159, PIK3R2:12188, THBD:12190, IRF2:12214, PRKAR2A:12242, P2RX6:12246, TEK:12255, ITGB1:12362, MMRN1:12363, ITIH4:12401, PIK3CB:12477, PLAT:12516, HMG20B:12529, GAS6:12550, DOCK9:12585, COL1A1:12595, ATP1B3:12596, KIF6:12713, VPREB3:12742, RARRES2:12808, YES1:12833, MPIG6B:12845, FGG:12872, GATA2:12897, SERPINC1:12905, KNG1:12923, MGLL:12941, SRI:12956, RACGAP1:13025, PIK3R3:13026, KIF4A:13045, H3-3A:13069, KIF16B:13149, GATA4:13221, GATA6:13241, KIF20A:13413, SLC7A7:13421, P2RY12:13440, CLU:13471, CLEC1B:13485, KIF20B:13522, SH2B3:13596, VEGFA:13597, NFE2:13628, PECAM1:13633, PPIL2:13647, DGKE:13653, NOS2:13691, SERPINE1:13736, CALM1:13737, KIF15:13764, CENPE:13816, JMJD1C:13819, EGF:13847, GATA1:13869, F7:13874, KIF11:13890, PDE1A:13915, SLC7A6:13956, HABP4:13983, LY6G6F:14005, KIF18B:14026, INPP5D:14067, LAMP2:14090, SH2B2:14132, KIFC1:14141, PRKCQ:14179, ITGA2B:14221, SLC7A10:14232, F2RL2:14255, IRF1:14319, MPL:14322, SCG3:14348, PRCP:14360, SERPIND1:14367, TUBB8B:14397, PLAUR:14402, SERPINA4:14421, WEE1:14430, PROC:14432, THPO:14453, DOCK6:14458, GRB14:14485, TUBB8:14522, GLG1:14587, DGKA:14610, KIF18A:14622, PRKCD:14629, SLC7A9:14649, ATP2B4:14657, DGKK:14679, ALB:14721, GP9:14757, A2M:14879, ANGPT4:14893
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	Carnivore	0.379570732865226	0.602116296480942	1	USP43:88, UBA52:122, RPS27A:169, POLD2:203, POLE:287, SPRTN:426, RFC5:1110, RFC3:1240, NPLOC4:1736, POLE2:2814, UBB:5939, UFD1:5939, POLD3:5939, POLE4:5939, MAD2L2:5939, RPA2:5939, TRIM25:5939, RPA1:5939, POLE3:5939, RFC4:5939, POLD4:5939, ISG15:5939, RFC1:10897, POLH:10928, PCLAF:10980, REV1:11043, UBA7:11285, RCHY1:11533, USP10:12003, POLI:12119, POLD1:12249, RFC2:12332, UBE2L6:12665, REV3L:13122, POLK:13280, RPA3:13415
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	Unclear	0.301505083051064	0.531911609335683	1	UBA52:122, RPS27A:169, POLD2:203, POLE:287, RBX1:360, RFC5:1110, RFC3:1240, POLE2:2814, UBB:5939, POLD3:5939, POLE4:5939, RPA2:5939, RPA1:5939, POLE3:5939, RFC4:5939, POLD4:5939, RAD18:5939, RFC1:10897, CUL4B:11736, CUL4A:11896, POLD1:12249, USP1:12298, RFC2:12332, RPA3:13415, DTL:13792, UBE2B:13961
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	Unclear	0.127300435081972	0.324997695049485	1	UBA52:122, RPS27A:169, SPRTN:426, RFC5:1110, RFC3:1240, NPLOC4:1736, UBB:5939, UFD1:5939, RPA2:5939, RPA1:5939, RFC4:5939, RFC1:10897, POLH:10928, RCHY1:11533, RFC2:12332, RPA3:13415
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Unclear	0.00265542933056722	0.0255126707640589	1	H4C2:269, H2BC6:336, H4C3:396, NEIL3:498, H2BC15:507, H4C14:548, H2AC4:662, H4C15:671, H4C13:1172, H2BC4:1266, H2AC14:1282, H2BC9:2567, MPG:5939, OGG1:5939, H2BC11:5939, TERF1:5939, H4C8:5939, TERF2IP:5939, H2AC20:5939, H2BC21:5939, H4C11:5939, H4C1:5939, TINF2:10158, ACD:13360, MUTYH:13696, POT1:13821, TERF2:14283
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	Carnivore	0.261852613345918	0.49497864213733	1	POLD2:203, POLE:287, FEN1:993, RFC5:1110, RFC3:1240, POLE2:2814, POLD3:5939, POLE4:5939, RPA2:5939, RPA1:5939, POLE3:5939, RFC4:5939, POLD4:5939, APEX1:5939, LIG1:5939, PARP2:5939, PARP1:5939, ADPRS:9103, RFC1:10897, POLB:11800, POLD1:12249, RFC2:12332, RPA3:13415, PARG:14475
REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA	Unclear	0.978203508250079	0.993074845368746	1	BAX:5939, GSDMD:5939, GSDME:5939, DIABLO:5939, BAK1:13466
REACTOME_FORMATION_OF_APOPTOSOME	Unclear	0.0740866502592937	0.235172940875892	1	XIAP:984, APIP:1428, MAPK3:5939, APAF1:5939, CASP9:5939, UACA:5939, AVEN:5939, DIABLO:5939
