GO.ID	Description	pVal	p.adj	Phenotype	Gene.vals
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	Carnivore	0.940166662553348	0.978564594562619	-1	PPP3CC:312, BAD:882, BAK1:1532, DYNLL1:1907, CASP8:2501, E2F1:3115, BCL2L11:3129, TP63:3388, BID:4111, DYNLL2:4112, TP53:4188, CASP3:4538, BBC3:4789, TFDP1:5372, BMF:5534, AKT2:5760, BAX:9059, MAPK3:9059, GSDMD:9059, GSDME:9059, C1QBP:9059, TFDP2:9059, APAF1:9059, CASP9:9059, NMT1:9059, UACA:9059, CDKN2A:9059, AVEN:9059, BCL2L1:9059, BCL2:9059, SFN:9059, DIABLO:9059, PPP3R1:9059, TP73:12385, AKT1:12571, APIP:13570, XIAP:14014, PPP1R13B:14081, TP53BP2:14623
REACTOME_MAPK3_ERK1_ACTIVATION	Both	0.651115148249674	0.809070029148286	-1	IL6:387, JAK1:3474, IL6R:5280, JAK2:9059, TYK2:9059, IL6ST:9059, PTPN11:9059, MAPK3:9059
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	Carnivore	0.381039763885056	0.602116296480942	-1	MBD4:685, MUTYH:1302, NTHL1:3580, UNG:5209, MPG:9059, OGG1:9059, APEX1:9059, SMUG1:9059, TDG:9059
REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	Unclear	0.993722161870542	0.998151007160216	-1	PARG:523, POLB:3198, ADPRS:5895, APEX1:9059, LIG1:9059, PARP2:9059, PARP1:9059, FEN1:14005
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	Carnivore	0.452114355370465	0.660050350391052	-1	PPP3CC:312, BAD:882, BID:4111, AKT2:5760, BCL2:9059, SFN:9059, PPP3R1:9059, AKT1:12571
REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA	Unclear	0.342559699702095	0.568724805306517	-1	E2F1:3115, TP53:4188, TFDP1:5372, TFDP2:9059
REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS	Both	0.165577320442881	0.376939278735499	-1	BAD:882, BCL2L11:3129, BID:4111, BBC3:4789, BMF:5534, BCL2L1:9059, BCL2:9059
REACTOME_NEUROTRANSMITTER_CLEARANCE	Both	0.266593332945132	0.500080691337784	-1	COMT:129, MAOA:1960, SLC22A1:2547, ACHE:2656, LRTOMT:3712, SLC22A2:9059, SLC6A4:9059, BCHE:9059, SLC6A3:9059, ALDH2:12467
REACTOME_IRS_MEDIATED_SIGNALLING	Unclear	0.661973016446547	0.816373015494613	-1	FGFR1:1462, FGFR4:1500, FGF23:1821, PIK3CB:2521, THEM4:2523, PIK3R2:2810, PIK3R1:3104, TRIB3:3714, TLR9:3749, GAB1:3845, KLB:3976, FGF20:4591, FGF7:5189, PDE3B:5499, FRS2:5510, AKT2:5760, SOS1:5852, PIK3R4:5965, PTPN11:9059, PIK3CA:9059, PDPK1:9059, GAB2:9059, FGFR3:9059, FGF22:9059, FGF4:9059, PIK3C3:9059, FGF6:9059, FGF1:9059, FLT3:9059, KL:9059, FGF5:9059, FGF17:9059, FGF19:9059, FGF2:12197, IRS1:13116, FGF10:14024, FGF8:14220, FGFR2:14415
REACTOME_MAPK1_ERK2_ACTIVATION	Both	0.25443447872837	0.487797668685638	-1	IL6:387, MAP2K2:608, JAK1:3474, IL6R:5280, JAK2:9059, TYK2:9059, IL6ST:9059, PTPN11:9059
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	Carnivore	0.0400281687958549	0.160023920928883	-1	ORC1:267, CCNB1:902, MCM8:2730, ORC2:3728, ORC3:4454, ORC4:4588, ORC6:9059, ORC5:9059
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	Unclear	0.562203931101403	0.750233670361042	-1	ORC1:267, CCNB1:902, MCM8:2730, E2F1:3115, ORC2:3728, PRIM2:4388, ORC3:4454, ORC4:4588, TFDP1:5372, TFDP2:9059, POLA2:9059, POLA1:9059, RB1:9059, PPP2R3B:9059, PRIM1:9059, ORC6:9059, ORC5:9059, PPP2CA:14704, PPP2R1B:14749
