"gmtNames","gmtDriver"
"REACTOME_INTERLEUKIN_6_SIGNALING","Both"
"REACTOME_APOPTOSIS","Carnivore"
"REACTOME_HEMOSTASIS","Unclear"
"REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS","Carnivore"
"REACTOME_MAPK3_ERK1_ACTIVATION","Both"
"REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE","Carnivore"
"REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX","Unclear"
"REACTOME_TRANSLESION_SYNTHESIS_BY_POLH","Unclear"
"REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE","Unclear"
"REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1","Carnivore"
"REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR","Unclear"
"REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY","Carnivore"
"REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA","Carnivore"
"REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA","Unclear"
"REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS","Both"
"REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA","Unclear"
"REACTOME_FORMATION_OF_APOPTOSOME","Unclear"
"REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE","Unclear"
"REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE","Unclear"
"REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS","Carnivore"
"REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE","Unclear"
"REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE","Unclear"
"REACTOME_OPIOID_SIGNALLING","Unclear"
"REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB","Unclear"
"REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB","Unclear"
"REACTOME_CA_DEPENDENT_EVENTS","Unclear"
"REACTOME_G_PROTEIN_MEDIATED_EVENTS","Unclear"
"REACTOME_ELECTRIC_TRANSMISSION_ACROSS_GAP_JUNCTIONS","Unclear"
"REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING","MixOfBoth"
"REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE","Unclear"
"REACTOME_NEUROTRANSMITTER_CLEARANCE","Both"
"REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION","Unclear"
"REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES","Unclear"
"REACTOME_NEURONAL_SYSTEM","Unclear"
"REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX","Unclear"
"REACTOME_IRS_MEDIATED_SIGNALLING","Unclear"
"REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION","Both"
"REACTOME_MAPK1_ERK2_ACTIVATION","Both"
"REACTOME_SOS_MEDIATED_SIGNALLING","Unclear"
"REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX","Unclear"
"REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1","Unclear"
"REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION","Carnivore"
"REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION","Unclear"
"REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS","Carnivore"
"REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS","Carnivore"
"REACTOME_DISINHIBITION_OF_SNARE_FORMATION","Unclear"
"REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE","Unclear"
