"gmtNames","gmtOverlap"
"REACTOME_INTERLEUKIN_6_SIGNALING",""
"REACTOME_APOPTOSIS",""
"REACTOME_HEMOSTASIS",""
"REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS",""
"REACTOME_MAPK3_ERK1_ACTIVATION",""
"REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE",""
"REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX",""
"REACTOME_TRANSLESION_SYNTHESIS_BY_POLH",""
"REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE","C"
"REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1",""
"REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR",""
"REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY",""
"REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",""
"REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA",""
"REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS",""
"REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA",""
"REACTOME_FORMATION_OF_APOPTOSOME",""
"REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE",""
"REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE",""
"REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS",""
"REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE",""
"REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE",""
"REACTOME_OPIOID_SIGNALLING","IC"
"REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB",""
"REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB",""
"REACTOME_CA_DEPENDENT_EVENTS","I"
"REACTOME_G_PROTEIN_MEDIATED_EVENTS","I"
"REACTOME_ELECTRIC_TRANSMISSION_ACROSS_GAP_JUNCTIONS",""
"REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING",""
"REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE",""
"REACTOME_NEUROTRANSMITTER_CLEARANCE",""
"REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION","IC"
"REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES","IC"
"REACTOME_NEURONAL_SYSTEM","VIC"
"REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX","I"
"REACTOME_IRS_MEDIATED_SIGNALLING",""
"REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION",""
"REACTOME_MAPK1_ERK2_ACTIVATION",""
"REACTOME_SOS_MEDIATED_SIGNALLING",""
"REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX","I"
"REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1",""
"REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION",""
"REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION",""
"REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS",""
"REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS",""
"REACTOME_DISINHIBITION_OF_SNARE_FORMATION",""
"REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE",""
"REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR",""
"REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS",""
"REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES",""
"REACTOME_PROLACTIN_RECEPTOR_SIGNALING",""
"REACTOME_SIGNALING_BY_NODAL",""
"REACTOME_FERTILIZATION","VC"
"REACTOME_MEIOTIC_SYNAPSIS","C"
"REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES",""
"REACTOME_SIGNALING_BY_FGFR_IN_DISEASE",""
"REACTOME_SIGNALING_BY_ERBB2",""
"REACTOME_SIGNALING_BY_ERBB2_IN_CANCER",""
"REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR",""
"REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA",""
"REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS",""
"REACTOME_SIGNALING_BY_ERBB4",""
"REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES",""
"REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION",""
"REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY",""
"REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES",""
"REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN","I"
"REACTOME_METHIONINE_SALVAGE_PATHWAY",""
"REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE","VIC"
"REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING",""
"REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING",""
"REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING",""
"REACTOME_NUCLEAR_SIGNALING_BY_ERBB4",""
"REACTOME_DOWNREGULATION_OF_ERBB4_SIGNALING",""
"REACTOME_INTERLEUKIN_7_SIGNALING",""
"REACTOME_DEVELOPMENTAL_BIOLOGY","VIC"
"REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT",""
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM","I"
"REACTOME_ADAPTIVE_IMMUNE_SYSTEM",""
"REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING","C"
"REACTOME_CA2_ACTIVATED_K_CHANNELS",""
"REACTOME_INWARDLY_RECTIFYING_K_CHANNELS","C"
"REACTOME_POTASSIUM_CHANNELS","IC"
"REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS","VIC"
"REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS",""
"REACTOME_SPERM_MOTILITY_AND_TAXES","VIC"
"REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING",""
"REACTOME_GRB7_EVENTS_IN_ERBB2_SIGNALING",""
"REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING",""
"REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX",""
