,Rho,N,P,p.adj
ARF5,NA,NA,NA,NA
M6PR,0.0165149955526785,282,0.20007714670017,0.344956660302027
FKBP4,0.0181589294133297,320,0.122143199685749,0.253291190452119
CYP26B1,0.00718629250991944,230,0.649081378914028,0.741654745070565
NDUFAF7,0.012765232577088,329,0.241967032516033,0.388531096646612
FUCA2,0.00848020046605871,350,0.39789766439952,0.539205589991134
DBNDD1,0.0171976713275067,277,0.191324369620619,0.335611961806927
HS3ST1,0.0140926739976082,270,0.284942969102312,0.433615106618016
SEMA3F,0.02518530292389,296,0.0593934845888199,0.160892859525489
CFTR,0.00362369979336627,357,0.731500208188421,0.803060589046159
CYP51A1,0.0790203808310792,298,3.223985731432e-05,0.00115672932240571
USP28,0.0183657712654365,343,0.0987071418581167,0.220134560426229
SLC7A2,0.0049743519369509,320,0.662382368855214,0.751326150917217
HSPB6,0.00393360681821486,232,0.823336698129667,0.870903419135058
PDK4,0.0533919939906361,284,0.0017250721011795,0.0171091359739438
USH1C,0.00329047549949026,348,0.766995371507236,0.829306860797355
RALA,NA,NA,NA,NA
BAIAP2L1,0.0356155381242045,316,0.0105992455950561,0.0533138876834238
CACNG3,NA,NA,NA,NA
TMEM132A,0.0138867005841117,349,0.184475685383172,0.327631420072053
DVL2,0.0392325921301942,280,0.0120220783744129,0.0579019435350033
RPAP3,0.0118532320816908,337,0.263339811008698,0.411476967547987
HOXA11,0.0206691045757243,207,0.234934863839413,0.381867117001435
TRAPPC6A,0.000866552749046647,262,0.97325788405234,0.979744107871416
SPATA20,0.00949834360438617,347,0.349536241501296,0.495652392964904
CD79B,0.00398783991964744,348,0.709341049004864,0.786276990182613
RHBDD2,0.0268610136292847,271,0.0642714465926395,0.169161909876602
RPUSD1,0.0190573310589028,295,0.132614532560703,0.266127609184193
TSR3,0.0128566175703659,297,0.283240210736766,0.431728356446831
NDUFAB1,0.021948619768369,259,0.129222350057823,0.262059678000698
YBX2,0.0312698275872448,261,0.0433969995949099,0.131422117328784
ITGA3,0.0385113151624739,352,0.00364126648182065,0.027267129690921
KRT33A,0.0444295048940584,227,0.0182202479502233,0.0759428381037867
LRRC23,0.0185769783255406,333,0.10373677732107,0.227395597786683
TFAP2D,NA,NA,NA,NA
CRY1,0.00513300291075517,267,0.713669821489626,0.78904864980243
PGLYRP1,0.0227088008164991,286,0.0907729909492793,0.209211427867118
STARD3NL,0.0144299253903439,221,0.365483135166315,0.509658673992539
CD74,0.0128315770053542,338,0.228513601858306,0.375633687677627
RPS20,NA,NA,NA,NA
MGST1,0.0642274288630339,291,0.000326663777638588,0.00565358957292131
CPA1,0.0426224830320402,336,0.00254952534890001,0.0215745548432127
SYPL1,0.0268232862136944,322,0.0349473795365628,0.114037625383405
RANBP9,0.0157909369843391,282,0.217955902148325,0.364063242502538
CD4,0.0115020172562163,348,0.262415941509018,0.410713169256421
PLEKHG6,0.0145368168041193,365,0.151661320741366,0.289029049936706
QPCTL,0.00468276264301924,281,0.726481534157842,0.798711956725687
PPP5C,0.0323324540948137,220,0.0693662806014355,0.176989471027818
UBR7,0.0255827395220706,320,0.0428009525166865,0.130423318088471
MAP4K5,0.0241150026493715,281,0.080229710561901,0.192819375980511
ERCC1,0.0198617957526912,173,0.331790580105634,0.480001600660435
GPRC5A,0.0612913940665348,338,0.000124139850841787,0.00293386609307579
HEBP1,0.0077642033288667,269,0.555805489463917,0.669226139366478
COX15,0.00193857424251571,318,0.893098606454584,0.920962209891895
MS4A12,0.00785933387868876,230,0.614981188350967,0.715715992734691
XYLT2,0.00528384362740166,325,0.63427691233507,0.730741572787829
FTSJ1,0.0828284154423086,254,0.00010753570770197,0.0026848377931211
SCTR,0.0143019565129812,333,0.191187368613093,0.335476852015365
RALBP1,0.068455746962964,307,0.000107954570450117,0.00268546770791927
SYT13,0.008410435373073,321,0.441701093287631,0.577445600726328
SNAI2,0.00801036036240295,193,0.67353060415267,0.759692378061048
SLC7A9,0.0686026958286767,321,6.67209679672753e-05,0.00194185013708226
RTF2,0.003772011945054,309,0.762184948194961,0.825645700120832
RB1CC1,0.0158514771841329,347,0.139561946381687,0.274847874849463
AKAP11,0.0204100576828079,372,0.0557337675304822,0.154243048469757
B4GALT7,0.00055041200452197,277,0.984950994953113,0.988679638093524
FAM13B,0.0657045628855494,318,0.000114280450986176,0.00277972014838355
CHPF2,0.00906927613155383,299,0.439778112476746,0.57593622238263
GABARAPL2,NA,NA,NA,NA
MYOC,0.0376693162148295,315,0.00799558322336403,0.0446812003658578
FAM136A,0.0132971531899892,217,0.411754400856043,0.551623079816455
NSMAF,0.0374780503250457,338,0.00550880626941516,0.0353035717859635
OTC,0.0150077726615238,278,0.244986843086838,0.3917973811357
TTC17,0.0036275269822414,308,0.773779794170467,0.834078626343032
HOXC8,NA,NA,NA,NA
MRI1,0.00953254263684052,306,0.406119669907851,0.546868597147253
TARBP1,0.0251350605759587,353,0.0313881089772167,0.106870844906103
RTN4R,0.0158052089805161,302,0.190450751246118,0.334615460029816
PSMA4,NA,NA,NA,NA
ZPBP,0.0292857801829218,311,0.0282640101558723,0.0999362999542256
LCP2,0.00303936641038358,335,0.797586561725446,0.851370456794087
DCN,0.0303201179838776,319,0.0218697495879597,0.085337785462705
TNFRSF17,0.00398997583556408,309,0.746078563823011,0.813327864668773
MRPS10,0.0300329835102268,298,0.0303764673861132,0.104852957008053
GRN,0.0440414210904846,354,0.00140438590544305,0.0148969445939026
THAP3,0.000857160135101154,321,0.964788790364235,0.973099270729953
VAMP3,0.0127766927465928,245,0.373859450711052,0.517732031401485
RCN1,0.0107870866488498,273,0.401899616682144,0.543287427061373
RFC2,0.0236196201576388,270,0.0956151897708299,0.2159813730355
PPP1R3F,0.0165640664997213,256,0.23828616335219,0.385159175755465
NFE2L3,0.0858251955968291,348,1.53421510203554e-06,0.000153856465956689
CBLN4,0.0348241519937767,201,0.0730272355457445,0.182059053353716
CLDN11,0.0520494697378756,195,0.0177544843600575,0.0745984662750121
FAM168A,NA,NA,NA,NA
RELT,0.00236957069194616,339,0.849248190334077,0.889837258254456
PKP2,0.00950447737514641,329,0.373866038517693,0.517732031401485
YIPF1,0.0136668396297891,278,0.285552143370513,0.434148477665989
ADCK2,0.0053950299893996,317,0.635860626691025,0.731952047414108
INPP4A,0.031319006033068,299,0.0251752292972694,0.0931125951359585
SLC2A3,0.00429039737964001,295,0.738324311159535,0.807792895847079
STYK1,0.0157683939401247,336,0.152247731653805,0.289776694851762
GNA11,NA,NA,NA,NA
CREB3L3,0.0364900302358593,303,0.0116182763743501,0.0565380362869066
HDAC7,0.0121201593859147,346,0.242525163413381,0.389096398657368
MRPS35,0.0506041459423882,317,0.00113886067507937,0.0130519654757769
APPBP2,NA,NA,NA,NA
