	Herbivore...Insectivore.Rho	Herbivore...Insectivore.P	Herbivore...Insectivore.p.adj	Herbivore...Omnivore.Rho	Herbivore...Omnivore.P	Herbivore...Omnivore.p.adj	Insectivore...Omnivore.Rho	Insectivore...Omnivore.P	Insectivore...Omnivore.p.adj	Herbivore...Vertivore.Rho	Herbivore...Vertivore.P	Herbivore...Vertivore.p.adj	Insectivore...Vertivore.Rho	Insectivore...Vertivore.P	Insectivore...Vertivore.p.adj	Omnivore...Vertivore.Rho	Omnivore...Vertivore.P	Omnivore...Vertivore.p.adj
M6PR	0.003695055	1	1	0.94674959	1	1	0.942758474	1	1	-0.219016573	1	1	-0.221648797	1	1	-0.875758951	1	1
FKBP4	0.546850545	1	1	2.342427832	0.114952433	1	1.637741701	0.608853526	1	1.767971078	0.462394433	1	1.316291509	1	1	0.172603523	1	1
NDUFAF7	1.897237101	0.346779914	1	0.483087787	1	1	-1.552652682	0.723036795	1	-0.387310224	1	1	-1.826480594	0.40666741	1	-0.751819019	1	1
FUCA2	1.043002907	1	1	-0.028022453	1	1	-1.103769483	1	1	-0.502747041	1	1	-1.260628516	1	1	-0.492945184	1	1
DBNDD1	-2.00730914	0.268300539	1	0.162415237	1	1	2.230592606	0.154248762	1	-1.008188407	1	1	0.35408573	1	1	-1.126694612	1	1
HS3ST1	-0.048484763	1	1	1.326468386	1	1	1.369996856	1	1	1.336605554	1	1	1.367507369	1	1	0.452897035	1	1
SEMA3F	2.491535874	0.076315273	0.712930809	1.943913823	0.311435064	1	-0.738288003	1	1	1.998020809	0.274286425	1	0.072619477	1	1	0.632457588	1	1
CFTR	1.477455448	0.837321554	1	0.328073444	1	1	-1.245432758	1	1	-0.57870581	1	1	-1.675965658	0.562469518	1	-0.832120122	1	1
CYP51A1	-0.035280503	1	1	2.219079836	0.158887761	1	2.046411644	0.244295324	1	2.759833928	0.034698451	0.75507883	2.664222724	0.046299872	1	1.325293235	1	1
USP28	-0.847404787	1	1	-0.4901514	1	1	0.423611864	1	1	-1.227401275	1	1	-0.525834409	1	1	-0.895389294	1	1
SLC7A2	0.10561464	1	1	0.180548769	1	1	0.053196122	1	1	0.88737676	1	1	0.758004532	1	1	0.774313032	1	1
PDK4	-1.66154568	0.579623415	1	1.888731658	0.353566766	1	3.408292793	0.003922243	0.209790543	0.635575393	1	1	1.766368861	0.464003914	1	-0.631561434	1	1
USH1C	-0.294944468	1	1	-0.33569601	1	1	-0.009842999	1	1	-0.234343311	1	1	-0.001732948	1	1	0.005814399	1	1
RALA	-0.015058465	1	1	1.45351244	0.87648917	1	2.278659748	0.136123795	1	0	1	1	0.015058465	1	1	-1.45351244	0.87648917	1
BAIAP2L1	0.3330011	1	1	3.09433247	0.011835378	0.495910393	2.678394816	0.044385578	0.663178876	1.053255165	1	1	0.796696746	1	1	-1.108819576	1	1
CACNG3	-2.679640187	0.044220801	0.543540233	0.43199583	1	1	3.107716077	0.011312346	0.347002813	-1.102080271	1	1	0.318408436	1	1	-1.361482312	1	1
TMEM132A	-0.959277377	1	1	0.082271707	1	1	1.065623826	1	1	-0.775728447	1	1	-0.034082275	1	1	-0.848735581	1	1
DVL2	-0.075907642	1	1	-1.930761156	0.321075576	1	-1.771936242	0.458430849	1	-1.094554093	1	1	-1.009050658	1	1	0.3465612	1	1
RPAP3	0.84651154	1	1	0.472273566	1	1	-0.442512616	1	1	-0.386716708	1	1	-1.010411298	1	1	-0.734747853	1	1
TRAPPC6A	0.094254084	1	1	-0.217928228	1	1	-0.324766341	1	1	0.502446768	1	1	0.435091143	1	1	0.69440516	1	1
SPATA20	1.388992929	0.989009401	1	0.042117405	1	1	-1.427567161	0.920498888	1	-0.180834911	1	1	-1.240057113	1	1	-0.21788216	1	1
CD79B	1.182252298	1	1	0.286638816	1	1	-0.98425333	1	1	1.244397122	1	1	0.323751433	1	1	1.083870198	1	1
RHBDD2	1.700631012	0.534073782	1	3.014170738	0.015460965	0.567686747	1.102262002	1	1	1.472884421	0.844693221	1	0.232909789	1	1	-0.553365685	1	1
RPUSD1	-0.721651333	1	1	2.186914365	0.172492656	1	2.85002542	0.026229441	0.519042239	0.569375685	1	1	1.078170471	1	1	-0.908795412	1	1
TSR3	0.801023245	1	1	0.368225762	1	1	-0.49804861	1	1	1.070588248	1	1	0.408228636	1	1	0.832803032	1	1
NDUFAB1	1.872869322	0.366518594	1	2.58951977	0.057665942	0.926878089	0.52939338	1	1	2.148771793	0.189914967	1	0.745163474	1	1	0.39405395	1	1
YBX2	-2.221052701	0.158084353	1	-2.111941829	0.208148634	1	0.152746547	1	1	-3.335309791	0.005112265	0.320528909	-1.600957261	0.656318314	1	-1.738282583	0.492966202	1
ITGA3	-1.722284533	0.510107929	1	1.217077287	1	1	2.913092677	0.021472102	0.481232155	-1.303210911	1	1	0.055905639	1	1	-2.214573458	0.160736133	1
KRT33A	1.82400453	0.408908325	1	1.834781584	0.39922835	1	-0.194536291	1	1	2.377589729	0.104557216	1	1.02590943	1	1	1.219389242	1	1
LRRC23	1.039859764	1	1	-0.761792197	1	1	-1.8240206	0.408893748	1	-0.418609156	1	1	-1.206895193	1	1	0.125057434	1	1
TFAP2D	-1.150789983	1	1	2.073640021	0.228676533	1	3.160338505	0.009455156	0.32427749	1.35792082	1	1	1.975051083	0.289574108	1	0.292836432	1	1
CRY1	-0.114950273	1	1	-1.181595158	1	1	-1.025332576	1	1	-1.056347866	1	1	-0.952998617	1	1	-0.223856522	1	1
PGLYRP1	0.054536566	1	1	0.558897588	1	1	0.464767053	1	1	1.21164252	1	1	1.136380602	1	1	0.859728832	1	1
CD74	0.891862331	1	1	0.970913207	1	1	0.009963815	1	1	-0.653452171	1	1	-1.340962036	1	1	-1.407881703	0.954996611	1
MGST1	2.768956475	0.033741688	0.469508141	2.935966686	0.019950602	0.622478335	-0.157176408	1	1	3.194868251	0.008393681	0.392264837	1.069552091	1	1	1.24935989	1	1
CPA1	2.259648557	0.143058428	0.974695574	2.696829213	0.042001898	0.819363453	0.181815545	1	1	2.411323096	0.095368564	1	0.766324795	1	1	0.674763866	1	1
SYPL1	1.096192274	1	1	2.114224593	0.206976536	1	0.931944767	1	1	0.660199862	1	1	-0.185089295	1	1	-0.907113971	1	1
RANBP9	0.535245707	1	1	0.17413315	1	1	-0.388788852	1	1	-0.962189683	1	1	-1.307259389	1	1	-1.092183669	1	1
CD4	-0.124080492	1	1	0.110410456	1	1	0.229423174	1	1	0.259942844	1	1	0.342973988	1	1	0.185548023	1	1
PLEKHG6	-2.140270221	0.193997611	1	-0.427243312	1	1	1.82228556	0.410470008	1	-2.309586296	0.125466414	1	-0.564027456	1	1	-2.047681316	0.243547415	1
QPCTL	0.759629761	1	1	1.541924931	0.73855102	1	0.698935748	1	1	0.634182624	1	1	0.102969426	1	1	-0.369241883	1	1
UBR7	-0.985245542	1	1	-1.366236519	1	1	-0.211149289	1	1	-1.692390641	0.543429094	1	-0.86754997	1	1	-0.772656625	1	1
MAP4K5	-0.631919301	1	1	-1.402579445	0.964453708	1	-0.692456367	1	1	-0.870875005	1	1	-0.431721632	1	1	0.020900822	1	1
GPRC5A	3.174520799	0.009005048	0.244259669	4.114401956	0.000232911	0.123539718	0.586690525	1	1	1.423234529	0.928009075	1	-0.96227555	1	1	-1.451359256	0.880079094	1
HEBP1	-0.624492246	1	1	-0.470765531	1	1	0.19777197	1	1	-0.406956311	1	1	0.021595633	1	1	-0.109095405	1	1
