	Herbivore...Insectivore.Rho	Herbivore...Insectivore.P	Herbivore...Insectivore.p.adj														
M6PR	0.003695055	1	1														
FKBP4	0.546850545	1	1														
NDUFAF7	1.897237101	0.346779914	1														
FUCA2	1.043002907	1	1														
DBNDD1	-2.00730914	0.268300539	1														
HS3ST1	-0.048484763	1	1														
SEMA3F	2.491535874	0.076315273	0.712930809														
CFTR	1.477455448	0.837321554	1														
CYP51A1	-0.035280503	1	1														
USP28	-0.847404787	1	1														
SLC7A2	0.10561464	1	1														
PDK4	-1.66154568	0.579623415	1														
USH1C	-0.294944468	1	1														
RALA	-0.015058465	1	1														
BAIAP2L1	0.3330011	1	1														
CACNG3	-2.679640187	0.044220801	0.543540233														
TMEM132A	-0.959277377	1	1														
DVL2	-0.075907642	1	1														
RPAP3	0.84651154	1	1														
TRAPPC6A	0.094254084	1	1														
SPATA20	1.388992929	0.989009401	1														
CD79B	1.182252298	1	1														
RHBDD2	1.700631012	0.534073782	1														
RPUSD1	-0.721651333	1	1														
TSR3	0.801023245	1	1														
NDUFAB1	1.872869322	0.366518594	1														
YBX2	-2.221052701	0.158084353	1														
ITGA3	-1.722284533	0.510107929	1														
KRT33A	1.82400453	0.408908325	1														
LRRC23	1.039859764	1	1														
TFAP2D	-1.150789983	1	1														
CRY1	-0.114950273	1	1														
PGLYRP1	0.054536566	1	1														
CD74	0.891862331	1	1														
MGST1	2.768956475	0.033741688	0.469508141														
CPA1	2.259648557	0.143058428	0.974695574														
SYPL1	1.096192274	1	1														
RANBP9	0.535245707	1	1														
CD4	-0.124080492	1	1														
PLEKHG6	-2.140270221	0.193997611	1														
QPCTL	0.759629761	1	1														
UBR7	-0.985245542	1	1														
MAP4K5	-0.631919301	1	1														
GPRC5A	3.174520799	0.009005048	0.244259669														
HEBP1	-0.624492246	1	1														
COX15	0.109931359	1	1														
MS4A12	-0.686900915	1	1														
XYLT2	-0.615274689	1	1														
SCTR	0.738963267	1	1														
RALBP1	3.185883361	0.008658766	0.23969723														
SYT13	1.501061423	0.800038053	1														
SNAI2	0.971851135	1	1														
SLC7A9	1.916687644	0.331665756	1														
RTF2	1.222198378	1	1														
RB1CC1	1.118875889	1	1														
AKAP11	-1.05338569	1	1														
B4GALT7	0.239529211	1	1														
FAM13B	3.002377274	0.016072798	0.328141977														
CHPF2	0.058392149	1	1														
MYOC	-0.561822285	1	1														
NSMAF	0.902389997	1	1														
OTC	0.815622529	1	1														
TTC17	0.38860384	1	1														
HOXC8	-1.039550395	1	1														
MRI1	1.573103025	0.694169788	1														
TARBP1	4.077619237	0.000272995	0.04138477														
RTN4R	-0.831890855	1	1														
PSMA4	-0.694259631	1	1														
ZPBP	0.033909361	1	1														
LCP2	1.238824301	1	1														
DCN	0.134101687	1	1														
TNFRSF17	-0.29109201	1	1														
MRPS10	2.645069691	0.049004456	0.5688448														
GRN	3.480034121	0.0030081	0.13979978														
THAP3	0.584078322	1	1														
RCN1	0.228088988	1	1														
RFC2	2.3955987	0.099559477	0.808859535														
PPP1R3F	1.264069319	1	1														
NFE2L3	2.48776188	0.077129863	0.714443495														
FAM168A	-1.477106735	0.418941086	1														
RELT	0.161506075	1	1														
PKP2	0.141438414	1	1														
YIPF1	2.016453647	0.262515363	1														
ADCK2	0.507272885	1	1														
INPP4A	0.19119907	1	1														
SLC2A3	1.671327173	0.567942432	1														
STYK1	1.591528872	0.668943619	1														
GNA11	0.761834515	1	1														
CREB3L3	1.782113011	0.448384827	1														
HDAC7	0.746313751	1	1														
MRPS35	2.231886847	0.153734655	1														
