,HI-Rho,HI-P,HI-p.adj,HV-p.adj,CH-p.adj,IV-p.adj,OV-p.adj,HI-significant,HV-Rho,HV-P,HV-significant,CH-Rho,CH-P,CH-significant,HO-Rho,HO-P,HO-p.adj,HO-significant,IV-Rho,IV-P,IV-significant,OV-Rho,OV-P,OV-significant,HI-Driver,HI-DriverNumeric,HV-Driver,HV-DriverNumeric,CH-Driver,CH-DriverNumeric,IV-Driver,IV-DriverNumeric,Herbivore_Rho,Insectivore_Rho,Herbivore_P,Insectivore_P,Herbivore_p.adj,Insectivore_p.adj,Vertivore_Rho,Vertivore_P,Vertivore_p.adj,Carnivore_Rho,Herbivore_Rho.2,Carnivore_P,Herbivore_P.2,Carnivore_p.adj,Herbivore_p.adj.2,HI-HV-Overlap,HI-CH-Overlap,HI-HO-Overlap,HI-IV-Overlap,HI-OV-Overlap,HV-CH-Overlap,HV-HO-Overlap,HV-IV-Overlap,HV-OV-Overlap,CH-HO-Overlap,CH-IV-Overlap,CH-OV-Overlap,HO-IV-Overlap,HO-OV-Overlap,IV-OV-Overlap,HI-HV-CH-Overlap,HI-HV-HO-Overlap,HI-HV-IV-Overlap,HI-HV-OV-Overlap,HI-CH-HO-Overlap,HI-CH-IV-Overlap,HI-CH-OV-Overlap,HI-HO-IV-Overlap,HI-HO-OV-Overlap,HI-IV-OV-Overlap,HV-CH-HO-Overlap,HV-CH-IV-Overlap,HV-CH-OV-Overlap,HV-HO-IV-Overlap,HV-HO-OV-Overlap,HV-IV-OV-Overlap,CH-HO-IV-Overlap,CH-HO-OV-Overlap,CH-IV-OV-Overlap,HO-IV-OV-Overlap,HI-HV-CH-HO-Overlap,HI-HV-CH-IV-Overlap,HI-HV-CH-OV-Overlap,HI-HV-HO-IV-Overlap,HI-HV-HO-OV-Overlap,HI-HV-IV-OV-Overlap,HI-CH-HO-IV-Overlap,HI-CH-HO-OV-Overlap,HI-CH-IV-OV-Overlap,HI-HO-IV-OV-Overlap,HV-CH-HO-IV-Overlap,HV-CH-HO-OV-Overlap,HV-CH-IV-OV-Overlap,HV-HO-IV-OV-Overlap,CH-HO-IV-OV-Overlap,HI-HV-CH-HO-IV-Overlap,HI-HV-CH-HO-OV-Overlap,HI-HV-CH-IV-OV-Overlap,HI-HV-HO-IV-OV-Overlap,HI-CH-HO-IV-OV-Overlap,HV-CH-HO-IV-OV-Overlap,HI-HV-CH-HO-IV-OV-Overlap,HI-HV-Delta,HI-CH-Delta,HI-HO-Delta,HI-IV-Delta,HI-OV-Delta,HV-CH-Delta,HV-HO-Delta,HV-IV-Delta,HV-OV-Delta,CH-HO-Delta,CH-IV-Delta,CH-OV-Delta,HO-IV-Delta,HO-OV-Delta,IV-OV-Delta
ARF5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MissingData,5,MissingData,5,MissingData,5,MissingData,5,4.454406859,-0.37410584,8.41E-06,0.708325574,0.000831457,0.888435288,NA,NA,NA,NA,4.454406859,NA,8.41E-06,NA,0.000831457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M6PR,-1.979179816,0.286774588,1,1,0.868508041,1,1,FALSE,-0.810725927,1,FALSE,1.613590816,0.319848631,FALSE,-0.227236016,1,1,FALSE,0.723488949,1,FALSE,-0.644943578,1,FALSE,Both,3,Herbivore,1,Unclear,0,Insectivore,1,1.281285023,-0.787077736,0.200093571,0.431236362,0.475629374,0.731489353,0.443541761,0.65737392,0.84870294,-1.750257354,1.281285023,0.080073916,0.200093571,0.23795879,0.475629374,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.826221668,2.540472477,1.238811341,1.911075411,0.943447492,1.714250809,0.412589673,1.084853743,0.117225824,1.301661136,0.629397066,1.597024985,0.672264069,0.29536385,0.967627919
FKBP4,-1.037265643,1,1,1,1,1,1,FALSE,0.275185743,1,FALSE,-0.069185354,1,FALSE,1.489058812,0.818831294,1,FALSE,1.055601881,1,FALSE,-0.81787552,1,FALSE,DoubleBoth,4,Unclear,0,Carnivore,1,DoubleBoth,4,-0.479157003,-0.52032923,0.63182694,0.602834126,0.830973488,0.83895753,-0.458808536,0.646371664,0.843473416,-1.683111771,-0.479157003,0.092353456,0.63182694,0.259525121,0.830973488,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.928043275,0.684536137,1.786381154,1.479880818,0.155132244,0.243507138,0.858337879,0.551837543,0.772911031,1.101845017,0.795344681,0.529403893,0.306500336,1.63124891,1.324748575
CYP26B1,-0.234084335,1,1,1,1,1,1,FALSE,-0.206954834,1,FALSE,-0.69158226,1,FALSE,-1.22228561,1,1,FALSE,-0.014497332,1,FALSE,0.690953075,1,FALSE,Unclear,0,Herbivore,1,Herbivore,2,Insectivore,1,1.082880655,0.913019164,0.278861399,0.361232463,0.566637134,0.675969011,0.554295704,0.57937649,0.802866916,0.355466603,1.082880655,0.72224006,0.278861399,0.85332944,0.566637134,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.019183454,0.323499885,0.698763822,0.155271459,0.654100226,0.342683339,0.717947276,0.136088005,0.634916772,0.375263937,0.478771344,0.977600111,0.854035282,1.352864048,0.498828766
NDUFAF7,1.204450086,1,1,1,1,1,1,FALSE,-0.039230349,1,FALSE,-1.121900161,0.785714677,FALSE,-0.942742656,1,1,FALSE,-0.980554384,1,FALSE,0.667027885,1,FALSE,Both,3,Unclear,0,Carnivore,1,Insectivore,1,-0.281730693,1.149768542,0.778150018,0.250239215,0.908654538,0.575374933,0.285610682,0.775176321,0.908110072,1.918878265,-0.281730693,0.054999742,0.778150018,0.188561587,0.908654538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.879414869,1.644978035,1.518294548,1.545031478,0.380014882,0.765563166,0.638879679,0.665616609,0.499399986,0.126683487,0.099946557,1.264963152,0.02673693,1.138279665,1.165016595
FUCA2,1.533258102,0.751273641,1,1,0.778407534,1,1,FALSE,0.391471962,1,FALSE,-1.701349809,0.26663196,FALSE,-0.011679696,1,1,FALSE,-0.810186337,1,FALSE,0.3999881,1,FALSE,DoubleBoth,4,Vertivore,2,Carnivore,1,Vertivore,2,-0.431483855,0.183625815,0.666116589,0.85430701,0.850164078,0.95000829,1.230025673,0.218687491,0.508397086,1.71939826,-0.431483855,0.085541879,0.666116589,0.247602162,0.850164078,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.807364722,2.287213189,1.092435994,1.657065454,0.801342903,1.479848467,0.285071272,0.849700732,0.006021818,1.194777195,0.630147735,1.485870285,0.56462946,0.29109309,0.855722551
DBNDD1,-1.924591562,0.325682856,1,1,1,1,1,FALSE,-0.110521902,1,FALSE,1.317987391,0.562523607,FALSE,0.051023694,1,1,FALSE,1.321718783,1,FALSE,-0.145369603,1,FALSE,Both,3,Unclear,0,Carnivore,1,Insectivore,1,0.82214063,-1.633442252,0.410996864,0.102376017,0.68394734,0.376369439,0.579097675,0.562523269,0.793882043,-1.731531649,0.82214063,0.083356985,0.410996864,0.243894193,0.68394734,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.282740958,2.292849566,1.396970944,2.295488058,1.258099912,1.010108608,0.114229986,1.0127471,0.024641045,0.895878622,0.002638492,1.034749653,0.898517114,0.138871032,1.037388146
HS3ST1,-0.533435853,1,1,1,1,1,1,FALSE,1.137013193,1,FALSE,-1.18465971,0.708456055,FALSE,1.168170782,1,1,FALSE,1.476809638,0.838360034,FALSE,0.27155118,1,FALSE,Herbivore,1,Vertivore,2,Both,3,Vertivore,2,-0.970479959,0.027298926,0.331807309,0.978221313,0.614683991,0.993508099,1.618165691,0.105626895,0.365341473,-0.284860352,-0.970479959,0.775751133,0.331807309,0.88458101,0.614683991,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.181185848,0.460484805,1.203217591,1.421458219,0.56921179,1.641670654,0.022031743,0.24027237,0.611974058,1.663702397,1.881943024,1.029696595,0.218240628,0.634005801,0.852246429
SEMA3F,1.848736648,0.386975094,1,0.628979027,0.403194927,1,1,FALSE,2.487442547,0.07719914,FALSE,-2.160788562,0.092135028,FALSE,1.063881208,1,1,FALSE,0.927993171,1,FALSE,1.700242557,0.534511863,FALSE,Both,3,Both,3,Both,3,Unclear,0,-1.713999352,1.024708279,0.086528845,0.305500856,0.303408347,0.631072402,1.33975623,0.18032461,0.466400276,2.046007982,-1.713999352,0.040755585,0.086528845,0.156977904,0.303408347,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.451633272,2.835162466,0.554976604,0.651063956,0.105001179,3.286795738,1.006609876,1.102697228,0.556634451,2.280185861,2.18409851,2.730161287,0.096087352,0.449975425,0.546062777
CFTR,-0.301961589,1,1,1,0.486376726,1,1,FALSE,-0.829711745,1,FALSE,2.035893088,0.125283276,FALSE,-0.983203357,1,1,FALSE,-0.551333071,1,FALSE,-0.109941712,1,FALSE,Herbivore,1,DoubleBoth,4,DoubleBoth,4,DoubleBoth,4,0.711303744,0,0.476896032,1,0.732415461,1,0.091403541,0.927171948,0.97166623,-0.568000906,0.711303744,0.570034353,0.476896032,0.755008065,0.732415461,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.373175714,1.653112895,0.481710674,0.176332266,0.135778557,2.02628861,0.10853496,0.196843448,0.508954271,2.13482357,1.829445162,1.517334339,0.305378408,0.617489231,0.312110823
CYP51A1,-0.71850143,1,1,0.015707472,1,0.032919716,0.656768212,FALSE,4.172264847,0.000180952,TRUE,-0.808136376,1,FALSE,1.873436015,0.366049204,1,FALSE,4.405902686,6.32E-05,TRUE,2.77683152,0.032934974,FALSE,Unclear,0,Both,3,Herbivore,2,Both,3,-2.096981892,-2.326794334,0.035995178,0.019976214,0.184052317,0.165119249,3.907660402,9.32E-05,0.018570087,1.065653149,-2.096981892,0.286580464,0.035995178,0.513747072,0.184052317,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.458294,0.063381479,1.832776543,3.623500899,2.471573631,3.521675478,1.625517456,0.1652069,0.986720368,1.896158022,3.686882378,2.53495511,1.790724356,0.638797088,1.151927268
USP28,-2.311128878,0.124954424,0.70038156,1,0.375038433,1,1,FALSE,-1.24917873,1,FALSE,2.20529647,0.082299892,FALSE,-0.438243538,1,1,FALSE,0.623750254,1,FALSE,-0.92004574,1,FALSE,Both,3,Both,3,Carnivore,1,Insectivore,1,0.987035268,-1.839525232,0.32362535,0.06583797,0.60643275,0.302218566,-0.781105755,0.434740298,0.703634532,-2.239990502,0.987035268,0.025091539,0.32362535,0.115757009,0.60643275,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.750912151,3.19359499,1.324329924,2.075272936,0.98364432,2.442682839,0.573417773,1.324360785,0.232732169,1.869265066,1.118322054,2.20995067,0.750943012,0.340685604,1.091628616
SLC7A2,-0.201014176,1,1,1,1,1,1,FALSE,1.046588475,1,FALSE,-0.220504865,1,FALSE,-0.158145649,1,1,FALSE,1.123405697,1,FALSE,1.16019148,1,FALSE,DoubleBoth,4,Vertivore,2,Carnivore,1,Vertivore,2,-0.036858231,-0.050448049,0.970598044,0.959765347,0.988681978,0.986420424,1.749080555,0.080277096,0.321704765,0.837447163,-0.036858231,0.402341265,0.970598044,0.624147575,0.988681978,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.882188294,0.013781999,0.030312626,0.936506273,0.96251775,0.895970293,0.851875669,0.054317979,0.080329456,0.044094624,0.950288272,0.976299749,0.906193647,0.932205124,0.026011477
HSPB6,-0.59680719,1,1,1,1,1,1,FALSE,0.226744718,1,FALSE,-0.491016044,1,FALSE,-0.721993125,1,1,FALSE,0.62110295,1,FALSE,0.695406875,1,FALSE,Unclear,0,Unclear,0,Herbivore,2,Unclear,0,1.024967747,0.804357903,0.305378406,0.421190306,0.589826865,0.723283576,0.848315707,0.396262173,0.673547587,0.028483934,1.024967747,0.977276182,0.305378406,0.988517553,0.589826865,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.582339139,0.074805636,0.088519824,0.861192519,0.913733328,0.507533502,0.670858963,0.27885338,0.331394189,0.16332546,0.786386882,0.838927691,0.949712343,1.002253152,0.052540809
