"X","stat","pval","p.adj","num.genes","gene.vals","Directionality","DirectionalityNumeric"
"REACTOME_APOPTOSIS",0.0130860263996359,0.59594447284001,0.836843559825042,139,"DYNLL1:19, TNFSF10:207, BID:312, PPP3CC:399, CASP3:408, BCL2L11:422, PSME1:461, PRKCD:533, H1-1:754, PSME2:833, PRKCQ:911, E2F1:1054, PSMD2:1278, BAD:1457, APPL1:1509, RIPK1:1687, DAPK2:1796, TFDP2:1855, FNTA:1980, PSMD8:2294, BAX:2439, CD14:2463, CLSPN:2496, DAPK3:2510, DSG3:2795, PSMD10:2864, PSMB7:2913, UNC5A:2967, GAS2:3033, PSMB1:3073, PSME4:3120, ACIN1:3179, BAK1:3241, CDH1:3379, DIABLO:3414, PSMB2:3437, CASP6:3496, OCLN:3512, PSME3:3513, SEM1:3616, TP53:3731, PSMD1:3815, CFLAR:3862, TJP2:4004, CASP8:4018, VIM:8774.5, FAS:8774.5, ROCK1:8774.5, ARHGAP10:8774.5, TP63:8774.5, TP73:8774.5, PKP1:8774.5, ADD1:8774.5, DNM1L:8774.5, PPP1R13B:8774.5, PSMD5:8774.5, DSP:8774.5, PSMB5:8774.5, STK24:8774.5, TRADD:8774.5, MAPK3:8774.5, TJP1:8774.5, BMF:8774.5, GSDMD:8774.5, AKT2:8774.5, BBC3:8774.5, GSDME:8774.5, UNC5B:8774.5, PSMD3:8774.5, C1QBP:8774.5, BIRC2:8774.5, PSMD9:8774.5, LMNB1:8774.5, FASLG:8774.5, APAF1:8774.5, H1-3:8774.5, PSMF1:8774.5, TRAF2:8774.5, PSMA1:8774.5, CASP9:8774.5, STK26:8774.5, DSG1:8774.5, APC:8774.5, NMT1:8774.5, TLR4:8774.5, AKT1:8774.5, PSMB6:8774.5, CDKN2A:8774.5, GSN:8774.5, APIP:8774.5, LY96:8774.5, PSMA8:8774.5, PSMD4:8774.5, PSMB4:8774.5, DFFA:8774.5, LMNA:8774.5, OMA1:8774.5, PSMD6:8774.5, HMGB2:8774.5, FADD:8774.5, H1-4:8774.5, PTK2:8774.5, DFFB:8774.5, AVEN:8774.5, UBB:8774.5, BCL2L1:8774.5, BCL2:8774.5, SFN:8774.5, PAK2:8774.5, SATB1:8774.5, H1-5:8774.5, PSMD13:8774.5, BCAP31:8774.5, MAPT:8774.5, DCC:8774.5, H1-2:8774.5, H1-0:8774.5, DAPK1:8774.5, PSMD12:8774.5, SPTAN1:8774.5, TFDP1:8774.5, OPA1:8774.5, PSMB8:8774.5, PSMB10:8774.5, PPP3R1:8774.5, PSMB11:8774.5, DYNLL2:8774.5, CASP7:13441, BMX:13627, PSMB9:14005, DBNL:14174, DSG2:14300, XIAP:14308, UACA:14595, TICAM2:14607, TP53BP2:14983, UBA52:15017, RPS27A:15057, PLEC:15091","Herbivore",1
"REACTOME_HEMOSTASIS",0.0187628250660984,0.166019455983449,0.56336325505182,480,"TUBB8:9, TUBB8B:11, H3-3A:13, ALB:40, FGG:44, GRB14:74, SLC7A9:115, COL1A1:139, CLU:152, ITGAX:160, ATP2B4:191, ANGPT4:270, KIF4A:280, GLG1:284, EHD2:371, PLG:406, SERPIND1:410, PLAUR:443, WEE1:464, GATA1:473, SRI:524, PRKCD:533, HABP4:560, SLC7A6:561, CD63:698, SLC7A7:707, P2RX1:730, PPIL2:751, PRKAR2A:812, RAF1:816, IRF2:829, SYK:851, KLC2:859, RACGAP1:877, YES1:891, H3C2:897, P2RX4:903, BRPF3:910, PRKCQ:911, RCOR1:932, DGKD:963, HBE1:986, ITIH3:1009, ORAI1:1039, SIN3A:1058, CD9:1060, HSPA5:1084, ATP2A1:1094, P2RY12:1125, KNG1:1150, CALU:1163, GP9:1199, GATA2:1281, KIF5B:1390, TGFB1:1407, ORAI2:1413, KIF18A:1414, PRKCB:1425, HMG20B:1432, PLAT:1506, VPREB3:1559, TEK:1571, SLC7A11:1575, APOA1:1588, DGKA:1599, ATP2B1:1632, KLC1:1634, EHD3:1655, GUCY1A1:1697, SERPINC1:1708, VAV3:1715, PLA2G4A:1716, SLC7A10:1769, LYN:1782, F2RL2:1793, FAM3C:1795, PIK3CB:1873, ORM2:1892, SERPINA4:1897, MIF:1900, CXADR:1905, EGF:2003, CD36:2042, KIF15:2052, VEGFA:2093, ANXA5:2173, SH2B2:2201, RBSN:2204, ITPK1:2232, ORM1:2240, COL1A2:2249, MGLL:2275, VEGFB:2280, KIF11:2293, TAGLN2:2295, SLC7A8:2402, GATA3:2411, TUBA1A:2417, DGKE:2429, ITPR3:2458, OLA1:2484, CD44:2501, NOS2:2518, LRP8:2531, NFE2:2546, ADRA2B:2559, IRF1:2570, ATP1B1:2587, KIF21A:2588, A2M:2614, PDE5A:2664, FGB:2676, HDAC1:2771, CAPZA1:2849, MFN1:2868, PECAM1:2884, PROC:2938, EHD1:2943, FN1:3020, ATP1B3:3028, LY6G6F:3067, F11:3072, SERPINE1:3127, RAD51C:3140, PIK3R3:3165, ITGB1:3167, CD109:3253, SDC3:3306, DGKB:3347, ITGA4:3406, PRCP:3465, F12:3486, CAP1:3495, KIF3B:3511, GATA6:3601, KIF5A:3627, SCG3:3634, MERTK:3642, TREM1:3664, PLEK:3667, AHSG:3668, STX4:3699, TP53:3731, SH2B3:3790, PRKACB:3799, PCYOX1L:3820, DGKK:3832, JMJD1C:3873, KDM1A:3875, PHF21A:3891, APOB:3942, KIF2C:3967, MPIG6B:3975, INPP5D:3976, PRKCH:3978, SLC16A8:4009, MAFK:4010, ITGAV:4017, MYB:4023, CD47:4047, DOCK6:4052, JAK2:8774.5, PTPN11:8774.5, MAPK3:8774.5, C1QBP:8774.5, AKT1:8774.5, PTK2:8774.5, FGR:8774.5, TFPI:8774.5, PRKAR2B:8774.5, ITGAL:8774.5, LAMP2:8774.5, ITGA2B:8774.5, TBXA2R:8774.5, SELE:8774.5, IGF1:8774.5, HGF:8774.5, VCL:8774.5, RAB27B:8774.5, LCP2:8774.5, BCAR1:8774.5, KIF1B:8774.5, ITIH4:8774.5, F7:8774.5, DGKG:8774.5, GNA15:8774.5, GUCY1B1:8774.5, GPC1:8774.5, PPP2R5A:8774.5, CD84:8774.5, ATP2B3:8774.5, KIF2A:8774.5, RASGRP2:8774.5, PPP2R5B:8774.5, TRPC7:8774.5, GNB5:8774.5, WDR1:8774.5, PRKACA:8774.5, SPP2:8774.5, ACTN1:8774.5, IRAG1:8774.5, ATP2A3:8774.5, ACTB:8774.5, KIFAP3:8774.5, STXBP2:8774.5, APBB1IP:8774.5, ACTN2:8774.5, PPP2R5C:8774.5, RAPGEF3:8774.5, KIF22:8774.5, P2RX5:8774.5, APLP2:8774.5, KIF3C:8774.5, GP6:8774.5, DOCK9:8774.5, DOCK3:8774.5, KIF16B:8774.5, NOS1:8774.5, THPO:8774.5, RAPGEF4:8774.5, APOH:8774.5, ANGPT2:8774.5, TGFB2:8774.5, ABL1:8774.5, P2RX6:8774.5, PICK1:8774.5, TIMP3:8774.5, PDGFB:8774.5, VTI1B:8774.5, ABHD12:8774.5, PROCR:8774.5, TUBB1:8774.5, F9:8774.5, SYTL4:8774.5, DGKH:8774.5, SLC7A5:8774.5, CSK:8774.5, KLC3:8774.5, PIK3R2:8774.5, MAG:8774.5, PIK3CG:8774.5, CAV1:8774.5, RARRES2:8774.5, CDC37L1:8774.5, DOCK8:8774.5, AKAP10:8774.5, LGALS3BP:8774.5, PRKAR1A:8774.5, PF4V1:8774.5, P2RX3:8774.5, VWF:8774.5, GNB3:8774.5, PTPN6:8774.5, PHACTR2:8774.5, PDE10A:8774.5, PPP2R5D:8774.5, KIF20A:8774.5, SPARC:8774.5, PDE1A:8774.5, SDC1:8774.5, SOS1:8774.5, QSOX1:8774.5, STXBP3:8774.5, DOCK7:8774.5, MFN2:8774.5, CD2:8774.5, KIF21B:8774.5, CD48:8774.5, MPL:8774.5, F3:8774.5, TGFB3:8774.5, EPCAM:8774.5, AKAP1:8774.5, A1BG:8774.5, PIK3CA:8774.5, CD244:8774.5, PLAU:8774.5, SRGN:8774.5, ITPR2:8774.5, CDK2:8774.5, TUBA1B:8774.5, SDC4:8774.5, F13A1:8774.5, PRKCG:8774.5, F2RL3:8774.5, AAMP:8774.5, DOCK4:8774.5, PDE11A:8774.5, ATP1B2:8774.5, KIF1A:8774.5, ACTN4:8774.5, KIF3A:8774.5, JCHAIN:8774.5, CABLES1:8774.5, DOCK2:8774.5, MICAL1:8774.5, DOCK10:8774.5, SERPINE2:8774.5, GATA4:8774.5, KIF12:8774.5, TLN1:8774.5, KLC4:8774.5, TUBB2A:8774.5, TUBB2B:8774.5, ARRB1:8774.5, PPP2R1B:8774.5, THBS1:8774.5, KIF23:8774.5, KIF20B:8774.5, PRKG2:8774.5, MMRN1:8774.5, TRPC3:8774.5, CENPE:8774.5, PDPK1:8774.5, KIF2B:8774.5, ARRB2:8774.5, SLC16A3:8774.5, GRB7:8774.5, VAV1:8774.5, SOD1:8774.5, APP:8774.5, ITGA10:8774.5, F13B:8774.5, SCCPDH:8774.5, MANF:8774.5, DGKQ:8774.5, PIK3R1:8774.5, LHFPL2:8774.5, KCNMB1:8774.5, DOK2:8774.5, AK3:8774.5, DGKZ:8774.5, CABLES2:8774.5, FERMT3:8774.5, ALDOA:8774.5, ADRA2A:8774.5, VEGFC:8774.5, PRKCA:8774.5, JAM2:8774.5, APOOL:8774.5, GNA14:8774.5, KCNMA1:8774.5, TSPAN7:8774.5, ATP2B2:8774.5, DGKI:8774.5, PAFAH2:8774.5, F11R:8774.5, FCER1G:8774.5, CYB5R1:8774.5, PTGIR:8774.5, PDE9A:8774.5, ITGB2:8774.5, VAV2:8774.5, JAML:8774.5, ITGA5:8774.5, ABHD6:8774.5, PF4:8774.5, CLEC3B:8774.5, TEX264:8774.5, ITGA2:8774.5, KLKB1:8774.5, DAGLB:8774.5, KIF6:8774.5, NOS3:8774.5, KIF27:8774.5, CLEC1B:8774.5, JAM3:8774.5, TMX3:8774.5, IGF2:8774.5, STIM1:8774.5, KIFC2:8774.5, SERPINF2:8774.5, SLC3A2:8774.5, SDC2:8774.5, P2RY1:8774.5, ITGAM:8774.5, ZFPM2:8774.5, KCNMB3:8774.5, PRKCE:8774.5, BSG:8774.5, GTPBP2:8774.5, CTSW:8774.5, RASGRP1:8774.5, CFL1:8774.5, OLR1:8774.5, SELP:8774.5, ATP2A2:8774.5, CHID1:8774.5, SH2B1:8774.5, TUBAL3:8774.5, THBD:8774.5, F2:8774.5, F2R:8774.5, RAD51B:8774.5, ANXA2:8774.5, LCK:8774.5, SLC8A1:8774.5, GAS6:8774.5, TUBA8:8774.5, PROS1:8774.5, MAFF:8774.5, KIF18B:8774.5, PDE2A:8774.5, P2RX2:8774.5, PRKAR1B:8774.5, TUBB4B:8774.5, SELL:8774.5, SERPINA5:8774.5, KIF19:8774.5, PPIA:8774.5, PTPN1:8774.5, NHLRC2:8774.5, FLNA:8774.5, SRC:8774.5, PDGFA:8774.5, KCNMB2:8774.5, SERPINB2:8774.5, PSAP:8774.5, CFD:8774.5, KIF13B:8774.5, PLCG2:8774.5, F5:8774.5, L1CAM:8774.5, GP1BB:8774.5, KIFC1:8774.5, CD177:8774.5, LAT:8774.5, ITGA1:8774.5, H3C1:8774.5, PIK3R6:13439, PCDH7:13447, F8:13465, GP5:13499, ECM1:13508, PLCG1:13523, GUCY1A2:13547, TOR4A:13553, ISLR:13559, GNA12:13564, GNA13:13599, ITPR1:13644, VEGFD:13664, ADRA2C:13671, VPS45:13699, H3C4:13702, LEFTY2:13806, H3C8:13852, ENDOD1:13870, H3C10:13959, CAPZB:13964, KIF9:13974, DOCK11:14206, P2RX7:14235, PDE1B:14257, SHC1:14264, ITGA3:14269, ITGB3:14274, CD74:14291, KIF1C:14293, TIMP1:14310, F10:14356, DAGLA:14371, GNAT3:14373, TUBA4A:14396, DOCK1:14439, CARMIL1:14478, SLC8A2:14504, TUBB4A:14516, ITGA6:14520, KIF25:14524, H3C11:14572, SLC8A3:14582, KIF26A:14592, TRPC6:14616, H3C13:14763, GATA5:14844, PIK3R5:14865, RHOA:14977, KIF26B:15025, CDC42:15056","Both",3
"REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS",0.0207986384606729,0.649377005011045,0.861123923166654,40,"DYNLL1:19, BID:312, PPP3CC:399, CASP3:408, BCL2L11:422, E2F1:1054, BAD:1457, TFDP2:1855, BAX:2439, BAK1:3241, DIABLO:3414, TP53:3731, CASP8:4018, TP63:8774.5, TP73:8774.5, PPP1R13B:8774.5, MAPK3:8774.5, BMF:8774.5, GSDMD:8774.5, AKT2:8774.5, BBC3:8774.5, GSDME:8774.5, C1QBP:8774.5, APAF1:8774.5, CASP9:8774.5, NMT1:8774.5, AKT1:8774.5, CDKN2A:8774.5, APIP:8774.5, AVEN:8774.5, BCL2L1:8774.5, BCL2:8774.5, SFN:8774.5, TFDP1:8774.5, PPP3R1:8774.5, DYNLL2:8774.5, CASP7:13441, XIAP:14308, UACA:14595, TP53BP2:14983","Vertivore",2
"REACTOME_MAPK3_ERK1_ACTIVATION",0.0139729790335239,0.89115912117474,0.979550819271302,8,"IL6:1331, IL6ST:2950, JAK2:8774.5, TYK2:8774.5, IL6R:8774.5, JAK1:8774.5, PTPN11:8774.5, MAPK3:8774.5","Unclear",0
"REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.10739012221101,0.292949358115723,0.66522379431064,8,"BID:312, PPP3CC:399, BAD:1457, AKT2:8774.5, AKT1:8774.5, BCL2:8774.5, SFN:8774.5, PPP3R1:8774.5","Vertivore",2
"REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.230261683290373,0.11074512018304,0.481685271472439,4,"E2F1:1054, TFDP2:1855, TP53:3731, TFDP1:8774.5","Unclear",0
"REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS",0.136210762331839,0.212092288036182,0.58680610713327,7,"BID:312, BCL2L11:422, BAD:1457, BMF:8774.5, BBC3:8774.5, BCL2L1:8774.5, BCL2:8774.5","Vertivore",2
"REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA",0.130195023537323,0.313383711989448,0.676683631996376,5,"BAX:2439, BAK1:3241, DIABLO:3414, GSDMD:8774.5, GSDME:8774.5","Unclear",0
"REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS",0.00101389353357861,0.982991547791313,0.995134059892048,37,"CASP3:408, PRKCD:533, PRKCQ:911, FNTA:1980, CLSPN:2496, DSG3:2795, GAS2:3033, ACIN1:3179, CDH1:3379, CASP6:3496, OCLN:3512, TJP2:4004, CASP8:4018, VIM:8774.5, ROCK1:8774.5, PKP1:8774.5, ADD1:8774.5, DSP:8774.5, STK24:8774.5, TJP1:8774.5, BIRC2:8774.5, LMNB1:8774.5, STK26:8774.5, DSG1:8774.5, APC:8774.5, GSN:8774.5, LMNA:8774.5, PTK2:8774.5, SATB1:8774.5, BCAP31:8774.5, MAPT:8774.5, SPTAN1:8774.5, CASP7:13441, BMX:13627, DBNL:14174, DSG2:14300, PLEC:15091","Both",3
"REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB",0.00107915685614979,0.991567950268319,0.996409777264579,8,"CAMK2D:2155, KPNA2:2473, CAMK4:3776, CAMKK1:8774.5, CAMK2A:8774.5, CAMKK2:8774.5, CAMK2G:8774.5, CAMK2B:15087","Herbivore",1
