"","GO_Biological_Process_2023.stat","GO_Biological_Process_2023.pval","GO_Biological_Process_2023.p.adj","GO_Biological_Process_2023.num.genes","GO_Biological_Process_2023.gene.vals"
"'De Novo' AMP Biosynthetic Process (GO:0044208)",-0.0919737506309944,0.524090929887683,0.939968883639285,4,"PAICS:5124.5, ATIC:5124.5, PFAS:5124.5, ADSS1:5124.5"
"'De Novo' Post-Translational Protein Folding (GO:0051084)",-0.133124452530153,0.0743246710343789,0.679125737674931,15,"HSPA8:409, HSPA2:808, GAK:977, SDF2L1:5124.5, ENTPD5:5124.5, PTGES3:5124.5, DNAJB13:5124.5, DNAJB14:5124.5, HSPE1:5124.5, DNAJC18:5124.5, DNAJB12:5124.5, ERO1A:5124.5, HSPA13:5124.5, UGGT1:5124.5, HSPA14:10619"
"2-Oxoglutarate Metabolic Process (GO:0006103)",0.101416267645047,0.20558694192906,0.814887427138546,13,"TAT:187, GOT2:558, PHYH:766, L2HGDH:1557, GOT1:2819, IDH1:7610.5, IDH2:7610.5, ADHFE1:7610.5, GPT2:7610.5, DLST:7610.5, OGDHL:7610.5, D2HGDH:7610.5, OGDH:7610.5"
"3'-UTR-mediated mRNA Destabilization (GO:0061158)",-0.0399713440731828,0.6462645768407,0.955504397691183,11,"MOV10:763, TRIM71:5124.5, RC3H1:5124.5, ZFP36L1:5124.5, ZFP36L2:5124.5, ZFP36:5124.5, DND1:5124.5, PLEKHN1:5124.5, TARDBP:5124.5, DHX36:10822, ZC3H12A:11150"
"3'-UTR-mediated mRNA Stabilization (GO:0070935)",-0.0439482723782582,0.613824771058042,0.950772434099225,11,"DAZL:785, ZFP36:5124.5, TARDBP:5124.5, YBX3:5124.5, ELAVL4:5124.5, MAPK14:5124.5, BOLL:5124.5, HNRNPC:5124.5, RBM47:5124.5, HNRNPA0:10015, MYD88:11349"
"3'-Phosphoadenosine 5'-Phosphosulfate Metabolic Process (GO:0050427)",0.322303302696697,0.00159685704895181,0.17868165020667,8,"SULT1B1:628, SULT1A3:718, SULT1A2:1026, ENPP1:1612, PAPSS2:1811, SULT1E1:2071, SULT2B1:3035, TPST2:7610.5"
"5S Class rRNA Transcription By RNA Polymerase III (GO:0042791)",-0.156037964458805,0.226932300840935,0.820205908454082,5,"GTF3C3:1085, GTF3C2:5124.5, GTF3C4:5124.5, GTF3C5:5124.5, GTF3C6:5124.5"
"7-Methylguanosine RNA Capping (GO:0009452)",0.0845361865347733,0.678816725115868,0.96360496528897,2,"CMTR2:3138, RNMT:7610.5"
"7-Methylguanosine mRNA Capping (GO:0006370)",0.0845361865347733,0.678816725115868,0.96360496528897,2,"CMTR2:3138, RNMT:7610.5"
"ADP Transport (GO:0015866)",-0.0919830371567044,0.476290280138283,0.939968883639285,5,"SLC25A42:5124.5, SLC25A41:5124.5, SLC25A24:5124.5, SLC25A5:5124.5, SLC25A23:5124.5"
"AMP Biosynthetic Process (GO:0006167)",-0.0919923255579118,0.435211350744593,0.939968883639285,6,"PAICS:5124.5, ATIC:5124.5, PFAS:5124.5, ADSS1:5124.5, NUDT2:5124.5, APRT:5124.5"
"AMP Metabolic Process (GO:0046033)",-0.0234455667789001,0.807594450453132,0.985921010422438,9,"NT5E:1135, ADSS1:5124.5, NUDT2:5124.5, NT5C1A:5124.5, AMPD1:5124.5, AMPD2:5124.5, AMPD3:5124.5, AK9:9711, SORD:12462"
"ATF6-mediated Unfolded Protein Response (GO:0036500)",0.18170436187399,0.159412624320521,0.814887427138546,5,"CREBZF:651, DDIT3:1965, XBP1:2751, MBTPS1:7610.5, ATF6B:7610.5"
"ATP Biosynthetic Process (GO:0006754)",-0.014434736645731,0.857025068843199,0.989164808231939,13,"TGFB1:723, NUDT2:5124.5, VPS9D1:5124.5, ATP5PF:5124.5, ATP5PD:5124.5, SLC25A13:5124.5, ALDOA:5124.5, PRKAG2:5124.5, ATP5MC2:5124.5, ATP5F1C:5124.5, ATP5MF:10131, ATP5PB:10499, ATP5PO:12056"
"ATP Metabolic Process (GO:0046034)",-0.0448887090246863,0.437468780448808,0.939968883639285,25,"MYH8:292, HSPA8:409, MYH7:705, TGFB1:723, NT5E:1135, NUDT2:5124.5, SLC25A13:5124.5, ALDOA:5124.5, PRKAG2:5124.5, ATP5F1C:5124.5, PARP1:5124.5, ATP1B1:5124.5, MYH3:5124.5, MYH4:5124.5, NMNAT1:5124.5, NDUFS1:5124.5, MYH6:5124.5, FIGNL1:5124.5, NADK:5124.5, CTNS:10550, BAD:10963, ENPP1:11123, PARG:11313, ATP5PO:12056, ENPP3:12543"
"ATP Synthesis Coupled Electron Transport (GO:0042773)",0.0918971667003163,0.581447427929622,0.947741173239166,3,"NDUFB6:532, NDUFS2:7610.5, NDUFV3:7610.5"
"ATP Transport (GO:0015867)",-0.092020202020202,0.339163497344382,0.9335948062915,9,"SLC25A42:5124.5, SLC25A41:5124.5, SLC25A24:5124.5, SLC25A5:5124.5, SLC25A23:5124.5, CALHM1:5124.5, CALHM3:5124.5, SLC17A9:5124.5, CD47:5124.5"
"AV Node Cell Action Potential (GO:0086016)",-0.034821097983776,0.767717020159743,0.97683407334599,6,"CACNB2:5124.5, SCN10A:5124.5, SCN5A:5124.5, SCN4B:5124.5, CACNA1G:5124.5, TRPM4:9482"
"AV Node Cell To Bundle Of His Cell Communication (GO:0086067)",0.0444977284199899,0.757921384381194,0.976409162285434,4,"GJA5:1364, GJC3:2619, SCN5A:7610.5, CXADR:11846"
"Arp2/3 Complex-Mediated Actin Nucleation (GO:0034314)",0.0462571976967371,0.612547164203508,0.950772434099225,10,"JMY:1352, IQGAP2:1505, ARPC5:2324, ARPC1A:7610.5, WHAMM:7610.5, ARPC5L:7610.5, ARPC3:7610.5, ARPC2:7610.5, TRIM27:7610.5, WASHC1:7610.5"
"B Cell Activation (GO:0042113)",-0.0126330052869185,0.733313327022275,0.973158919174289,61,"HDAC4:118, CHRNA4:336, PHB2:438, CD40:860, SLC25A5:5124.5, CHRNB2:5124.5, IL10:5124.5, ITGA4:5124.5, CD70:5124.5, NFAM1:5124.5, PAX5:5124.5, MSH2:5124.5, LAX1:5124.5, IL4:5124.5, PTPRC:5124.5, MS4A1:5124.5, TOP2B:5124.5, AQP8:5124.5, PIK3R2:5124.5, PTPRJ:5124.5, DCAF1:5124.5, CASP8:5124.5, BLNK:5124.5, NHEJ1:5124.5, FNIP1:5124.5, TPD52:5124.5, ZBTB7A:5124.5, MEF2C:5124.5, ZAP70:5124.5, KIT:5124.5, GPR183:5124.5, BTK:5124.5, CD40LG:5124.5, HDAC5:5124.5, FLT3:5124.5, PIK3CD:5124.5, HDAC9:5124.5, MALT1:5124.5, CD79B:5124.5, RASGRP1:5124.5, CD79A:5124.5, LYL1:5124.5, FCRLA:5124.5, ADGRG3:5124.5, PLCG2:5124.5, EPHB2:5124.5, RAG2:5124.5, PIK3R1:9166, TCF3:9400, CR2:9555, VCAM1:9644, CD86:10241, RAG1:10412, SLC39A7:10488, IFNE:11097, ITGB1:11319, CD22:11746, JAK3:12059, PTPN2:12411, BANK1:12471, IFNK:12661"
"B Cell Activation Involved In Immune Response (GO:0002312)",0.0847731635849247,0.309338753265243,0.911241283742428,12,"RNF168:526, MSH6:1085, GAPT:2808, CD19:2998, RNF8:3608, MSH2:7610.5, GPR183:7610.5, CD40LG:7610.5, CD180:7610.5, LIG4:7610.5, FCGR2B:7610.5, EXOSC3:7610.5"
"B Cell Chemotaxis (GO:0035754)",-0.0277463651050081,0.829878539754902,0.98808091821087,5,"PIK3CD:5124.5, HSD3B7:5124.5, CXCL13:5124.5, GAS6:5124.5, CYP7B1:9185"
"B Cell Differentiation (GO:0030183)",0.0186748375800581,0.668549406198622,0.96129483162572,44,"IFNK:74, PTPN2:324, JAK3:676, ITGB1:1416, IFNE:1638, SLC39A7:2247, IRF2BP2:2267, RAG1:2323, VCAM1:3091, CR2:3180, TCF3:3335, PIK3R1:3569, SLC25A5:7610.5, IL10:7610.5, ITGA4:7610.5, NFAM1:7610.5, PAX5:7610.5, MSH2:7610.5, IL4:7610.5, PTPRC:7610.5, MS4A1:7610.5, TOP2B:7610.5, AQP8:7610.5, PIK3R2:7610.5, PTPRJ:7610.5, DCAF1:7610.5, BLNK:7610.5, NHEJ1:7610.5, FNIP1:7610.5, TPD52:7610.5, ZBTB7A:7610.5, KIT:7610.5, HDAC5:7610.5, FLT3:7610.5, PIK3CD:7610.5, HDAC9:7610.5, CD79B:7610.5, CD79A:7610.5, LYL1:7610.5, ADGRG3:7610.5, PLCG2:7610.5, RAG2:7610.5, SYVN1:7610.5, HDAC4:12617"
"B Cell Homeostasis (GO:0001782)",0.0200536688114955,0.854232561246937,0.989066047901621,7,"TNFRSF13B:2463, GAPT:2808, MEF2C:7610.5, DOCK11:7610.5, DOCK10:7610.5, NCKAP1L:7610.5, TNFAIP3:7610.5"
"B Cell Mediated Immunity (GO:0019724)",0.0478204091785337,0.55060440767789,0.947741173239166,13,"MPL:94, IL9R:1417, SLA2:2730, CD19:2998, CD70:7610.5, MSH2:7610.5, FCGR2B:7610.5, CD74:7610.5, IL21R:7610.5, CSF2RB:7610.5, IL2RB:7610.5, CD27:7610.5, TLR8:7610.5"
"B Cell Proliferation (GO:0042100)",0.0285155986793343,0.702262634927902,0.970801258647376,15,"IFNK:74, IFNE:1638, GAPT:2808, CD19:2998, CR2:3180, IL10:7610.5, CD70:7610.5, PTPRC:7610.5, MS4A1:7610.5, MEF2C:7610.5, CD40LG:7610.5, RASGRP1:7610.5, CD79A:7610.5, CD180:7610.5, CD40:11875"
"B Cell Receptor Signaling Pathway (GO:0050853)",-0.0812117155332778,0.151992362485724,0.814887427138546,26,"TEC:64, NFAM1:5124.5, PTPRC:5124.5, MS4A1:5124.5, BLNK:5124.5, MEF2C:5124.5, BTK:5124.5, PIK3CD:5124.5, CD79B:5124.5, CD79A:5124.5, PLCG2:5124.5, NCKAP1L:5124.5, SYK:5124.5, RFTN1:5124.5, PLEKHA1:5124.5, NFATC2:5124.5, BMX:5124.5, VAV3:5124.5, LCK:5124.5, ITK:5124.5, BCAR1:5124.5, BLK:5124.5, CTLA4:5124.5, CD38:5124.5, SH2B2:9225, CD19:9737"
"BMP Signaling Pathway (GO:0030509)",0.0481861134035048,0.280397833717865,0.882259381897276,42,"CHRD:263, INHBC:1010, HIVEP1:1113, GDF9:1167, RUNX2:1302, BMP10:1405, BMP3:2105, GDF2:2306, GDF3:2316, GDF5:2378, GDF7:2598, AMHR2:2737, BMPR2:3019, MEGF8:3330, RGMA:7610.5, ACVR2B:7610.5, ACVR2A:7610.5, TGFBR3:7610.5, BMP6:7610.5, GDF10:7610.5, RGMB:7610.5, GARS1:7610.5, BMP2:7610.5, BMPR1B:7610.5, ACVRL1:7610.5, HFE:7610.5, BMP15:7610.5, FAM83G:7610.5, HJV:7610.5, SLC39A5:7610.5, LEFTY2:7610.5, SMAD5:7610.5, LEFTY1:7610.5, SMAD4:7610.5, NOG:7610.5, GDF1:7610.5, INHBE:7610.5, SMAD6:7610.5, ENG:7610.5, NODAL:7610.5, DDX5:7610.5, TGFB1:12012"
"C-terminal Protein Amino Acid Modification (GO:0018410)",0.0360822139177861,0.723809963416997,0.97236803310837,8,"FOLH1:456, GPLD1:2272, AGBL5:2702, AGTPBP1:7610.5, AGBL4:7610.5, ATG7:7610.5, LCMT1:7610.5, ATG16L1:11900"
"C-terminal Protein Deglutamylation (GO:0035609)",0.14427057041898,0.317657305010129,0.919255056686099,4,"FOLH1:456, AGBL5:2702, AGTPBP1:7610.5, AGBL4:7610.5"
"C-terminal Protein Lipidation (GO:0006501)",-0.0655158489804159,0.694307846558779,0.968353010612101,3,"ATG16L1:835, ATG7:5124.5, GPLD1:10463"
"C4-dicarboxylate Transport (GO:0015740)",0.0374280230326296,0.681970392906767,0.96360496528897,10,"SLC1A1:96, SLC13A2:118, SLC13A5:1333, SLC25A13:7610.5, SLC25A18:7610.5, UCP2:7610.5, SLC25A22:7610.5, SLC25A10:7610.5, SLC25A12:7610.5, LRRC8E:12203"
"CD4-positive, Alpha-Beta T Cell Activation (GO:0035710)",-0.173323909531502,0.179545827265868,0.814887427138546,5,"NKG7:19, STOML2:5124.5, TNFSF4:5124.5, RSAD2:5124.5, HMGB1:5124.5"
"CD40 Signaling Pathway (GO:0023035)",-0.0185243962258707,0.865237931145539,0.989244605380226,7,"PHB2:438, CD40LG:5124.5, TNIP2:5124.5, ITGA5:5124.5, RNF31:5124.5, CD86:10241, ITGB1:11319"
"CENP-A Containing Chromatin Assembly (GO:0034080)",0.108642972536349,0.400185462413198,0.939968883639285,5,"NASP:156, CENPI:2227, MIS18A:7610.5, HJURP:7610.5, OIP5:7610.5"
"COPI Coating Of Golgi Vesicle (GO:0048205)",-0.076216434484151,0.647522765323392,0.955504397691183,3,"TMED2:71, ARFGAP3:5124.5, GBF1:10861"
"COPI-coated Vesicle Budding (GO:0035964)",-0.076216434484151,0.647522765323392,0.955504397691183,3,"TMED2:71, ARFGAP3:5124.5, GBF1:10861"
"COPII Vesicle Coating (GO:0048208)",-0.100774880398895,0.176713050267929,0.814887427138546,15,"TMED2:71, TRAPPC5:841, KLHL12:892, TRAPPC3:5124.5, TRAPPC2L:5124.5, TRAPPC1:5124.5, TRAPPC2:5124.5, TRAPPC11:5124.5, PDCD6:5124.5, TRAPPC6A:5124.5, TRAPPC12:5124.5, PEF1:5124.5, PREB:5124.5, TRAPPC8:9856, TRAPPC4:12502"
