	stat	pval	p.adj	num.genes	gene.vals	Directionality	DirectionalityNumeric
REACTOME_INTERLEUKIN_6_SIGNALING	-0.043137475	0.636743933	0.827124864	10	"IL6ST:1918, CBL:2620, JAK2:7062, TYK2:7062, STAT1:7062, IL6R:7062, JAK1:7062, PTPN11:7062, SOCS3:7062, IL6:13878"	Unclear	2
REACTOME_APOPTOSIS	-0.048008425	0.051740385	0.200188656	139	"DBNL:59, TRAF2:105, PLEC:110, PTK2:164, BCAP31:226, H1-2:354, UBA52:502, H1-4:548, DSG3:595, RPS27A:636, PSMD12:671, LMNB1:796, H1-3:842, PSMF1:875, VIM:964, PSMA1:974, DSP:1204, TJP1:1283, CASP7:1301, BCL2L1:1314, PKP1:1542, RIPK1:1719, H1-5:1724, DSG2:1913, CASP9:1941, XIAP:1951, BMX:1964, HMGB2:2397, SATB1:2512, PPP1R13B:2597, PSMB1:7062, BID:7062, FAS:7062, CDH1:7062, CASP8:7062, ROCK1:7062, PSME4:7062, ARHGAP10:7062, TP73:7062, BAX:7062, ADD1:7062, DNM1L:7062, DYNLL1:7062, PSMD8:7062, PSMB5:7062, PSME2:7062, E2F1:7062, PSMD10:7062, STK24:7062, TRADD:7062, MAPK3:7062, BMF:7062, GSDMD:7062, AKT2:7062, BBC3:7062, GSDME:7062, PSMD3:7062, BIRC2:7062, PSMD9:7062, UNC5A:7062, TFDP2:7062, FASLG:7062, TJP2:7062, APAF1:7062, TNFSF10:7062, H1-1:7062, PSMB2:7062, PSME3:7062, STK26:7062, DSG1:7062, NMT1:7062, TLR4:7062, PSMB7:7062, UACA:7062, CASP6:7062, TP53:7062, AKT1:7062, PSMB6:7062, TP53BP2:7062, CDKN2A:7062, GSN:7062, GAS2:7062, APIP:7062, BCL2L11:7062, LY96:7062, PSMA8:7062, APPL1:7062, PSMD4:7062, PSMB4:7062, LMNA:7062, PSMD6:7062, CASP3:7062, FADD:7062, DFFB:7062, AVEN:7062, UBB:7062, CD14:7062, BCL2:7062, PSMD1:7062, PSMD2:7062, SFN:7062, PAK2:7062, DIABLO:7062, PSMD13:7062, MAPT:7062, DCC:7062, H1-0:7062, DAPK1:7062, SPTAN1:7062, TFDP1:7062, PSMB8:7062, PSMB10:7062, PPP3R1:7062, PSMB11:7062, PSMB9:7062, TICAM2:7062, OPA1:11544, PSMD5:11552, TP63:11713, SEM1:11913, CFLAR:11986, BAD:12146, PSME1:12184, APC:12249, FNTA:12298, DFFA:12309, OMA1:12326, DYNLL2:12478, UNC5B:12720, DAPK2:12769, PRKCD:12881, PRKCQ:13150, DAPK3:13524, C1QBP:13873, OCLN:13923, BAK1:14052, PPP3CC:14276, ACIN1:14553, CLSPN:14999"	Both	3
REACTOME_HEMOSTASIS	-0.014940913	0.27003995	0.51089405	480	"PRKCG:5, DOCK1:24, L1CAM:37, DOCK4:62, ITPR1:76, DGKI:113, PTK2:164, PDGFA:170, ITGA6:193, CABLES2:241, ATP2A2:306, KIF1A:317, MAFK:338, CAV1:382, TUBA4A:420, TLN1:432, GPC1:455, ATP2B3:484, SLC16A3:523, ITGA3:557, TGFB3:616, KIF21B:632, GNB3:663, PPP2R5C:686, AK3:690, TUBA1B:702, CHID1:720, H3C13:758, ISLR:814, KLC4:866, JAM2:973, ECM1:1024, HSPA5:1062, P2RX2:1072, PPP2R5D:1081, P2RY1:1108, FN1:1126, ATP1B2:1181, PPIA:1185, DAGLA:1191, ACTN2:1229, GNAT3:1261, TIMP1:1276, KIF2B:1280, PDE1B:1343, P2RX3:1361, TRPC6:1363, PIK3CA:1390, WDR1:1441, KCNMA1:1447, PTGIR:1461, FCER1G:1471, PRKG2:1502, TUBB2A:1503, PRKCA:1524, SLC8A2:1549, VCL:1578, H3C1:1606, COL1A2:1608, KIF26A:1630, SOD1:1649, GNA12:1656, STX4:1665, ADRA2C:1694, GNA14:1733, TUBA8:1763, TGFB1:1814, GNA13:1820, APOA1:1825, DGKQ:1846, JAM3:1855, H3C11:1880, H3C4:1908, SLC16A8:1924, PIK3R5:1956, TMX3:1967, IGF2:1970, AAMP:2020, VAV3:2056, PDE10A:2145, GNB5:2158, ALDOA:2173, THBS1:2230, KIF25:2243, PRKAR1B:2273, VEGFD:2274, TUBB4A:2317, ITGA1:2323, PPP2R5B:2326, NOS3:2339, CARMIL1:2377, DOCK2:2401, PRKCE:2412, PTPN6:2419, PPP2R1B:2431, TRPC3:2487, RAPGEF4:2490, CDC37L1:2511, PDE2A:2562, VEGFC:2570, KIF3C:2607, KCNMB1:2631, JAK2:7062, PTPN11:7062, MAPK3:7062, TP53:7062, AKT1:7062, FGR:7062, TFPI:7062, KDM1A:7062, PRKAR2B:7062, TBXA2R:7062, CD9:7062, EHD3:7062, IGF1:7062, CD74:7062, HGF:7062, EHD2:7062, CD44:7062, PRKCH:7062, RAB27B:7062, LCP2:7062, BCAR1:7062, KIF1B:7062, DGKG:7062, GNA15:7062, GUCY1B1:7062, HMG20B:7062, DGKA:7062, PPP2R5A:7062, CD84:7062, RHOA:7062, KIF2A:7062, RASGRP2:7062, TRPC7:7062, ATP1B3:7062, CDC42:7062, ATP2B1:7062, PRKACA:7062, SPP2:7062, ACTN1:7062, ATP2A3:7062, SRI:7062, ACTB:7062, KIFAP3:7062, DGKD:7062, APBB1IP:7062, CAPZB:7062, RAPGEF3:7062, KIF22:7062, P2RX5:7062, APLP2:7062, APOB:7062, GP6:7062, DOCK3:7062, KIF9:7062, F11:7062, P2RX7:7062, NOS1:7062, RCOR1:7062, APOH:7062, ANGPT2:7062, SLC7A8:7062, TGFB2:7062, BRPF3:7062, P2RX6:7062, PPIL2:7062, PICK1:7062, TIMP3:7062, PDGFB:7062, VTI1B:7062, ITPK1:7062, SLC8A3:7062, ABHD12:7062, PROCR:7062, TUBB1:7062, KIF3B:7062, F9:7062, GATA1:7062, DGKH:7062, SLC7A6:7062, SLC7A5:7062, CSK:7062, PLAT:7062, KLC3:7062, MAG:7062, PIK3CG:7062, DOCK8:7062, GATA3:7062, RAD51C:7062, P2RX1:7062, AKAP10:7062, LGALS3BP:7062, COL1A1:7062, PRKAR1A:7062, PF4V1:7062, EHD1:7062, VWF:7062, PHACTR2:7062, VEGFA:7062, PRKAR2A:7062, ITGA4:7062, PDE1A:7062, SDC1:7062, SOS1:7062, QSOX1:7062, STXBP3:7062, HDAC1:7062, CAPZA1:7062, DOCK7:7062, MFN2:7062, PLA2G4A:7062, CD2:7062, CD48:7062, PIK3R3:7062, MYB:7062, EPCAM:7062, TEK:7062, CLU:7062, AKAP1:7062, A1BG:7062, PLAU:7062, SRGN:7062, ITPR2:7062, CDK2:7062, SDC4:7062, PLCG1:7062, F13A1:7062, TREM1:7062, F10:7062, CALU:7062, PDE11A:7062, ACTN4:7062, GATA5:7062, HABP4:7062, F12:7062, CAP1:7062, RAF1:7062, JCHAIN:7062, P2RX4:7062, CD36:7062, CD63:7062, MICAL1:7062, DOCK10:7062, SERPINE2:7062, DGKB:7062, VPS45:7062, TUBB2B:7062, ARRB1:7062, KIF23:7062, OLA1:7062, ITGAV:7062, PDE5A:7062, KIF21A:7062, ITGAX:7062, PDPK1:7062, GRB7:7062, VAV1:7062, APP:7062, PRKACB:7062, KIF2C:7062, ITGA10:7062, ATP1B1:7062, F13B:7062, SCCPDH:7062, LEFTY2:7062, MANF:7062, AHSG:7062, LHFPL2:7062, PCYOX1L:7062, DOCK11:7062, DOK2:7062, DGKZ:7062, SLC7A11:7062, GUCY1A2:7062, MERTK:7062, CXADR:7062, KIF5A:7062, TSPAN7:7062, CD109:7062, ATP2B2:7062, TAGLN2:7062, F11R:7062, CYB5R1:7062, PDE9A:7062, ITGB2:7062, VAV2:7062, JAML:7062, SHC1:7062, ORAI2:7062, SH2B2:7062, ITGA5:7062, ITIH3:7062, KIF26B:7062, H3-3A:7062, ABHD6:7062, PF4:7062, CLEC3B:7062, TEX264:7062, ANXA5:7062, GUCY1A1:7062, ITGA2:7062, KLKB1:7062, DAGLB:7062, SYK:7062, KIF27:7062, PRKCB:7062, STIM1:7062, TUBA1A:7062, KIFC2:7062, SERPINF2:7062, SLC3A2:7062, IRF2:7062, SIN3A:7062, SDC2:7062, PCDH7:7062, ITGAM:7062, ZFPM2:7062, KIF5B:7062, MFN1:7062, FGG:7062, BSG:7062, GTPBP2:7062, CTSW:7062, RASGRP1:7062, VEGFB:7062, SELP:7062, KLC2:7062, YES1:7062, SH2B1:7062, TUBAL3:7062, GP5:7062, F2:7062, ANXA2:7062, LCK:7062, SLC8A1:7062, PROS1:7062, F8:7062, MAFF:7062, TUBB4B:7062, SERPINA5:7062, KIF19:7062, PTPN1:7062, CD47:7062, NHLRC2:7062, FLNA:7062, FAM3C:7062, SRC:7062, KCNMB2:7062, SERPINB2:7062, PSAP:7062, CFD:7062, KIF13B:7062, PLCG2:7062, TOR4A:7062, F5:7062, CD177:7062, LAT:7062, HBE1:7062, ORM2:7062, ORM1:7062, MIF:7062, LYN:7062, ITGB3:7062, H3C8:7062, ADRA2B:7062, ORAI1:7062, PIK3R6:7062, H3C10:7062, H3C2:7062, KLC1:11484, GATA4:11556, ATP2A1:11665, CD244:11677, SELE:11702, KIF3A:11748, F2RL3:11767, STXBP2:11840, FGB:11844, KIF1C:11885, FERMT3:11887, PIK3R1:11896, INPP5D:11902, F2R:11932, PECAM1:12008, IRAG1:12033, KIF4A:12049, PLEK:12054, SH2B3:12067, NFE2:12080, PRCP:12102, GAS6:12151, F3:12199, TUBB8B:12217, TUBB8:12220, IRF1:12223, CFL1:12224, SERPINE1:12247, GATA6:12258, KIF18B:12262, THBD:12275, DOCK6:12287, MPIG6B:12353, SERPINA4:12359, SERPIND1:12442, ABL1:12479, ITPR3:12481, KIF20B:12486, ADRA2A:12502, PAFAH2:12511, ITIH4:12515, RARRES2:12537, PIK3R2:12550, APOOL:12568, NOS2:12573, ENDOD1:12583, PHF21A:12594, SLC7A10:12726, DOCK9:12738, OLR1:12771, MGLL:12782, KNG1:12798, ARRB2:12816, SPARC:12817, KIF18A:12839, PRKCD:12881, KIF15:12964, GATA2:13138, SELL:13142, PRKCQ:13150, PLAUR:13159, F7:13161, CENPE:13177, MMRN1:13183, RACGAP1:13193, P2RY12:13219, LRP8:13233, ATP2B4:13334, RBSN:13379, PIK3CB:13409, KCNMB3:13414, RAD51B:13472, VPREB3:13482, PLG:13494, EGF:13508, KIFC1:13551, CABLES1:13596, ITGB1:13679, DGKE:13682, PROC:13741, SLC7A7:13780, ITGAL:13828, C1QBP:13873, DGKK:13915, SYTL4:13998, SDC3:14063, SERPINC1:14168, KIF11:14190, CLEC1B:14229, KIF12:14255, KIF6:14313, GP1BB:14394, GRB14:14435, WEE1:14457, SCG3:14477, KIF20A:14554, ITGA2B:14566, LAMP2:14628, SLC7A9:14650, JMJD1C:14701, ANGPT4:14780, GP9:14792, KIF16B:14806, F2RL2:14831, GLG1:14832, MPL:14848, LY6G6F:14910, THPO:14952, ALB:14956, A2M:15082"	Herbivore	1
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	-0.008421467	0.853949904	0.93832351	40	"CASP7:1301, BCL2L1:1314, CASP9:1941, XIAP:1951, PPP1R13B:2597, BID:7062, CASP8:7062, TP73:7062, BAX:7062, DYNLL1:7062, E2F1:7062, MAPK3:7062, BMF:7062, GSDMD:7062, AKT2:7062, BBC3:7062, GSDME:7062, TFDP2:7062, APAF1:7062, NMT1:7062, UACA:7062, TP53:7062, AKT1:7062, TP53BP2:7062, CDKN2A:7062, APIP:7062, BCL2L11:7062, CASP3:7062, AVEN:7062, BCL2:7062, SFN:7062, DIABLO:7062, TFDP1:7062, PPP3R1:7062, TP63:11713, BAD:12146, DYNLL2:12478, C1QBP:13873, BAK1:14052, PPP3CC:14276"	Unclear	1
REACTOME_MAPK3_ERK1_ACTIVATION	-0.011308857	0.911816296	0.959722581	8	"IL6ST:1918, JAK2:7062, TYK2:7062, IL6R:7062, JAK1:7062, PTPN11:7062, MAPK3:7062, IL6:13878"	Unclear	1
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	0.006760134	0.888489862	0.950146632	36	"POLH:280, POLK:345, REV3L:1134, RFC2:1364, REV1:1620, POLI:1648, RPA2:1999, RFC1:2191, POLD1:2567, USP10:2634, RPA3:3205, RCHY1:3310, UBB:8044, SPRTN:8044, UFD1:8044, POLD3:8044, POLE2:8044, POLE4:8044, TRIM25:8044, RPA1:8044, POLE3:8044, UBE2L6:8044, RFC4:8044, PCLAF:8044, POLD4:8044, UBA7:8044, ISG15:8044, MAD2L2:12550, RFC5:12891, NPLOC4:14385, RPS27A:14470, POLD2:14521, RFC3:14539, UBA52:14604, POLE:14923, USP43:15053"	Both	3
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	-0.019415927	0.737018864	0.888593287	25	"POLE:183, UBA52:502, RFC3:567, POLD2:585, RPS27A:636, RFC5:2215, UBB:7062, POLD3:7062, POLE2:7062, POLE4:7062, RPA1:7062, POLE3:7062, RFC4:7062, POLD4:7062, RAD18:7062, UBE2B:7062, CUL4A:7062, DTL:7062, RPA3:11901, POLD1:12539, CUL4B:12718, RFC1:12915, RPA2:13107, USP1:13122, RFC2:13742"	Both	3
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	-0.006564183	0.927596395	0.968417082	16	"UBA52:502, RFC3:567, RPS27A:636, NPLOC4:721, RFC5:2215, UBB:7062, SPRTN:7062, UFD1:7062, RPA1:7062, RFC4:7062, RCHY1:11796, RPA3:11901, RFC1:12915, RPA2:13107, RFC2:13742, POLH:14826"	Both	3
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	-0.119072223	0.039457227	0.169286432	25	"H2BC4:192, H2AC4:369, H4C2:684, H2BC15:781, H4C3:1275, H2AC14:1344, H4C13:2167, H2BC9:2180, H4C14:2485, TINF2:7062, MPG:7062, NEIL3:7062, OGG1:7062, TERF2:7062, TERF1:7062, H4C8:7062, TERF2IP:7062, H2AC20:7062, H2BC21:7062, H4C11:7062, H4C15:7062, H4C1:7062, ACD:11694, POT1:11764, MUTYH:14835"	Both	3
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	0.133790535	0.164646359	0.380099085	9	"MBD4:195, MUTYH:271, TDG:1892, MPG:8044, OGG1:8044, NTHL1:8044, UNG:8044, APEX1:8044, SMUG1:8044"	Both	3
