GO.ID	Description	pVal	p.adj	Phenotype	Gene.vals
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	Both	0.888489861976747	0.950146631758052	1	POLH:280, POLK:345, REV3L:1134, RFC2:1364, REV1:1620, POLI:1648, RPA2:1999, RFC1:2191, POLD1:2567, USP10:2634, RPA3:3205, RCHY1:3310, UBB:8044, SPRTN:8044, UFD1:8044, POLD3:8044, POLE2:8044, POLE4:8044, TRIM25:8044, RPA1:8044, POLE3:8044, UBE2L6:8044, RFC4:8044, PCLAF:8044, POLD4:8044, UBA7:8044, ISG15:8044, MAD2L2:12550, RFC5:12891, NPLOC4:14385, RPS27A:14470, POLD2:14521, RFC3:14539, UBA52:14604, POLE:14923, USP43:15053
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	Both	0.164646359058578	0.380099084996948	1	MBD4:195, MUTYH:271, TDG:1892, MPG:8044, OGG1:8044, NTHL1:8044, UNG:8044, APEX1:8044, SMUG1:8044
REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	Both	0.716309321232155	0.876191116812466	1	PARG:323, PARP2:2784, APEX1:8044, POLB:8044, LIG1:8044, ADPRS:8044, PARP1:8044, FEN1:13425
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	Both	0.921161722337356	0.963931854541064	1	PARG:323, RFC2:1364, RPA2:1999, RFC1:2191, POLD1:2567, PARP2:2784, RPA3:3205, POLD3:8044, POLE2:8044, POLE4:8044, RPA1:8044, POLE3:8044, RFC4:8044, POLD4:8044, APEX1:8044, POLB:8044, LIG1:8044, ADPRS:8044, PARP1:8044, RFC5:12891, FEN1:13425, POLD2:14521, RFC3:14539, POLE:14923
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	Unclear	0.451860502709679	0.685778187193224	1	PPP3CC:830, BAD:2960, BID:8044, AKT2:8044, AKT1:8044, BCL2:8044, SFN:8044, PPP3R1:8044
REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA	Unclear	0.603013750027361	0.800613984756504	1	BAK1:1054, BAX:8044, GSDMD:8044, GSDME:8044, DIABLO:8044
REACTOME_NEUROTRANSMITTER_CLEARANCE	Herbivore	0.29328386631995	0.536843462918649	1	COMT:328, MAOA:2653, SLC22A2:2825, SLC22A1:8044, ACHE:8044, SLC6A4:8044, ALDH2:8044, BCHE:8044, SLC6A3:8044, LRTOMT:8044
REACTOME_MAPK1_ERK2_ACTIVATION	Unclear	0.627005686106227	0.819719311638169	1	MAP2K2:551, IL6:1228, JAK2:8044, TYK2:8044, IL6R:8044, JAK1:8044, PTPN11:8044, IL6ST:13188
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	Unclear	0.213590873742809	0.443668600643184	1	MCM8:1482, ORC1:1711, ORC2:2463, ORC6:8044, ORC4:8044, CCNB1:8044, ORC3:8044, ORC5:8044
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	Unclear	0.903822764829261	0.958916147838293	1	MCM8:1482, ORC1:1711, ORC2:2463, E2F1:8044, TFDP2:8044, TFDP1:8044, POLA2:8044, POLA1:8044, RB1:8044, PRIM2:8044, PPP2R3B:8044, ORC6:8044, ORC4:8044, CCNB1:8044, ORC3:8044, ORC5:8044, PPP2R1B:12675, PRIM1:12930
