"gmtNames","gmtDriver"
"REACTOME_INTERLEUKIN_6_SIGNALING","Unclear"
"REACTOME_APOPTOSIS","Both"
"REACTOME_HEMOSTASIS","Herbivore"
"REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS","Unclear"
"REACTOME_MAPK3_ERK1_ACTIVATION","Unclear"
"REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE","Both"
"REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX","Both"
"REACTOME_TRANSLESION_SYNTHESIS_BY_POLH","Both"
"REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE","Both"
"REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1","Both"
"REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR","Both"
"REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY","Both"
"REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA","Unclear"
"REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA","Unclear"
"REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS","Unclear"
"REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA","Unclear"
"REACTOME_FORMATION_OF_APOPTOSOME","Unclear"
"REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE","Unclear"
"REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE","Unclear"
"REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS","Both"
"REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE","Unclear"
"REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE","Unclear"
"REACTOME_OPIOID_SIGNALLING","Both"
"REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB","Both"
"REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB","Both"
"REACTOME_CA_DEPENDENT_EVENTS","Both"
"REACTOME_G_PROTEIN_MEDIATED_EVENTS","Both"
"REACTOME_ELECTRIC_TRANSMISSION_ACROSS_GAP_JUNCTIONS","Unclear"
"REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING","Unclear"
