GO.ID	Description	pVal	p.adj	Phenotype	Gene.vals
REACTOME_INTERLEUKIN_6_SIGNALING	Unclear	0.646330797460512	0.861123923166654	-1	CBL:1070, JAK2:6330.5, TYK2:6330.5, STAT1:6330.5, IL6R:6330.5, JAK1:6330.5, PTPN11:6330.5, SOCS3:6330.5, IL6ST:12155, IL6:13774
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	Herbivore	0.078350087580133	0.399357888567358	-1	RPS27A:48, UBA52:88, USP43:175, POLD2:188, POLE:341, SPRTN:1272, RPA1:1537, UBB:6330.5, RFC1:6330.5, RFC2:6330.5, POLD1:6330.5, UFD1:6330.5, POLD3:6330.5, POLE2:6330.5, USP10:6330.5, RFC5:6330.5, POLE4:6330.5, MAD2L2:6330.5, RPA2:6330.5, TRIM25:6330.5, POLK:6330.5, RFC3:6330.5, POLE3:6330.5, UBE2L6:6330.5, RFC4:6330.5, POLH:6330.5, POLD4:6330.5, NPLOC4:6330.5, ISG15:6330.5, PCLAF:11523, REV3L:12005, POLI:12580, REV1:13245, UBA7:13426, RCHY1:13514, RPA3:13571
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	Herbivore	0.175843989834035	0.568184074678789	-1	RPS27A:48, UBA52:88, POLD2:188, POLE:341, RPA1:1537, UBB:6330.5, RFC1:6330.5, RFC2:6330.5, POLD1:6330.5, POLD3:6330.5, POLE2:6330.5, RFC5:6330.5, POLE4:6330.5, RPA2:6330.5, RFC3:6330.5, POLE3:6330.5, RFC4:6330.5, POLD4:6330.5, RAD18:6330.5, CUL4B:6330.5, CUL4A:11602, USP1:11932, RPA3:13571, DTL:14434, UBE2B:15087
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	Herbivore	0.0816012857422649	0.403192969778537	-1	RPS27A:48, UBA52:88, SPRTN:1272, RPA1:1537, UBB:6330.5, RFC1:6330.5, RFC2:6330.5, UFD1:6330.5, RFC5:6330.5, RPA2:6330.5, RFC3:6330.5, RFC4:6330.5, POLH:6330.5, NPLOC4:6330.5, RCHY1:13514, RPA3:13571
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Both	0.00667712553366376	0.117868222336019	-1	H4C15:41, H4C14:67, H4C3:144, H4C2:218, H4C13:273, H2BC15:313, H2AC20:938, H2AC4:1245, NEIL3:1539, TINF2:6330.5, MPG:6330.5, OGG1:6330.5, MUTYH:6330.5, TERF1:6330.5, H4C8:6330.5, TERF2IP:6330.5, H2BC4:6330.5, H2BC21:6330.5, H4C11:6330.5, H2BC9:6330.5, H2AC14:6330.5, H4C1:12023, POT1:12920, ACD:13313, TERF2:14537
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	Unclear	0.869610642872436	0.969640067470007	-1	MPG:6330.5, OGG1:6330.5, MUTYH:6330.5, UNG:6330.5, APEX1:6330.5, SMUG1:6330.5, MBD4:6330.5, TDG:11680, NTHL1:12034
REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	Both	0.895988856582937	0.980159966357253	-1	LIG1:121, FEN1:1179, APEX1:6330.5, PARP2:6330.5, PARP1:6330.5, ADPRS:11784, POLB:13879, PARG:14169
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	Both	0.111850354246733	0.483611963325801	-1	LIG1:121, POLD2:188, POLE:341, FEN1:1179, RPA1:1537, RFC1:6330.5, RFC2:6330.5, POLD1:6330.5, POLD3:6330.5, POLE2:6330.5, RFC5:6330.5, POLE4:6330.5, RPA2:6330.5, RFC3:6330.5, POLE3:6330.5, RFC4:6330.5, POLD4:6330.5, APEX1:6330.5, PARP2:6330.5, PARP1:6330.5, ADPRS:11784, RPA3:13571, POLB:13879, PARG:14169
REACTOME_FORMATION_OF_APOPTOSOME	Unclear	0.160771063191897	0.560677421537697	-1	UACA:510, XIAP:797, MAPK3:6330.5, APAF1:6330.5, CASP9:6330.5, APIP:6330.5, AVEN:6330.5, DIABLO:11691
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE	Unclear	0.376769225965921	0.7326568746999	-1	XIAP:797, CASP7:1664, APAF1:6330.5, CASP9:6330.5, CASP3:14697
REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE	Unclear	0.239895508322043	0.616141882485247	-1	UACA:510, XIAP:797, CASP7:1664, MAPK3:6330.5, APAF1:6330.5, CASP9:6330.5, APIP:6330.5, AVEN:6330.5, DIABLO:11691, CASP3:14697
REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE	Unclear	0.653940167322195	0.862114241849872	-1	XIAP:797, CASP7:1664, APAF1:6330.5, CASP9:6330.5, DIABLO:11691, CASP3:14697
