shared name,Index
REACTOME_RNA_POLYMERASE_II_PRE_TRANSCRIPTION_EVENTS,1
REACTOME_INFECTIOUS_DISEASE,2
REACTOME_L1CAM_INTERACTIONS,3
REACTOME_UPTAKE_OF_DIETARY_COBALAMINS_INTO_ENTEROCYTES,4
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,5
REACTOME_ESR_MEDIATED_SIGNALING,6
REACTOME_PHENYLALANINE_AND_TYROSINE_METABOLISM,7
REACTOME_GLUCOCORTICOID_BIOSYNTHESIS,8
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE,9
REACTOME_RHOA_GTPASE_CYCLE,10
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS,11
REACTOME_HCMV_LATE_EVENTS,12
REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING,13
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,14
REACTOME_SIGNALING_BY_HEDGEHOG,15
REACTOME_N_GLYCAN_ANTENNAE_ELONGATION,16
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE,17
REACTOME_ARACHIDONIC_ACID_METABOLISM,18
REACTOME_SNRNP_ASSEMBLY,19
REACTOME_NEGATIVE_REGULATION_OF_FGFR2_SIGNALING,20
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE,21
REACTOME_DNA_METHYLATION,22
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES,23
KEGG_RIBOSOME,24
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,25
KEGG_FOCAL_ADHESION,26
REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION,27
REACTOME_PLATELET_HOMEOSTASIS,28
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,29
KEGG_BETA_ALANINE_METABOLISM,30
REACTOME_DEFECTS_IN_BIOTIN_BTN_METABOLISM,31
REACTOME_DIGESTION,32
REACTOME_PHENYLALANINE_METABOLISM,33
REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI,34
REACTOME_FERTILIZATION,35
REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES,36
REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES,37
KEGG_PROPANOATE_METABOLISM,38
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS,39
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX,40
REACTOME_MINERALOCORTICOID_BIOSYNTHESIS,41
REACTOME_PEXOPHAGY,42
REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,43
REACTOME_NUCLEOTIDE_SALVAGE,44
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,45
REACTOME_AMYLOID_FIBER_FORMATION,46
REACTOME_MULTIFUNCTIONAL_ANION_EXCHANGERS,47
REACTOME_SIALIC_ACID_METABOLISM,48
REACTOME_DIGESTION_OF_DIETARY_LIPID,49
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,50
REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME,51
REACTOME_HIV_LIFE_CYCLE,52
KEGG_ADHERENS_JUNCTION,53
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS,54
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS,55
KEGG_ALLOGRAFT_REJECTION,56
KEGG_TGF_BETA_SIGNALING_PATHWAY,57
REACTOME_EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS,58
KEGG_STEROID_HORMONE_BIOSYNTHESIS,59
REACTOME_ION_HOMEOSTASIS,60
REACTOME_MAPK6_MAPK4_SIGNALING,61
REACTOME_ONCOGENE_INDUCED_SENESCENCE,62
REACTOME_PIWI_INTERACTING_RNA_PIRNA_BIOGENESIS,63
KEGG_OXIDATIVE_PHOSPHORYLATION,64
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION,65
REACTOME_METABOLISM_OF_RNA,66
KEGG_TIGHT_JUNCTION,67
REACTOME_HCMV_INFECTION,68
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,69
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS,70
