"X","stat","pval","p.adj","num.genes","gene.vals","Driver","DriverNumeric"
"REACTOME_INTERLEUKIN_6_SIGNALING",-0.0160423909386565,0.11,0.11,10,"JAK2:6764.5, TYK2:6764.5, CBL:6764.5, STAT1:6764.5, IL6:6764.5, IL6R:6764.5, JAK1:6764.5, PTPN11:6764.5, SOCS3:6764.5, IL6ST:14663","Unclear",0
"REACTOME_APOPTOSIS",0.066140305779955,0.00736257421567367,0.119317577535756,139,"DYNLL1:16, DSG3:32, RIPK1:89, BID:149, H1-1:339, TNFSF10:352, APPL1:394, TRAF2:417, LMNB1:430, BCL2L11:440, H1-4:469, TFDP2:545, CASP3:734, PSMB7:758, BAX:826, E2F1:844, CDH1:854, PSMD10:1061, H1-3:1065, PSMD2:1263, PTK2:1426, TJP2:1442, PSMD1:1497, PSME3:1500, H1-5:1610, PSMB2:1616, PSMB1:1715, TJP1:1828, PSMD13:1854, SATB1:1947, TP53:2043, PSME1:2104, ADD1:2243, PSMA1:2491, PSME2:2497, PSME4:2569, BCL2L1:2620, H1-2:2638, BCAP31:2700, HMGB2:2710, GAS2:2790, UNC5A:2792, PKP1:2891, DAPK1:2947, DBNL:3018, DIABLO:3124, PRKCD:3129, PSMD8:3284, VIM:3294, FASLG:3535, BAD:8340.5, CFLAR:8340.5, BAK1:8340.5, DAPK2:8340.5, DSG2:8340.5, CASP8:8340.5, PRKCQ:8340.5, ROCK1:8340.5, ARHGAP10:8340.5, TP63:8340.5, TP73:8340.5, DNM1L:8340.5, PPP1R13B:8340.5, PSMD5:8340.5, DSP:8340.5, PSMB5:8340.5, ACIN1:8340.5, XIAP:8340.5, BMX:8340.5, STK24:8340.5, TRADD:8340.5, MAPK3:8340.5, BMF:8340.5, GSDMD:8340.5, AKT2:8340.5, BBC3:8340.5, GSDME:8340.5, UNC5B:8340.5, PSMD3:8340.5, BIRC2:8340.5, PSMD9:8340.5, APAF1:8340.5, PPP3CC:8340.5, PSMF1:8340.5, SEM1:8340.5, CASP9:8340.5, STK26:8340.5, DSG1:8340.5, APC:8340.5, NMT1:8340.5, TLR4:8340.5, CASP6:8340.5, AKT1:8340.5, PSMB6:8340.5, CDKN2A:8340.5, GSN:8340.5, APIP:8340.5, LY96:8340.5, PSMA8:8340.5, PSMD4:8340.5, PSMB4:8340.5, LMNA:8340.5, OMA1:8340.5, PSMD6:8340.5, CASP7:8340.5, DAPK3:8340.5, FADD:8340.5, FNTA:8340.5, DFFB:8340.5, AVEN:8340.5, UBB:8340.5, CD14:8340.5, BCL2:8340.5, SFN:8340.5, PAK2:8340.5, MAPT:8340.5, DCC:8340.5, H1-0:8340.5, PSMD12:8340.5, SPTAN1:8340.5, OCLN:8340.5, TFDP1:8340.5, OPA1:8340.5, PSMB8:8340.5, PSMB10:8340.5, PPP3R1:8340.5, UBA52:8340.5, PSMB11:8340.5, DYNLL2:8340.5, FAS:13225, DFFA:13280, PLEC:13314, RPS27A:13448, C1QBP:13629, CLSPN:13743, UACA:14637, PSMB9:14680, TICAM2:14780, TP53BP2:14796","MixOfBoth",4
"REACTOME_HEMOSTASIS",0.0358661605698275,0.00810391987796761,0.126525260560092,480,"CLU:3, HSPA5:23, H3-3A:36, PRKCG:51, MAFK:62, DGKD:68, TGFB1:76, L1CAM:93, APOA1:103, FGG:113, COL1A1:116, VAV3:139, ATP2A2:161, COL1A2:163, FN1:182, TLN1:256, PRKCB:290, SIN3A:313, SLC16A3:324, CD9:347, CXADR:365, ATP2B1:375, CD63:406, EHD2:422, KIF21B:441, ANXA5:445, SLC7A11:450, IRF2:462, TUBA1B:515, TUBB8:532, TUBB8B:548, STX4:566, SLC7A6:597, DOCK4:643, CALU:645, CD36:685, PRKAR2A:699, SLC16A8:730, HDAC1:776, ATP1B1:782, ITGAX:816, HABP4:845, KIF5B:846, SYK:856, ORAI2:863, PPP2R5C:866, IGF2:913, ATP2B3:937, ACTN2:948, KLC2:953, PCYOX1L:1015, BRPF3:1084, SOD1:1124, RCOR1:1157, EHD1:1191, CAPZA1:1216, ORAI1:1267, GPC1:1299, GATA3:1335, KCNMA1:1343, SRI:1362, KIF1A:1393, MFN1:1411, EHD3:1413, PTK2:1426, CAV1:1429, ADRA2B:1509, VCL:1552, P2RX4:1553, KIF4A:1565, GATA1:1568, TUBB2A:1593, YES1:1601, P2RX1:1605, GNB3:1640, PDPK1:1661, ORM2:1681, ORM1:1704, ITIH3:1726, ATP2B4:1730, ATP2A3:1825, DGKB:1851, OLA1:1857, TUBA1A:1895, HBE1:1903, PIK3CA:1911, PDE2A:1928, GNB5:1966, MANF:1968, KIF3B:1973, TP53:2043, DOCK3:2072, ATP1B3:2073, CD109:2101, PRKACA:2118, TUBB2B:2129, CSK:2135, PRKACB:2211, VTI1B:2224, ABHD12:2228, GRB14:2281, TIMP3:2285, F12:2309, DGKA:2327, SERPIND1:2347, ITPK1:2354, DOCK1:2372, PLA2G4A:2404, PDE5A:2408, CD47:2410, HMG20B:2458, DGKQ:2474, PDGFA:2485, RAF1:2502, PROCR:2522, PPP2R5D:2525, SOS1:2540, DGKI:2557, SLC7A8:2585, THBS1:2588, P2RX3:2607, ITGAV:2618, PPIL2:2619, MERTK:2630, KDM1A:2643, ITPR1:2650, TGFB2:2688, AKAP10:2722, TEK:2735, CAP1:2781, LYN:2783, TRPC3:2804, MIF:2811, H3C2:2825, AK3:2884, PRKCA:2920, WDR1:3021, DOCK2:3043, KIF2C:3098, TGFB3:3099, CHID1:3126, PRKCD:3129, PRKG2:3154, F13B:3196, GNA14:3202, MAG:3203, GUCY1A1:3264, VEGFA:3355, PLAT:3430, ATP1B2:3513, JAK2:8340.5, PTPN11:8340.5, PRKCQ:8340.5, MAPK3:8340.5, AKT1:8340.5, FGR:8340.5, PRKAR2B:8340.5, ITGAL:8340.5, ITGA3:8340.5, TBXA2R:8340.5, NOS2:8340.5, SELE:8340.5, PLAUR:8340.5, IGF1:8340.5, CD74:8340.5, HGF:8340.5, SLC7A9:8340.5, CD44:8340.5, PRKCH:8340.5, RAB27B:8340.5, LCP2:8340.5, BCAR1:8340.5, PIK3CB:8340.5, KIF1B:8340.5, ITIH4:8340.5, F7:8340.5, DGKG:8340.5, GNA15:8340.5, GUCY1B1:8340.5, PPP2R5A:8340.5, CD84:8340.5, KIF26A:8340.5, KIF2A:8340.5, RASGRP2:8340.5, PPP2R5B:8340.5, TRPC7:8340.5, SPP2:8340.5, ACTN1:8340.5, MGLL:8340.5, ACTB:8340.5, KIFAP3:8340.5, STXBP2:8340.5, APBB1IP:8340.5, CAPZB:8340.5, RAPGEF3:8340.5, KIF22:8340.5, CARMIL1:8340.5, P2RX5:8340.5, APLP2:8340.5, APOB:8340.5, KIF3C:8340.5, GP6:8340.5, DOCK9:8340.5, F11:8340.5, P2RX7:8340.5, NOS1:8340.5, GLG1:8340.5, ITGA6:8340.5, RAPGEF4:8340.5, APOH:8340.5, ANGPT2:8340.5, ITPR3:8340.5, P2RX6:8340.5, PICK1:8340.5, PDGFB:8340.5, SERPINA4:8340.5, SLC8A3:8340.5, TUBB1:8340.5, ANGPT4:8340.5, F9:8340.5, TIMP1:8340.5, DGKH:8340.5, SLC7A5:8340.5, SCG3:8340.5, TUBB4A:8340.5, KLC3:8340.5, PIK3R2:8340.5, PIK3CG:8340.5, SERPINE1:8340.5, RARRES2:8340.5, CDC37L1:8340.5, DOCK8:8340.5, RAD51C:8340.5, LGALS3BP:8340.5, PRKAR1A:8340.5, PF4V1:8340.5, VWF:8340.5, SH2B3:8340.5, PTPN6:8340.5, PHACTR2:8340.5, PDE10A:8340.5, SPARC:8340.5, KNG1:8340.5, ITGA4:8340.5, PDE1A:8340.5, PROC:8340.5, SDC1:8340.5, PLEK:8340.5, QSOX1:8340.5, STXBP3:8340.5, DOCK7:8340.5, MFN2:8340.5, CD2:8340.5, PIK3R3:8340.5, SERPINC1:8340.5, SLC8A2:8340.5, MYB:8340.5, EPCAM:8340.5, GNA13:8340.5, AKAP1:8340.5, A1BG:8340.5, KIF18A:8340.5, PLG:8340.5, CD244:8340.5, PLAU:8340.5, SRGN:8340.5, ITPR2:8340.5, PDE1B:8340.5, CDK2:8340.5, NFE2:8340.5, SDC4:8340.5, F13A1:8340.5, TREM1:8340.5, KIF25:8340.5, IRF1:8340.5, KLC1:8340.5, F2RL3:8340.5, TUBA4A:8340.5, AAMP:8340.5, VPREB3:8340.5, PDE11A:8340.5, ISLR:8340.5, DOCK6:8340.5, ACTN4:8340.5, SLC7A10:8340.5, RBSN:8340.5, KIF3A:8340.5, JCHAIN:8340.5, CABLES1:8340.5, DAGLA:8340.5, PHF21A:8340.5, MICAL1:8340.5, DOCK10:8340.5, SERPINE2:8340.5, GATA4:8340.5, VPS45:8340.5, KLC4:8340.5, ARRB1:8340.5, PRCP:8340.5, TRPC6:8340.5, PPP2R1B:8340.5, KIF23:8340.5, KIF11:8340.5, KIF20B:8340.5, MMRN1:8340.5, EGF:8340.5, KIF21A:8340.5, KIF2B:8340.5, GATA6:8340.5, GRB7:8340.5, VAV1:8340.5, APP:8340.5, ITGA10:8340.5, ECM1:8340.5, SCCPDH:8340.5, AHSG:8340.5, PIK3R1:8340.5, LHFPL2:8340.5, KCNMB1:8340.5, GNA12:8340.5, DOK2:8340.5, DGKZ:8340.5, CABLES2:8340.5, ALDOA:8340.5, ITGB1:8340.5, VEGFC:8340.5, GUCY1A2:8340.5, DGKE:8340.5, JAM2:8340.5, APOOL:8340.5, SLC7A7:8340.5, KIF5A:8340.5, TSPAN7:8340.5, ATP2B2:8340.5, LRP8:8340.5, PAFAH2:8340.5, TAGLN2:8340.5, F11R:8340.5, FCER1G:8340.5, CYB5R1:8340.5, PTGIR:8340.5, PDE9A:8340.5, ITGB2:8340.5, VAV2:8340.5, JAML:8340.5, SH2B2:8340.5, ITGA5:8340.5, RACGAP1:8340.5, SDC3:8340.5, ALB:8340.5, ABHD6:8340.5, PF4:8340.5, KIF15:8340.5, CLEC3B:8340.5, TEX264:8340.5, ITGA2:8340.5, F2RL2:8340.5, KLKB1:8340.5, DAGLB:8340.5, NOS3:8340.5, VEGFD:8340.5, CLEC1B:8340.5, JAM3:8340.5, TMX3:8340.5, WEE1:8340.5, STIM1:8340.5, KIFC2:8340.5, SERPINF2:8340.5, SLC3A2:8340.5, INPP5D:8340.5, P2RY12:8340.5, SDC2:8340.5, GP9:8340.5, PCDH7:8340.5, P2RY1:8340.5, ITGAM:8340.5, ZFPM2:8340.5, KCNMB3:8340.5, PRKCE:8340.5, FGB:8340.5, BSG:8340.5, GTPBP2:8340.5, CTSW:8340.5, CFL1:8340.5, VEGFB:8340.5, SELP:8340.5, SH2B1:8340.5, TUBAL3:8340.5, THBD:8340.5, GATA2:8340.5, F2:8340.5, ANXA2:8340.5, LCK:8340.5, SLC8A1:8340.5, H3C13:8340.5, TUBA8:8340.5, ADRA2C:8340.5, PROS1:8340.5, F8:8340.5, MAFF:8340.5, P2RX2:8340.5, PRKAR1B:8340.5, TUBB4B:8340.5, SERPINA5:8340.5, KIF19:8340.5, PPIA:8340.5, ATP2A1:8340.5, PTPN1:8340.5, NHLRC2:8340.5, FLNA:8340.5, FAM3C:8340.5, SRC:8340.5, H3C4:8340.5, KCNMB2:8340.5, SERPINB2:8340.5, PSAP:8340.5, CFD:8340.5, KIF13B:8340.5, PLCG2:8340.5, TOR4A:8340.5, MPIG6B:8340.5, CD177:8340.5, LAT:8340.5, ITGA1:8340.5, GNAT3:8340.5, PECAM1:8340.5, H3C8:8340.5, DGKK:8340.5, H3C11:8340.5, H3C1:8340.5, H3C10:8340.5, OLR1:13111, FERMT3:13138, JMJD1C:13162, GP5:13215, PIK3R6:13267, LAMP2:13279, RASGRP1:13310, KIF18B:13334, ADRA2A:13459, PIK3R5:13460, KIF27:13477, GP1BB:13567, KIFC1:13576, SHC1:13593, F10:13615, C1QBP:13629, F5:13680, KIF20A:13696, KIF12:13710, SELL:13740, LY6G6F:13753, GAS6:13762, F3:13768, KIF9:13815, RAD51B:13820, CD48:13868, TFPI:13914, CENPE:13919, ITGA2B:13932, KIF6:14073, SYTL4:14085, IRAG1:14094, ARRB2:14132, DOCK11:14134, PLCG1:14156, LEFTY2:14187, RHOA:14222, ITGB3:14240, KIF16B:14324, GATA5:14418, F2R:14429, ABL1:14480, CDC42:14594, A2M:14683, KIF26B:14744, MPL:14766, ENDOD1:14817, KIF1C:14907, THPO:14996","Both",3
"REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS",0.0227874985934511,0.618412565412242,0.885280984190643,40,"DYNLL1:16, BID:149, BCL2L11:440, TFDP2:545, CASP3:734, BAX:826, E2F1:844, TP53:2043, BCL2L1:2620, DIABLO:3124, BAD:8340.5, BAK1:8340.5, CASP8:8340.5, TP63:8340.5, TP73:8340.5, PPP1R13B:8340.5, XIAP:8340.5, MAPK3:8340.5, BMF:8340.5, GSDMD:8340.5, AKT2:8340.5, BBC3:8340.5, GSDME:8340.5, APAF1:8340.5, PPP3CC:8340.5, CASP9:8340.5, NMT1:8340.5, AKT1:8340.5, CDKN2A:8340.5, APIP:8340.5, CASP7:8340.5, AVEN:8340.5, BCL2:8340.5, SFN:8340.5, TFDP1:8340.5, PPP3R1:8340.5, DYNLL2:8340.5, C1QBP:13629, UACA:14637, TP53BP2:14796","Vertivore",2
"REACTOME_MAPK3_ERK1_ACTIVATION",-0.00265584706805694,0.11,0.11,8,"JAK2:6764.5, TYK2:6764.5, IL6:6764.5, IL6R:6764.5, JAK1:6764.5, PTPN11:6764.5, MAPK3:6764.5, IL6ST:14663","Unclear",0
"REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE",-0.0797794898711556,0.11,0.11,36,"POLK:142, POLH:242, RPA2:720, USP10:801, RPS27A:1657, SPRTN:1938, UBB:6764.5, UBA52:6764.5, REV3L:6764.5, RFC1:6764.5, RFC2:6764.5, POLD1:6764.5, UFD1:6764.5, POLD3:6764.5, POLE2:6764.5, POLI:6764.5, RPA3:6764.5, POLD2:6764.5, RFC5:6764.5, POLE4:6764.5, TRIM25:6764.5, RPA1:6764.5, REV1:6764.5, POLE3:6764.5, USP43:6764.5, UBE2L6:6764.5, RCHY1:6764.5, RFC4:6764.5, PCLAF:6764.5, POLE:6764.5, ISG15:6764.5, UBA7:11668, NPLOC4:11872, POLD4:12026, MAD2L2:13534, RFC3:13546","Unclear",0
"REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX",-0.0238890137047855,0.11,0.11,25,"RPA2:720, RPS27A:1657, UBB:6764.5, UBA52:6764.5, RFC1:6764.5, RFC2:6764.5, POLD1:6764.5, POLD3:6764.5, POLE2:6764.5, RPA3:6764.5, POLD2:6764.5, RFC5:6764.5, POLE4:6764.5, RPA1:6764.5, POLE3:6764.5, RFC4:6764.5, POLE:6764.5, RAD18:6764.5, CUL4A:6764.5, CUL4B:6764.5, USP1:6764.5, POLD4:12026, RFC3:13546, DTL:14386, UBE2B:14901","Unclear",0
"REACTOME_TRANSLESION_SYNTHESIS_BY_POLH",-0.111477387498597,0.11,0.11,16,"POLH:242, RPA2:720, RPS27A:1657, SPRTN:1938, UBB:6764.5, UBA52:6764.5, RFC1:6764.5, RFC2:6764.5, UFD1:6764.5, RPA3:6764.5, RFC5:6764.5, RPA1:6764.5, RCHY1:6764.5, RFC4:6764.5, NPLOC4:11872, RFC3:13546","Unclear",0
"REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE",-0.0680543698045383,0.11,0.11,25,"MUTYH:170, H4C15:332, H4C14:728, TINF2:6764.5, ACD:6764.5, MPG:6764.5, NEIL3:6764.5, OGG1:6764.5, POT1:6764.5, TERF1:6764.5, H4C8:6764.5, TERF2IP:6764.5, H2AC20:6764.5, H2BC21:6764.5, H4C3:6764.5, H4C11:6764.5, H2BC15:6764.5, H4C13:6764.5, H2AC14:6764.5, H2AC4:6764.5, H4C1:6764.5, H4C2:6764.5, H2BC9:12093, H2BC4:12905, TERF2:14332","Unclear",0
"REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1",-0.15777703022601,0.11,0.11,9,"MUTYH:170, MBD4:1044, MPG:6764.5, OGG1:6764.5, NTHL1:6764.5, UNG:6764.5, APEX1:6764.5, SMUG1:6764.5, TDG:6764.5","Unclear",0
