GO.ID	Description	pVal	p.adj	Phenotype	Gene.vals
REACTOME_INTERLEUKIN_6_SIGNALING	Unclear	0.860586757771046	0.964349238198382	-1	JAK2:6764.5, TYK2:6764.5, CBL:6764.5, STAT1:6764.5, IL6:6764.5, IL6R:6764.5, JAK1:6764.5, PTPN11:6764.5, SOCS3:6764.5, IL6ST:14663
REACTOME_MAPK3_ERK1_ACTIVATION	Unclear	0.9792503502038	0.994788519146659	-1	JAK2:6764.5, TYK2:6764.5, IL6:6764.5, IL6R:6764.5, JAK1:6764.5, PTPN11:6764.5, MAPK3:6764.5, IL6ST:14663
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	Unclear	0.0979760296900857	0.432061716971048	-1	POLK:142, POLH:242, RPA2:720, USP10:801, RPS27A:1657, SPRTN:1938, UBB:6764.5, UBA52:6764.5, REV3L:6764.5, RFC1:6764.5, RFC2:6764.5, POLD1:6764.5, UFD1:6764.5, POLD3:6764.5, POLE2:6764.5, POLI:6764.5, RPA3:6764.5, POLD2:6764.5, RFC5:6764.5, POLE4:6764.5, TRIM25:6764.5, RPA1:6764.5, REV1:6764.5, POLE3:6764.5, USP43:6764.5, UBE2L6:6764.5, RCHY1:6764.5, RFC4:6764.5, PCLAF:6764.5, POLE:6764.5, ISG15:6764.5, UBA7:11668, NPLOC4:11872, POLD4:12026, MAD2L2:13534, RFC3:13546
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	Unclear	0.679484316734514	0.904056591089387	-1	RPA2:720, RPS27A:1657, UBB:6764.5, UBA52:6764.5, RFC1:6764.5, RFC2:6764.5, POLD1:6764.5, POLD3:6764.5, POLE2:6764.5, RPA3:6764.5, POLD2:6764.5, RFC5:6764.5, POLE4:6764.5, RPA1:6764.5, POLE3:6764.5, RFC4:6764.5, POLE:6764.5, RAD18:6764.5, CUL4A:6764.5, CUL4B:6764.5, USP1:6764.5, POLD4:12026, RFC3:13546, DTL:14386, UBE2B:14901
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	Unclear	0.122781125572546	0.47000927687325	-1	POLH:242, RPA2:720, RPS27A:1657, SPRTN:1938, UBB:6764.5, UBA52:6764.5, RFC1:6764.5, RFC2:6764.5, UFD1:6764.5, RPA3:6764.5, RFC5:6764.5, RPA1:6764.5, RCHY1:6764.5, RFC4:6764.5, NPLOC4:11872, RFC3:13546
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Unclear	0.239188058263493	0.633498156409075	-1	MUTYH:170, H4C15:332, H4C14:728, TINF2:6764.5, ACD:6764.5, MPG:6764.5, NEIL3:6764.5, OGG1:6764.5, POT1:6764.5, TERF1:6764.5, H4C8:6764.5, TERF2IP:6764.5, H2AC20:6764.5, H2BC21:6764.5, H4C3:6764.5, H4C11:6764.5, H2BC15:6764.5, H4C13:6764.5, H2AC14:6764.5, H2AC4:6764.5, H4C1:6764.5, H4C2:6764.5, H2BC9:12093, H2BC4:12905, TERF2:14332
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	Unclear	0.101265655777486	0.435756509228656	-1	MUTYH:170, MBD4:1044, MPG:6764.5, OGG1:6764.5, NTHL1:6764.5, UNG:6764.5, APEX1:6764.5, SMUG1:6764.5, TDG:6764.5
REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	Unclear	0.268597213483477	0.644338816851768	-1	LIG1:126, PARP1:1225, PARP2:1629, APEX1:6764.5, FEN1:6764.5, PARG:6764.5, ADPRS:12124, POLB:13085
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	Unclear	0.255397752275395	0.640448049169037	-1	LIG1:126, RPA2:720, PARP1:1225, PARP2:1629, RFC1:6764.5, RFC2:6764.5, POLD1:6764.5, POLD3:6764.5, POLE2:6764.5, RPA3:6764.5, POLD2:6764.5, RFC5:6764.5, POLE4:6764.5, RPA1:6764.5, POLE3:6764.5, RFC4:6764.5, POLE:6764.5, APEX1:6764.5, FEN1:6764.5, PARG:6764.5, POLD4:12026, ADPRS:12124, POLB:13085, RFC3:13546
REACTOME_FORMATION_OF_APOPTOSOME	Unclear	0.449338266966128	0.795050927713375	-1	UACA:468, XIAP:6764.5, MAPK3:6764.5, APAF1:6764.5, CASP9:6764.5, APIP:6764.5, AVEN:6764.5, DIABLO:11981
REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE	Unclear	0.789586270237674	0.936974013251486	-1	UACA:468, XIAP:6764.5, MAPK3:6764.5, APAF1:6764.5, CASP9:6764.5, APIP:6764.5, CASP7:6764.5, AVEN:6764.5, DIABLO:11981, CASP3:14371
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE	Unclear	0.665728556287002	0.901640824405102	-1	UACA:468, C1QBP:1476, BAK1:6764.5, XIAP:6764.5, MAPK3:6764.5, GSDMD:6764.5, GSDME:6764.5, APAF1:6764.5, CASP9:6764.5, CDKN2A:6764.5, APIP:6764.5, CASP7:6764.5, AVEN:6764.5, DIABLO:11981, BAX:14279, CASP3:14371
REACTOME_NEUROTRANSMITTER_CLEARANCE	Unclear	0.446174180181932	0.792563592973423	-1	SLC22A2:6764.5, SLC22A1:6764.5, MAOA:6764.5, ACHE:6764.5, COMT:6764.5, SLC6A4:6764.5, ALDH2:6764.5, BCHE:6764.5, SLC6A3:6764.5, LRTOMT:6764.5
REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION	Unclear	0.886961019707437	0.964892570788339	-1	DUSP16:374, JAK2:6764.5, TYK2:6764.5, IL6:6764.5, IL6R:6764.5, JAK1:6764.5, PTPN11:6764.5, MAPK3:6764.5, DUSP1:6764.5, DUSP4:6764.5, MAP2K2:6764.5, DUSP9:6764.5, DUSP6:6764.5, DUSP10:6764.5, DUSP7:6764.5, DUSP8:6764.5, DUSP5:11563, DUSP2:12270, PEA15:12904, IL6ST:14663
REACTOME_MAPK1_ERK2_ACTIVATION	Unclear	0.9792503502038	0.994788519146659	-1	JAK2:6764.5, TYK2:6764.5, IL6:6764.5, IL6R:6764.5, JAK1:6764.5, PTPN11:6764.5, MAP2K2:6764.5, IL6ST:14663
REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS	Unclear	0.255881161570813	0.640769075433579	-1	RASGRP1:1795, RASGRP3:6764.5
REACTOME_SIGNALING_BY_NODAL	Unclear	0.380883723770843	0.744731260669142	-1	LEFTY1:624, LEFTY2:918, MAPK3:6764.5, ACVR2B:6764.5, FOXO3:6764.5, ACVR1C:6764.5, GDF1:6764.5, ACVR1B:6764.5, SMAD4:6764.5, CER1:6764.5, NODAL:6764.5, FOXH1:6764.5, DRAP1:6764.5, DAND5:6764.5, FURIN:13013, PCSK6:13665
REACTOME_FERTILIZATION	Unclear	0.775019473030943	0.93406424456871	-1	ZP3:1014, ZP1:1991, B4GALT1:6764.5, CATSPERG:6764.5, IZUMO4:6764.5, ZP2:6764.5, ZP4:6764.5, HVCN1:6764.5, ADAM20:6764.5, ADAM30:6764.5, ADAM21:6764.5, IZUMO2:6764.5, CATSPER2:6764.5, CATSPERD:6764.5, CATSPER4:6764.5, IZUMO3:6764.5, KCNU1:6764.5, ADAM2:12119, CATSPER3:13042, CATSPERB:13562, CD9:14758
REACTOME_MEIOTIC_SYNAPSIS	Unclear	0.539073716475041	0.862474234347323	-1	H4C15:332, BRCA1:424, H4C14:728, UBE2I:737, SYNE2:785, LMNA:6764.5, TINF2:6764.5, ACD:6764.5, POT1:6764.5, TERF1:6764.5, H4C8:6764.5, TERF2IP:6764.5, H2AC20:6764.5, H2BC21:6764.5, H4C3:6764.5, H4C11:6764.5, H2BC15:6764.5, H4C13:6764.5, H2AC14:6764.5, H2AC4:6764.5, H4C1:6764.5, H4C2:6764.5, STAG3:6764.5, SMC1B:6764.5, SUN2:6764.5, REC8:6764.5, DIDO1:6764.5, STAG1:6764.5, HSPA2:6764.5, SYNE1:6764.5, TEX12:6764.5, SYCE2:6764.5, ATR:6764.5, SYCP2:6764.5, SYCP1:6764.5, H2BC9:12093, FKBP6:12858, SYCE3:12888, H2BC4:12905, SUN1:12942, STAG2:12946, RAD21:13441, TERF2:14332, LMNB1:14675
REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES	Unclear	0.89577733309279	0.965965204533828	-1	NCF1:1242, NOS2:6764.5, NOS1:6764.5, NOS3:6764.5, HVCN1:6764.5, MPO:6764.5, SLC11A1:6764.5, ATP6V1H:6764.5, CYBA:6764.5, NCF4:6764.5, TCIRG1:6764.5, ATP6V1B1:6764.5, NCF2:6764.5, ATP6V0B:6764.5, ATP6V1F:6764.5, ATP6V1E1:6764.5, ATP6V1C2:6764.5, ATP6V1B2:6764.5, ATP6V1G3:6764.5, ATP6V1C1:6764.5, ATP6V0D1:6764.5, CYBB:6764.5, LPO:6764.5, ATP6V0A2:6764.5, ATP6V1E2:6764.5, ATP6V0A1:11688, ATP6V0C:11915, ATP6V0A4:14236, ATP6V1A:14674, ATP6V0D2:14680
REACTOME_SIGNALING_BY_ERBB2	Unclear	0.923409433255971	0.97344966533125	-1	RHOA:883, PLCG1:949, PTK6:1047, DIAPH1:1253, SHC1:1512, NRG1:1631, RPS27A:1657, MATK:1780, AKT2:6764.5, AKT1:6764.5, UBB:6764.5, UBA52:6764.5, EGF:6764.5, GRB7:6764.5, PIK3R1:6764.5, PRKCE:6764.5, SRC:6764.5, ERBB4:6764.5, GAB1:6764.5, ERBB3:6764.5, PTPN18:6764.5, HSP90AA1:6764.5, ERBIN:6764.5, PTPN12:6764.5, NRG2:6764.5, NRG4:6764.5, BTC:6764.5, USP8:11590, PRKCD:11976, PRKCA:12185, NRG3:12242, HBEGF:12312, SOS1:12565, PIK3CA:13194, YES1:13504, ERBB2:13656, STUB1:13726, CDC37:13941, EGFR:14273, EREG:14351
REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS	Unclear	0.832606680190659	0.955563236399592	-1	PLCG1:949, SHC1:1512, RPS27A:1657, CBL:6764.5, UBB:6764.5, UBA52:6764.5, EGF:6764.5, PIK3R1:6764.5, GAB1:6764.5, HSP90AA1:6764.5, SOS1:12565, PIK3CA:13194, CDC37:13941, EGFR:14273
REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES	Unclear	0.67580168247628	0.904056591089387	-1	NCF1:1242, ITGB5:1851, CYBA:6764.5, NCF4:6764.5, NCF2:6764.5, CYBB:6764.5, ITGAV:12487, CD36:14420
REACTOME_METHIONINE_SALVAGE_PATHWAY	Unclear	0.640617570583041	0.886539391642434	-1	MRI1:2019, APIP:6764.5, MTAP:6764.5, ENOPH1:6764.5, ADI1:6764.5, GOT1:12789
REACTOME_DOWNREGULATION_OF_ERBB4_SIGNALING	Unclear	0.510466887502705	0.844179373884758	-1	NEDD4:497, RPS27A:1657, UBB:6764.5, UBA52:6764.5, SRC:6764.5, ERBB4:6764.5, ITCH:12240, WWP1:12757
REACTOME_INTERLEUKIN_7_SIGNALING	Unclear	0.388431902873207	0.747430865400631	-1	RAG1:96, JAK3:338, BRWD1:882, JAK1:6764.5, HGF:6764.5, PIK3R2:6764.5, PIK3R3:6764.5, PIK3R1:6764.5, H3C13:6764.5, H3C4:6764.5, H3C8:6764.5, H3C11:6764.5, H3C1:6764.5, H3C10:6764.5, IRS1:6764.5, STAT5A:6764.5, STAT5B:6764.5, CISH:6764.5, SOCS2:6764.5, SMARCA4:6764.5, IL2RG:6764.5, RAG2:6764.5, SOCS1:6764.5, H3C2:12280, IL7R:13490, IL7:14026, TSLP:14255
REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING	Unclear	0.574328522063403	0.873209820803476	-1	RPS27A:1657, CBL:6764.5, PTPN11:6764.5, MAPK3:6764.5, UBB:6764.5, UBA52:6764.5, SRC:6764.5, MKNK1:6764.5, SPRY2:6764.5, BRAF:14407
REACTOME_CA2_ACTIVATED_K_CHANNELS	Unclear	0.915344600677352	0.971809827245199	-1	KCNMB1:6764.5, KCNMB3:6764.5, KCNMB2:6764.5, KCNN2:6764.5, KCNN4:6764.5, KCNN1:6764.5, KCNN3:6764.5, KCNMA1:13762
REACTOME_GRB7_EVENTS_IN_ERBB2_SIGNALING	Unclear	0.731538967351116	0.921064775233283	-1	NRG1:1631, GRB7:6764.5, ERBB3:6764.5, NRG2:6764.5, ERBB2:13656
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING	Unclear	0.520327066064195	0.845942019940256	-1	NRG1:1631, RPS27A:1657, AKT2:6764.5, AKT1:6764.5, UBB:6764.5, UBA52:6764.5, ERBB3:6764.5, NRG2:6764.5, USP8:11590, ERBB2:13656
REACTOME_MITOCHONDRIAL_IRON_SULFUR_CLUSTER_BIOGENESIS	Unclear	0.88402819908393	0.964892570788339	-1	FXN:1934, HSCB:6764.5, FDX1:6764.5, SLC25A28:6764.5, FDXR:6764.5, ISCA2:6764.5, GLRX5:6764.5, NFS1:6764.5, FDX2:6764.5, ISCU:13152, SLC25A37:14418
REACTOME_EXTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	Unclear	0.0294784027290124	0.24805926133916	-1	TFPI:1191, F3:1337, F10:1490, F7:6764.5, F9:6764.5
