"","CH-Rho","CH-P","CH-p.adj","CH-significant","CO-Rho","CO-P","CO-p.adj","CO-significant","HO-Rho","HO-P","HO-p.adj","HO-significant","CH-CO-Overlap","CH-HO-Overlap","CO-HO-Overlap","CH-CO-HO-Overlap","CH-CO-Delta","CH-HO-Delta","CO-HO-Delta"
"ARF5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M6PR",1.62054584640939,0.315345222901535,0.835357012628181,FALSE,1.29052162009028,0.59060883056302,1,FALSE,-0.213987328097756,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.233362368386087,1.29721084800569,1.0638484796196
"FKBP4",0.600698922059664,1,1,FALSE,2.67545016739931,0.0223886900809628,0.217022376204945,FALSE,2.12857043694989,0.099869449743224,0.804921133077121,FALSE,FALSE,FALSE,FALSE,FALSE,1.46707067485489,1.08036830896064,0.386702365894251
"CYP26B1",0.0121510944151989,1,1,FALSE,-0.583847881476363,1,1,FALSE,-0.59777884874641,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.421434917433161,0.431285598858299,0.00985068142513859
"NDUFAF7",-0.549020616075147,1,1,FALSE,-1.47319810333904,0.422092879090263,1,FALSE,-0.975234312602939,0.988332136233578,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.653492168264246,0.301378595049387,0.352113573214859
"FUCA2",-1.60657538807527,0.324442635333269,0.850325547200203,FALSE,-1.80244463277103,0.214426435079585,0.783086584563239,FALSE,-0.325694388765295,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.138500471150255,0.905719640505086,1.04422011165534
"DBNDD1",1.04644936872388,0.886060828681476,1,FALSE,0.931004783907914,1,1,FALSE,-0.0102560523026979,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.0816316487746346,0.747203568924478,0.665571920149844
"HS3ST1",-0.167276017834515,1,1,FALSE,0.678844652632834,1,1,FALSE,0.836268564168569,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.598297663789571,0.7096131791574,0.11131551536783
"SEMA3F",-2.25773525374256,0.0718865098465451,0.332521866177224,FALSE,-1.10124295441121,0.812372794316658,1,FALSE,0.981337104695638,0.979279592515326,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.817763547247217,2.29037002940555,1.47260648215833
"CFTR",1.49941263196209,0.401299855698974,0.975700429068886,FALSE,0.909174448629723,1,1,FALSE,-0.480945503261599,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.417361421949543,1.40032466659461,0.982963244645071
"CYP51A1",-1.75960288009437,0.235425488611079,0.695416337742498,FALSE,-0.301599883279965,1,1,FALSE,1.34046416973792,0.540283456742199,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.03096380603778,2.19207843306939,1.16111462703161
"USP28",2.33119062921668,0.0592299301434499,0.294920166170615,FALSE,1.26509324550853,0.617513711722388,1,FALSE,-0.878183262693945,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.75384468942527,2.26937004233306,1.51552535290779
"SLC7A2",-0.824333662347119,1,1,FALSE,-0.818418164225756,1,1,FALSE,-0.0574737350032753,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.00418288883571186,0.542251854845055,0.538068966009343
"HSPB6",-0.122488639524656,1,1,FALSE,0.186524870248239,1,1,FALSE,0.303975787057064,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.21850554823867,0.301555887970767,0.0830503397320967
"PDK4",-0.751487040416448,1,1,FALSE,2.44179116665611,0.043843793719165,0.319155785493266,FALSE,3.14027629999495,0.00506365679071995,0.208506761366103,FALSE,FALSE,FALSE,FALSE,FALSE,2.25798867443623,2.75189224877811,0.493903574341887
