"X","stat","pval","p.adj","num.genes","gene.vals","Driver","DriverNumeric"
"REACTOME_INTERLEUKIN_6_SIGNALING",0.0481790676826536,0.597880943664806,0.778886807389916,10,"CBL:715, JAK2:5975.5, TYK2:5975.5, STAT1:5975.5, IL6ST:5975.5, IL6R:5975.5, PTPN11:5975.5, SOCS3:5975.5, JAK1:11213, IL6:14374","Both",3
"REACTOME_APOPTOSIS",0.0498394689592272,0.0434361389769271,0.165222275475527,139,"PLEC:2, RPS27A:63, UBA52:72, DBNL:81, PTK2:224, TP53BP2:415, BCAP31:427, H1-2:500, DSG2:551, DSP:601, PPP1R13B:843, VIM:855, SPTAN1:857, TRAF2:886, H1-4:919, PSMD12:929, PKP1:1193, XIAP:1304, PSMF1:1374, PSMA1:1653, H1-5:1826, H1-3:1890, CASP7:1940, AKT1:1979, DSG3:2280, BMX:2356, SATB1:2440, PSMA8:2459, UACA:2462, APIP:2572, ROCK1:2612, CASP9:2689, GSDME:2851, UBB:2880, PPP3R1:2890, PSMB11:2904, DSG1:2906, PSMB1:5975.5, FAS:5975.5, CDH1:5975.5, ARHGAP10:5975.5, TP73:5975.5, BAX:5975.5, ADD1:5975.5, PSMB5:5975.5, PSMD10:5975.5, STK24:5975.5, MAPK3:5975.5, TJP1:5975.5, GSDMD:5975.5, AKT2:5975.5, BBC3:5975.5, PSMD3:5975.5, BIRC2:5975.5, LMNB1:5975.5, TFDP2:5975.5, FASLG:5975.5, TJP2:5975.5, APAF1:5975.5, PSMB2:5975.5, PSME3:5975.5, STK26:5975.5, NMT1:5975.5, PSMB7:5975.5, RIPK1:5975.5, TP53:5975.5, PSMB6:5975.5, CDKN2A:5975.5, GSN:5975.5, APPL1:5975.5, PSMD4:5975.5, PSMB4:5975.5, DFFA:5975.5, LMNA:5975.5, PSMD6:5975.5, HMGB2:5975.5, FADD:5975.5, DFFB:5975.5, AVEN:5975.5, BCL2L1:5975.5, BCL2:5975.5, PSMD1:5975.5, SFN:5975.5, DIABLO:5975.5, PSMD13:5975.5, DCC:5975.5, H1-0:5975.5, DAPK1:5975.5, PSMB8:5975.5, PSMB10:5975.5, PSMB9:5975.5, TICAM2:5975.5, PAK2:9033, CASP6:9109, PSME4:9226, PSMD8:9268, TRADD:9532, GAS2:9900, C1QBP:9944, DNM1L:10173, BMF:10221, MAPT:10451, LY96:10571, APC:10734, UNC5A:10784, TFDP1:10809, OPA1:10834, H1-1:10938, TP63:11002, PSMD9:11069, DYNLL2:11118, PSMD5:11284, TLR4:11291, CD14:11450, OMA1:12034, BCL2L11:12110, SEM1:12112, CASP3:12131, E2F1:12151, PSMD2:12292, BID:12395, OCLN:12520, BAD:12894, CASP8:12907, FNTA:12971, BAK1:13358, DAPK2:13370, UNC5B:13413, PSME1:13674, CFLAR:13682, PSME2:13695, TNFSF10:14054, PRKCQ:14160, PRKCD:14162, DAPK3:14225, ACIN1:14519, DYNLL1:14601, CLSPN:14770, PPP3CC:14830","Carnivore",1
"REACTOME_HEMOSTASIS",0.00816132402807346,0.546842605113329,0.740658808058173,480,"DOCK1:95, ITPR1:151, DGKI:196, CDC42:199, KIF26B:210, PTK2:224, PRKCG:239, H3C13:242, TUBA4A:268, DOCK4:281, ITGA3:301, RHOA:308, ITGA6:326, TRPC6:359, CABLES2:372, KIF1A:390, GNAT3:402, DAGLA:433, H3C11:457, ISLR:495, CARMIL1:537, PIK3R5:538, TUBB4A:555, SLC8A3:562, PPIA:581, PDGFA:626, KIF26A:649, H3C4:709, L1CAM:788, P2RX2:858, GPC1:865, PPP2R1B:909, GNA12:940, TIMP1:1038, ECM1:1046, MAFK:1058, GNA13:1176, VEGFD:1199, AK3:1232, ADRA2C:1235, TGFB3:1274, TOR4A:1295, H3C1:1300, P2RX7:1318, H3C10:1360, FCER1G:1379, VPS45:1383, ATP1B2:1394, CAV1:1437, PRKCA:1446, PDE1B:1508, NOS1:1519, GNB3:1522, WDR1:1562, ITGA1:1567, H3C8:1571, KIF1B:1585, ATP2A2:1594, JAM2:1606, TUBB1:1629, ATP2A3:1725, KIF25:1750, KIF21B:1772, P2RY1:1782, ATP2B3:1814, GNA14:1818, JAM3:1850, PPP2R5C:1898, TLN1:1913, SHC1:1929, GATA5:1952, TUBA8:1956, KLC4:1961, ALDOA:1974, KCNMA1:1977, AKT1:1979, KIF3C:1994, CHID1:1996, GUCY1A2:2011, DOCK10:2041, PRKG2:2062, RAPGEF4:2106, P2RX3:2292, SLC8A2:2308, KIF2B:2350, CDC37L1:2352, CD74:2355, DOCK8:2371, TMX3:2372, PIK3R6:2392, MAFF:2426, ATP2B2:2433, TRPC3:2471, PTPN6:2509, DOCK11:2536, DOCK2:2542, STIM1:2575, PTGIR:2596, VCL:2619, F10:2628, PDE11A:2630, SLC16A3:2645, NOS3:2651, PDE10A:2714, THBS1:2734, PRKAR1B:2785, VAV2:2812, CAPZB:2822, TUBB2A:2918, JAK2:5975.5, PTPN11:5975.5, MAPK3:5975.5, TP53:5975.5, TFPI:5975.5, KDM1A:5975.5, PRKAR2B:5975.5, EHD3:5975.5, IGF1:5975.5, HGF:5975.5, RAB27B:5975.5, LCP2:5975.5, HSPA5:5975.5, BCAR1:5975.5, DGKG:5975.5, GNA15:5975.5, GUCY1B1:5975.5, PPP2R5A:5975.5, CD84:5975.5, RASGRP2:5975.5, PPP2R5B:5975.5, TRPC7:5975.5, GNB5:5975.5, ATP2B1:5975.5, PRKACA:5975.5, SPP2:5975.5, ACTN1:5975.5, ACTB:5975.5, KIFAP3:5975.5, DGKD:5975.5, ACTN2:5975.5, RAPGEF3:5975.5, P2RX5:5975.5, APLP2:5975.5, DOCK3:5975.5, KIF9:5975.5, APOH:5975.5, ANGPT2:5975.5, TGFB2:5975.5, BRPF3:5975.5, ABL1:5975.5, PICK1:5975.5, SLC16A8:5975.5, TIMP3:5975.5, VTI1B:5975.5, ABHD12:5975.5, PROCR:5975.5, KIF3B:5975.5, F9:5975.5, DGKH:5975.5, SLC7A5:5975.5, STX4:5975.5, CSK:5975.5, KLC3:5975.5, TGFB1:5975.5, MAG:5975.5, PIK3CG:5975.5, GATA3:5975.5, AKAP10:5975.5, LGALS3BP:5975.5, PRKAR1A:5975.5, PF4V1:5975.5, EHD1:5975.5, PHACTR2:5975.5, PPP2R5D:5975.5, FN1:5975.5, SDC1:5975.5, SOS1:5975.5, QSOX1:5975.5, STXBP3:5975.5, HDAC1:5975.5, CAPZA1:5975.5, DOCK7:5975.5, CD2:5975.5, CD48:5975.5, APOA1:5975.5, MYB:5975.5, EPCAM:5975.5, AKAP1:5975.5, PIK3CA:5975.5, PLAU:5975.5, ITPR2:5975.5, CDK2:5975.5, TUBA1B:5975.5, SDC4:5975.5, PLCG1:5975.5, F13A1:5975.5, AAMP:5975.5, KIF1C:5975.5, ACTN4:5975.5, F12:5975.5, CAP1:5975.5, VAV3:5975.5, CD36:5975.5, MICAL1:5975.5, SERPINE2:5975.5, DGKB:5975.5, TUBB2B:5975.5, ARRB1:5975.5, KIF23:5975.5, OLA1:5975.5, ITGAV:5975.5, PDE5A:5975.5, PDPK1:5975.5, GRB7:5975.5, SOD1:5975.5, APP:5975.5, ITGA10:5975.5, ATP1B1:5975.5, F13B:5975.5, LEFTY2:5975.5, MANF:5975.5, DGKQ:5975.5, PCYOX1L:5975.5, KCNMB1:5975.5, DOK2:5975.5, DGKZ:5975.5, ENDOD1:5975.5, FERMT3:5975.5, ADRA2A:5975.5, VEGFC:5975.5, SLC7A11:5975.5, MERTK:5975.5, CXADR:5975.5, KIF5A:5975.5, TSPAN7:5975.5, F11R:5975.5, CYB5R1:5975.5, PDE9A:5975.5, ITGB2:5975.5, ITGA5:5975.5, ABHD6:5975.5, PF4:5975.5, CLEC3B:5975.5, TEX264:5975.5, ANXA5:5975.5, ITGA2:5975.5, KLKB1:5975.5, DAGLB:5975.5, COL1A2:5975.5, PRKCB:5975.5, IGF2:5975.5, SERPINF2:5975.5, SLC3A2:5975.5, SDC2:5975.5, PCDH7:5975.5, ZFPM2:5975.5, MFN1:5975.5, PRKCE:5975.5, BSG:5975.5, GTPBP2:5975.5, RASGRP1:5975.5, SELP:5975.5, SH2B1:5975.5, TUBAL3:5975.5, GP5:5975.5, F2:5975.5, F2R:5975.5, ANXA2:5975.5, LCK:5975.5, SLC8A1:5975.5, PROS1:5975.5, F8:5975.5, PDE2A:5975.5, TUBB4B:5975.5, SERPINA5:5975.5, KIF19:5975.5, CD47:5975.5, NHLRC2:5975.5, FLNA:5975.5, SRC:5975.5, KCNMB2:5975.5, SERPINB2:5975.5, PSAP:5975.5, CFD:5975.5, PLCG2:5975.5, F5:5975.5, LAT:5975.5, ITGB3:5975.5, ADRA2B:5975.5, CD9:9036, VWF:9095, SRGN:9102, KIF2A:9204, PLA2G4A:9213, MFN2:9218, PRKACB:9240, JCHAIN:9249, TUBA1A:9286, CALU:9304, ORAI2:9430, KIF13B:9436, CD63:9502, ITPK1:9528, KIFC2:9533, JAML:9548, KIF5B:9565, CD109:9595, FGB:9644, P2RX6:9663, SLC7A8:9696, ARRB2:9721, APOB:9727, KIF27:9731, TBXA2R:9807, LHFPL2:9848, RCOR1:9902, C1QBP:9944, STXBP2:10062, KIF22:10079, APBB1IP:10102, PDGFB:10115, SELL:10119, FAM3C:10125, SPARC:10167, FGR:10182, KIF21A:10185, SCCPDH:10280, ORM2:10288, ORAI1:10301, TREM1:10344, F3:10405, SIN3A:10412, GAS6:10620, ORM1:10651, F11:10675, CTSW:10682, EHD2:10730, KLC1:10743, SELE:10766, PLAT:10769, ITGAM:10772, KCNMB3:10796, MIF:10797, KLC2:10988, TAGLN2:11036, RAD51B:11043, ITIH3:11075, ATP1B3:11089, F2RL3:11225, GUCY1A1:11258, KIF2C:11300, ITGA4:11314, IRAG1:11371, ATP2A1:11392, PRKAR2A:11400, A1BG:11403, KIF3A:11476, PLEK:11484, ITPR3:11507, PIK3R1:11554, VAV1:11589, HABP4:11675, APOOL:11704, SYK:11724, GP6:11731, CD177:11779, CD244:11854, SYTL4:11911, AHSG:11990, CD44:12031, PTPN1:12041, PHF21A:12106, VEGFB:12178, PRKCH:12183, PAFAH2:12212, LYN:12241, PDE1A:12246, IRF2:12255, P2RX4:12296, PIK3R2:12306, KIF12:12316, SERPINE1:12343, RAF1:12349, EGF:12419, ITGAL:12425, THBD:12460, PIK3R3:12475, KIF18B:12538, GATA1:12555, SH2B3:12574, TEK:12618, KIFC1:12641, CFL1:12653, KIF20B:12664, RARRES2:12667, CENPE:12704, DOCK9:12732, COL1A1:12805, OLR1:12806, RBSN:12845, SRI:12846, HBE1:12849, VEGFA:12851, MPIG6B:12853, RAD51C:12928, CLU:13054, H3C2:13108, DGKA:13123, KIF6:13147, SH2B2:13155, PIK3CB:13166, ITGAX:13178, GATA6:13188, F7:13196, SDC3:13201, P2RX1:13224, PPIL2:13228, GATA4:13252, MGLL:13271, NFE2:13296, GP1BB:13299, ITIH4:13338, GATA2:13373, CABLES1:13387, HMG20B:13411, YES1:13436, NOS2:13456, FGG:13490, CLEC1B:13501, MMRN1:13506, LRP8:13523, SLC7A6:13529, PLG:13536, RACGAP1:13590, KIF16B:13594, KIF20A:13623, PRCP:13645, DOCK6:13655, INPP5D:13706, P2RY12:13768, KNG1:13777, SERPINC1:13779, ITGB1:13812, IRF1:13857, KIF4A:13889, THPO:13898, PECAM1:13901, LAMP2:13908, SLC7A7:14072, PRKCQ:14160, PRKCD:14162, KIF15:14227, KIF11:14250, VPREB3:14258, ITGA2B:14263, SERPIND1:14296, JMJD1C:14322, DGKE:14364, SLC7A10:14399, SERPINA4:14406, KIF18A:14437, PROC:14468, MPL:14490, SCG3:14503, DGKK:14542, H3-3A:14590, F2RL2:14613, LY6G6F:14632, GLG1:14731, PLAUR:14739, ATP2B4:14763, GRB14:14826, SLC7A9:14883, WEE1:14921, TUBB8B:14939, GP9:14945, TUBB8:14971, ANGPT4:15017, ALB:15030, A2M:15032","Carnivore",1
"REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS",0.0264194962896335,0.56360672495365,0.75328608235095,40,"TP53BP2:415, PPP1R13B:843, XIAP:1304, CASP7:1940, AKT1:1979, UACA:2462, APIP:2572, CASP9:2689, GSDME:2851, PPP3R1:2890, TP73:5975.5, BAX:5975.5, MAPK3:5975.5, GSDMD:5975.5, AKT2:5975.5, BBC3:5975.5, TFDP2:5975.5, APAF1:5975.5, NMT1:5975.5, TP53:5975.5, CDKN2A:5975.5, AVEN:5975.5, BCL2L1:5975.5, BCL2:5975.5, SFN:5975.5, DIABLO:5975.5, C1QBP:9944, BMF:10221, TFDP1:10809, TP63:11002, DYNLL2:11118, BCL2L11:12110, CASP3:12131, E2F1:12151, BID:12395, BAD:12894, CASP8:12907, BAK1:13358, DYNLL1:14601, PPP3CC:14830","Carnivore",1
"REACTOME_MAPK3_ERK1_ACTIVATION",-0.00924266188662337,0.11,0.11,8,"IL6:739, JAK1:3900, JAK2:9137.5, TYK2:9137.5, IL6ST:9137.5, IL6R:9137.5, PTPN11:9137.5, MAPK3:9137.5","Both",3
"REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE",0.0334454059588921,0.48786478234675,0.698257384562608,36,"USP43:42, RPS27A:63, UBA52:72, POLD2:165, POLE:183, RFC3:733, NPLOC4:1392, RFC5:1424, SPRTN:1962, UBB:2880, UFD1:5975.5, POLE2:5975.5, USP10:5975.5, POLE4:5975.5, MAD2L2:5975.5, TRIM25:5975.5, RPA1:5975.5, POLE3:5975.5, RFC4:5975.5, POLD4:5975.5, ISG15:5975.5, POLD3:9171, UBE2L6:10005, PCLAF:10414, POLD1:10829, RPA2:10933, UBA7:11411, RFC1:11632, POLH:12588, RCHY1:12673, RPA3:12807, RFC2:12892, POLK:13193, REV1:13372, POLI:13457, REV3L:14056","Unclear",0
"REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX",0.0182467168032326,0.75231961662813,0.879448256105665,25,"RPS27A:63, UBA52:72, POLD2:165, POLE:183, RFC3:733, RFC5:1424, UBB:2880, POLE2:5975.5, POLE4:5975.5, RPA1:5975.5, POLE3:5975.5, RFC4:5975.5, POLD4:5975.5, RAD18:5975.5, POLD3:9171, POLD1:10829, RPA2:10933, RFC1:11632, CUL4B:12613, CUL4A:12659, RPA3:12807, RFC2:12892, DTL:13154, USP1:13389, UBE2B:14785","Unclear",0
"REACTOME_TRANSLESION_SYNTHESIS_BY_POLH",0.0872778369589594,0.226967974292489,0.449695887526766,16,"RPS27A:63, UBA52:72, RFC3:733, NPLOC4:1392, RFC5:1424, SPRTN:1962, UBB:2880, UFD1:5975.5, RPA1:5975.5, RFC4:5975.5, RPA2:10933, RFC1:11632, POLH:12588, RCHY1:12673, RPA3:12807, RFC2:12892","Unclear",0
"REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE",0.178765293523403,0.0019894854880906,0.0220063946934193,25,"H4C2:149, H4C3:173, H4C14:177, H4C15:180, H2BC15:219, H4C13:284, H2AC4:300, H2AC14:937, H2BC4:1210, NEIL3:1297, H2AC20:2228, MPG:2378, TINF2:5975.5, OGG1:5975.5, TERF1:5975.5, H4C8:5975.5, TERF2IP:5975.5, H2BC21:5975.5, H4C11:5975.5, H2BC9:5975.5, H4C1:10048, TERF2:13274, ACD:13364, POT1:13603, MUTYH:13728","Unclear",0
"REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1",-0.133762838468721,0.11,0.11,9,"MBD4:536, MUTYH:1385, TDG:3291, NTHL1:3417, UNG:4554, APEX1:5436, OGG1:9137.5, SMUG1:9137.5, MPG:12735","Carnivore",1
