GO.ID	Description	pVal	p.adj	Phenotype	Gene.vals
REACTOME_MAPK3_ERK1_ACTIVATION	Both	0.927879085926055	0.967517486037957	-1	IL6:739, JAK1:3900, JAK2:9137.5, TYK2:9137.5, IL6ST:9137.5, IL6R:9137.5, PTPN11:9137.5, MAPK3:9137.5
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	Carnivore	0.164733617357525	0.37034253378506	-1	MBD4:536, MUTYH:1385, TDG:3291, NTHL1:3417, UNG:4554, APEX1:5436, OGG1:9137.5, SMUG1:9137.5, MPG:12735
REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	Both	0.852795405715896	0.937525618435673	-1	PARG:329, POLB:1639, PARP2:4962, APEX1:5436, ADPRS:9137.5, PARP1:9137.5, LIG1:13536, FEN1:13984
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	Carnivore	0.835783491548791	0.926763613322553	-1	PPP3CC:283, BAD:2219, BID:2718, AKT2:9137.5, BCL2:9137.5, SFN:9137.5, PPP3R1:12223, AKT1:13134
REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA	Unclear	0.592125949421171	0.773750087476781	-1	E2F1:2962, TFDP1:4304, TFDP2:9137.5, TP53:9137.5
REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS	Unclear	0.27604055663257	0.506308365827593	-1	BAD:2219, BID:2718, BCL2L11:3003, BMF:4892, BBC3:9137.5, BCL2L1:9137.5, BCL2:9137.5
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	Unclear	0.816432531055857	0.917228227851164	-1	SLC6A12:172, GLS2:353, ABAT:1025, PPFIA3:1218, SLC1A1:1266, MAOA:1738, SLC22A1:1863, GAD2:2170, SLC5A7:2675, ALDH5A1:2854, GAD1:2895, SLC6A1:3006, SLC1A6:3354, SLC6A13:4385, SLC38A2:4543, SLC18A3:4571, SLC6A11:5342, UNC13B:5692, SYN2:6044, SYN1:9137.5, CHAT:9137.5, SLC1A3:9137.5, RIMS1:9137.5, STX1A:9137.5, APBA1:9137.5, SLC1A2:9137.5, SLC22A2:9137.5, GLS:9137.5, NAAA:9137.5, PPFIA2:9137.5, PPFIA4:9137.5, ARL6IP5:9137.5, SLC1A7:9137.5, SYN3:12824, SLC17A7:12995, SLC32A1:13674, TSPOAP1:14105, LIN7C:14592, SLC18A2:14701, SYT1:14709, DNAJC5:14961, SNAP25:15066
REACTOME_NEUROTRANSMITTER_CLEARANCE	Both	0.136182447301886	0.331358910236573	-1	COMT:124, MAOA:1738, SLC22A1:1863, LRTOMT:4224, ACHE:5187, SLC6A3:5337, SLC22A2:9137.5, SLC6A4:9137.5, ALDH2:9137.5, BCHE:9137.5
REACTOME_IRS_MEDIATED_SIGNALLING	Unclear	0.708385031252573	0.852615628403464	-1	FGFR1:811, PIK3CB:1947, TRIB3:2067, THEM4:2442, FGF23:2695, PIK3R2:2807, PIK3R4:2972, GAB1:3285, TLR9:3344, FGFR4:3402, PIK3R1:3559, PDE3B:3615, FGF20:5047, FGF4:5494, KLB:5813, FGF22:6013, PTPN11:9137.5, AKT2:9137.5, SOS1:9137.5, PIK3CA:9137.5, PDPK1:9137.5, GAB2:9137.5, FGFR3:9137.5, PIK3C3:9137.5, FGF6:9137.5, FGF1:9137.5, FLT3:9137.5, KL:9137.5, FGF5:9137.5, FGF2:9137.5, FGF7:9137.5, FGF17:9137.5, FGF19:9137.5, FRS2:9137.5, IRS1:13606, FGF10:14366, FGFR2:14485, FGF8:14819
REACTOME_MAPK1_ERK2_ACTIVATION	Carnivore	0.466015519937805	0.681448485359175	-1	IL6:739, MAP2K2:1179, JAK1:3900, JAK2:9137.5, TYK2:9137.5, IL6ST:9137.5, IL6R:9137.5, PTPN11:9137.5
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	Carnivore	0.0144481305981249	0.0852537190025012	-1	ORC1:259, CCNB1:914, MCM8:1955, ORC2:2191, ORC4:3087, ORC3:3320, ORC6:9137.5, ORC5:9137.5
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	Carnivore	0.324690683935842	0.556480326175213	-1	ORC1:259, CCNB1:914, MCM8:1955, ORC2:2191, E2F1:2962, ORC4:3087, ORC3:3320, TFDP1:4304, PRIM2:4879, TFDP2:9137.5, POLA1:9137.5, PPP2R3B:9137.5, PRIM1:9137.5, ORC6:9137.5, ORC5:9137.5, POLA2:12198, RB1:12605, PPP2R1B:14204
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	Carnivore	0.572305020100601	0.756887107165607	-1	PPP3CC:283, DYNLL1:512, BAD:2219, BID:2718, E2F1:2962, BCL2L11:3003, DYNLL2:3995, TP63:4111, TFDP1:4304, BMF:4892, TP73:9137.5, AKT2:9137.5, BBC3:9137.5, TFDP2:9137.5, TP53:9137.5, BCL2:9137.5, SFN:9137.5, PPP3R1:12223, AKT1:13134, PPP1R13B:14270, TP53BP2:14698
REACTOME_FERTILIZATION	Carnivore	3.03496570226218e-05	0.00105231599253437	-1	ADAM2:24, KCNU1:99, CATSPERD:157, CATSPERG:186, CATSPER2:268, CATSPER4:305, B4GALT1:416, CATSPERB:564, ADAM20:637, HVCN1:1761, ZP3:1825, CATSPER3:2847, ADAM30:3412, ZP4:4289, IZUMO3:4865, IZUMO4:5167, CD9:6077, ZP2:9137.5, ADAM21:9137.5, IZUMO2:9137.5, ZP1:14642
REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES	Unclear	0.897878348912127	0.959617464782789	-1	NOS2:1657, ATP6V0A4:1729, HVCN1:1761, LPO:2002, ATP6V1B2:3401, ATP6V0A1:3732, CYBB:4121, ATP6V0B:4551, ATP6V0A2:4691, ATP6V1G3:5162, NCF4:5435, MPO:5910, ATP6V0C:5997, SLC11A1:9137.5, ATP6V1H:9137.5, ATP6V1A:9137.5, ATP6V1B1:9137.5, NCF2:9137.5, ATP6V1F:9137.5, ATP6V1C2:9137.5, ATP6V0D2:9137.5, ATP6V1C1:9137.5, NCF1:9137.5, ATP6V0D1:9137.5, ATP6V1E2:9137.5, ATP6V1E1:12384, CYBA:12447, NOS3:12462, TCIRG1:13185, NOS1:13594
REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR	Both	0.362111473593651	0.590845196768786	-1	HIF3A:981, CA9:1572, HIF1A:2139, VEGFA:2262, EPO:4384, CREBBP:9137.5, EP300:9137.5, ARNT:9137.5, CITED2:9137.5, HIGD1A:9137.5, EPAS1:12937
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	Unclear	0.7710620508238	0.887991266484954	-1	IKBKB:304, TAP1:1272, MYD88:1333, PSME2:1418, PSME1:1439, FGG:1623, CTSS:2138, VAMP8:2356, S100A8:2388, BTK:2781, TLR1:2814, PSMD2:2821, TLR2:2980, SEM1:3001, CD14:3663, TLR4:3822, PSMD5:3829, PSMD9:4044, CYBB:4121, SNAP23:4395, CALR:4496, LY96:4542, B2M:4594, PDIA3:5368, NCF4:5435, FGB:5469, CHUK:5705, PSMD8:5845, PSME4:5887, PSMB1:9137.5, PSMB5:9137.5, PSMD10:9137.5, PSMD3:9137.5, PSMB2:9137.5, PSME3:9137.5, PSMB7:9137.5, PSMB6:9137.5, PSMD4:9137.5, PSMB4:9137.5, PSMD6:9137.5, PSMD1:9137.5, PSMD13:9137.5, PSMB8:9137.5, PSMB10:9137.5, PSMB9:9137.5, STX4:9137.5, CD36:9137.5, ITGAV:9137.5, NCF2:9137.5, NCF1:9137.5, ITGB5:9137.5, MRC2:9137.5, VAMP3:9137.5, TAPBP:9137.5, LNPEP:9137.5, CD207:9137.5, FCGR1A:9137.5, TLR6:9137.5, TAP2:9137.5, MRC1:9137.5, PSMB11:12209, UBB:12233, CYBA:12447, PSMA8:12654, PSMA1:13460, PSMF1:13739, PSMD12:14184, IKBKG:14595, UBA52:15041, RPS27A:15050
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY	Unclear	0.372887300941308	0.60028196749748	-1	CTSS:2138, B2M:4594, LNPEP:9137.5
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	Unclear	0.00114280421482798	0.0153766865622004	-1	CA4:85, RHAG:171, SLC4A1:292, CA2:755, CA1:821, AQP1:2493, CYB5RL:3709, CYB5R4:3826, CYB5R1:9137.5, CYB5R2:9137.5
REACTOME_METHIONINE_SALVAGE_PATHWAY	Unclear	0.359211948030354	0.589316780981554	-1	GOT1:1408, ENOPH1:3341, MTAP:3994, MRI1:4964, ADI1:9137.5, APIP:12541
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	Unclear	0.00014891237360812	0.00367793163856768	-1	CA4:85, RHAG:171, SLC4A1:292, CA2:755, CA1:821, AQP1:2493
