,Rho,N,P,p.adj
MasterTree,0.0271521442155573,389,0.0145251285747658,0.0759272803911809
ARF5,NA,NA,NA,NA
M6PR,0.0400756241191737,252,0.0180713662853081,0.0867795870126227
FKBP4,0.0171205049679227,311,0.150625748014317,0.31712281423023
CYP26B1,0.0392859120732363,192,0.0574657885196591,0.177860222060414
NDUFAF7,0.0175075007374974,324,0.129660623271075,0.288603907466556
FUCA2,0.00899452252913125,340,0.384110158482009,0.561126166396111
DBNDD1,0.0290118585232756,256,0.0602373665784447,0.182938480809039
HS3ST1,0.00213705794321589,254,0.9098684626497,0.939811873920517
SEMA3F,0.0088961209887349,289,0.464175722255706,0.625133516610951
CFTR,0.00182917460340684,357,0.88462083628309,0.923590633554218
CYP51A1,0.0388189452051121,280,0.0126787228279326,0.0696877114172651
USP28,0.0125033343030898,338,0.239301433216957,0.421943672360604
SLC7A2,0.00504586120187931,311,0.667530317075094,0.775850160325837
HSPB6,0.0409662802246357,190,0.0516413553608604,0.16662397165408
PDK4,0.0561155684083047,264,0.00203520227194985,0.0220169145188895
USH1C,0.00403027637569607,342,0.711564152344909,0.807124329070193
RALA,0.426410256410257,26,0.0137122763373172,0.0734098659259156
BAIAP2L1,0.00735724811099817,302,0.52909175786276,0.675943947870213
CACNG3,0.126673710477245,81,0.0174615904341506,0.0845392988049939
TMEM132A,0.0129101122598175,343,0.2199747433198,0.399224543466359
DVL2,0.0554686644040427,259,0.00251108676811972,0.0251900926409596
RPAP3,0.0162254443181784,329,0.149684687502896,0.31586902891608
HOXA11,NA,NA,NA,NA
TRAPPC6A,0.00225666211911955,240,0.91016687293009,0.939931952384886
SPATA20,0.00674185958724218,341,0.514010632954393,0.664570248700076
CD79B,0.00752907308404757,338,0.468588260127218,0.628998888823485
RHBDD2,0.0433800714036501,257,0.0111699035553729,0.064778354243015
RPUSD1,0.023775730040176,284,0.0810726261924433,0.217763880776799
TSR3,0.0254507634791935,291,0.0607037489730479,0.183820503619006
NDUFAB1,0.0427910377999833,230,0.0203529267782767,0.0932587428129933
YBX2,0.0545863366036896,235,0.00515364317656872,0.0398610180330482
ITGA3,0.0480786830506494,345,0.000879005869163398,0.0129609496368977
KRT33A,0.0303915439538525,211,0.0944248228978749,0.238854628105209
LRRC23,0.0436535263077326,319,0.0030705080684251,0.0288064470870978
TFAP2D,0.120449924395301,80,0.0231665717472127,0.100961952260705
CRY1,0.0078372405434943,239,0.600836921462218,0.72905249003312
PGLYRP1,0.0160483942815081,279,0.215754415354051,0.394298437802398
STARD3NL,0.0272659654188105,184,0.172554999368003,0.343279300973396
CD74,0.0361820336401946,324,0.00853682265466298,0.0545953511793182
RPS20,NA,NA,NA,NA
MGST1,0.0535079548881575,261,0.00302731928484161,0.0285293633119159
CPA1,0.0328830707316015,334,0.0119989937838821,0.0674494495322237
SYPL1,0.0195318009992153,313,0.107129066648442,0.257266280123397
RANBP9,0.011200762495109,252,0.421628123522195,0.592499321160225
CD4,0.01384695330666,345,0.189968775589988,0.364295701033063
PLEKHG6,0.0168415028230763,363,0.107002727479462,0.257066670846684
QPCTL,0.0197287482099347,263,0.159836893271345,0.32875936444661
PPP5C,0.014258117263475,186,0.450909592520861,0.615435209052828
UBR7,0.0296358538888304,305,0.0291674986957291,0.116462963670143
MAP4K5,0.0124452591478198,265,0.34965910640589,0.529466206676938
ERCC1,NA,NA,NA,NA
GPRC5A,0.0558011567296748,331,0.000361239295041649,0.00710723181652242
HEBP1,0.00531216133097655,253,0.719972884584127,0.812336913517507
COX15,0.00252525644453073,311,0.853569428044739,0.902744157650593
MS4A12,0.0091456085706718,227,0.558636549790994,0.695964069611846
XYLT2,0.00473429336882735,310,0.690859852345965,0.792884196516955
FTSJ1,0.096535584409834,233,5.39480820559392e-05,0.00200713353726646
SCTR,0.0140473762928325,330,0.201698059242215,0.378841121674154
RALBP1,0.0638260467419554,282,0.000453611670952969,0.00818233781931786
SYT13,0.00207750974152981,305,0.88917024611338,0.926744389628326
SNAI2,NA,NA,NA,NA
SLC7A9,0.0648074621847,305,0.000195721158909184,0.0047283176883726
RTF2,0.00452762293919897,292,0.724972712393617,0.815712815714212
RB1CC1,0.0108174419220053,345,0.293185896007728,0.477632158886935
AKAP11,0.0151834089191489,374,0.1291850036994,0.287992667791761
B4GALT7,0.00176229467246274,253,0.930989466972265,0.953680623612295
FAM13B,0.0804094890548061,304,2.09682289418425e-05,0.00107096564807615
CHPF2,0.0157158390709702,286,0.214169834396929,0.392635748043305
GABARAPL2,NA,NA,NA,NA
MYOC,0.0629355759600146,307,0.000241755145565098,0.0053901078643828
FAM136A,0.0242452180295269,174,0.241220870272056,0.423948143306787
NSMAF,0.033364348585691,332,0.0114924382900019,0.0657622857705667
OTC,0.0130337382166799,255,0.346174273299345,0.526642908391535
TTC17,0.00307478479850544,294,0.825207729905473,0.883305639461172
HOXC8,0.205855045855046,36,0.0656451054349761,0.192118562265167
MRI1,0.0181194255948261,301,0.142527612845055,0.306650318545422
TARBP1,0.0240637685271109,351,0.0380442361304572,0.136850712652254
RTN4R,0.00722379102733211,295,0.547113980793846,0.68852943409833
PSMA4,0.0327340031729244,62,0.573076502590819,0.707602052761914
ZPBP,0.0130168886159979,290,0.288351275122271,0.472750799701414
LCP2,0.00705320108150293,329,0.509949150820652,0.661475852281759
DCN,0.0250415153804987,296,0.0605274433706296,0.183438538487117
TNFRSF17,0.0151136059454005,296,0.216020751236608,0.394643955481716
MRPS10,0.0282454845463635,284,0.0461468099786096,0.154874539409624
GRN,0.0238514781032406,356,0.0372799915763697,0.135198898288119
THAP3,0.00840591071035163,307,0.462382568678882,0.62375648523709
VAMP3,0.0304443043739969,200,0.108802463601602,0.259387910780281
RCN1,0.002449823506367,243,0.898065569660231,0.931633947219699
RFC2,0.0207682745458772,256,0.151368004670455,0.317650996435429
PPP1R3F,0.0376034736698531,255,0.022792014576406,0.10001447221796
NFE2L3,0.0810152918875998,346,3.72037530388409e-06,0.000392443223268411
CBLN4,NA,NA,NA,NA
CLDN11,NA,NA,NA,NA
FAM168A,0.0100705793675268,46,0.797249152780906,0.864129695314476
RELT,0.00221702127145862,333,0.864693374019549,0.90985649556906
PKP2,0.00757195359763024,327,0.481018613363693,0.637840275526508
YIPF1,0.0373204029806228,255,0.0235517121072033,0.102035389213617
ADCK2,0.00963044306819049,314,0.389421247217019,0.565439805598741
INPP4A,0.0107175187715373,270,0.410016242858872,0.582355525220756
SLC2A3,0.0033912943803216,288,0.807711826468365,0.872620191971701
STYK1,0.0110347105474761,331,0.302874019029725,0.48615401693687
GNA11,NA,NA,NA,NA
CREB3L3,0.023780070776042,299,0.0691924304429973,0.198232508295452
HDAC7,0.0143766740239515,333,0.189189611464884,0.363359924300947
MRPS35,0.0506626483038432,310,0.00133458611517002,0.0167983274702898
APPBP2,0.0330582982718479,98,0.360847258631384,0.539923478746048
CA11,0.0477432909633758,174,0.0409406377374636,0.143493354312998
ISOC2,0.0201354417433867,252,0.167885730971509,0.338717875679056
CD22,0.0579608633120503,354,0.000136261846140307,0.0037101788075496
GSC2,0.00388542303962488,212,0.844719691333899,0.896514781615965
KCNQ1,0.00417211861549467,294,0.747629669904982,0.831270940190611
TRIB2,NA,NA,NA,NA
OTUD5,0.0106330287229542,188,0.574822734066835,0.708951010885573
GPKOW,0.0106454816395077,307,0.353599335981343,0.532644317910188
AQR,0.00768954155302584,327,0.474065129482161,0.633212473406949
LMCD1,0.012822734708861,259,0.346493889234537,0.526883071885852
PSMC4,0.135133720848006,36,0.0939643226682792,0.238210915003493
FNDC8,0.010978687983788,312,0.332038774233232,0.514363161846317
ACAP1,0.0554924416953008,333,0.0003596783468706,0.0070983729808335
DERL2,0.0217543208587979,66,0.702249141611816,0.800303564377
NOX3,0.0194918730698994,342,0.0840520680324271,0.222586555683918
ANO8,0.0345516945930775,288,0.019290859812594,0.0902008042260228
ICAM3,0.0257623493622783,282,0.0646515225657522,0.19041344523695
CTTNBP2,0.0186596149599065,360,0.0821434817918769,0.219289688170846
ACTL6B,0.0405442025425911,74,0.397876284376296,0.572656813155649
KIF22,0.0049426800334827,314,0.671452525497714,0.779232296907844
PRSS22,0.00616463088865433,295,0.612239960167134,0.736678496311798
YTHDC2,0.043036353810267,268,0.00934789930041715,0.0578107294578864
TMEM161A,0.00767551959109408,300,0.513483219205455,0.66414976689945
FOXJ2,0.036812689703825,301,0.0114913381773806,0.0657622857705667
GOLGA5,0.0213641931173047,343,0.0627428817247917,0.187066426436137
PPP2R5B,NA,NA,NA,NA
PYGM,0.0260706933659401,286,0.0593806852634836,0.181324483737986
BCL3,0.0193721153137212,274,0.15184464873881,0.318360067725607
PRLH,0.029084537912626,265,0.0531494469540056,0.169661196323887
FSTL3,0.0142927760497479,214,0.384835979850531,0.561457460478191
EPHA8,0.00585002314755608,301,0.624774520384034,0.74554097254387
TRIP13,0.03082586347762,274,0.038162162945591,0.137173702443405
VASH1,0.00100033738388973,263,0.966993452471552,0.976969103908755
KRT14,0.0371486037992303,280,0.0157090995492639,0.0795163180593565
KRT20,0.0821371160344686,321,8.3173063956559e-06,0.000617507225090676
HSD17B10,0.0175721883638465,272,0.190072491262295,0.364399037515052
FGF4,0.0239787131942421,221,0.15271208237,0.319545636256296
ST6GAL1,0.0231927287994167,304,0.0710296500941219,0.201645114460056
TIMM21,0.0150474841958714,326,0.179998300291899,0.351912196239715
BPIFB2,0.0225255235986893,329,0.0604971070164319,0.183400521003246
REXO1,0.0334310420815859,297,0.0194748444296845,0.0906994803101287
MKRN2,0.0460552061904938,274,0.00565700728675611,0.0421853174914574
GPATCH1,0.0101141305924181,340,0.33012920119803,0.512739693822065
KEAP1,0.0197065816100112,205,0.259297286331755,0.442995223675767
P2RY10,0.0191625428775335,242,0.201988655874488,0.379143490865023
TNS1,0.0143890755168123,358,0.162042777910159,0.33152016641684
NGFR,0.0158795915800941,276,0.224475376969933,0.403934161363464
NTN1,NA,NA,NA,NA
ISOC1,NA,NA,NA,NA
MNT,0.00847493570566077,233,0.579454697071642,0.712313363537556
AP3M2,NA,NA,NA,NA
LAPTM4A,NA,NA,NA,NA
PTPN18,0.0139697231272652,236,0.350031855713803,0.529850920208809
STK10,0.0208185813035652,337,0.07205592672365,0.203179098565665
TBX21,0.0215895593084143,271,0.120223238530374,0.276258458247487
MRPS34,0.0137284509680332,255,0.322448636471263,0.505751609332835
MAP2K5,0.0149209458502516,199,0.398717618569912,0.57330356755835
TIGAR,0.0647459094718799,292,0.000294885694807262,0.00624167608140522
FGF20,NA,NA,NA,NA
MTMR7,0.0133565059121345,280,0.292556108304173,0.4772390854402
CPB2,0.00467233284890891,345,0.65773969129051,0.769423396370071
FAM107B,0.021792258936253,309,0.0816658470350207,0.218722702569898
CDK13,0.020939493583401,288,0.111142417743812,0.262994499582754
TSPAN32,0.00610059549968992,273,0.646006022209889,0.761053892939334
TRAM2,0.0706304131428039,235,0.000883820074343704,0.0130047810939145
CLDN18,0.0462228089516278,271,0.00590693564308213,0.0434363201185114
NDUFB4,0.078349234640692,254,0.000184755828322771,0.00457231598147014
HEATR6,0.0391849319050054,336,0.00436995447141774,0.0357466186235771
ERLEC1,0.00970959223847585,223,0.540760706718529,0.684183918379343
TMEM131,0.0259462386434666,348,0.0292464485108387,0.11655788655161
TMEM38A,0.021137753889174,228,0.187178958781698,0.360933348865013
ACTR6,NA,NA,NA,NA
FAP,0.0159875900485102,319,0.165744781446676,0.33609686936715
DMRT3,0.00766898464628151,254,0.584899523235847,0.71635742981473
GAL3ST2,0.0228037806713894,245,0.134853291059527,0.29592861740985
UHRF1BP1,0.0345605708754824,352,0.00694839336476265,0.0478245653425969
OSTM1,0.0305518822977734,273,0.0400190967746947,0.141460058141309
SLC13A1,0.0293203951368594,346,0.0176091384327286,0.0851972407267908
HSPB11,0.00865652005222914,246,0.547706717162822,0.688803333805162
STRADB,0.0172107635973338,291,0.172448431484711,0.34320734234527
DLG3,0.0295578198366476,220,0.0907269368877944,0.233449831740511
PLOD1,0.00613930629498624,326,0.57338806929304,0.70783125630965
OXCT1,0.0130953856380213,296,0.276626957604266,0.460656482058522
FAM234B,4.29059273983512e-05,326,0.999563882296712,0.999700584140571
RRN3,0.0566324189692603,308,0.00058857152635119,0.00977122263837969
MOGAT2,0.0404618627420578,295,0.00774880861369314,0.0513288382173351
CHERP,0.00805008324111266,207,0.646240253400629,0.761198372767266
AQP2,0.0107762757992581,231,0.479181248381047,0.636163955788362
DIMT1,0.0454460688610861,200,0.0287145954624921,0.115241617683915
EIF2AK1,0.0130349296561855,323,0.240937622254098,0.423603036793898
NME8,0.0388215842664863,353,0.00339817988414049,0.0305200986550305
EPDR1,0.00119961841326283,254,0.959368233277072,0.972399153146947
HBQ1,0.0280233941137092,242,0.0801788000791752,0.216324502851506
RBM22,NA,NA,NA,NA
HSD17B2,0.0736598238529023,316,3.66362903066639e-05,0.0015576813430967
ZW10,0.0202504446369421,324,0.0880636370964912,0.229062556673178
ITGB4,0.0770163890988211,364,3.70839588434095e-06,0.000392443223268411
TRIP6,0.0101604587574833,283,0.412871036433517,0.584970626646964
ADAM11,0.0244329502447727,281,0.0771343582713752,0.211159571157621
SLC22A4,0.0291549137497272,292,0.0369981718985081,0.134354830460646
TFAP2C,0.0394308982499774,255,0.0184352758773746,0.0878279110963089
SULT2B1,0.0158842641364895,252,0.262876714234295,0.446834401149167
