"","cytoscapeNodes2.shared.name","match.cytoscapeNodes2.shared.name..rownames.GOOutput.."
"1","REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA",1020
"2","REACTOME_GLYCOGEN_METABOLISM",1355
"3","REACTOME_HATS_ACETYLATE_HISTONES",557
"4","REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION",1099
"5","REACTOME_FATTY_ACID_METABOLISM",1351
"6","REACTOME_DIGESTION_AND_ABSORPTION",1333
"7","REACTOME_DAG_AND_IP3_SIGNALING",138
"8","REACTOME_CDC42_GTPASE_CYCLE",1380
"9","REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH",606
"10","KEGG_PEROXISOME",1728
"11","REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION",1168
"12","REACTOME_SPERM_MOTILITY_AND_TAXES",86
"13","KEGG_PURINE_METABOLISM",1664
"14","REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS",1216
"15","REACTOME_MAPK_FAMILY_SIGNALING_CASCADES",999
"16","REACTOME_TOXICITY_OF_BOTULINUM_TOXIN_TYPE_D_BOTD",862
"17","REACTOME_MITOPHAGY",851
"18","REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR",755
"19","REACTOME_ERK_MAPK_TARGETS",372
"20","REACTOME_CLEC7A_DECTIN_1_SIGNALING",904
"21","KEGG_HUNTINGTONS_DISEASE",1778
"22","REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN",244
"23","REACTOME_INWARDLY_RECTIFYING_K_CHANNELS",82
"24","REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3",925
"25","REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS",1448
"26","REACTOME_UCH_PROTEINASES",1010
"27","REACTOME_METABOLISM_OF_STEROID_HORMONES",348
"28","REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS",363
"29","REACTOME_INTEGRATION_OF_ENERGY_METABOLISM",186
"30","REACTOME_SULFUR_AMINO_ACID_METABOLISM",168
"31","REACTOME_NEDDYLATION",1317
"32","REACTOME_SUPPRESSION_OF_PHAGOSOMAL_MATURATION",1506
"33","REACTOME_TNF_SIGNALING",1200
"34","REACTOME_CELLULAR_RESPONSES_TO_STIMULI",1323
"35","REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT",410
"36","REACTOME_HIV_INFECTION",176
"37","REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX",35
"38","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES",33
"39","REACTOME_TRYPTOPHAN_CATABOLISM",1141
"40","REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP",508
"41","REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING",80
"42","KEGG_SULFUR_METABOLISM",1697
"43","KEGG_CALCIUM_SIGNALING_PATHWAY",1717
"44","REACTOME_SUMOYLATION_OF_CHROMATIN_ORGANIZATION_PROTEINS",826
"45","REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS",928
"46","REACTOME_CHROMATIN_MODIFYING_ENZYMES",564
"47","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",1373
"48","REACTOME_RAS_PROCESSING",1514
"49","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1",1281
"50","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2",1280
"51","REACTOME_MEIOTIC_RECOMBINATION",1443
"52","REACTOME_SIGNALING_BY_GPCR",599
"53","REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR",677
"54","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION",650
"55","REACTOME_SIGNALING_BY_FGFR1",965
"56","REACTOME_CA_DEPENDENT_EVENTS",26
"57","REACTOME_SIGNALING_BY_FGFR2",966
"58","REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM",353
"59","REACTOME_HDMS_DEMETHYLATE_HISTONES",556
"60","REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT",223
"61","REACTOME_GABA_B_RECEPTOR_ACTIVATION",1637
"62","REACTOME_KERATINIZATION",1081
