"__mclCluster","EnrichmentMap::-log10(pvalue) (Carnivore Conserved)","EnrichmentMap::-log10(pvalue) (Herbivore Conserved vs Carnivore)","EnrichmentMap::-log10(pvalue) (Herbivore Conserved vs Insectivore)","EnrichmentMap::-log10(pvalue) (Herbivore Conserved vs Vertivore)","EnrichmentMap::-log10(pvalue) (Insectivore Conserved)","EnrichmentMap::-log10(pvalue) (Vertivore Conserved)","EnrichmentMap::-log10(pvalue)*sign(NES) (Carnivore Conserved)","EnrichmentMap::-log10(pvalue)*sign(NES) (Herbivore Conserved vs Carnivore)","EnrichmentMap::-log10(pvalue)*sign(NES) (Herbivore Conserved vs Insectivore)","EnrichmentMap::-log10(pvalue)*sign(NES) (Herbivore Conserved vs Vertivore)","EnrichmentMap::-log10(pvalue)*sign(NES) (Insectivore Conserved)","EnrichmentMap::-log10(pvalue)*sign(NES) (Vertivore Conserved)","EnrichmentMap::-log10(pvalue)_max","EnrichmentMap::Colouring (Carnivore Conserved)","EnrichmentMap::Colouring (Herbivore Conserved vs Carnivore)","EnrichmentMap::Colouring (Herbivore Conserved vs Insectivore)","EnrichmentMap::Colouring (Herbivore Conserved vs Vertivore)","EnrichmentMap::Colouring (Insectivore Conserved)","EnrichmentMap::Colouring (Vertivore Conserved)","EnrichmentMap::Dataset_Chart","EnrichmentMap::ES (Carnivore Conserved)","EnrichmentMap::ES (Herbivore Conserved vs Carnivore)","EnrichmentMap::ES (Herbivore Conserved vs Insectivore)","EnrichmentMap::ES (Herbivore Conserved vs Vertivore)","EnrichmentMap::ES (Insectivore Conserved)","EnrichmentMap::ES (Vertivore Conserved)","EnrichmentMap::fdr_qvalue (Carnivore Conserved)","EnrichmentMap::fdr_qvalue (Herbivore Conserved vs Carnivore)","EnrichmentMap::fdr_qvalue (Herbivore Conserved vs Insectivore)","EnrichmentMap::fdr_qvalue (Herbivore Conserved vs Vertivore)","EnrichmentMap::fdr_qvalue (Insectivore Conserved)","EnrichmentMap::fdr_qvalue (Vertivore Conserved)","EnrichmentMap::fwer_qvalue (Carnivore Conserved)","EnrichmentMap::fwer_qvalue (Herbivore Conserved vs Carnivore)","EnrichmentMap::fwer_qvalue (Herbivore Conserved vs Insectivore)","EnrichmentMap::fwer_qvalue (Herbivore Conserved vs Vertivore)","EnrichmentMap::fwer_qvalue (Insectivore Conserved)","EnrichmentMap::fwer_qvalue (Vertivore Conserved)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (Carnivore Conserved)","EnrichmentMap::NES (Herbivore Conserved vs Carnivore)","EnrichmentMap::NES (Herbivore Conserved vs Insectivore)","EnrichmentMap::NES (Herbivore Conserved vs Vertivore)","EnrichmentMap::NES (Insectivore Conserved)","EnrichmentMap::NES (Vertivore Conserved)","EnrichmentMap::pvalue (Carnivore Conserved)","EnrichmentMap::pvalue (Herbivore Conserved vs Carnivore)","EnrichmentMap::pvalue (Herbivore Conserved vs Insectivore)","EnrichmentMap::pvalue (Herbivore Conserved vs Vertivore)","EnrichmentMap::pvalue (Insectivore Conserved)","EnrichmentMap::pvalue (Vertivore Conserved)","name","selected","shared name"
"11","1.0570191644295803",,,"1.4116059078522287","3.7046793430179847",,"-1.0570191644295803",,,"-1.4116059078522287","3.7046793430179847",,"3.7046793430179847","-0.9123037878057834",,,"-0.9612390786112629","0.9998026120407547",,"0|0|0|0|1|0",,,,,,,"0.251377218737953",,,"0.305477070602718","0.00480933095296361",,,,,,,,"RBBP8|XRCC2|NBN|RAD50|BRCA2|ATM|TOP3A|BLM|RAD51C|RAD51D|DNA2|BRIP1|WRN|SEM1|BARD1|KAT5|RTEL1|EXO1|RAD51B|RMI2|BRCA1|RMI1|PALB2|RAD51AP1|XRCC3|MRE11|RAD51","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA","27","ENR","REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA","-1.0",,,"-1.0","1.0",,"0.0876962121942166",,,"0.0387609213887371","1.97387959245317E-4",,"REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA","true","REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA"
,,"0.5155150661726617","1.9520340658083555",,,"0.019388870093898447",,"0.5155150661726617","-1.9520340658083555",,,"0.019388870093898447","1.9520340658083555",,"0.6948699825790561","-0.9888322435489181",,,"0.043662622878479995","0|0|1|0|0|0",,,,,,,,"0.539891483228619","0.0793031271448577",,,"0.99286485149477",,,,,,,"PHKG1|AGL|UGP2|PGM1|GYG1|UBB|CALM1|PYGL|PYGB|GYG2|GYS1|GYS2|EPM2A|GBE1|PPP1R3C|UBA52|RPS27A|NHLRC1|PHKA2|PHKA1|PYGM|GAA|PHKB|UBC|PHKG2","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_GLYCOGEN_METABOLISM","25","ENR","REACTOME_GLYCOGEN_METABOLISM",,"1.0","-1.0",,,"1.0",,"0.305130017420944","0.0111677564510819",,,"0.95633737712152","REACTOME_GLYCOGEN_METABOLISM","false","REACTOME_GLYCOGEN_METABOLISM"
"2",,"1.9770607653713574","1.5475026911789804","0.9329688563417866",,,,"1.9770607653713574","-1.5475026911789804","-0.9329688563417866",,,"1.9770607653713574",,"0.9894576062040189","-0.9716536393186508","-0.883310670694406",,,"0|1|0|0|0|0",,,,,,,,"0.070992517088973","0.141183669360422","0.466811237021619",,,,,,,,,"YEATS4|HAT1|ELP3|ELP2|TAF5L|PAX3|KAT7|ACTL6A|KANSL2|OGT|KAT14|MBIP|TADA1|KAT6B|EP400|BRPF1|TAF6L|VPS72|ATXN7|ELP6|YEATS2|MEAF6|ING5|ELP5|TADA3|TADA2B|MSL2|SGF29|DMAP1|MORF4L1|MCRS1|MSL1|SUPT3H|TADA2A|BRPF3|HCFC1|H3C8|NCOA1|H3C6|H3C11|H3C1|H3C7|NCOA2|H3C10|H3C2|H3C3|KAT5|SAP130|RBBP7|TAF12|H2BC11|CREBBP|EP300|H2BC1|H2BC5|H4C8|H2AC6|TAF10|H2BC4|H2AC20|H2BC21|H2BC13|H2AC7|H2BC26|H4C3|H4C11|RUVBL1|H4C16|H2BC12|H2BC15|RUVBL2|KAT2A|H4C15|H4C14|H4C12|TAF9|H2BC14|H2BC8|H2BC6|H4C6|H2BC17|H4C13|H2BC9|H4C9|H2AC14|H3C13|H2BC3|PHF20|H4C5|H2AC1|H2AC8|H4C4|H2AC25|H2BC7|H2AC21|H2AC4|H2AC13|H2BC10|H2AC11|H4C1|H2BC18|H4C2|H2AC12|H2AC18|WDR5|H2AC15|H2AC19|H2AC16|H2AC17|KAT2B|CLOCK|H3C12|H3C4|MSL3|ZZZ3|JADE2|TRRAP|H3C14|ELP1|H3C15|ING3|JADE1|KAT6A|ATXN7L3|BRD1|MRGBP|JADE3|SUPT20H|KAT8|ELP4|ING4|BRD8|KANSL3|DR1|SUPT7L|KANSL1|ACTB|ENY2|EPC1|ATF2|MORF4L2|USP22","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_HATS_ACETYLATE_HISTONES","142","ENR","REACTOME_HATS_ACETYLATE_HISTONES",,"1.0","-1.0","-1.0",,,,"0.0105423937959811","0.0283463606813492","0.116689329305594",,,"REACTOME_HATS_ACETYLATE_HISTONES","false","REACTOME_HATS_ACETYLATE_HISTONES"
"2",,"3.365535682436308","2.562492064367277","2.2470885032817396",,,,"3.365535682436308","-2.562492064367277","-2.2470885032817396",,,"3.365535682436308",,"0.9995690128541492","-0.9972615303275889","-0.9943387609103561",,,"0|1|1|1|0|0",,,,,,,,"0.00817968235756795","0.0324832948641919","0.107285129893897",,,,,,,,,"H2AZ2|H2BC11|H2BC1|H2BC5|H4C8|H2AZ1|H2AC6|H2BC4|H2AC20|H2BC21|H2BC13|H2AX|H2AC7|H2BC26|H4C3|ORC1|H4C11|ORC6|H4C16|ORC2|H2BC12|ORC4|H2BC15|H2BC12L|H2AJ|ORC3|H4C15|ORC5|H4C14|H4C12|H2BC14|H2BC8|H2AB1|H2BC6|H4C6|H2BC17|H4C13|H2BC9|H4C9|H2AC14|H3C13|H2BC3|H4C5|H2AC8|H4C4|H2BC7|H2AC4|H2BC10|H4C1|H4C2|H2AC18|H2AC19|H3C8|KPNB1|H3-3B|H3C6|H3C11|H3C1|H3-3A|H3C7|KPNA1|H3C10|H3C12|H3C2|H3C4|H3C3|KPNA6|H3C14|H3C15","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION","69","ENR","REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION",,"1.0","-1.0","-1.0",,,,"4.30987145850779E-4","0.00273846967241107","0.00566123908964394",,,"REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION","false","REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION"
"5","7.733992250708968",,,,"8.355560247960872","3.2930758211199764","-7.733992250708968",,,,"8.355560247960872","3.2930758211199764","8.355560247960872","-0.9999999815495166",,,,"0.9999999955899882","0.9994907580424977","1|0|0|0|1|1",,,,,,,"2.88742856484512E-6",,,,"1.25628513099303E-6","0.0208673465767454",,,,,,,"HAO2|NUDT7|ACBD4|NUDT19|ACOT8|PPARD|SCP2|PCTP|PTGIS|HPGDS|DPEP1|HSD17B4|TBXAS1|PCCB|ACOX2|PTGS1|CYP8B1|PCCA|AKR1C3|AMACR|PTGES3|SLC27A2|HSD17B3|CYP2J2|HSD17B12|CYP1B1|CYP2C9|CYP2C8|CYP1A1|DPEP3|ACADM|CYP4B1|CYP2U1|CYP4A22|CYP2C19|DPEP2|PTGES2|CYP4F11|CYP4F22|CYP4F2|CYP4F8|CYP4F3|CYP4A11|ACSM3|PRKAG2|HACD3|ACOT7|TECR|SLC25A1|MCAT|ACSBG1|DECR1|ACAD10|ACOT13|HSD17B8|ACADL|MECR|PRKAB2|ELOVL4|ACOT2|ACADS|ACOT9|MCEE|ECHS1|ACSBG2|PPT1|MORC2|HADH|SCD5|SLC27A3|CBR4|OLAH|DBI|ACOT11|ELOVL7|ACSL6|ALOX15|HACD1|ACSF2|PLA2G4A|ACAA2|ECI1|PPT2|THEM4|MAPKAPK2|ACSL4|ACOT12|ACACB|ACSM6|PRKAA2|RXRA|ACBD7|ACSF3|EPHX2|ACSL3|ACOT1|PON1|PON3|HACD4|ACAA1|PON2|ACLY|THEM5|ALOX5AP|GPX4|ACSL5|FASN|GPX2|LTC4S|ACACA|GPX1|PTGR1|ALOX12|TECRL|ALOX5|THRSP|HPGD|HACD2|CPT2|ALOXE3|MID1IP1|ALOX12B|ACBD6|FAAH|SLC25A20|ACAD11|PTGR2|SLC22A5|HTD2|PTGDS|PTGES|CPT1B|PRXL2B|CBR1|FAAH2|ALOX15B|AWAT1|SLC25A17|PHYH|PTGS2|PECR|HACL1|SCD|CROT|ACOX3|CRAT|ACOXL|ACADVL|ELOVL6|CPT1A|HADHA|ABCC1|HADHB|ALDH3A2|MLYCD|EHHADH|ACOT4|ABCD1|LTA4H|ECI2|ACOT6|DECR2|ELOVL5|ELOVL1|ELOVL3|FADS2|GGT5|FADS1|GGT1|ACSL1|ACOX1|ELOVL2|NDUFAB1|MMUT|CYP1A2|MMAA|ACBD5","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_FATTY_ACID_METABOLISM","177","ENR","REACTOME_FATTY_ACID_METABOLISM","-1.0",,,,"1.0","1.0","1.84504834082503E-8",,,,"4.41001180523E-9","5.09241957502383E-4","REACTOME_FATTY_ACID_METABOLISM","false","REACTOME_FATTY_ACID_METABOLISM"
"26","0.8750115828697588",,,,"1.7910907546567405","0.7489335574042233","-0.8750115828697588",,,,"1.7910907546567405","0.7489335574042233","1.7910907546567405","-0.866651413310342",,,,"0.9838225805773257","0.821734852604438","0|0|0|0|1|0",,,,,,,"0.326224561467373",,,,"0.100690182892595","0.543187199630604",,,,,,,"GUCY2C|GUCA2B|PIR|GUCA2A|CHIT1|RSC1A1|SLC2A2|MGAM|CLPS|CEL|PNLIP|LIPF|PNLIPRP1|PNLIPRP3|PNLIPRP2|SLC2A5|SI|LCT|TREH|CHIA|AMY1B|AMY1C|AMY1A|AMY2B|AMY2A|SLC5A1|ALPI|NPC1L1","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_DIGESTION_AND_ABSORPTION","28","ENR","REACTOME_DIGESTION_AND_ABSORPTION","-1.0",,,,"1.0","1.0","0.133348586689658",,,,"0.0161774194226743","0.178265147395562","REACTOME_DIGESTION_AND_ABSORPTION","false","REACTOME_DIGESTION_AND_ABSORPTION"
"1",,"2.182131711022991","2.914583089682369","0.8088007619119796",,,,"2.182131711022991","-2.914583089682369","-0.8088007619119796",,,"2.914583089682369",,"0.9934254158413501","-0.9987826459349111","-0.844690064947605",,,"0|1|1|0|0|0",,,,,,,,"0.05131591012141","0.0175591150348433","0.523408996073773",,,,,,,,,"PRKAR1B|PRKAR2B|PRKCE|CAMKK1|PRKCD|CAMK2B|CAMK2A|ADCY2|CAMKK2|CREB1|ADCY7|ADCY4|PRKAR1A|ITPR2|PDE1B|ADCY3|CAMK2D|CAMK2G|PLCG1|ITPR1|CAMK4|PDE1C|PRKACG|ADCY8|ADCY9|CALM1|ADCY1|ITPR3|AHCYL1|NBEA|GRK2|PRKCA|ADCY5|PRKCG|ADCY6|KPNA2|PRKAR2A|PRKX|PDE1A|PRKACA|PRKACB","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_DAG_AND_IP3_SIGNALING","41","ENR","REACTOME_DAG_AND_IP3_SIGNALING",,"1.0","-1.0","-1.0",,,,"0.00657458415864987","0.00121735406508897","0.155309935052395",,,"REACTOME_DAG_AND_IP3_SIGNALING","false","REACTOME_DAG_AND_IP3_SIGNALING"
"14",,"0.884289973774768","0.3116410702537109","2.4290310918893505",,,,"0.884289973774768","-0.3116410702537109","-2.4290310918893505",,,"2.4290310918893505",,"0.8694700937095989","-0.512068417489228","-0.9962763495295425",,,"0|0|0|1|0|0",,,,,,,,"0.321906780595074","0.712917863263307","0.0849840733953801",,,,,,,,,"ARAP1|WAS|PIK3R1|PAK4|DOCK11|DOCK9|TRIO|ARHGEF11|ARHGAP10|RAB7A|CDC42EP2|NGEF|CDC42EP3|CDC42EP5|FNBP1L|LBR|ARHGEF5|IQGAP2|PLEKHG2|JUP|MCF2|FGD1|ARHGEF10|ECT2|STOM|ARHGEF26|ARHGEF25|PREX1|MCF2L|FGD3|ARHGAP44|PAK3|ARHGEF16|ARHGEF4|DEF6|FGD4|ARHGAP31|ARHGEF19|DEPDC1B|FGD2|VAV2|ARAP2|PAK6|SRGAP2|ABR|OPHN1|RACGAP1|GMIP|ARHGAP4|PIK3R2|ARHGAP5|ARHGEF7|ARHGEF15|CAV1|ARHGAP21|ARHGDIB|ARAP3|GIT1|ARHGAP40|DOCK8|PLEKHG3|ARHGAP22|STARD8|ARHGDIA|STARD13|RASGRF2|ARHGAP32|ARHGAP20|SH3PXD2A|ARHGAP29|ARHGAP24|ARHGAP26|MYO9B|FARP1|TAGAP|ARHGEF9|DLC1|ARHGAP42|VANGL1|ARHGAP1|ARHGAP30|PLEKHG4|ARHGAP11B|PAK5|BCR|ARHGAP33|RALBP1|FAM13B|DAAM1|FNBP1|DOCK7|ARHGAP39|KTN1|WIPF2|DIAPH3|FMNL2|SYDE1|WDR91|YKT6|PAK1|PARD6A|DNMBP|FMNL3|GNA13|IQGAP3|WASL|BAIAP2|FMNL1|ARHGEF6|PLEKHG1|CDC42EP1|CHN1|IQGAP1|ARHGAP45|ARFGAP2|KCTD3|TIAM1|PAK2|CPNE8|LAMTOR1|STEAP3|GIT2|ARHGAP17|CDC42BPA|PLEKHG4B|ARHGAP35|CDC42SE2|ARHGAP27|PREX2|SHKBP1|SRGAP3|ARFGAP3|VAMP3|DOCK6|WDR81|SNAP23|TFRC|CDC42EP4|SPATA13|ARHGEF12|GOLGA8R|SRGAP1|VAV3|CDC42BPB|ARHGDIG|DOCK10|PLD1|MAP3K11|WIPF1|SCRIB|WIPF3|CDC42|ARHGAP9|TMPO|ITSN1","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CDC42_GTPASE_CYCLE","155","ENR","REACTOME_CDC42_GTPASE_CYCLE",,"1.0","-1.0","-1.0",,,,"0.130529906290401","0.487931582510772","0.00372365047045758",,,"REACTOME_CDC42_GTPASE_CYCLE","false","REACTOME_CDC42_GTPASE_CYCLE"
"3",,"2.110054451708932","1.6158680984616434","1.4120095910000858",,,,"2.110054451708932","-1.6158680984616434","-1.4120095910000858",,,"2.110054451708932",,"0.9922385020289562","-0.9757823553992656","-0.9612750907218114",,,"0|1|0|0|0|0",,,,,,,,"0.0573523804991472","0.128424744750365","0.305477070602718",,,,,,,,,"CACNA1G|COL6A6|NCAM1|NCAN|COL5A1|CACNA1C|NRAS|GFRA1|PTK2|NRTN|COL9A2|PTPRA|HRAS|GRB2|PRNP|SPTB|COL4A1|COL6A5|MAPK1|COL4A2|CACNA1D|COL4A5|AGRN|SPTAN1|COL9A1|SPTBN2|SPTBN4|MAPK3|ST8SIA4|CACNA1H|COL5A3|COL4A4|SPTBN5|CACNA1S|SPTBN1|FYN|KRAS|COL2A1|COL6A3|ARTN|SPTA1|SRC|ST8SIA2|COL9A3|CREB1|COL6A1|COL6A2|CNTN2|CACNA1I|RPS6KA5|COL5A2|FGFR1|PSPN|CACNB1|SOS1|COL3A1|GFRA4|GFRA2|CACNB2|GDNF|COL4A3|CACNB3|CACNB4","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH","63","ENR","REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH",,"1.0","-1.0","-1.0",,,,"0.00776149797104377","0.0242176446007344","0.0387249092781886",,,"REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH","false","REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH"
"25","4.054251143445794",,,,"5.005873689799665","1.0099778308085927","-4.054251143445794",,,,"5.005873689799665","1.0099778308085927","5.005873689799665","-0.9999117430618654",,,,"0.9999901343362314","0.9022712893280351","1|0|0|0|1|0",,,,,,,"0.00244811168394871",,,,"4.68099783546572E-4","0.42799955370994",,,,,,,"HAO2|NUDT19|PEX13|ACSL4|ACOT8|SCP2|PEX2|EPHX2|MPV17L|ACSL3|PEX11G|HSD17B4|ACAA1|ACSL5|FAR1|ACOX2|AMACR|IDH1|SLC27A2|GSTK1|SLC25A17|PHYH|PECR|PIPOX|HACL1|HAO1|NUDT12|DAO|PAOX|AGXT|PEX11A|PXMP2|MVK|DDO|CROT|ACOX3|CRAT|PMVK|PEX12|PRDX1|PRDX5|NOS2|BAAT|MLYCD|PEX3|EHHADH|AGPS|ABCD1|ECI2|FAR2|DECR2|ABCD3|ECH1|PEX7|MPV17|PEX6|PEX1|PEX19|ACSL1|PEX26|ACOX1|PXMP4|ABCD2|PEX16|PEX11B|PEX5|HMGCL|GNPAT|DHRS4|PEX14|IDH2|XDH|CAT|ABCD4|ACSL6|SOD1|SOD2|PEX10","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_PEROXISOME","78","ENR","KEGG_PEROXISOME","-1.0",,,,"1.0","1.0","8.825693813459E-5",,,,"9.86566376859109E-6","0.0977287106719649","KEGG_PEROXISOME","false","KEGG_PEROXISOME"
