"__mclCluster","EnrichmentMap::-log10(pvalue) (Carnivore Conserved)","EnrichmentMap::-log10(pvalue) (Invertivore Conserved)","EnrichmentMap::-log10(pvalue) (Vertivore Conserved)","EnrichmentMap::-log10(pvalue)*sign(NES) (Carnivore Conserved)","EnrichmentMap::-log10(pvalue)*sign(NES) (Invertivore Conserved)","EnrichmentMap::-log10(pvalue)*sign(NES) (Vertivore Conserved)","EnrichmentMap::-log10(pvalue)_max","EnrichmentMap::Colouring (Carnivore Conserved)","EnrichmentMap::Colouring (Invertivore Conserved)","EnrichmentMap::Colouring (Vertivore Conserved)","EnrichmentMap::Dataset_Chart","EnrichmentMap::ES (Carnivore Conserved)","EnrichmentMap::ES (Invertivore Conserved)","EnrichmentMap::ES (Vertivore Conserved)","EnrichmentMap::fdr_qvalue (Carnivore Conserved)","EnrichmentMap::fdr_qvalue (Invertivore Conserved)","EnrichmentMap::fdr_qvalue (Vertivore Conserved)","EnrichmentMap::fwer_qvalue (Carnivore Conserved)","EnrichmentMap::fwer_qvalue (Invertivore Conserved)","EnrichmentMap::fwer_qvalue (Vertivore Conserved)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (Carnivore Conserved)","EnrichmentMap::NES (Invertivore Conserved)","EnrichmentMap::NES (Vertivore Conserved)","EnrichmentMap::pvalue (Carnivore Conserved)","EnrichmentMap::pvalue (Invertivore Conserved)","EnrichmentMap::pvalue (Vertivore Conserved)","name","selected","shared name"
"3","1.0570191644295803","3.7046793430179847",,"-1.0570191644295803","3.7046793430179847",,"3.7046793430179847","-0.9123037878057834","0.9998026120407547",,"0|1|0",,,,"0.251377218737953","0.00480933095296361",,,,,"RBBP8|XRCC2|NBN|RAD50|BRCA2|ATM|TOP3A|BLM|RAD51C|RAD51D|DNA2|BRIP1|WRN|SEM1|BARD1|KAT5|RTEL1|EXO1|RAD51B|RMI2|BRCA1|RMI1|PALB2|RAD51AP1|XRCC3|MRE11|RAD51","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA","27","ENR","REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA","-1.0","1.0",,"0.0876962121942166","1.97387959245317E-4",,"REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA","false","REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA"
"2","2.9903196641369436","2.2959678336056926","2.539995325533388","-2.9903196641369436","2.2959678336056926","2.539995325533388","2.9903196641369436","-0.9989774599293636","0.9949413787227083","0.9971159374548453","1|1|1",,,,"0.0141161322474142","0.049035990123425","0.0711254711050658",,,,"NAGS|ARG1|CPS1|ARG2|SLC25A15|SLC25A2|ASL|OTC|ASS1|NMRAL1","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_UREA_CYCLE","10","ENR","REACTOME_UREA_CYCLE","-1.0","1.0","1.0","0.00102254007063644","0.00505862127729177","0.00288406254515473","REACTOME_UREA_CYCLE","false","REACTOME_UREA_CYCLE"
"8","3.2116824375574664","4.651983730433586","0.009684324677584717","-3.2116824375574664","4.651983730433586","0.009684324677584717","4.651983730433586","-0.9993857890390075","0.9999777148136739","0.02205219709883699","1|1|0",,,,"0.00999418943822365","8.54897679700369E-4","0.997307629316061",,,,"HAO2|NUDT7|ACBD4|NUDT19|ACOT8|SCP2|ALDH3A2|HSD17B4|ACAA1|MLYCD|EHHADH|ACOT4|ABCD1|ACOX2|ECI2|ACOT6|DECR2|AMACR|SLC27A2|ACOX1|SLC25A17|PHYH|PECR|HACL1|CROT|ACOX3|CRAT|ACBD5|ACOXL","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_PEROXISOMAL_LIPID_METABOLISM","29","ENR","REACTOME_PEROXISOMAL_LIPID_METABOLISM","-1.0","1.0","1.0","6.14210960992432E-4","2.22851863260773E-5","0.977947802901163","REACTOME_PEROXISOMAL_LIPID_METABOLISM","false","REACTOME_PEROXISOMAL_LIPID_METABOLISM"
"1","2.888566226075226","2.732446069917498","1.426762922340522","-2.888566226075226","2.732446069917498","1.426762922340522","2.888566226075226","-0.9987074904105259","0.9981483711873893","0.9625685132191355","1|1|0",,,,"0.0164112309142381","0.0233460611827761","0.303719722021468",,,,"OSBPL7|CYP46A1|OSBPL3|OSBPL6|NR1H4|HSD3B7|ABCB11|ACOT8|SLC27A5|SCP2|OSBPL1A|RXRA|SLCO1A2|OSBPL9|SLC10A1|AKR1D1|ABCC3|PTGIS|SLCO1B3|OSBPL2|SLC10A2|HSD17B4|NCOA1|SLCO1B1|CYP27A1|BAAT|CH25H|CYP39A1|SLC51A|AKR1C2|FABP6|CYP7A1|STARD5|ALB|ACOX2|SLC51B|OSBP|CYP7B1|NCOA2|CYP8B1|AKR1C1|AKR1C3|AKR1C4|AMACR|SLC27A2","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM","45","ENR","REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM","-1.0","1.0","1.0","0.00129250958947411","0.00185162881261064","0.0374314867808645","REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM","false","REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM"
"17","6.849660427994746","7.215519708905378","1.2434880454336488","-6.849660427994746","7.215519708905378","1.2434880454336488","7.215519708905378","-0.9999998586357569","0.9999999391192084","0.9429163210959022","1|1|0",,,,"1.21371300091821E-5","7.31787115704609E-6","0.356848950870448",,,,"MRPL51|MTRF1L|MRPL2|MRPS30|MRPS27|MRPL3|MRPL19|MRPL37|MRPS15|MRPS14|MTIF3|MRPS2|TSFM|MRPS7|MRPS26|MRPS12|MRPL34|MRPS25|PTCD3|MRPL35|ERAL1|DAP3|MRPS36|MRPL44|MRPS9|MRPL47|MRPL50|MRPL15|MRPL24|MRPL9|MRPS5|MRPS28|MRRF|MRPL49|MRPL39|OXA1L|MRPL17|MRPL10|MRPL55|MRPS18C|GFM2|MRPL16|MRPL58|GFM1|MRPL1|MRPL36|MRPL13|CHCHD1|MRPL52|MRPL57|MRPL11|MRPS22|MRPL48|AURKAIP1|TUFM|GADD45GIP1|MRPL14|MRPS23|MRPS11|MRPL41|MRPS16|MRPL54|MRPL30|MRPL40|MRPL21|MRPL42|MRPS18B|MRPL38|MRPL53|MT-RNR2|MT-RNR1|MRPL23|MRPS17|MRPL20|MRPL33|MRPS6|MRPL46|MRPL12|MRPS21|MRPL45|MRPL18|MRPS10|MRPL43|MRPS35|MRPS24|MRPS34|MRPL22|MTIF2|MRPL28|MRPS33|MRPS18A|MRPS31|MTFMT|MRPL4|MRPL32|MRPL27","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MITOCHONDRIAL_TRANSLATION","96","ENR","REACTOME_MITOCHONDRIAL_TRANSLATION","-1.0","1.0","1.0","1.41364243035399E-7","6.08807916559575E-8","0.0570836789040978","REACTOME_MITOCHONDRIAL_TRANSLATION","false","REACTOME_MITOCHONDRIAL_TRANSLATION"
"1","7.733992250708968","8.355560247960872","3.2930758211199764","-7.733992250708968","8.355560247960872","3.2930758211199764","8.355560247960872","-0.9999999815495166","0.9999999955899882","0.9994907580424977","1|1|1",,,,"2.88742856484512E-6","1.25628513099303E-6","0.0208673465767454",,,,"HAO2|NUDT7|ACBD4|NUDT19|ACOT8|PPARD|SCP2|PCTP|PTGIS|HPGDS|DPEP1|HSD17B4|TBXAS1|PCCB|ACOX2|PTGS1|CYP8B1|PCCA|AKR1C3|AMACR|PTGES3|SLC27A2|HSD17B3|CYP2J2|HSD17B12|CYP1B1|CYP2C9|CYP2C8|CYP1A1|DPEP3|ACADM|CYP4B1|CYP2U1|CYP4A22|CYP2C19|DPEP2|PTGES2|CYP4F11|CYP4F22|CYP4F2|CYP4F8|CYP4F3|CYP4A11|ACSM3|PRKAG2|HACD3|ACOT7|TECR|SLC25A1|MCAT|ACSBG1|DECR1|ACAD10|ACOT13|HSD17B8|ACADL|MECR|PRKAB2|ELOVL4|ACOT2|ACADS|ACOT9|MCEE|ECHS1|ACSBG2|PPT1|MORC2|HADH|SCD5|SLC27A3|CBR4|OLAH|DBI|ACOT11|ELOVL7|ACSL6|ALOX15|HACD1|ACSF2|PLA2G4A|ACAA2|ECI1|PPT2|THEM4|MAPKAPK2|ACSL4|ACOT12|ACACB|ACSM6|PRKAA2|RXRA|ACBD7|ACSF3|EPHX2|ACSL3|ACOT1|PON1|PON3|HACD4|ACAA1|PON2|ACLY|THEM5|ALOX5AP|GPX4|ACSL5|FASN|GPX2|LTC4S|ACACA|GPX1|PTGR1|ALOX12|TECRL|ALOX5|THRSP|HPGD|HACD2|CPT2|ALOXE3|MID1IP1|ALOX12B|ACBD6|FAAH|SLC25A20|ACAD11|PTGR2|SLC22A5|HTD2|PTGDS|PTGES|CPT1B|PRXL2B|CBR1|FAAH2|ALOX15B|AWAT1|SLC25A17|PHYH|PTGS2|PECR|HACL1|SCD|CROT|ACOX3|CRAT|ACOXL|ACADVL|ELOVL6|CPT1A|HADHA|ABCC1|HADHB|ALDH3A2|MLYCD|EHHADH|ACOT4|ABCD1|LTA4H|ECI2|ACOT6|DECR2|ELOVL5|ELOVL1|ELOVL3|FADS2|GGT5|FADS1|GGT1|ACSL1|ACOX1|ELOVL2|NDUFAB1|MMUT|CYP1A2|MMAA|ACBD5","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_FATTY_ACID_METABOLISM","177","ENR","REACTOME_FATTY_ACID_METABOLISM","-1.0","1.0","1.0","1.84504834082503E-8","4.41001180523E-9","5.09241957502383E-4","REACTOME_FATTY_ACID_METABOLISM","false","REACTOME_FATTY_ACID_METABOLISM"
"2","3.091262496901386","1.669263464089342","3.6923939843357134","-3.091262496901386","1.669263464089342","3.6923939843357134","3.6923939843357134","-0.9991895289563039","0.9785840898597977","0.9997969485871652","1|0|1",,,,"0.0117845104176137","0.122580590421539","0.0140937503899316",,,,"MAT1A|LDHB|IL4I1|SDS|LDHC|MAT2A|LDHAL6A|MAT2B|DNMT3B|LDHAL6B|AHCY|CTH|GOT2|TAT|LDHA|MPST|CDO1|AHCYL1|MTR|DNMT3A|BHMT|CBS|DNMT1|TRDMT1|MTAP|GOT1|ENOPH1|ADI1|AHCYL2|SMS|DNMT3L|SRM|AMD1|APIP","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_CYSTEINE_AND_METHIONINE_METABOLISM","34","ENR","KEGG_CYSTEINE_AND_METHIONINE_METABOLISM","-1.0","1.0","1.0","8.10471043696117E-4","0.0214159101402023","2.03051412834869E-4","KEGG_CYSTEINE_AND_METHIONINE_METABOLISM","false","KEGG_CYSTEINE_AND_METHIONINE_METABOLISM"
"8","4.054251143445794","5.005873689799665","1.0099778308085927","-4.054251143445794","5.005873689799665","1.0099778308085927","5.005873689799665","-0.9999117430618654","0.9999901343362314","0.9022712893280351","1|1|0",,,,"0.00244811168394871","4.68099783546572E-4","0.42799955370994",,,,"HAO2|NUDT19|PEX13|ACSL4|ACOT8|SCP2|PEX2|EPHX2|MPV17L|ACSL3|PEX11G|HSD17B4|ACAA1|ACSL5|FAR1|ACOX2|AMACR|IDH1|SLC27A2|GSTK1|SLC25A17|PHYH|PECR|PIPOX|HACL1|HAO1|NUDT12|DAO|PAOX|AGXT|PEX11A|PXMP2|MVK|DDO|CROT|ACOX3|CRAT|PMVK|PEX12|PRDX1|PRDX5|NOS2|BAAT|MLYCD|PEX3|EHHADH|AGPS|ABCD1|ECI2|FAR2|DECR2|ABCD3|ECH1|PEX7|MPV17|PEX6|PEX1|PEX19|ACSL1|PEX26|ACOX1|PXMP4|ABCD2|PEX16|PEX11B|PEX5|HMGCL|GNPAT|DHRS4|PEX14|IDH2|XDH|CAT|ABCD4|ACSL6|SOD1|SOD2|PEX10","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_PEROXISOME","78","ENR","KEGG_PEROXISOME","-1.0","1.0","1.0","8.825693813459E-5","9.86566376859109E-6","0.0977287106719649","KEGG_PEROXISOME","false","KEGG_PEROXISOME"
"5","7.749844294619614","5.29010781474957","4.664903458705861","-7.749844294619614","5.29010781474957","4.664903458705861","7.749844294619614","-0.9999999822108292","0.999994872659194","0.999978368006623","1|1|1",,,,"2.88742856484512E-6","2.77629174132836E-4","0.00540103140815381",,,,"NDUFC1|NDUFS8|COX6A1|TIMMDC1|NDUFS7|COQ10B|COX7A2L|SDHB|NDUFB3|NDUFA8|NDUFAF4|NDUFA1|COX6B1|TRAP1|COX7C|UQCR11|NDUFA5|ECSIT|NDUFA10|COX4I1|COX7B|NDUFA2|SCO1|COX16|COQ10A|COX5B|TACO1|NDUFB5|NDUFAF1|LRPPRC|NDUFA9|ETFA|UQCRC2|NDUFB10|SDHC|NDUFS6|NDUFB11|NDUFB9|SURF1|NDUFC2|NUBPL|NDUFAF6|UQCRB|NDUFS2|NDUFV3|COX18|NDUFAF2|NDUFS4|UQCRQ|COX6C|NDUFB6|COX11|NDUFV1|NDUFS5|UQCRFS1|NDUFA3|TMEM126B|ETFDH|UQCRH|NDUFA11|COX8A|ACAD9|NDUFAF3|NDUFV2|COX14|COX5A|NDUFB1|UQCR10|NDUFA12|TMEM186|NDUFA6|NDUFA13|NDUFA4|MT-ND6|MT-CO2|MT-CYB|MT-ND2|MT-ND5|NDUFB8|MT-CO1|MT-ND3|MT-ND4|MT-ND1|MT-CO3|COX20|SDHD|NDUFS3|CYC1|NDUFA7|SCO2|COX19|CYCS|NDUFAF7|NDUFAB1|UQCRC1|NDUFS1|NDUFB4|SDHA|NDUFB2|NDUFB7|NDUFAF5|ETFB|COA1","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","103","ENR","REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","-1.0","1.0","1.0","1.7789170817686E-8","5.12734080603669E-6","2.16319933769584E-5","REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","false","REACTOME_RESPIRATORY_ELECTRON_TRANSPORT"
"3","1.4985470212596566","6.035949213398943",,"-1.4985470212596566","6.035949213398943",,"6.035949213398943","-0.9682712488338308","0.9999990794427841",,"0|1|0",,,,"0.136206996077626","6.14727651919636E-5",,,,,"RBBP8|NBN|RAD50|BRCA2|ATM|NEIL3|OGG1|TOP3A|BLM|MUTYH|HUS1|DNA2|BRIP1|NEIL1|WRN|MSH2|BARD1|RAD51B|PMS2|BRCA1|PALB2|RAD51AP1|RAD9B|NTHL1|XRCC2|RAD17|ATR|TOPBP1|RAD51C|ATRIP|RAD51D|RFC2|SEM1|RPA3|RHNO1|RAD9A|RFC5|MSH3|KAT5|MSH6|RPA2|EXO1|RPA1|RFC3|RAD1|RMI2|RFC4|RMI1|MRE11|RAD51|MLH1","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_DISEASES_OF_DNA_REPAIR","51","ENR","REACTOME_DISEASES_OF_DNA_REPAIR","-1.0","1.0",,"0.0317287511661692","9.20557215853033E-7",,"REACTOME_DISEASES_OF_DNA_REPAIR","false","REACTOME_DISEASES_OF_DNA_REPAIR"
