GO.ID	Description	pVal	p.adj	Phenotype	Gene.vals
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	Both	0.616628159625569	0.807980066718678	1	POLK:267, POLH:397, POLI:1119, REV3L:1155, REV1:1478, RFC2:1497, RFC1:1939, USP10:2392, RPA2:2701, POLD1:2724, RPA3:2824, RCHY1:2964, RFC4:3461, UBB:8114.5, SPRTN:8114.5, UFD1:8114.5, POLD3:8114.5, POLE2:8114.5, RFC5:8114.5, POLE4:8114.5, TRIM25:8114.5, RPA1:8114.5, POLE3:8114.5, UBE2L6:8114.5, PCLAF:8114.5, POLD4:8114.5, UBA7:8114.5, ISG15:8114.5, MAD2L2:12719, NPLOC4:14122, RFC3:14465, RPS27A:14475, POLD2:14510, UBA52:14607, POLE:14926, USP43:15079
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	Both	0.64961416113334	0.831266382202564	1	POLH:397, RFC2:1497, RFC1:1939, RPA2:2701, RPA3:2824, RCHY1:2964, RFC4:3461, UBB:8114.5, SPRTN:8114.5, UFD1:8114.5, RFC5:8114.5, RPA1:8114.5, NPLOC4:14122, RFC3:14465, RPS27A:14475, UBA52:14607
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	Both	0.186921457287002	0.422791031781857	1	MUTYH:201, MBD4:211, TDG:2445, MPG:8114.5, OGG1:8114.5, NTHL1:8114.5, UNG:8114.5, APEX1:8114.5, SMUG1:8114.5
REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	Both	0.69921349149895	0.862889750289259	1	PARG:200, PARP2:2858, APEX1:8114.5, POLB:8114.5, LIG1:8114.5, ADPRS:8114.5, PARP1:8114.5, FEN1:12881
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	Both	0.60362238593351	0.797896746215629	1	PARG:200, RFC2:1497, RFC1:1939, RPA2:2701, POLD1:2724, RPA3:2824, PARP2:2858, RFC4:3461, POLD3:8114.5, POLE2:8114.5, RFC5:8114.5, POLE4:8114.5, RPA1:8114.5, POLE3:8114.5, POLD4:8114.5, APEX1:8114.5, POLB:8114.5, LIG1:8114.5, ADPRS:8114.5, PARP1:8114.5, FEN1:12881, RFC3:14465, POLD2:14510, POLE:14926
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	Unclear	0.508840272120194	0.72702121002603	1	PPP3CC:818, BAD:3701, BID:8114.5, AKT2:8114.5, AKT1:8114.5, BCL2:8114.5, SFN:8114.5, PPP3R1:8114.5
REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA	Unclear	0.628036910923294	0.816402703961571	1	BAK1:1129, BAX:8114.5, GSDMD:8114.5, GSDME:8114.5, DIABLO:8114.5
REACTOME_NEUROTRANSMITTER_CLEARANCE	Herbivore	0.527248384009818	0.742099013559486	1	COMT:484, MAOA:2753, SLC22A2:3210, SLC22A1:8114.5, ACHE:8114.5, SLC6A4:8114.5, BCHE:8114.5, SLC6A3:8114.5, LRTOMT:8114.5, ALDH2:12752
REACTOME_MAPK1_ERK2_ACTIVATION	Insectivore	0.644870020262812	0.828724623331325	1	MAP2K2:502, IL6:1281, JAK2:8114.5, TYK2:8114.5, IL6R:8114.5, JAK1:8114.5, PTPN11:8114.5, IL6ST:13171
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	Unclear	0.0454431768385381	0.18983982359977	1	MCM8:1198, ORC1:1916, ORC2:2474, CCNB1:3234, ORC3:3269, ORC6:8114.5, ORC4:8114.5, ORC5:8114.5
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	Unclear	0.559477637389217	0.766518374021852	1	MCM8:1198, ORC1:1916, ORC2:2474, CCNB1:3234, ORC3:3269, E2F1:8114.5, TFDP2:8114.5, TFDP1:8114.5, POLA2:8114.5, POLA1:8114.5, RB1:8114.5, PRIM2:8114.5, PPP2R3B:8114.5, ORC6:8114.5, ORC4:8114.5, ORC5:8114.5, PPP2R1B:12763, PRIM1:13044
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	Unclear	0.716538702874209	0.874807104345751	1	PPP3CC:818, DYNLL2:2732, TP63:3590, BAD:3701, BID:8114.5, TP73:8114.5, DYNLL1:8114.5, E2F1:8114.5, BMF:8114.5, AKT2:8114.5, BBC3:8114.5, TFDP2:8114.5, TP53:8114.5, AKT1:8114.5, TP53BP2:8114.5, BCL2L11:8114.5, BCL2:8114.5, SFN:8114.5, TFDP1:8114.5, PPP3R1:8114.5, PPP1R13B:13231
REACTOME_FERTILIZATION	Herbivore	0.00553857731445387	0.0523353928808904	1	ADAM2:402, CATSPER2:876, CATSPER4:913, KCNU1:915, CATSPERG:940, ZP3:1235, CATSPERD:1946, B4GALT1:2086, ADAM20:2460, HVCN1:2691, CATSPERB:3552, CD9:8114.5, IZUMO4:8114.5, ZP2:8114.5, ZP4:8114.5, ADAM30:8114.5, ADAM21:8114.5, CATSPER3:8114.5, IZUMO2:8114.5, IZUMO3:8114.5, ZP1:13817
REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES	Unclear	0.721483066378688	0.877755714359497	1	LPO:2205, ATP6V1B2:2292, HVCN1:2691, NOS2:3119, MPO:3241, NCF2:3459, ATP6V1G3:3521, NCF4:3578, NOS1:8114.5, SLC11A1:8114.5, ATP6V0A1:8114.5, ATP6V1H:8114.5, CYBA:8114.5, ATP6V0A4:8114.5, ATP6V1A:8114.5, ATP6V1B1:8114.5, ATP6V0B:8114.5, ATP6V1F:8114.5, ATP6V1C2:8114.5, ATP6V1C1:8114.5, NCF1:8114.5, ATP6V0D1:8114.5, CYBB:8114.5, ATP6V0A2:8114.5, ATP6V0C:8114.5, ATP6V1E2:8114.5, NOS3:12528, ATP6V0D2:12570, TCIRG1:13032, ATP6V1E1:13333
REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR	Unclear	0.946664550153689	0.972556230157893	1	HIF3A:2366, VEGFA:8114.5, CREBBP:8114.5, EP300:8114.5, HIF1A:8114.5, CA9:8114.5, EPAS1:8114.5, EPO:8114.5, ARNT:8114.5, CITED2:8114.5, HIGD1A:8114.5
REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES	Unclear	0.642852837795945	0.827902618961493	1	NCF2:3459, NCF4:3578, CD36:8114.5, ITGAV:8114.5, CYBA:8114.5, NCF1:8114.5, CYBB:8114.5, ITGB5:8114.5
