"","cytoscapeNodes.shared.name","X.match.cytoscapeNodes.shared.name..rownames.GOOutput......1"
"1","REACTOME_RNA_POLYMERASE_II_PRE_TRANSCRIPTION_EVENTS",1040
"2","REACTOME_INFECTIOUS_DISEASE",983
"3","REACTOME_UPTAKE_OF_DIETARY_COBALAMINS_INTO_ENTEROCYTES",1621
"4","REACTOME_L1CAM_INTERACTIONS",606
"5","REACTOME_CELL_CELL_JUNCTION_ORGANIZATION",731
"6","REACTOME_ENOS_ACTIVATION",408
"7","REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH",1512
"8","REACTOME_ESR_MEDIATED_SIGNALING",1291
"9","REACTOME_PHENYLALANINE_AND_TYROSINE_METABOLISM",1332
"10","REACTOME_GLUCOCORTICOID_BIOSYNTHESIS",342
"11","REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE",1540
"12","REACTOME_RHOA_GTPASE_CYCLE",1355
"13","REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS",1632
"14","REACTOME_LEISHMANIA_INFECTION",1519
"15","REACTOME_HCMV_LATE_EVENTS",1477
"16","REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING",1371
"17","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT",1546
"18","REACTOME_SIGNALING_BY_HEDGEHOG",877
"19","REACTOME_NF_KB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL",419
"20","REACTOME_SIGNALING_BY_PDGF",300
"21","REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE",415
"22","REACTOME_ARACHIDONIC_ACID_METABOLISM",456
"23","REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION",531
"24","REACTOME_SNRNP_ASSEMBLY",327
"25","REACTOME_NEGATIVE_REGULATION_OF_FGFR2_SIGNALING",963
"26","REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES",146
"27","REACTOME_DNA_METHYLATION",867
"28","REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS",1366
"29","KEGG_FOCAL_ADHESION",1740
"30","REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION",1289
"31","REACTOME_PLATELET_HOMEOSTASIS",710
"32","REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS",471
"33","KEGG_BETA_ALANINE_METABOLISM",1678
"34","REACTOME_DEFECTS_IN_BIOTIN_BTN_METABOLISM",575
"35","REACTOME_DIGESTION",1287
"36","REACTOME_PHENYLALANINE_METABOLISM",1348
"37","KEGG_SELENOAMINO_ACID_METABOLISM",1680
"38","REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI",1615
"39","REACTOME_FERTILIZATION",54
"40","REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES",736
"41","KEGG_PROPANOATE_METABOLISM",1689
"42","REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS",144
"43","REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX",386
"44","REACTOME_MINERALOCORTICOID_BIOSYNTHESIS",341
"45","REACTOME_PEXOPHAGY",1534
"46","REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS",363
"47","REACTOME_NUCLEOTIDE_SALVAGE",1328
"48","REACTOME_MULTIFUNCTIONAL_ANION_EXCHANGERS",748
"49","REACTOME_AMYLOID_FIBER_FORMATION",1633
"50","REACTOME_DIGESTION_OF_DIETARY_LIPID",329
"51","REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS",1365
"52","REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY",1311
"53","REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME",223
"54","REACTOME_HIV_LIFE_CYCLE",170
"55","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS",896
"56","KEGG_ALLOGRAFT_REJECTION",1801
"57","REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS",787
"58","KEGG_TGF_BETA_SIGNALING_PATHWAY",1737
"59","KEGG_STEROID_HORMONE_BIOSYNTHESIS",1663
"60","REACTOME_ION_HOMEOSTASIS",898
"61","REACTOME_MAPK6_MAPK4_SIGNALING",1007
"62","REACTOME_ONCOGENE_INDUCED_SENESCENCE",512
"63","KEGG_OXIDATIVE_PHOSPHORYLATION",1664
"64","REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS",62
"65","REACTOME_PIWI_INTERACTING_RNA_PIRNA_BIOGENESIS",900
"66","REACTOME_METABOLISM_OF_RNA",1323
"67","REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION",861
"68","KEGG_TIGHT_JUNCTION",1744
"69","REACTOME_HCMV_INFECTION",1474
"70","KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",1699
"71","REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS",717
"72","REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS",910
"73","REACTOME_G_ALPHA_S_SIGNALLING_EVENTS",714
"74","REACTOME_VASOPRESSIN_REGULATES_RENAL_WATER_HOMEOSTASIS_VIA_AQUAPORINS",762
"75","REACTOME_INTRA_GOLGI_TRAFFIC",1094
"76","REACTOME_HSF1_DEPENDENT_TRANSACTIVATION",582
"77","REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA",1003
"78","PID_FANCONI_PATHWAY",1804
"79","REACTOME_HIGHLY_SODIUM_PERMEABLE_POSTSYNAPTIC_ACETYLCHOLINE_NICOTINIC_RECEPTORS",1037
"80","REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA",1191
"81","KEGG_ALZHEIMERS_DISEASE",1776
"82","REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION",1170
"83","REACTOME_LAMININ_INTERACTIONS",541
"84","REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION",747
"85","REACTOME_MITOTIC_PROPHASE",1102
"86","REACTOME_AMINE_LIGAND_BINDING_RECEPTORS",609
"87","REACTOME_REGULATION_OF_RUNX1_EXPRESSION_AND_ACTIVITY",1285
"88","REACTOME_G_PROTEIN_MEDIATED_EVENTS",28
"89","REACTOME_SENSORY_PERCEPTION",1591
"90","REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM",356
"91","REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL",332
"92","REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES",1367
"93","REACTOME_GPER1_SIGNALING",1499
"94","REACTOME_SIGNALING_BY_PTK6",1228
"95","REACTOME_PREDNISONE_ADME",1619
"96","REACTOME_INFLUENZA_INFECTION",232
"97","REACTOME_STRIATED_MUSCLE_CONTRACTION",661
"98","REACTOME_PEROXISOMAL_PROTEIN_IMPORT",1437
"99","REACTOME_ROLE_OF_SECOND_MESSENGERS_IN_NETRIN_1_SIGNALING",721
