"","cytoscapeNodes.shared.name","X.match.cytoscapeNodes.shared.name..rownames.GOOutput......1"
"1","REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA",1021
"2","REACTOME_UREA_CYCLE",1137
"3","REACTOME_PEROXISOMAL_LIPID_METABOLISM",667
"4","REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM",343
"5","REACTOME_MITOCHONDRIAL_TRANSLATION",883
"6","REACTOME_FATTY_ACID_METABOLISM",1352
"7","KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",1669
"8","KEGG_PEROXISOME",1729
"9","REACTOME_RESPIRATORY_ELECTRON_TRANSPORT",1035
"10","REACTOME_DISEASES_OF_DNA_REPAIR",1548
"11","REACTOME_SPERM_MOTILITY_AND_TAXES",87
"12","REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS",132
"13","KEGG_TYPE_I_DIABETES_MELLITUS",1772
"14","KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",1668
"15","REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS",162
"16","REACTOME_VITAMINS",435
"17","REACTOME_METABOLISM_OF_LIPIDS",889
"18","REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT",738
"19","KEGG_HUNTINGTONS_DISEASE",1779
"20","REACTOME_FANCONI_ANEMIA_PATHWAY",1046
"21","REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT",106
"22","KEGG_FATTY_ACID_METABOLISM",1660
"23","REACTOME_METABOLISM_OF_STEROID_HORMONES",349
"24","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",1746
"25","KEGG_PPAR_SIGNALING_PATHWAY",1711
"26","KEGG_GALACTOSE_METABOLISM",1658
"27","REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE",70
"28","REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS",364
"29","REACTOME_ANDROGEN_BIOSYNTHESIS",330
"30","REACTOME_COMPLEX_I_BIOGENESIS",1064
"31","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES",1144
"32","REACTOME_SULFUR_AMINO_ACID_METABOLISM",169
"33","REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES",1018
"34","KEGG_PARKINSONS_DISEASE",1777
"35","REACTOME_PROTEIN_LOCALIZATION",1472
"36","REACTOME_SPHINGOLIPID_METABOLISM",750
"37","REACTOME_PEROXISOMAL_PROTEIN_IMPORT",1437
"38","KEGG_HEMATOPOIETIC_CELL_LINEAGE",1753
"39","REACTOME_TRYPTOPHAN_CATABOLISM",1142
"40","REACTOME_PREDNISONE_ADME",1619
"41","REACTOME_HDL_CLEARANCE",1341
"42","KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM",1688
"43","REACTOME_TYROSINE_CATABOLISM",1331
"44","REACTOME_METABOLISM_OF_STEROIDS",1329
"45","REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL",332
"46","REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM",356
"47","KEGG_SULFUR_METABOLISM",1698
"48","REACTOME_DEFECTIVE_GALNT3_CAUSES_HFTC",844
"49","KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",1667
"50","REACTOME_ANTIMICROBIAL_PEPTIDES",1069
"51","REACTOME_TRANSLATION",1161
"52","KEGG_ALZHEIMERS_DISEASE",1776
"53","KEGG_GRAFT_VERSUS_HOST_DISEASE",1802
"54","PID_FANCONI_PATHWAY",1804
"55","REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA",1003
"56","KEGG_NITROGEN_METABOLISM",1697
"57","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION",651
"58","REACTOME_HOMOLOGY_DIRECTED_REPAIR",1019
"59","REACTOME_SYNTHESIS_OF_PC",131
"60","REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM",354
"61","KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",1699
"62","REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE",434
"63","REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM",569
"64","KEGG_OXIDATIVE_PHOSPHORYLATION",1664
"65","KEGG_STEROID_HORMONE_BIOSYNTHESIS",1663
"66","KEGG_ALLOGRAFT_REJECTION",1801
"67","REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL",1044
"68","REACTOME_OLFACTORY_SIGNALING_PATHWAY",636
"69","KEGG_ARGININE_AND_PROLINE_METABOLISM",1673
"70","REACTOME_TRANSPORT_OF_SMALL_MOLECULES",638
"71","REACTOME_BIOLOGICAL_OXIDATIONS",433
"72","REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION",886
"73","REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN",68
"74","REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION",465
"75","REACTOME_IRAK4_DEFICIENCY_TLR2_4",902
"76","REACTOME_DIGESTION_OF_DIETARY_LIPID",329
"77","KEGG_TRYPTOPHAN_METABOLISM",1677
"78","REACTOME_MULTIFUNCTIONAL_ANION_EXCHANGERS",748
"79","REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR",1005
"80","KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",1670
"81","REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS",363
"82","KEGG_TYROSINE_METABOLISM",1675
"83","REACTOME_CHOLINE_CATABOLISM",1062
"84","REACTOME_DEGRADATION_OF_CYSTEINE_AND_HOMOCYSTEINE",168
"85","REACTOME_MINERALOCORTICOID_BIOSYNTHESIS",341
"86","REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS",181
"87","REACTOME_DNA_REPAIR",1177
"88","REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION",1210
"89","REACTOME_SYNTHESIS_OF_WYBUTOSINE_AT_G37_OF_TRNA_PHE",1045
"90","REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS",144
"91","REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS",437
"92","KEGG_ABC_TRANSPORTERS",1703
"93","KEGG_PROPANOATE_METABOLISM",1689
"94","REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES",736
"95","REACTOME_FERTILIZATION",54
"96","REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE",104
"97","REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI",1615
"98","REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS",701
"99","KEGG_SELENOAMINO_ACID_METABOLISM",1680
"100","REACTOME_PHENYLALANINE_METABOLISM",1348
"101","REACTOME_DIGESTION",1287
"102","REACTOME_DEFECTS_IN_BIOTIN_BTN_METABOLISM",575
"103","KEGG_BETA_ALANINE_METABOLISM",1678
"104","REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS",471
"105","REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR",1017
"106","REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES",146
"107","REACTOME_HEME_DEGRADATION",310
"108","REACTOME_MUCOPOLYSACCHARIDOSES",482
"109","REACTOME_ENDOGENOUS_STEROLS",439
"110","REACTOME_ARACHIDONIC_ACID_METABOLISM",456
"111","REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",265
"112","REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE",586
"113","REACTOME_MATURATION_OF_SARS_COV_2_SPIKE_PROTEIN",1564
"114","REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES",899
"115","REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE",1023
"116","REACTOME_VITAMIN_D_CALCIFEROL_METABOLISM",358
"117","KEGG_OLFACTORY_TRANSDUCTION",1764
"118","KEGG_DRUG_METABOLISM_CYTOCHROME_P450",1700
"119","REACTOME_DRUG_ADME",1603
