GO.ID	Description	pVal	p.adj	Phenotype	Gene.vals
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	Unclear	0.0449007698772058	0.332732688206395	-1	POLH:168, POLK:282, USP10:648, RPA2:863, SPRTN:1653, RPS27A:1680, UBB:6821, UBA52:6821, REV3L:6821, RFC1:6821, RFC2:6821, POLD1:6821, UFD1:6821, POLD3:6821, POLE2:6821, POLI:6821, RPA3:6821, POLD2:6821, RFC5:6821, POLE4:6821, TRIM25:6821, RPA1:6821, REV1:6821, POLE3:6821, USP43:6821, UBE2L6:6821, RCHY1:6821, RFC4:6821, PCLAF:6821, POLE:6821, UBA7:6821, NPLOC4:6821, ISG15:6821, POLD4:12367, RFC3:12801, MAD2L2:13617
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	Unclear	0.715703399079509	0.930308107783175	-1	RPA2:863, RPS27A:1680, UBB:6821, UBA52:6821, RFC1:6821, RFC2:6821, POLD1:6821, POLD3:6821, POLE2:6821, RPA3:6821, POLD2:6821, RFC5:6821, POLE4:6821, RPA1:6821, POLE3:6821, RFC4:6821, POLE:6821, RAD18:6821, CUL4A:6821, CUL4B:6821, USP1:6821, POLD4:12367, RFC3:12801, DTL:14752, UBE2B:14921
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	Unclear	0.062724768709622	0.370238144881736	-1	POLH:168, RPA2:863, SPRTN:1653, RPS27A:1680, UBB:6821, UBA52:6821, RFC1:6821, RFC2:6821, UFD1:6821, RPA3:6821, RFC5:6821, RPA1:6821, RCHY1:6821, RFC4:6821, NPLOC4:6821, RFC3:12801
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Unclear	0.270282101620703	0.669518558964196	-1	MUTYH:111, H4C15:342, H4C14:729, TINF2:6821, ACD:6821, MPG:6821, NEIL3:6821, OGG1:6821, POT1:6821, TERF1:6821, H4C8:6821, TERF2IP:6821, H2AC20:6821, H2BC21:6821, H4C3:6821, H4C11:6821, H2BC15:6821, H4C13:6821, H2AC14:6821, H2AC4:6821, H4C1:6821, H4C2:6821, H2BC9:12188, H2BC4:13183, TERF2:14611
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	Unclear	0.113279995344137	0.487541996116953	-1	MUTYH:111, MBD4:1518, MPG:6821, OGG1:6821, NTHL1:6821, UNG:6821, APEX1:6821, SMUG1:6821, TDG:6821
REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	Unclear	0.11879782886682	0.492396518268682	-1	LIG1:202, PARP1:808, PARP2:1569, APEX1:6821, ADPRS:6821, FEN1:6821, PARG:6821, POLB:12997
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	Unclear	0.166128775063055	0.559861688085518	-1	LIG1:202, PARP1:808, RPA2:863, PARP2:1569, RFC1:6821, RFC2:6821, POLD1:6821, POLD3:6821, POLE2:6821, RPA3:6821, POLD2:6821, RFC5:6821, POLE4:6821, RPA1:6821, POLE3:6821, RFC4:6821, POLE:6821, APEX1:6821, ADPRS:6821, FEN1:6821, PARG:6821, POLD4:12367, RFC3:12801, POLB:12997
REACTOME_FORMATION_OF_APOPTOSOME	Unclear	0.491346681020361	0.843556123860089	-1	UACA:358, XIAP:6821, MAPK3:6821, APAF1:6821, CASP9:6821, APIP:6821, AVEN:6821, DIABLO:12601
REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE	Unclear	0.813312736674585	0.94147506939641	-1	UACA:358, XIAP:6821, MAPK3:6821, APAF1:6821, CASP9:6821, APIP:6821, CASP7:6821, AVEN:6821, DIABLO:12601, CASP3:13936
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE	Unclear	0.663683357719683	0.908772442861043	-1	UACA:358, C1QBP:966, BAK1:6821, XIAP:6821, MAPK3:6821, GSDMD:6821, GSDME:6821, APAF1:6821, CASP9:6821, CDKN2A:6821, APIP:6821, CASP7:6821, AVEN:6821, DIABLO:12601, CASP3:13936, BAX:14097
REACTOME_NEUROTRANSMITTER_CLEARANCE	Unclear	0.766334492976953	0.933304833278338	-1	SLC22A2:6821, SLC22A1:6821, MAOA:6821, COMT:6821, SLC6A4:6821, ALDH2:6821, BCHE:6821, SLC6A3:6821, LRTOMT:6821, ACHE:12738
