"","cytoscapeNodes.shared.name","X.match.cytoscapeNodes.shared.name..rownames.GOOutput......1"
"1","REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA",1021
"2","REACTOME_ION_HOMEOSTASIS",898
"3","REACTOME_ION_CHANNEL_TRANSPORT",1652
"4","REACTOME_PEROXISOMAL_LIPID_METABOLISM",667
"5","REACTOME_MITOCHONDRIAL_TRANSLATION",883
"6","REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS",546
"7","REACTOME_RECYCLING_PATHWAY_OF_L1",772
"8","REACTOME_MUSCLE_CONTRACTION",683
"9","REACTOME_OLFACTORY_SIGNALING_PATHWAY",636
"10","REACTOME_DISEASES_OF_DNA_REPAIR",1548
"11","REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK",334
"12","REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF",511
"13","REACTOME_TRANSPORT_OF_SMALL_MOLECULES",638
"14","REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME",223
"15","REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING",1052
"16","REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA",1155
"17","REACTOME_NGF_STIMULATED_TRANSCRIPTION",1433
"18","REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR",1005
"19","REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND",578
"20","REACTOME_SIGNALING_BY_INTERLEUKINS",809
"21","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",1719
"22","REACTOME_SARS_COV_INFECTIONS",1551
"23","REACTOME_FANCONI_ANEMIA_PATHWAY",1046
"24","REACTOME_DNA_REPAIR",1177
"25","REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS",1550
"26","REACTOME_CELLULAR_SENESCENCE",510
"27","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM",79
"28","REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS",471
"29","REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR",1017
"30","REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION",33
"31","REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES",1018
"32","KEGG_HOMOLOGOUS_RECOMBINATION",1715
"33","REACTOME_CELLULAR_RESPONSES_TO_STIMULI",1324
"34","REACTOME_HIV_INFECTION",177
"35","REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX",36
"36","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES",34
"37","REACTOME_PEROXISOMAL_PROTEIN_IMPORT",1437
"38","REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE",415
"39","REACTOME_CARDIAC_CONDUCTION",892
"40","REACTOME_SENSORY_PERCEPTION",1591
"41","REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE",1023
"42","KEGG_LONG_TERM_POTENTIATION",1761
"43","KEGG_OLFACTORY_TRANSDUCTION",1764
"44","REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION",1170
"45","REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION",450
"46","REACTOME_RHOA_GTPASE_CYCLE",1355
"47","REACTOME_GLYCOLYSIS",1131
"48","REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA",1003
"49","REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC",1093
"50","REACTOME_HOMOLOGY_DIRECTED_REPAIR",1019
"51","REACTOME_G_ALPHA_12_13_SIGNALLING_EVENTS",703
"52","REACTOME_ADAPTIVE_IMMUNE_SYSTEM",80
"53","REACTOME_NEURONAL_SYSTEM",35
"54","REACTOME_GABA_RECEPTOR_ACTIVATION",1637
"55","REACTOME_RHOB_GTPASE_CYCLE",1379
"56","REACTOME_RHOC_GTPASE_CYCLE",1380
"57","REACTOME_DISEASES_OF_MISMATCH_REPAIR_MMR",885
"58","REACTOME_INFECTIOUS_DISEASE",983
"59","REACTOME_RNA_POLYMERASE_II_PRE_TRANSCRIPTION_EVENTS",1040
