,Rho,N,P,p.adj
MasterTree,0.0202454159671458,389,0.0491005513601127,0.158385030965024
ARF5,NA,NA,NA,NA
M6PR,0.0369060243925737,252,0.0259861384727322,0.107133105060601
FKBP4,0.018280811213362,311,0.128981569071929,0.283759451958243
CYP26B1,0.0404828744999541,192,0.0518823429086336,0.164062149382875
NDUFAF7,0.0174523098308443,324,0.130664860768603,0.286318678948395
FUCA2,0.00849639397567006,340,0.41045471809365,0.57790980678138
DBNDD1,0.0339058236916157,256,0.034387505894161,0.126982825273981
HS3ST1,0.00189108647845452,254,0.92360080685526,0.947716726006672
SEMA3F,0.00905012045831357,289,0.456362578849362,0.615328084700307
CFTR,0.00423849574437281,357,0.680216710053188,0.786365525606599
CYP51A1,0.0325675955449885,280,0.0281644586131692,0.11271180412426
USP28,0.013634507284179,338,0.203986129175284,0.376952752169571
SLC7A2,0.00486085250345497,311,0.680686967609802,0.7865257139095
HSPB6,0.0303688489991029,190,0.12498379092321,0.278739594127599
PDK4,0.0596666356356924,264,0.00131115259282107,0.0158411072350836
USH1C,0.00196692975347876,342,0.880067609003028,0.920162235446665
RALA,0.376455840455841,26,0.0242928819488259,0.103359035725761
BAIAP2L1,0.0185451123060325,302,0.133810989680884,0.290380140021183
CACNG3,0.156907744685902,81,0.00571110739870449,0.0411646244148639
TMEM132A,0.0172225500071008,343,0.117080637791839,0.26844445481162
DVL2,0.059876100239471,259,0.00147117379559288,0.0169748142997413
RPAP3,0.0238859255863199,329,0.0495569767280315,0.159400097422903
HOXA11,NA,NA,NA,NA
TRAPPC6A,0.00266580732474121,240,0.887882618469318,0.924518452777851
SPATA20,0.00979108205031159,341,0.343631160306455,0.517624310409075
CD79B,0.00674856128480402,338,0.517468940135819,0.66405182898925
RHBDD2,0.0398548758182611,257,0.016918262881945,0.0827184231007201
RPUSD1,0.0205455951633334,284,0.120997444109901,0.273352130341932
TSR3,0.0286036466686769,291,0.0402915544455251,0.14064057258255
NDUFAB1,0.047628136728505,230,0.0122404230940615,0.0669445361811016
YBX2,0.0595293019571379,235,0.00300220135196994,0.0273112517513681
ITGA3,0.041780398264224,345,0.00243961476851957,0.0239106066668615
KRT33A,0.0419389938637902,211,0.0319673574501154,0.121574089116347
LRRC23,0.0381848009927572,319,0.00690976485862196,0.0464858962117784
TFAP2D,0.140253895517949,80,0.0113007568650864,0.0636385842105925
CRY1,0.00854655244280698,239,0.565363595485009,0.700903188805576
PGLYRP1,0.0132966962240417,279,0.296158843857517,0.472323076713631
STARD3NL,0.0281923246116994,184,0.16050439509414,0.325438800538313
CD74,0.0290560129499371,324,0.0245857365450918,0.103889509929822
RPS20,NA,NA,NA,NA
MGST1,0.0568306002668766,261,0.00201847318845044,0.021062141000683
CPA1,0.0409611541959187,334,0.00343837185272173,0.0297958257942732
SYPL1,0.020152542127066,313,0.0984264152207105,0.242525438890333
RANBP9,0.0100832439441975,252,0.469733668223316,0.626154508594571
CD4,0.0106559529202014,345,0.299905050114843,0.476584269350585
PLEKHG6,0.018521186209679,363,0.0819310577422648,0.216856678694324
QPCTL,0.0126832629395061,263,0.344452224685592,0.518380386316519
PPP5C,0.0195538106612361,186,0.305845055577391,0.482376617486879
UBR7,0.030273374547089,305,0.0267088848985783,0.10897493394706
MAP4K5,0.0176273303106753,265,0.19899066073956,0.370987507353355
ERCC1,NA,NA,NA,NA
GPRC5A,0.061901210591561,331,0.000138412451219486,0.00363930148269364
HEBP1,0.00488439481615606,253,0.745610927139017,0.830166499912056
COX15,0.00132825303554829,311,0.937802907262285,0.957517858727989
MS4A12,0.00379353680593835,227,0.835708653945345,0.891523248345063
XYLT2,0.00350240255043057,310,0.781362478592368,0.85450003164865
FTSJ1,0.0947659367031308,233,6.56796430608826e-05,0.00225922518095775
SCTR,0.0107380540769221,330,0.316530384201173,0.492638953117955
RALBP1,0.067666427781246,282,0.000271548208093083,0.00570368283636895
SYT13,0.00254353733122059,305,0.855857482950044,0.904814907668982
SNAI2,NA,NA,NA,NA
SLC7A9,0.0636316353940933,305,0.000232079565354791,0.00511730190938415
RTF2,0.00677780513996707,292,0.578167172872547,0.71188628823581
RB1CC1,0.0160413525491398,345,0.137552598627415,0.295457161230411
AKAP11,0.016412741948165,374,0.105825377826009,0.252787777522618
