,Herbivore...Insectivore.Rho,Herbivore...Insectivore.P,Herbivore...Insectivore.p.adj,Herbivore...Omnivore.Rho,Herbivore...Omnivore.P,Herbivore...Omnivore.p.adj,Insectivore...Omnivore.Rho,Insectivore...Omnivore.P,Insectivore...Omnivore.p.adj,Herbivore...Vertivore.Rho,Herbivore...Vertivore.P,Herbivore...Vertivore.p.adj,Insectivore...Vertivore.Rho,Insectivore...Vertivore.P,Insectivore...Vertivore.p.adj,Omnivore...Vertivore.Rho,Omnivore...Vertivore.P,Omnivore...Vertivore.p.adj
MasterTree,-2.88334500458283,0.0236085738626426,0.190861763628926,-1.43134358429596,0.913990610897084,1,1.59008002929607,0.67090060145997,1,-1.29146854127615,1,1,1.05657698023438,1,1,-0.212813204839929,1,1
ARF5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M6PR,-1.86304567349423,0.374735043401578,1,0.409785828941377,1,1,2.12326655681803,0.20238912879367,0.901732218174168,-0.331623202482611,1,1,0.992074319708139,1,1,-0.595724899202727,1,1
FKBP4,-1.7377002186246,0.493581901137146,1,0.183390301976723,1,1,1.79738971571063,0.43364263362305,1,-0.31644991962355,1,1,0.950091553715431,1,1,-0.428916345823506,1,1
CYP26B1,-0.0973827236639297,1,1,-0.340724957245153,1,1,-0.199227988365074,1,1,0.0888111460813133,1,1,0.15143158933129,1,1,0.317487555614754,1,1
NDUFAF7,0.298729359760584,1,1,-1.27786431917487,1,1,-1.34397544264704,1,1,0.12092181739002,1,1,-0.10570932172527,1,1,0.983614891027225,1,1
FUCA2,1.37567725416727,1,1,-0.482870761333298,1,1,-1.70719474212541,0.526715171909654,1,0.372106370617261,1,1,-0.635391854707494,1,1,0.681754117461129,1,1
DBNDD1,-2.2519551124158,0.145950652755698,0.664402125538988,0.307138481142814,1,1,2.3616484180206,0.109163325551039,0.615345883005621,0.0357819666569055,1,1,1.58806338580202,0.673632040037573,1,-0.165491676594032,1,1
HS3ST1,-0.0381697461484148,1,1,2.40835598579817,0.0961472829909418,0.839355980674603,2.0776654713656,0.226441088352824,0.96092547732879,1.95012373252857,0.306968239289813,1,1.81376269962482,0.418285604473617,1,0.254039041269776,1,1
SEMA3F,1.27977159478526,1,1,1.00953536643003,1,1,-0.357138386992988,1,1,2.4882986973045,0.0770135272655729,0.506868705922946,1.35377324899113,1,1,1.71651475410153,0.516407219481645,1
CFTR,-1.63499204544691,0.612304290951283,1,-2.04675672238453,0.244091861078395,1,-0.217481940364456,1,1,-1.01539562397523,1,1,0.209824330819366,1,1,0.38822607601453,1,1
CYP51A1,0.534604387119221,1,1,2.43001414666387,0.0905894010536613,0.814288693103873,1.52600055221035,0.762058361824629,1,5.33493558032541,5.73470903456024e-07,0.000401794568448689,4.47340967693411,4.61892505488273e-05,0.0167848287443338,3.49136840616319,0.00288331875831468,0.164045668121753
USP28,-2.24704522489454,0.147822821890921,0.670289542674213,-0.0986164806630534,1,1,2.03584590865269,0.250594985083685,1,-0.155697283405486,1,1,1.46871181960375,0.851465821255435,1,-0.0829613002013216,1,1
SLC7A2,-0.848293227945045,1,1,-0.952117199122666,1,1,0.0100577257494743,1,1,0.635840271373561,1,1,1.18819504502598,1,1,1.25752735981808,1,1
HSPB6,-1.5614064261436,0.710567319700654,1,-1.30068711690802,1,1,0.315047951150581,1,1,-0.169539929943652,1,1,0.821822960460233,1,1,0.624539777391605,1,1
PDK4,-0.913937755298678,1,1,3.63859598100534,0.00164477077317663,0.0839650033445829,3.95535541474883,0.000458525730623403,0.0174545461457309,1.80804328377208,0.423598585504748,1,2.29675884866799,0.129795181703544,0.829972478907842,-0.732960102187136,1,1
USH1C,0.23931600609144,1,1,0.723953500261827,1,1,0.398039082278761,1,1,-0.218057423309517,1,1,-0.374659531236488,1,1,-0.713432964798449,1,1
RALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAIAP2L1,-0.94849700358319,1,1,2.37631937278989,0.104917922329432,0.879564768109217,2.97095596371617,0.0178124607600106,0.187834957275707,1.75182743072007,0.478820915614885,1,2.29697047150917,0.129722725656494,0.829972478907842,0.117396429578571,1,1
CACNG3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM132A,0.472840634284077,1,1,2.36154776019583,0.109192965475229,0.893855933849682,1.52540509128891,0.762948537961363,1,-0.511032238104851,1,1,-0.804036349684634,1,1,-2.0934735416607,0.217841421216624,1
DVL2,-0.371742557436455,1,1,-2.71112266754084,0.0402334882929466,0.520805784225322,-1.96351609931717,0.297517414006996,1,-1.06705389673658,1,1,-0.694427568388479,1,1,0.906581732761205,1,1
RPAP3,2.19901277678049,0.16726208290055,0.725979597994868,-0.371914142734537,1,1,-2.40780407406267,0.0962927474219414,0.57318350849578,0.675190898233209,1,1,-0.960593765585323,1,1,0.90738636381393,1,1
HOXA11,-2.55546684906708,0.0636272771513707,0.377804078894259,-1.25268089593698,1,1,1.302075656567,1,1,-1.14217854073799,1,1,0.732138257221784,1,1,-0.246011121822156,1,1
