"","names.phenotypeVector.","names.commonPhenotypeVector.","phenotypeVector"
"vs_HLacoCah1","vs_HLacoCah1","Spiny mouse","0"
"vs_HLailMel2","vs_HLailMel2","Panda","0"
"vs_HLailFul2","vs_HLailFul2","Red Panda ","0"
"vs_HLallBul1","vs_HLallBul1","Gobi jerboa","0"
"vs_HLaloPal1","vs_HLaloPal1","Howler Monkey","0"
"vs_HLanoCau1","vs_HLanoCau1","Geoffroy's Long-nosed Bats","0"
"vs_HLantAme1","vs_HLantAme1","Pronghorn","0"
"vs_HLaplRuf1","vs_HLaplRuf1","Sewellel ","0"
"vs_HLartJam1","vs_HLartJam1","Neotropical Fruit Bats","0"
"vs_HLateGeo1","vs_HLateGeo1","Spider Monkeys","0"
"vs_HLbeaHun1","vs_HLbeaHun1","Sassabie","1"
"vs_bisBis1","vs_bisBis1","American Bison","1"
"vs_HLcalJac4","vs_HLcalJac4","Marmoset","0"
"vs_HLcamBac1","vs_HLcamBac1","Bactrian Camel","0"
"vs_HLcarPer3","vs_HLcarPer3","Short-tailed Leaf-nosed Bats","0"
"vs_HLcasCan3","vs_HLcasCan3","Beaver","0"
"vs_HLcatWag1","vs_HLcatWag1","Chacoan Peccary","0"
"vs_HLcavTsc1","vs_HLcavTsc1","Montane guinea pig","0"
"vs_HLcebAlb1","vs_HLcebAlb1","White-fronted capuchin","0"
"vs_cerAty1","vs_cerAty1","Sooty Mangabey","0"
"vs_HLcheMed1","vs_HLcheMed1","Dwarf Lemur","0"
"vs_chiLan1","vs_chiLan1","Chinchilla","0"
"vs_chlSab2","vs_chlSab2","Green monkey","0"
"vs_chrAsi1","vs_chrAsi1","Cape golden mole","0"
"vs_conCri1","vs_conCri1","Star-nosed mole","0"
"vs_HLcraTho1","vs_HLcraTho1","Kitti's Hog-nosed Bat","0"
"vs_HLcriGam1","vs_HLcriGam1","African Giant Pouched Rats","0"
"vs_HLcryFer2","vs_HLcryFer2","Fossa","0"
"vs_HLcteGun1","vs_HLcteGun1","Gundi","0"
"vs_HLcteSoc1","vs_HLcteSoc1","Tuco tuco","0"
"vs_HLdasPun1","vs_HLdasPun1","Agouti","0"
"vs_dasNov3","vs_dasNov3","Armadillo","0"
"vs_HLdauMad1","vs_HLdauMad1","Aye-ayes","0"
"vs_HLdesRot2","vs_HLdesRot2","Common Vampire Bat","0"
"vs_HLdicSum1","vs_HLdicSum1","Sumatran Rhinoceros","0"
