,Rho,N,P,p.adj
CEP290,-0.0278578552314064,118,0.713248352934293,0.86786862524872
DNAH5,0.144834741707174,119,0.0550026411868448,0.362108494836944
DNAH6,-0.170861512085959,118,0.0241973378291155,0.323872060174315
DNAH7,-0.056779797159155,114,0.461726181358524,0.725705435815521
DNAH9,0.117845934370723,115,0.124936493845301,0.459814538502744
Em:AC008101.5,-0.0973328526784575,81,0.289278077993058,0.647969633585667
PKHD1,-0.200751952113109,119,0.00782150940820397,0.194420376718213
TTN,0.17783506260248,119,0.0184697893212624,0.292158485627242
A1BG,-0.140143532958475,80,0.129488002222037,0.459814538502744
AADACL3,-0.0580554483465933,102,0.477022173959545,0.735102260424448
AAR2,-0.0922671442309247,92,0.283641251393104,0.647969633585667
AB209621,-0.151479802684468,63,0.14723686690176,0.512257350871682
ABHD5,-0.00693312749953679,89,0.936864156308234,0.977173963410349
ABCA3,-0.0763590375588636,114,0.322270377185603,0.658991149474962
ABLIM2,-0.0451720854202184,94,0.595617978646398,0.81246462452819
ABCB4,0.165818963688925,107,0.0374160627682553,0.353454988085328
ACAA1,0.00437325218725803,93,0.95924576918543,0.981816257872146
ACADS,0.102039498624774,94,0.230594117527136,0.595866667603146
ABCC1,-0.119950233116721,110,0.126799666470344,0.459814538502744
ACBD5,-0.0130558241966773,100,0.874212963940971,0.946230183367863
ABCD1,0.00555277985937652,105,0.944968700534223,0.977173963410349
ABCG4,-0.071213800543582,80,0.441052608428296,0.725705435815521
ABHD15,-0.102099862217757,93,0.232867433316172,0.595866667603146
ADAT3,0.00680417597548036,92,0.936979470312835,0.977173963410349
ACER3,-0.0824206359083753,79,0.37565740839166,0.673859681032462
ACOT13,-0.052054164511299,81,0.570892772732111,0.788375733772915
ACOXL,0.120984286850486,110,0.123558642274442,0.459814538502744
ADCY2,0.0968759545058584,91,0.262942758090822,0.626405701181714
ACSM1,0.0526602143425957,94,0.536121768633879,0.764632686412254
ACRV1,0.0867719438812954,98,0.297702523543222,0.655699229069882
ADD1,0.0181568259800641,105,0.821429750367631,0.916210106179281
ADH7,0.191631862955997,79,0.0394157817922081,0.353454988085328
ACTA2,NA,NA,NA,NA
ACTL7B,0.0670310266646105,100,0.416338406126006,0.703328957921603
ACTR2,NA,NA,NA,NA
ACVR1B,0.0240249990052149,81,0.793652208160629,0.903461917817146
ADM5,-0.128940357388782,64,0.21358632775907,0.57175416969351
ADPRHL1,-0.0352738623514071,95,0.676922239021379,0.853510649200869
ADAD1,0.145296631451356,96,0.0844390036510283,0.387882291780606
ADAM1A,-0.144645332521652,108,0.0681420802843958,0.370522561546402
ADRB1,0.0803815929865242,67,0.427262856745706,0.714843625709162
AEBP1,-0.0466433508187627,105,0.562035498643091,0.782353414111183
ADAM30,-0.0926057200768761,98,0.266402424640499,0.626405701181714
ADAMTS3,-0.156247075612598,109,0.0477439483915583,0.362108494836944
ADAMTS13,-0.0573351285562547,112,0.461400729177694,0.725705435815521
ADAMTSL4,-0.147848020689165,113,0.0564033791861945,0.362108494836944
AFF1,-0.135574895459511,118,0.0736977540686988,0.387882291780606
AGAP1,-0.0803714973835374,86,0.366902166333559,0.665010176479575
AKAP11,-0.0575729008115732,118,0.447557260841341,0.725705435815521
AKAP7,-0.166794898671264,104,0.0390811353556777,0.353454988085328
AGO3,NA,NA,NA,NA
AGER,-0.0993311095744236,108,0.210341835451336,0.57175416969351
AKR1B10,NA,NA,NA,NA
AGPHD1,-0.0503289047470348,103,0.535564638118333,0.764632686412254
AGTRAP,0.0291550145817202,93,0.733354114477524,0.880024937373028
AKR7L,0.157655631765145,84,0.0803365983708164,0.387882291780606
AL833346,-0.20586318524829,71,0.0361914782222554,0.353454988085328
AHI1,-0.0338679144588835,117,0.656427113825642,0.839840572100454
AIDA,NA,NA,NA,NA
ALDH3B1,-0.11342617456312,99,0.171210084789274,0.533096990710037
ALDH1A2,-0.0424052095644132,56,0.70263133655325,0.860970792677926
AIMP2,-0.105173426270896,109,0.182682623570877,0.544893020205775
AK055272,0.0884816881765642,76,0.351142233549413,0.665010176479575
AK092965,0.0025047792951471,70,0.979813863339027,0.989875289695023
AK096995,-0.113540979211927,67,0.262125737437054,0.626405701181714
ALDOC,0.0901720546252954,70,0.362357698900332,0.665010176479575
ALG3,0.153060319896989,97,0.0676503519667977,0.370522561546402
AK124121,-0.0845154254728517,36,0.545816749670526,0.765904148731222
AK125726,-0.054095642812302,104,0.503375163703577,0.748609217815576
ALKBH6,-0.109936908907915,99,0.184762575816901,0.544893020205775
AK128777,NA,NA,NA,NA
ALOX15P1,NA,NA,NA,NA
AK299452,0.0832926730072566,41,0.523828344524857,0.764632686412254
AK310493,-0.0901720546252954,70,0.362357698900332,0.665010176479575
ANKRD54,-0.101331606513569,77,0.282389189798682,0.647969633585667
ALPPL2,-0.00540487902450968,95,0.949094251818098,0.977173963410349
ALYREF,NA,NA,NA,NA
ANKS1A,-0.136799604976327,112,0.0788557672745794,0.387882291780606
AMER1,-0.0714174408332295,112,0.35890822426166,0.665010176479575
AMMECR1L,0.16404358872971,43,0.198033474706128,0.564882370473218
ANO2,0.260494610976904,106,0.00113844759935426,0.154910129134091
ANP32B,0.0645586895442082,61,0.54352030137004,0.765904148731222
AOC2,-0.0596275764473177,103,0.462950019399557,0.725705435815521
ANXA2R,-0.0847130202385821,47,0.486234321388297,0.74214712211898
AMPH,-0.037225934415534,110,0.635608078972858,0.839840572100454
ANAPC13,NA,NA,NA,NA
AP1S1,NA,NA,NA,NA
AP3D1,0.0822758145849302,103,0.311159983197923,0.658991149474962
ANG,-0.0450467481606189,90,0.604728757416998,0.813405207336881
ANGPTL7,0.111465405030446,95,0.187950381535695,0.545056106453515
AP5M1,0.0314718316987777,105,0.695631305540594,0.860970792677926
APBB3,0.0145874205917616,99,0.860312374731032,0.946230183367863
ANKFY1,0.0267912520711909,113,0.729547203085483,0.880024937373028
ANKRD10,-0.108517882608805,91,0.209844690606709,0.57175416969351
APH1B,-0.0393592696853223,93,0.645587458563073,0.839840572100454
APOA1BP,-0.182460924337148,89,0.0371022008594701,0.353454988085328
APOBEC3F,0.0286396997047764,57,0.794698301170406,0.903461917817146
