,Rho,N,P,p.adj
ARF5,NA,NA,NA,NA
M6PR,0.0198656752176021,274,0.0664261372146074,0.2098506557984
FKBP4,0.00558412352802443,310,0.42200121530535,0.619199201806207
CYP26B1,0.00131567340350057,223,0.864123355509598,0.926945104923656
NDUFAF7,0.0116425010387233,318,0.157972167799822,0.350981692331083
FUCA2,0.00830727780254157,339,0.24562975233193,0.452982679549336
DBNDD1,0.00688726063158031,267,0.400114043403873,0.601614362256364
HS3ST1,0.00575193786187312,260,0.474793192904846,0.661290760416755
SEMA3F,0.0172794599910095,287,0.0845034616898487,0.242790460313938
CFTR,0.00300504503160143,347,0.594596181461981,0.752541301459996
CYP51A1,0.0122175010095509,287,0.17427815845695,0.369674979821509
USP28,0.0132768462213169,331,0.111840712868122,0.285989838254095
SLC7A2,0.00213667700129707,309,0.719608288908584,0.839300636045563
HSPB6,0.00168108436193254,226,0.827685530584119,0.906190651681401
PDK4,0.0411547926831868,273,0.00370878182657381,0.034290807202444
USH1C,0.0035544550829847,337,0.550378831154331,0.721182740159089
RALA,NA,NA,NA,NA
BAIAP2L1,0.0017980986355612,308,0.758806753625221,0.862559968555417
CACNG3,NA,NA,NA,NA
TMEM132A,0.00286829332451362,336,0.618511723960184,0.769281966825241
DVL2,0.0318860028572197,270,0.013723200870491,0.0785693827785532
RPAP3,0.00663108449319139,328,0.338178196232184,0.54802397544926
HOXA11,0.0219871896797423,200,0.112171607204659,0.28651930971009
TRAPPC6A,0.00169380615647604,250,0.809872163604658,0.894843350568585
SPATA20,0.000419927304689406,337,0.931883206383942,0.964668832436357
CD79B,0.00837350968925304,337,0.244938130770666,0.452243712346641
RHBDD2,0.0243062456769581,263,0.0414147499059406,0.157135205332123
RPUSD1,0.00869824777777616,288,0.287021384337673,0.496705831289032
TSR3,0.0176413917496689,284,0.0823928240543405,0.239139766467836
NDUFAB1,0.0153811300582746,252,0.145100043062571,0.332982297934997
YBX2,0.0368341417673678,252,0.00982637883331583,0.0638577843674392
ITGA3,0.0423013179501111,340,0.000769266270746746,0.0123725719815924
KRT33A,0.0151527680329728,224,0.184605597385194,0.383099376899768
LRRC23,0.00865745705974893,323,0.248118062750529,0.45507780226782
TFAP2D,NA,NA,NA,NA
CRY1,0.00491595978835369,257,0.532995204038019,0.706564796430443
PGLYRP1,0.012863162922374,274,0.172765216046172,0.367993588642846
STARD3NL,0.00963083915943227,215,0.356828576620146,0.564773575215533
CD74,0.00940415855677308,327,0.215913407095384,0.419199972425065
RPS20,0.0334292758312039,98,0.197637669283011,0.39862242812646
MGST1,0.0438101197770195,283,0.0020761773501215,0.023837121129245
CPA1,0.0300029173363721,325,0.00774682181206352,0.0547857591402533
SYPL1,0.0222914662274952,308,0.0326555626409291,0.135145607169622
RANBP9,0.0121327755004369,275,0.189722985156302,0.38925117791297
CD4,0.00433148843581339,336,0.484070697848025,0.669675015387431
PLEKHG6,0.00954937061789873,351,0.188032612936149,0.387512306447071
QPCTL,0.0140081885815633,272,0.149851638231738,0.339935553031815
PPP5C,0.0122473966254279,215,0.269692882688169,0.47741080542865
UBR7,0.0147524212044209,310,0.102361043218261,0.272354061867125
MAP4K5,0.011253002916573,272,0.217668526239725,0.421625649251751
ERCC1,NA,NA,NA,NA
GPRC5A,0.0395071047640473,326,0.00162881173953749,0.0203682908029163
HEBP1,0.00651140148158421,261,0.428921143083722,0.624407321799994
COX15,0.00175555143987798,307,0.764449455462723,0.866676377204112
MS4A12,0.0189179760036485,221,0.124808170005568,0.305376063770348
XYLT2,0.00249891376916094,312,0.678018238402736,0.811888476470301
FTSJ1,0.0862237977161087,244,2.81999198419803e-05,0.00129558717642061
SCTR,0.00740116480942099,321,0.30599504514197,0.515291397980069
RALBP1,0.0566383788042705,296,0.00023541494590468,0.00558148202697977
SYT13,0.00644804383836631,311,0.368083010239802,0.574760230469349
SNAI2,0.00439680428768062,187,0.664378807631486,0.802516975554864
SLC7A9,0.0508589837947137,311,0.000377046329487015,0.00768328059418719
RTF2,0.00166400432505936,300,0.779760352729824,0.876917187485418
RB1CC1,0.00789738983435056,333,0.269559344000102,0.477329718495098
AKAP11,0.00458352646382479,356,0.44327011811084,0.63570457442235
B4GALT7,0.000101813855067104,268,0.986499806515809,0.992452138413532
FAM13B,0.0902845846688715,308,9.57745504996612e-07,0.000127271844899048
CHPF2,0.00155278491119101,288,0.800255173934074,0.889555284706029
GABARAPL2,NA,NA,NA,NA
MYOC,0.0341502827841002,304,0.005663190563492,0.0449666706676818
FAM136A,0.00560496490849951,210,0.556705539668249,0.725441418412607
NSMAF,0.0227264631495802,328,0.0243365309810238,0.112714192562112
OTC,0.0158785034144249,270,0.118166727219763,0.295732139536318
TTC17,0.0009443985860114,297,0.869557349292529,0.930104027164499
HOXC8,NA,NA,NA,NA
MRI1,0.00659636224499347,294,0.380462725302038,0.584623004290733
TARBP1,0.013768915787276,339,0.0975932675415251,0.264873317548947
RTN4R,0.0045807066346503,294,0.51115954213649,0.69053475776919
PSMA4,NA,NA,NA,NA
ZPBP,0.0111120634277656,303,0.186761742719254,0.38586708394697
LCP2,0.00522486603373025,324,0.430066313627093,0.625225256954869
DCN,0.00939103525059432,307,0.237680393238761,0.44469818476303
TNFRSF17,0.00108293533467411,300,0.850527245874284,0.919061845725463
MRPS10,0.0421863670160755,288,0.00234905145892867,0.0256362663219517
GRN,0.0373283453790473,342,0.00172163150706479,0.0210288550339411
THAP3,0.000136043261764402,310,0.979200669069449,0.989220764780945
VAMP3,0.0128383401316594,237,0.21982486111049,0.424487436085963
RCN1,0.00315078190896508,265,0.659744122719381,0.798760595606057
RFC2,0.0185753738722204,261,0.0893853390134956,0.250292292822638
PPP1R3F,0.00433341315348492,245,0.589384560252354,0.748819296515691
NFE2L3,0.0646501621869135,334,2.11419359503385e-05,0.00105744948399308
CBLN4,0.0340984363161688,189,0.0405486409773935,0.15510397820718
CLDN11,0.00157426142435792,190,0.861769276686991,0.925147357702461
FAM168A,NA,NA,NA,NA
RELT,0.00491147957337136,328,0.447970942014193,0.639509534585351
PKP2,0.00113244878529049,316,0.836640606446308,0.911406819624921
YIPF1,0.0102190299154515,267,0.256883917564397,0.464321858223482
ADCK2,0.00968802268245645,305,0.22933316866828,0.435561768008634
INPP4A,0.0133896608583236,289,0.145422618770443,0.333382852129097
SLC2A3,0.00178154571165529,281,0.779255424146651,0.876684195373364
STYK1,0.00858040943157701,327,0.24694077773764,0.454061182542707
GNA11,NA,NA,NA,NA
CREB3L3,0.0276905190423447,291,0.0180406946112387,0.0936742779710202
HDAC7,0.00883897856095262,334,0.229537255253069,0.43578391350298
MRPS35,0.0497694113527806,306,0.000505564348282778,0.00947128415771705
APPBP2,NA,NA,NA,NA
CA11,0.0136229150137416,207,0.24581888687546,0.453041931943767
ISOC2,0.00900804684905695,255,0.318535309000528,0.528849497151599
CD22,0.0372237531720205,340,0.00181907679395959,0.0217664455676451
GSC2,0.00665543828216836,206,0.505512544946634,0.685884384221813
KCNQ1,0.00826895060428041,294,0.297779719082715,0.507045684982716
TRIB2,NA,NA,NA,NA
OTUD5,0.00407763306224892,218,0.642477689548368,0.786032771902922
GPKOW,0.0119003370926449,303,0.165803670071961,0.359960919140603
AQR,0.00119405297524,323,0.825106731901363,0.904814553370945
LMCD1,0.00309727109070862,275,0.65421048327969,0.795420718853916
PSMC4,NA,NA,NA,NA
FNDC8,0.000968251589833239,312,0.860223429081895,0.924492810572803
ACAP1,0.0203621985777417,329,0.0354582061802284,0.142136532027024
DERL2,NA,NA,NA,NA
NOX3,0.0169906787669856,336,0.058079722087604,0.193418621759118
ANO8,0.0455252543247055,282,0.00166771936997373,0.0206653979073706
ICAM3,0.0177260450789973,276,0.0873937771631163,0.247346476821902
CTTNBP2,0.0194535709009299,342,0.0362674788539745,0.144389262479294
ACTL6B,NA,NA,NA,NA
KIF22,0.00460484780064479,314,0.486431747162255,0.671816128549948
PRSS22,0.00166819120021008,293,0.783835646455933,0.879003446710306
YTHDC2,0.0264703892465439,276,0.0262607848891938,0.118374688509235
TMEM161A,0.012526403426713,303,0.150847344451436,0.341368609687566
FOXJ2,0.00680644647086546,302,0.359022508795275,0.566865716222843
GOLGA5,0.00010483173774001,334,0.982696962754193,0.990823424777783
PPP2R5B,0.00993801883499053,189,0.392910365596484,0.59604502074328
PYGM,0.0216481093704594,303,0.0380496073159459,0.148995152116031
BCL3,0.0164801564130877,281,0.0995373928545378,0.267894952788981
PRLH,0.0211116391891117,267,0.06033469231067,0.198244447736789
FSTL3,0.0010557663038573,232,0.885200586630842,0.939604060816089
EPHA8,0.00230187078955886,302,0.707207223257531,0.831232990694957
TRIP13,0.0111942551266038,283,0.206306990811342,0.408854028541335
VASH1,0.000675978518799119,281,0.909703103467079,0.95248428486094
KRT14,0.0157648891370023,275,0.115349363568865,0.291045856885588
KRT20,0.112834737530926,311,2.53779711370617e-08,8.46270744183884e-06
HSD17B10,0.013542223130414,289,0.142262671510993,0.328885171575099
FGF4,0.00205145899128618,225,0.794721605812095,0.886259465378754
ST6GAL1,0.0444010803172709,301,0.00128093878052182,0.0172238058606724
TIMM21,0.000708476678694275,322,0.892516295768903,0.943707689846967
BPIFB2,0.00710699021443095,319,0.323029559620286,0.532972135421882
REXO1,0.0239936227598531,286,0.0327421760958199,0.13527783438708
MKRN2,0.0543420044205046,282,0.000483213670048338,0.00917861307942451
GPATCH1,0.0101516689960055,328,0.190177414715206,0.389810447372815
KEAP1,0.0408191145133904,226,0.010131049299128,0.0649686007618437
P2RY10,0.00245918885058963,245,0.740802634199278,0.85209905938942
TNS1,0.0185742534406711,344,0.0413582043410969,0.157000054222742
NGFR,0.000464802643181856,284,0.93634659802695,0.967220833619633
NTN1,NA,NA,NA,NA
ISOC1,0.0131426641136458,202,0.266911604837484,0.474783729515326
MNT,0.00217014556304314,240,0.771566515730147,0.87116699848678
AP3M2,0.0246003132338294,180,0.110611852029552,0.284839278875649
LAPTM4A,0.0154812111457277,179,0.2521256279781,0.459168681379729
PTPN18,0.0044016955910177,233,0.600137376849361,0.756351647590831
STK10,0.0210345624578189,330,0.0314239315742789,0.132308506510558
TBX21,0.017103198659836,264,0.105497225628875,0.277623922867607
MRPS34,0.00192132035000415,267,0.774501558740644,0.873716011912653
MAP2K5,0.000500000680575437,227,0.945066411814789,0.971746373557127
TIGAR,0.0670835635469092,293,5.57741377138395e-05,0.00211885243173133
FGF20,0.0161813775057978,185,0.225668824999153,0.431441761745099
MTMR7,0.0126134633751162,277,0.175404955694972,0.371349712917431
CPB2,0.00966227227406331,339,0.195357510016511,0.395565348172684
FAM107B,0.0294645741069482,307,0.0110195992858608,0.0687212005444513
CDK13,0.00138311588034017,289,0.81941165776898,0.901238758194571
TSPAN32,0.00588530412409618,263,0.462561924465225,0.652145685616147
