"","names.phenotypeVector.","names.commonPhenotypeVector.","phenotypeVector"
"1","vs_HLaciJub2","Cheetah","Vertivore"
"2","vs_HLacoCah1","Spiny mouse","Omnivore"
"3","vs_HLailMel2","Panda","Herbivore"
"4","vs_HLailFul2","Red Panda ","Omnivore"
"5","vs_HLallBul1","Gobi jerboa","Omnivore"
"6","vs_HLaloPal1","Howler Monkey","Herbivore"
"7","vs_HLammLer1","Aoudad","Herbivore"
"8","vs_HLanoCau1","Geoffroy's Long-nosed Bats","Omnivore"
"9","vs_HLantAme1","Pronghorn","Herbivore"
"10","vs_aotNan1","Night Monkey","Omnivore"
"11","vs_HLaplRuf1","Sewellel ","Herbivore"
"12","vs_HLartJam1","Neotropical Fruit Bats","Herbivore"
"13","vs_HLateGeo1","Spider Monkeys","Omnivore"
"14","vs_balAcu1","Minke Whale","Insectivore"
"15","vs_HLbalBon1","Antartic Minke Whale","Insectivore"
"16","vs_HLbeaHun1","Sassabie","Herbivore"
"17","vs_bisBis1","American Bison","Herbivore"
"18","vs_bosTau9","Cow","Herbivore"
"19","vs_HLbubBub2","Asian Water Buffalo","Herbivore"
"20","vs_NA","vs_NA","Omnivore"
"21","vs_HLcalJac4","Marmoset","Omnivore"
"22","vs_HLcamBac1","Bactrian Camel","Herbivore"
"23","vs_HLcamDro2","One-hump Camel","Herbivore"
"24","vs_HLcanLupDin1","Dog","Vertivore"
"25","vs_HLcapHir2","Domestic goat","Herbivore"
"26","vs_NA","vs_NA","Herbivore"
"27","vs_HLcarPer3","Short-tailed Leaf-nosed Bats","Herbivore"
"28","vs_HLcasCan3","Beaver","Herbivore"
"29","vs_HLcatWag1","Chacoan Peccary","Herbivore"
"30","vs_cavApe1","Brazilian guinea pig","Herbivore"
"31","vs_cavPor3","Domestic guinea pig","Herbivore"
"32","vs_HLcavTsc1","Montane guinea pig","Herbivore"
"33","vs_HLcebAlb1","White-fronted capuchin","Omnivore"
"34","vs_cebCap1","Colombian white-faced capuchin","Omnivore"
"35","vs_HLcerSimCot1","White rhinoceros","Herbivore"
"36","vs_cerAty1","Sooty Mangabey","Herbivore"
"37","vs_HLcerNeg1","Guenon","Omnivore"
"38","vs_HLcheMed1","Dwarf Lemur","Omnivore"
"39","vs_chiLan1","Chinchilla","Herbivore"
"40","vs_chlSab2","Green monkey","Omnivore"
"41","vs_chrAsi1","Cape golden mole","Insectivore"
"42","vs_colAng1","Black-and-white Colobus Monkey","Herbivore"
"43","vs_conCri1","Star-nosed mole","Insectivore"
"44","vs_HLcraTho1","Kitti's Hog-nosed Bat","Insectivore"
"45","vs_HLcriGam1","African Giant Pouched Rats","Omnivore"
"46","vs_NA","vs_NA","Omnivore"
"47","vs_HLcryFer2","Fossa","Vertivore"
"48","vs_HLcteGun1","Gundi","Herbivore"
"49","vs_HLcteSoc1","Tuco tuco","Herbivore"
"50","vs_NA","vs_NA","Herbivore"
"51","vs_HLdasPun1","Agouti","Herbivore"
"52","vs_dasNov3","Armadillo","Insectivore"
"53","vs_HLdauMad1","Aye-ayes","Omnivore"
"54","vs_HLdelLeu2","Beluga Whale","Vertivore"
"55","vs_NA","vs_NA","Insectivore"
"56","vs_HLdesRot2","Common Vampire Bat","Vertivore"
"57","vs_HLdicSum1","Sumatran Rhinoceros","Herbivore"
