GO.ID	Description	pVal	p.adj	Phenotype	Gene.vals
REACTOME_MAPK3_ERK1_ACTIVATION	REACTOME_MAPK3_ERK1_ACTIVATION	0.764239594548406	0.88939183426056	-1	IL6:688, JAK1:5182, JAK2:8643.5, TYK2:8643.5, IL6ST:8643.5, IL6R:8643.5, PTPN11:8643.5, MAPK3:8643.5
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	0.915230984873145	0.962968252778079	-1	POLK:413, POLI:759, REV1:1352, REV3L:1362, RCHY1:1578, RPA3:1900, RFC2:2653, RFC4:2963, USP10:3000, POLD1:3707, UBA7:3763, PCLAF:3954, RFC1:4008, POLH:4023, UBE2L6:4343, POLD3:5209, UBB:8643.5, UFD1:8643.5, POLE2:8643.5, POLE4:8643.5, MAD2L2:8643.5, RPA2:8643.5, TRIM25:8643.5, POLE3:8643.5, POLD4:8643.5, ISG15:8643.5, RPA1:11755, SPRTN:12593, RFC5:13441, RFC3:13973, NPLOC4:14419, UBA52:14871, RPS27A:14930, POLE:15097, POLD2:15114, USP43:15218
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	0.170400267087391	0.396842519783866	-1	MBD4:570, TDG:1155, MUTYH:1363, OGG1:4154, UNG:4479, NTHL1:5155, APEX1:8643.5, SMUG1:12447, MPG:12889
REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	0.748842226474965	0.882958733687738	-1	PARG:319, POLB:2584, PARP2:3014, APEX1:8643.5, ADPRS:8643.5, PARP1:8643.5, FEN1:11789, LIG1:13787
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.65257915157173	0.825850567613461	-1	PPP3CC:1186, YWHAE:1584, BID:2952, BAD:3699, AKT2:8643.5, BCL2:8643.5, SFN:11842, PPP3R1:11877, AKT1:12730
REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS	REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS	0.73407415399813	0.873753541224703	-1	BID:2952, BAD:3699, BCL2L11:4665, BMF:8643.5, BBC3:8643.5, BCL2:8643.5, BCL2L1:12600
REACTOME_NEUROTRANSMITTER_CLEARANCE	REACTOME_NEUROTRANSMITTER_CLEARANCE	0.175444038761838	0.402449875175056	-1	COMT:639, BCHE:3626, SLC22A1:4193, MAOA:4599, SLC6A4:4820, SLC22A2:5396, ACHE:8643.5, ALDH2:8643.5, SLC6A3:8643.5, LRTOMT:8643.5
REACTOME_MAPK1_ERK2_ACTIVATION	REACTOME_MAPK1_ERK2_ACTIVATION	0.340784053433465	0.579557287647508	-1	MAP2K2:423, IL6:688, JAK1:5182, JAK2:8643.5, TYK2:8643.5, IL6ST:8643.5, IL6R:8643.5, PTPN11:8643.5
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	0.0051584146343984	0.0467367918885443	-1	ORC1:586, MCM8:857, ORC2:1171, CCNB1:2092, ORC3:3276, ORC4:4166, ORC5:5560, ORC6:8643.5
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	0.620700314478699	0.806284342222691	-1	ORC1:586, MCM8:857, ORC2:1171, CCNB1:2092, ORC3:3276, ORC4:4166, PRIM2:4836, E2F1:5489, ORC5:5560, TFDP2:8643.5, TFDP1:8643.5, POLA1:8643.5, PPP2R3B:8643.5, ORC6:8643.5, PPP2R1B:11994, PRIM1:12540, POLA2:12767, RB1:13115, PPP2CA:14614
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.608942001574496	0.797933955402525	-1	PPP3CC:1186, YWHAE:1584, DYNLL1:2111, BID:2952, BAD:3699, DYNLL2:3734, TP63:4598, BCL2L11:4665, E2F1:5489, TP73:8643.5, BMF:8643.5, AKT2:8643.5, BBC3:8643.5, TFDP2:8643.5, TP53:8643.5, TP53BP2:8643.5, BCL2:8643.5, TFDP1:8643.5, SFN:11842, PPP3R1:11877, AKT1:12730, PPP1R13B:14106
REACTOME_FERTILIZATION	REACTOME_FERTILIZATION	0.00434873820073127	0.0428739391934269	-1	ADAM2:36, CATSPER2:585, KCNU1:940, CATSPERG:1258, CATSPERD:1406, B4GALT1:1483, CATSPER4:1632, ADAM20:1833, HVCN1:3309, IZUMO3:3467, ZP3:3698, CATSPER3:4196, CATSPERB:4197, CD9:8643.5, IZUMO4:8643.5, ZP2:8643.5, ZP4:8643.5, ADAM30:8643.5, ADAM21:8643.5, IZUMO2:8643.5, ZP1:14720
REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES	REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES	0.978939383771017	0.991651455532959	-1	ATP6V1B2:2074, ATP6V1G3:2959, HVCN1:3309, NOS2:3661, ATP6V0A1:3731, NCF4:3903, ATP6V0A2:3945, CYBB:4064, ATP6V0C:4340, ATP6V0B:4912, ATP6V1F:5515, MPO:8643.5, SLC11A1:8643.5, ATP6V1H:8643.5, CYBA:8643.5, ATP6V0A4:8643.5, ATP6V1A:8643.5, ATP6V1B1:8643.5, NCF2:8643.5, ATP6V1G1:8643.5, ATP6V1C2:8643.5, ATP6V0D2:8643.5, ATP6V1C1:8643.5, NCF1:8643.5, ATP6V0D1:8643.5, LPO:8643.5, ATP6V1E2:8643.5, ATP6V1G2:12418, ATP6V1E1:12505, NOS3:12563, NOS1:12814, TCIRG1:14277
REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR	REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR	0.346043475556168	0.586939215830453	-1	HIF3A:2256, CA9:2673, VEGFA:3550, HIF1A:4207, EP300:4787, EPO:5014, EPAS1:8643.5, ARNT:8643.5, CITED2:8643.5, HIGD1A:8643.5, CREBBP:13603
