GO.ID	Description	pVal	p.adj	Phenotype	Gene.vals
REACTOME_INTERLEUKIN_6_SIGNALING	REACTOME_INTERLEUKIN_6_SIGNALING	0.768622516032898	0.89063393085303	1	CBL:729, JAK2:6582.5, TYK2:6582.5, STAT1:6582.5, IL6ST:6582.5, IL6R:6582.5, PTPN11:6582.5, SOCS3:6582.5, JAK1:10044, IL6:14538
REACTOME_APOPTOSIS	REACTOME_APOPTOSIS	0.0209375920307834	0.110705215341649	1	PLEC:3, DBNL:45, PTK2:144, TRAF2:294, RPS27A:296, UBA52:355, BCAP31:364, DSG2:484, H1-2:763, PKP1:976, DSP:1028, PSMF1:1113, PPP1R13B:1120, BMX:1189, VIM:1279, DSG3:1333, H1-4:1630, PSMA1:1747, H1-3:1793, SPTAN1:1907, PSMD12:1909, GSDMD:2047, XIAP:2090, ROCK1:2170, CASP7:2411, GSDME:2416, TICAM2:2460, UACA:2480, AKT1:2496, TJP1:2509, CASP9:2544, LMNB1:2610, BCL2L1:2626, CDH1:2638, APIP:2973, PSMB11:3104, DSG1:3293, PPP3R1:3349, SFN:3384, PSMA8:3446, PSMB1:6582.5, FAS:6582.5, ARHGAP10:6582.5, TP73:6582.5, BAX:6582.5, ADD1:6582.5, DNM1L:6582.5, PSMB5:6582.5, PSMD10:6582.5, STK24:6582.5, TRADD:6582.5, MAPK3:6582.5, BMF:6582.5, AKT2:6582.5, BBC3:6582.5, PSMD3:6582.5, BIRC2:6582.5, PSMD9:6582.5, UNC5A:6582.5, TFDP2:6582.5, FASLG:6582.5, TJP2:6582.5, APAF1:6582.5, H1-1:6582.5, PSMB2:6582.5, PSME3:6582.5, STK26:6582.5, NMT1:6582.5, TLR4:6582.5, PSMB7:6582.5, RIPK1:6582.5, TP53:6582.5, PSMB6:6582.5, TP53BP2:6582.5, CDKN2A:6582.5, GSN:6582.5, LY96:6582.5, APPL1:6582.5, PSMD4:6582.5, PSMB4:6582.5, LMNA:6582.5, HMGB2:6582.5, PSMC3:6582.5, FADD:6582.5, DFFB:6582.5, AVEN:6582.5, UBB:6582.5, CD14:6582.5, BCL2:6582.5, PSMD1:6582.5, PAK2:6582.5, SATB1:6582.5, H1-5:6582.5, PSMD13:6582.5, MAPT:6582.5, DCC:6582.5, H1-0:6582.5, DAPK1:6582.5, TFDP1:6582.5, OPA1:6582.5, PSMB10:6582.5, PSMB9:6582.5, PSMB8:9664, E2F1:9737, PSMD5:9790, GAS2:9829, PSMD2:9928, CASP3:9969, PSMD7:10089, PSMD8:10235, DIABLO:10535, BCL2L11:10561, TP63:10628, CASP8:10684, PSME4:10979, C1QBP:10987, TNFSF10:11025, DFFA:11032, PSMD6:11122, UNC5B:11364, CASP6:11412, DYNLL2:11492, BAD:11527, PRKCQ:11758, OCLN:11784, SEM1:12130, BID:12274, OMA1:12558, APC:12629, PSME1:12638, DAPK2:12777, PSME2:12815, DYNLL1:13115, PRKCD:13248, CFLAR:13418, FNTA:13628, YWHAE:13642, DAPK3:13675, PPP3CC:14040, ACIN1:14380, CLSPN:14636, BAK1:14793
REACTOME_HEMOSTASIS	REACTOME_HEMOSTASIS	0.108407961492982	0.312235710178669	1	DOCK1:23, PRKCG:78, ITPR1:88, PTK2:144, L1CAM:206, CABLES2:209, ITGA6:222, PDGFA:240, PIK3R5:271, GNB2:283, RHOB:300, KIF1A:361, ITGA3:379, GPC1:380, DGKI:381, TIMP1:468, DOCK4:516, CHID1:523, PDE1B:551, SLC16A3:599, PPP2CA:612, CDC42:663, KIF26A:703, CD74:714, KIF21B:724, TUBA4A:770, GNA12:798, PTGIR:874, TRPC6:892, AK3:913, ATP2B3:966, PPP2R5C:993, H3C13:1005, CAV1:1035, KIF26B:1050, ATP2A2:1055, P2RX2:1056, KLC4:1081, P2RY1:1115, TGFB3:1157, KIF25:1177, ATP1B2:1196, DAGLA:1226, VEGFD:1231, PDE10A:1235, CARMIL1:1236, SLC8A2:1281, TUBB4A:1317, ISLR:1363, SLC8A3:1370, H3C11:1371, RAP1A:1381, PRKG2:1413, DGKQ:1473, H3C4:1541, ALDOA:1546, FCER1G:1577, GNB3:1586, TOR4A:1597, GNA13:1645, AAMP:1658, MAFK:1662, PPIA:1675, PRKAR1B:1751, F10:1775, PRKCA:1783, DAGLB:1789, RHOA:1802, GNAT3:1823, ECM1:1865, P2RX7:1927, KCNMB1:1976, KCNMA1:1998, ADRA2C:2008, IGF2:2010, PDE11A:2021, SOD1:2069, ATP2A3:2086, TMX3:2093, SHC1:2098, TUBB1:2122, PPP2R5B:2182, RAP1B:2196, MAFF:2204, DOCK11:2220, H3C1:2295, GATA5:2306, QSOX1:2321, THBS1:2326, VPS45:2338, COL1A2:2379, CAPZB:2407, TLN1:2409, NOS1:2412, SERPINF2:2443, AKT1:2496, KLKB1:2497, WDR1:2505, JAM2:2564, H3C10:2565, SLC16A8:2583, PIK3R6:2606, PIK3CG:2607, TSPAN7:2609, NOS3:2663, PTPN6:2679, TGFB1:2716, ACTN1:2726, TUBB4B:2772, ATP2B2:2818, GUCY1A2:2825, PPP2R5D:2875, F13A1:2879, TUBA8:2902, FN1:2916, SDC1:2917, VCL:2944, LCK:2993, PRKCE:3025, ACTN2:3074, KIF2B:3084, ITGA1:3092, DOCK2:3119, JAM3:3140, PDPK1:3186, F8:3194, DOCK8:3216, LGALS3BP:3222, F11R:3225, PPP2R1B:3232, CDC37L1:3255, TRPC3:3288, KIF3C:3295, P2RX5:3387, TUBA1B:3427, H3C8:3452, FLNA:3467, SRC:3499, JAK2:6582.5, PTPN11:6582.5, MAPK3:6582.5, TP53:6582.5, FGR:6582.5, TFPI:6582.5, KDM1A:6582.5, PRKAR2B:6582.5, TBXA2R:6582.5, CD9:6582.5, EHD3:6582.5, CD44:6582.5, RAB27B:6582.5, LCP2:6582.5, HSPA5:6582.5, BCAR1:6582.5, KIF1B:6582.5, F7:6582.5, DGKG:6582.5, GNA15:6582.5, DGKA:6582.5, PPP2R5A:6582.5, CD84:6582.5, RASGRP2:6582.5, TRPC7:6582.5, ATP1B3:6582.5, GNB5:6582.5, ATP2B1:6582.5, PRKACA:6582.5, SPP2:6582.5, ACTB:6582.5, KIFAP3:6582.5, DGKD:6582.5, RAPGEF3:6582.5, KIF22:6582.5, APLP2:6582.5, APOB:6582.5, DOCK3:6582.5, KIF9:6582.5, RAPGEF4:6582.5, APOH:6582.5, ANGPT2:6582.5, SLC7A8:6582.5, TGFB2:6582.5, P2RX6:6582.5, PPIL2:6582.5, PICK1:6582.5, TIMP3:6582.5, PDGFB:6582.5, VTI1B:6582.5, ITPK1:6582.5, ABHD12:6582.5, PROCR:6582.5, KIF3B:6582.5, F9:6582.5, DGKH:6582.5, SLC7A5:6582.5, STX4:6582.5, CSK:6582.5, KLC3:6582.5, MAG:6582.5, GATA3:6582.5, AKAP10:6582.5, PRKAR1A:6582.5, PF4V1:6582.5, P2RX3:6582.5, EHD1:6582.5, VWF:6582.5, PHACTR2:6582.5, GNAI2:6582.5, GNB4:6582.5, SOS1:6582.5, STXBP3:6582.5, HDAC1:6582.5, CAPZA1:6582.5, MFN2:6582.5, CD2:6582.5, CD48:6582.5, F3:6582.5, APOA1:6582.5, MYB:6582.5, EPCAM:6582.5, CLU:6582.5, AKAP1:6582.5, A1BG:6582.5, PIK3CA:6582.5, PLAU:6582.5, ITPR2:6582.5, CDK2:6582.5, SDC4:6582.5, PLCG1:6582.5, TREM1:6582.5, CALU:6582.5, KIF1C:6582.5, ACTN4:6582.5, F12:6582.5, CAP1:6582.5, JCHAIN:6582.5, VAV3:6582.5, P2RX4:6582.5, MICAL1:6582.5, DOCK10:6582.5, SERPINE2:6582.5, DGKB:6582.5, TUBB2A:6582.5, TUBB2B:6582.5, ARRB1:6582.5, KIF23:6582.5, OLA1:6582.5, PDE5A:6582.5, ARRB2:6582.5, APP:6582.5, PRKACB:6582.5, ITGA10:6582.5, ATP1B1:6582.5, F13B:6582.5, SCCPDH:6582.5, LEFTY2:6582.5, MANF:6582.5, LHFPL2:6582.5, PCYOX1L:6582.5, DOK2:6582.5, ENDOD1:6582.5, FERMT3:6582.5, VEGFC:6582.5, SLC7A11:6582.5, MERTK:6582.5, CXADR:6582.5, KIF5A:6582.5, GNA14:6582.5, CD109:6582.5, PAFAH2:6582.5, CYB5R1:6582.5, PDE9A:6582.5, ITGB2:6582.5, VAV2:6582.5, ORAI2:6582.5, ITGA5:6582.5, ABHD6:6582.5, PF4:6582.5, CLEC3B:6582.5, ANXA5:6582.5, ITGA2:6582.5, SYK:6582.5, PRKCB:6582.5, STIM1:6582.5, TUBA1C:6582.5, KIFC2:6582.5, SLC3A2:6582.5, SIN3A:6582.5, SDC2:6582.5, PCDH7:6582.5, BSG:6582.5, GTPBP2:6582.5, CTSW:6582.5, RASGRP1:6582.5, SELP:6582.5, KLC2:6582.5, SH2B1:6582.5, TUBAL3:6582.5, GP5:6582.5, F2:6582.5, ANXA2:6582.5, SLC8A1:6582.5, GAS6:6582.5, PROS1:6582.5, PDE2A:6582.5, SELL:6582.5, SERPINA5:6582.5, CD47:6582.5, NHLRC2:6582.5, KCNMB2:6582.5, SERPINB2:6582.5, PSAP:6582.5, CFD:6582.5, PLCG2:6582.5, F5:6582.5, CAPZA2:6582.5, CD177:6582.5, LAT:6582.5, ORM2:6582.5, ORM1:6582.5, ITGB3:6582.5, ADRA2B:6582.5, KIF13B:9629, ITGA4:9637, F2R:9650, ADRA2A:9657, IRF2:9695, CD36:9718, CD63:9832, MFN1:9839, PLEK:9840, EHD2:9870, PLA2G4A:9895, STXBP2:9922, TUBA1A:9943, TAGLN2:9980, FGB:9982, IRAG1:10042, PHF21A:10080, SRGN:10214, H3C2:10218, JAML:10251, F2RL3:10286, PLAT:10326, ITGAM:10327, KIF5B:10374, PDE1A:10411, ITIH3:10440, F11:10441, LYN:10464, DGKZ:10512, TEX264:10522, PRCP:10563, RCOR1:10577, P2RX1:10585, PIK3R1:10621, VPREB3:10629, KIF2A:10636, MIF:10676, GP6:10708, VEGFB:10753, GUCY1B1:10848, C1QBP:10987, PDPN:10997, RAD51C:11047, VAV1:11063, ATP2A1:11121, RARRES2:11140, RAD51B:11186, ABL1:11222, GATA4:11223, DOCK9:11232, RAF1:11283, HGF:11385, FGG:11403, ORAI1:11446, HBE1:11498, CD244:11551, NOS2:11565, PLG:11573, NFE2:11665, VEGFA:11676, FAM3C:11734, SYTL4:11747, PRKCQ:11758, KIF19:11766, GRB7:11803, KIF2C:11902, APBB1IP:12048, TEK:12052, GATA2:12159, SLC7A10:12178, APOOL:12190, RACGAP1:12204, SERPINE1:12243, PRKAR2A:12248, IGF1:12254, GATA1:12257, SPARC:12331, ITIH4:12371, HMG20B:12383, PIK3R3:12420, SELE:12449, IRF1:12475, KIF4A:12507, KIF27:12520, KIF3A:12525, CFL1:12543, KNG1:12567, SH2B2:12618, COL1A1:12654, SERPIND1:12656, KCNMB3:12664, ITGAV:12666, CABLES1:12675, ITGAL:12681, DGKE:12771, YES1:12868, PECAM1:12893, DOCK7:12901, MPIG6B:12908, SLC7A6:12935, PTPN1:12947, SDC3:12982, AHSG:12983, GATA6:12996, PRKCH:13064, INPP5D:13086, GP1BB:13131, OLR1:13158, KIFC1:13163, PROC:13197, KLC1:13211, DOCK6:13214, ZFPM2:13245, PRKCD:13248, MGLL:13260, PIK3R2:13301, ITPR3:13389, KIF20B:13403, CALM1:13412, SRI:13416, BRPF3:13441, PIK3CB:13450, CLEC1B:13481, THBD:13510, ATP2B4:13515, SLC7A7:13547, ITGAX:13563, SERPINA4:13567, SH2B3:13572, GUCY1A1:13601, H3-3A:13663, MPL:13714, KIF12:13860, KIF20A:13871, KIF21A:13890, PLAUR:13940, CENPE:13992, KIF6:14005, LRP8:14007, P2RY12:14042, MMRN1:14102, EGF:14126, ITGA2B:14129, SERPINC1:14163, HABP4:14196, THPO:14218, KIF11:14288, RBSN:14300, KIF15:14330, JMJD1C:14339, KIF18B:14340, ITGB1:14449, LAMP2:14480, WEE1:14535, TUBB8B:14722, DGKK:14760, GP9:14767, GLG1:14775, TUBB8:14806, KIF18A:14814, KIF16B:14909, SLC7A9:14918, LY6G6F:14948, SCG3:14958, GRB14:15077, F2RL2:15089, ALB:15125, A2M:15130, ANGPT4:15196
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	0.557137094375979	0.76563885759138	1	PPP1R13B:1120, GSDMD:2047, XIAP:2090, CASP7:2411, GSDME:2416, UACA:2480, AKT1:2496, CASP9:2544, BCL2L1:2626, APIP:2973, PPP3R1:3349, SFN:3384, TP73:6582.5, BAX:6582.5, MAPK3:6582.5, BMF:6582.5, AKT2:6582.5, BBC3:6582.5, TFDP2:6582.5, APAF1:6582.5, NMT1:6582.5, TP53:6582.5, TP53BP2:6582.5, CDKN2A:6582.5, AVEN:6582.5, BCL2:6582.5, TFDP1:6582.5, E2F1:9737, CASP3:9969, DIABLO:10535, BCL2L11:10561, TP63:10628, CASP8:10684, C1QBP:10987, DYNLL2:11492, BAD:11527, BID:12274, DYNLL1:13115, YWHAE:13642, PPP3CC:14040, BAK1:14793
REACTOME_MAPK3_ERK1_ACTIVATION	REACTOME_MAPK3_ERK1_ACTIVATION	0.764239594548406	0.88939183426056	-1	IL6:688, JAK1:5182, JAK2:8643.5, TYK2:8643.5, IL6ST:8643.5, IL6R:8643.5, PTPN11:8643.5, MAPK3:8643.5
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	0.915230984873145	0.962968252778079	-1	POLK:413, POLI:759, REV1:1352, REV3L:1362, RCHY1:1578, RPA3:1900, RFC2:2653, RFC4:2963, USP10:3000, POLD1:3707, UBA7:3763, PCLAF:3954, RFC1:4008, POLH:4023, UBE2L6:4343, POLD3:5209, UBB:8643.5, UFD1:8643.5, POLE2:8643.5, POLE4:8643.5, MAD2L2:8643.5, RPA2:8643.5, TRIM25:8643.5, POLE3:8643.5, POLD4:8643.5, ISG15:8643.5, RPA1:11755, SPRTN:12593, RFC5:13441, RFC3:13973, NPLOC4:14419, UBA52:14871, RPS27A:14930, POLE:15097, POLD2:15114, USP43:15218
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	0.526532411414949	0.746922059623252	1	POLD2:112, POLE:129, RPS27A:296, UBA52:355, RBX1:427, RFC3:1253, RFC5:1785, RPA1:3471, UBB:6582.5, POLE2:6582.5, POLE4:6582.5, RPA2:6582.5, POLE3:6582.5, POLD4:6582.5, RAD18:6582.5, WDR48:6582.5, CUL4A:6582.5, POLD3:10017, RFC1:11218, DTL:11478, POLD1:11519, CUL4B:11822, RFC4:12263, RFC2:12573, RPA3:13326, UBE2B:14032, USP1:14560
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	0.350382029982534	0.591681685455208	1	RPS27A:296, UBA52:355, NPLOC4:807, RFC3:1253, RFC5:1785, SPRTN:2633, RPA1:3471, UBB:6582.5, UFD1:6582.5, RPA2:6582.5, POLH:11203, RFC1:11218, RFC4:12263, RFC2:12573, RPA3:13326, RCHY1:13648
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	0.00746637095287693	0.0570418085933775	1	H4C2:480, H2BC4:536, H2BC15:646, H4C3:651, H4C14:822, H4C15:1030, H2AC4:1104, H4C13:1181, H2AC14:1612, NEIL3:2102, MPG:2337, TERF2IP:2693, TINF2:6582.5, TERF1:6582.5, H4C8:6582.5, H2AC20:6582.5, H2BC21:6582.5, H4C11:6582.5, H2BC9:6582.5, H4C1:6582.5, OGG1:11072, TERF2:11297, ACD:12929, POT1:13160, MUTYH:13863
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	0.170400267087391	0.396842519783866	-1	MBD4:570, TDG:1155, MUTYH:1363, OGG1:4154, UNG:4479, NTHL1:5155, APEX1:8643.5, SMUG1:12447, MPG:12889
