GO.ID	Description	pVal	p.adj	Phenotype	Gene.vals
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	0.676063481542569	0.852395585315902	1	POLK:172, POLI:781, POLH:1371, REV3L:1378, USP10:1421, REV1:1834, RFC2:1873, RCHY1:2652, RPA3:2889, RFC4:3032, POLD1:3521, RFC1:3730, RPA2:3884, UBB:8159, SPRTN:8159, UFD1:8159, POLD3:8159, POLE2:8159, POLE4:8159, MAD2L2:8159, TRIM25:8159, RPA1:8159, POLE3:8159, UBE2L6:8159, PCLAF:8159, POLD4:8159, UBA7:8159, ISG15:8159, RFC5:13146, RPS27A:14143, UBA52:14428, RFC3:14515, NPLOC4:14615, POLD2:14703, POLE:14976, USP43:15188
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	0.978362496515488	0.986570235580215	1	POLH:1371, RFC2:1873, RCHY1:2652, RPA3:2889, RFC4:3032, RFC1:3730, RPA2:3884, UBB:8159, SPRTN:8159, UFD1:8159, RPA1:8159, RFC5:13146, RPS27A:14143, UBA52:14428, RFC3:14515, NPLOC4:14615
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	0.158923437763084	0.39583400829118	1	MBD4:293, MUTYH:294, TDG:1362, MPG:8159, OGG1:8159, NTHL1:8159, UNG:8159, APEX1:8159, SMUG1:8159
REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	0.396013077302153	0.657469225023741	1	PARG:481, PARP2:1918, APEX1:8159, POLB:8159, LIG1:8159, ADPRS:8159, PARP1:8159, FEN1:8159
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	0.678278558218762	0.853409797954242	1	PARG:481, RFC2:1873, PARP2:1918, RPA3:2889, RFC4:3032, POLD1:3521, RFC1:3730, RPA2:3884, POLD3:8159, POLE2:8159, POLE4:8159, RPA1:8159, POLE3:8159, POLD4:8159, APEX1:8159, POLB:8159, LIG1:8159, ADPRS:8159, PARP1:8159, FEN1:8159, RFC5:13146, RFC3:14515, POLD2:14703, POLE:14976
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.853803552872323	0.937356824710679	1	PPP3CC:2123, BAD:8159, BID:8159, AKT2:8159, YWHAE:8159, AKT1:8159, BCL2:8159, SFN:8159, PPP3R1:8159
REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA	REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA	0.918650881869419	0.960189878266992	1	BAK1:405, BAX:8159, GSDMD:8159, DIABLO:8159, GSDME:12785
REACTOME_NEUROTRANSMITTER_CLEARANCE	REACTOME_NEUROTRANSMITTER_CLEARANCE	0.80307369988537	0.920591179864698	1	COMT:1154, SLC22A2:3340, SLC22A1:8159, MAOA:8159, ACHE:8159, SLC6A4:8159, BCHE:8159, SLC6A3:8159, LRTOMT:8159, ALDH2:12471
REACTOME_MAPK1_ERK2_ACTIVATION	REACTOME_MAPK1_ERK2_ACTIVATION	0.568593131097477	0.766751858822988	1	MAP2K2:463, IL6:1019, JAK2:8159, TYK2:8159, IL6R:8159, JAK1:8159, PTPN11:8159, IL6ST:12521
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	0.0858360976112061	0.273915900872574	1	MCM8:903, ORC2:1505, ORC1:1681, CCNB1:3713, ORC6:8159, ORC4:8159, ORC3:8159, ORC5:8159
