GO.ID	Description	pVal	p.adj	Phenotype	Gene.vals
REACTOME_INTERLEUKIN_6_SIGNALING	REACTOME_INTERLEUKIN_6_SIGNALING	0.631260947291329	0.820593718793271	-1	CBL:1685, IL6ST:2700, JAK2:7062, TYK2:7062, STAT1:7062, IL6R:7062, JAK1:7062, PTPN11:7062, SOCS3:7062, IL6:14202
REACTOME_APOPTOSIS	REACTOME_APOPTOSIS	0.023316034622405	0.136489644234403	-1	PLEC:37, TRAF2:47, DBNL:55, PTK2:95, BCAP31:178, DSG3:275, H1-2:542, H1-4:577, UBA52:793, PKP1:811, DSG2:1005, H1-3:1015, DSP:1031, LMNB1:1050, RPS27A:1078, PSMA1:1096, PSMF1:1109, VIM:1206, TJP1:1243, CDH1:1381, BMX:1564, PPP1R13B:1611, CASP7:1654, PSMD12:1677, BCL2L1:1764, CASP9:1842, XIAP:2377, PSMD13:2393, GSDME:2436, HMGB2:2789, BAD:7062, PSMB1:7062, BID:7062, FAS:7062, CASP8:7062, ROCK1:7062, PSME4:7062, ARHGAP10:7062, TP63:7062, TP73:7062, BAX:7062, ADD1:7062, DNM1L:7062, DYNLL1:7062, PSME1:7062, PSMD5:7062, PSMD8:7062, PSMB5:7062, PSME2:7062, E2F1:7062, PSMD10:7062, STK24:7062, TRADD:7062, MAPK3:7062, PSMD7:7062, BMF:7062, GSDMD:7062, AKT2:7062, BBC3:7062, PSMD3:7062, YWHAE:7062, BIRC2:7062, PSMD9:7062, UNC5A:7062, TFDP2:7062, FASLG:7062, TJP2:7062, APAF1:7062, TNFSF10:7062, H1-1:7062, PSMB2:7062, PSME3:7062, STK26:7062, DSG1:7062, NMT1:7062, TLR4:7062, PSMB7:7062, RIPK1:7062, UACA:7062, TP53:7062, AKT1:7062, PSMB6:7062, TP53BP2:7062, CDKN2A:7062, GSN:7062, GAS2:7062, APIP:7062, BCL2L11:7062, LY96:7062, PSMA8:7062, APPL1:7062, PSMD4:7062, PSMB4:7062, LMNA:7062, CASP3:7062, PSMC3:7062, FADD:7062, DFFB:7062, AVEN:7062, UBB:7062, CD14:7062, BCL2:7062, PSMD1:7062, PSMD2:7062, SFN:7062, PAK2:7062, SATB1:7062, DIABLO:7062, H1-5:7062, MAPT:7062, DCC:7062, H1-0:7062, DAPK1:7062, SPTAN1:7062, TFDP1:7062, OPA1:7062, PSMB8:7062, PSMB10:7062, PPP3R1:7062, PSMB11:7062, TICAM2:7062, PRKCQ:11451, CASP6:11454, PRKCD:11620, UNC5B:11680, SEM1:11703, PSMD6:12057, DAPK2:12188, PSMB9:12244, OMA1:12385, DYNLL2:12501, DFFA:12712, CFLAR:12743, APC:12879, PPP3CC:13098, OCLN:13119, FNTA:13184, DAPK3:13198, C1QBP:13254, ACIN1:14258, BAK1:14816, CLSPN:14832
REACTOME_HEMOSTASIS	REACTOME_HEMOSTASIS	0.0849571449272677	0.271591723943021	-1	PRKCG:10, DOCK1:11, L1CAM:39, ITPR1:89, PTK2:95, PDGFA:119, SLC16A3:158, CABLES2:177, DOCK4:180, KIF1A:198, GPC1:218, KIF21B:237, CHID1:325, ITGA6:348, AK3:369, ATP2A2:382, DGKI:392, ATP2B3:415, RHOB:423, ITGA3:446, PPP2R5C:524, CAV1:527, MAFK:572, TUBA4A:611, IGF2:694, CLU:700, TGFB3:701, TUBA1B:801, TGFB1:817, KLC4:833, COL1A2:946, TIMP1:963, DGKQ:985, ISLR:1009, PDE10A:1010, PDE1B:1029, TLN1:1075, ATP1B2:1091, SOD1:1098, P2RY1:1101, PIK3R5:1133, GNB3:1146, SLC16A8:1238, PRKG2:1251, P2RX2:1270, FN1:1276, PPP2CA:1281, APOA1:1282, GNB2:1307, GNA12:1311, FCER1G:1332, KCNMA1:1335, WDR1:1403, H3C13:1419, TMX3:1422, TRPC6:1460, TUBB2A:1491, ACTN2:1492, PDPK1:1493, KIF26A:1501, PTGIR:1597, ALDOA:1643, ATP2A3:1720, ECM1:1733, DGKD:1784, PPP2R5D:1786, CD74:1799, PRKCA:1878, PPIA:1898, AAMP:1919, HSPA5:1930, SLC8A2:1936, EHD1:1960, VEGFD:1962, THBS1:1977, H3C11:2021, JAM2:2054, TRPC3:2064, PRKAR1B:2071, GNA13:2080, KCNMB1:2096, ATP1B3:2167, VCL:2169, H3C1:2172, DAGLA:2206, DOCK2:2211, VAV3:2260, ANXA5:2269, CXADR:2356, ACTN1:2378, ADRA2C:2385, PPP2R5B:2434, TUBB4A:2448, SERPINF2:2493, ATP2B1:2508, LGALS3BP:2528, PTPN6:2529, ABHD12:2542, TUBA8:2545, P2RX3:2576, SDC1:2584, TOR4A:2588, JAM3:2602, PDE11A:2628, NOS3:2634, DAGLB:2648, STX4:2748, KIF25:2764, CARMIL1:2784, P2RX5:2803, JAK2:7062, PTPN11:7062, MAPK3:7062, TP53:7062, AKT1:7062, FGR:7062, TFPI:7062, KDM1A:7062, PRKAR2B:7062, TBXA2R:7062, NOS2:7062, CD9:7062, EHD3:7062, HGF:7062, EHD2:7062, CD44:7062, RAB27B:7062, LCP2:7062, BCAR1:7062, KIF1B:7062, F7:7062, DGKG:7062, GNA15:7062, GUCY1B1:7062, HMG20B:7062, DGKA:7062, PPP2R5A:7062, CD84:7062, RHOA:7062, KIF2A:7062, RASGRP2:7062, TRPC7:7062, GNB5:7062, CDC42:7062, PRKACA:7062, SPP2:7062, SRI:7062, ACTB:7062, KIFAP3:7062, CAPZB:7062, RAPGEF3:7062, KIF22:7062, APLP2:7062, APOB:7062, KIF3C:7062, GP6:7062, DOCK3:7062, KIF9:7062, F11:7062, P2RX7:7062, NOS1:7062, RCOR1:7062, KIF4A:7062, RAPGEF4:7062, APOH:7062, ANGPT2:7062, SLC7A8:7062, TGFB2:7062, SERPIND1:7062, P2RX6:7062, PPIL2:7062, PICK1:7062, TIMP3:7062, PDGFB:7062, VTI1B:7062, ITPK1:7062, SLC8A3:7062, PROCR:7062, TUBB1:7062, KIF3B:7062, F9:7062, GATA1:7062, DGKH:7062, SLC7A6:7062, SLC7A5:7062, CSK:7062, PLAT:7062, KLC3:7062, MAG:7062, PIK3CG:7062, CDC37L1:7062, DOCK8:7062, GATA3:7062, RAD51C:7062, P2RX1:7062, AKAP10:7062, COL1A1:7062, PRKAR1A:7062, PF4V1:7062, VWF:7062, PHACTR2:7062, VEGFA:7062, PRKAR2A:7062, GNAI2:7062, GNB4:7062, ITGA4:7062, PDE1A:7062, SOS1:7062, PLEK:7062, QSOX1:7062, STXBP3:7062, RAP1A:7062, HDAC1:7062, CAPZA1:7062, MFN2:7062, PLA2G4A:7062, CD2:7062, CD48:7062, MYB:7062, EPCAM:7062, TEK:7062, AKAP1:7062, A1BG:7062, PIK3CA:7062, PLG:7062, PLAU:7062, SRGN:7062, ITPR2:7062, CDK2:7062, NFE2:7062, SDC4:7062, PLCG1:7062, F13A1:7062, TREM1:7062, F10:7062, RAP1B:7062, VPREB3:7062, CALU:7062, KIF1C:7062, ACTN4:7062, GATA5:7062, F12:7062, CAP1:7062, RAF1:7062, JCHAIN:7062, P2RX4:7062, CD36:7062, PHF21A:7062, CD63:7062, MICAL1:7062, DOCK10:7062, SERPINE2:7062, DGKB:7062, VPS45:7062, TUBB2B:7062, ARRB1:7062, PRCP:7062, PPP2R1B:7062, KIF23:7062, OLA1:7062, ITGAV:7062, PDE5A:7062, ITGAX:7062, KIF2B:7062, VAV1:7062, APP:7062, PRKACB:7062, KIF2C:7062, ITGA10:7062, ATP1B1:7062, F13B:7062, SCCPDH:7062, LEFTY2:7062, MANF:7062, PIK3R1:7062, LHFPL2:7062, PCYOX1L:7062, DOCK11:7062, DOK2:7062, DGKZ:7062, FERMT3:7062, VEGFC:7062, SLC7A11:7062, GUCY1A2:7062, MERTK:7062, KIF5A:7062, GNA14:7062, TSPAN7:7062, CD109:7062, ATP2B2:7062, PAFAH2:7062, TAGLN2:7062, F11R:7062, CYB5R1:7062, PDE9A:7062, ITGB2:7062, VAV2:7062, JAML:7062, SHC1:7062, ORAI2:7062, SH2B2:7062, ITGA5:7062, ITIH3:7062, KIF26B:7062, H3-3A:7062, ABHD6:7062, PF4:7062, CLEC3B:7062, TEX264:7062, ITGA2:7062, KLKB1:7062, SYK:7062, PRKCB:7062, STIM1:7062, TUBA1A:7062, TUBA1C:7062, KIFC2:7062, SLC3A2:7062, IRF2:7062, SIN3A:7062, SDC2:7062, PCDH7:7062, ITGAM:7062, KIF5B:7062, MFN1:7062, PRKCE:7062, FGG:7062, FGB:7062, BSG:7062, GTPBP2:7062, CTSW:7062, RASGRP1:7062, VEGFB:7062, SELP:7062, KLC2:7062, YES1:7062, SH2B1:7062, TUBAL3:7062, GP5:7062, F2:7062, ANXA2:7062, LCK:7062, SLC8A1:7062, PROS1:7062, F8:7062, MAFF:7062, PDE2A:7062, TUBB4B:7062, SERPINA5:7062, ATP2A1:7062, CD47:7062, NHLRC2:7062, FLNA:7062, FAM3C:7062, SRC:7062, H3C4:7062, KCNMB2:7062, SERPINB2:7062, PSAP:7062, CFD:7062, KIF13B:7062, PLCG2:7062, CALM1:7062, F5:7062, CAPZA2:7062, CD177:7062, LAT:7062, HBE1:7062, ITGA1:7062, GNAT3:7062, ORM2:7062, ORM1:7062, MIF:7062, LYN:7062, ITGB3:7062, H3C8:7062, ADRA2B:7062, ORAI1:7062, PIK3R6:7062, H3C10:7062, H3C2:7062, IRF1:11297, RARRES2:11314, DOCK9:11350, SELL:11418, PRKCQ:11451, BRPF3:11471, CD244:11527, GAS6:11533, PDPN:11545, F3:11551, ATP2B4:11556, SLC7A10:11609, PRKCD:11620, RACGAP1:11626, TUBB8B:11663, GATA4:11674, IRAG1:11676, IGF1:11740, STXBP2:11749, KIF19:11850, PIK3R3:11857, KNG1:11859, ARRB2:11899, PECAM1:11902, ADRA2A:11914, F2RL3:11947, GRB7:11956, TUBB8:11993, HABP4:12073, KLC1:12115, GATA2:12118, AHSG:12145, PRKCH:12220, SERPINE1:12311, CFL1:12322, F2R:12339, SERPINA4:12352, KIF21A:12397, KIF3A:12434, GATA6:12500, SELE:12507, MPIG6B:12553, PTPN1:12580, INPP5D:12650, DGKE:12673, ITIH4:12693, PLAUR:12823, SLC7A7:12878, GUCY1A1:12885, PROC:12898, APOOL:12906, SYTL4:12916, APBB1IP:12977, RAD51B:12978, ENDOD1:13023, DOCK6:13069, P2RY12:13074, MGLL:13152, PIK3CB:13157, THBD:13183, ITPR3:13203, C1QBP:13254, LRP8:13266, SH2B3:13290, SDC3:13297, SPARC:13322, PIK3R2:13334, DOCK7:13355, ABL1:13416, ITGAL:13442, CLEC1B:13453, CABLES1:13524, OLR1:13641, EGF:13647, KIF20B:13688, KIF27:13696, KCNMB3:13706, RBSN:13763, KIFC1:13952, KIF15:13966, KIF18A:14046, ZFPM2:14053, GP1BB:14165, MMRN1:14166, SERPINC1:14223, KIF20A:14229, JMJD1C:14291, ITGB1:14296, KIF12:14303, CENPE:14342, KIF11:14355, WEE1:14360, GLG1:14412, MPL:14436, LAMP2:14533, DGKK:14544, ITGA2B:14619, GRB14:14626, SLC7A9:14722, KIF6:14728, KIF18B:14735, GP9:14741, ALB:14911, SCG3:14946, THPO:14954, LY6G6F:15056, F2RL2:15064, KIF16B:15083, ANGPT4:15123, A2M:15194
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	0.435757786457952	0.686775602258468	-1	PPP1R13B:1611, CASP7:1654, BCL2L1:1764, CASP9:1842, XIAP:2377, GSDME:2436, BAD:7062, BID:7062, CASP8:7062, TP63:7062, TP73:7062, BAX:7062, DYNLL1:7062, E2F1:7062, MAPK3:7062, BMF:7062, GSDMD:7062, AKT2:7062, BBC3:7062, YWHAE:7062, TFDP2:7062, APAF1:7062, NMT1:7062, UACA:7062, TP53:7062, AKT1:7062, TP53BP2:7062, CDKN2A:7062, APIP:7062, BCL2L11:7062, CASP3:7062, AVEN:7062, BCL2:7062, SFN:7062, DIABLO:7062, TFDP1:7062, PPP3R1:7062, DYNLL2:12501, PPP3CC:13098, C1QBP:13254, BAK1:14816
REACTOME_MAPK3_ERK1_ACTIVATION	REACTOME_MAPK3_ERK1_ACTIVATION	0.970392877054946	0.982931661421386	-1	IL6ST:2700, JAK2:7062, TYK2:7062, IL6R:7062, JAK1:7062, PTPN11:7062, MAPK3:7062, IL6:14202
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	0.676063481542569	0.852395585315902	1	POLK:172, POLI:781, POLH:1371, REV3L:1378, USP10:1421, REV1:1834, RFC2:1873, RCHY1:2652, RPA3:2889, RFC4:3032, POLD1:3521, RFC1:3730, RPA2:3884, UBB:8159, SPRTN:8159, UFD1:8159, POLD3:8159, POLE2:8159, POLE4:8159, MAD2L2:8159, TRIM25:8159, RPA1:8159, POLE3:8159, UBE2L6:8159, PCLAF:8159, POLD4:8159, UBA7:8159, ISG15:8159, RFC5:13146, RPS27A:14143, UBA52:14428, RFC3:14515, NPLOC4:14615, POLD2:14703, POLE:14976, USP43:15188
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	0.763699428941884	0.903510544870221	-1	POLE:245, POLD2:518, RFC3:706, UBA52:793, RPS27A:1078, RBX1:2003, RFC5:2075, UBB:7062, POLD3:7062, POLE2:7062, POLE4:7062, RPA1:7062, POLE3:7062, POLD4:7062, RAD18:7062, WDR48:7062, CUL4A:7062, DTL:7062, RPA2:11337, RFC1:11491, UBE2B:11520, POLD1:11700, RFC4:12189, CUL4B:12200, RPA3:12332, RFC2:13348, USP1:14288
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	0.978362496515488	0.986570235580215	1	POLH:1371, RFC2:1873, RCHY1:2652, RPA3:2889, RFC4:3032, RFC1:3730, RPA2:3884, UBB:8159, SPRTN:8159, UFD1:8159, RPA1:8159, RFC5:13146, RPS27A:14143, UBA52:14428, RFC3:14515, NPLOC4:14615
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	0.0507028386512354	0.206359408776924	-1	H2BC4:288, H2AC4:753, H4C2:1089, H2BC15:1142, H2AC14:1394, H4C3:1934, H4C13:2452, NEIL3:2454, TINF2:7062, ACD:7062, MPG:7062, OGG1:7062, TERF2:7062, TERF1:7062, H4C8:7062, TERF2IP:7062, H2AC20:7062, H2BC21:7062, H4C11:7062, H4C15:7062, H4C14:7062, H2BC9:7062, H4C1:7062, POT1:11928, MUTYH:14927
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	0.158923437763084	0.39583400829118	1	MBD4:293, MUTYH:294, TDG:1362, MPG:8159, OGG1:8159, NTHL1:8159, UNG:8159, APEX1:8159, SMUG1:8159
