GO.ID	Description	pVal	p.adj	Phenotype	Gene.vals
REACTOME_INTERLEUKIN_6_SIGNALING	REACTOME_INTERLEUKIN_6_SIGNALING	0.826305892172682	0.940738885068836	1	IL6:1083, IL6ST:1814, JAK1:1958, JAK2:8719, TYK2:8719, STAT1:8719, IL6R:8719, PTPN11:8719, SOCS3:8719, CBL:14752
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	0.988116636120456	0.993417141612194	1	DYNLL1:108, BID:243, YWHAE:314, BCL2L11:632, PPP3CC:741, E2F1:1616, CASP3:1795, DIABLO:1847, BAK1:2131, BAX:2587, BAD:2758, CASP8:3056, TFDP2:3369, TP63:8719, XIAP:8719, MAPK3:8719, BMF:8719, AKT2:8719, BBC3:8719, GSDME:8719, C1QBP:8719, APAF1:8719, CASP9:8719, NMT1:8719, TP53:8719, CDKN2A:8719, APIP:8719, CASP7:8719, AVEN:8719, BCL2L1:8719, SFN:8719, TFDP1:8719, DYNLL2:8719, AKT1:13292, TP73:13545, PPP3R1:13585, BCL2:13686, PPP1R13B:13935, TP53BP2:14389, GSDMD:14508, UACA:14859
REACTOME_MAPK3_ERK1_ACTIVATION	REACTOME_MAPK3_ERK1_ACTIVATION	0.357251188681481	0.760476851467191	1	IL6:1083, IL6ST:1814, JAK1:1958, JAK2:8719, TYK2:8719, IL6R:8719, PTPN11:8719, MAPK3:8719
REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	0.982966795794966	0.993186944545121	1	PARG:648, POLB:652, APEX1:8719, ADPRS:8719, PARP2:8719, PARP1:8719, FEN1:8719, LIG1:14975
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.662562206542232	0.885544594807743	1	BID:243, YWHAE:314, PPP3CC:741, BAD:2758, AKT2:8719, SFN:8719, AKT1:13292, PPP3R1:13585, BCL2:13686
REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA	REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.394780226061261	0.784772599325748	1	E2F1:1616, TFDP2:3369, TP53:8719, TFDP1:8719
REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS	REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS	0.43225579617741	0.810792804107237	1	BID:243, BCL2L11:632, BAD:2758, BMF:8719, BBC3:8719, BCL2L1:8719, BCL2:13686
REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA	REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA	0.436801111952175	0.812747579824326	1	DIABLO:1847, BAK1:2131, BAX:2587, GSDME:8719, GSDMD:14508
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE	REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE	0.939612369612882	0.980961842740027	1	CASP3:1795, XIAP:8719, APAF1:8719, CASP9:8719, CASP7:8719
REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE	REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE	0.554229580435477	0.84715180983053	1	CASP3:1795, DIABLO:1847, XIAP:8719, APAF1:8719, CASP9:8719, CASP7:8719
REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB	REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB	0.276440775655055	0.680979178913246	1	CALM1:395, CAMK2D:1747, KPNA2:2807, CAMKK2:2886, CAMK4:3910, CAMKK1:8719, CAMK2A:8719, CAMK2G:8719, CAMK2B:15179
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	0.463356190650946	0.82634574646351	1	GLS2:159, PPFIA3:461, SLC1A6:806, SLC1A1:1045, SLC6A12:1245, SYN2:1368, GAD1:1765, ABAT:2374, SLC6A1:2441, SLC22A1:2753, RIMS1:3083, ARL6IP5:3484, SLC1A3:3853, SLC5A7:4052, SLC1A2:4055, MAOA:4089, SYN1:8719, SLC6A13:8719, SYT1:8719, CHAT:8719, SLC32A1:8719, SLC17A7:8719, STX1A:8719, APBA1:8719, ALDH5A1:8719, SLC22A2:8719, GLS:8719, SLC6A11:8719, SLC38A2:8719, GAD2:8719, NAAA:8719, PPFIA2:8719, PPFIA4:8719, SLC1A7:8719, SYN3:8719, SLC18A3:8719, UNC13B:8719, LIN7C:14207, TSPOAP1:14653, SLC18A2:14937, DNAJC5:14969, SNAP25:15132
REACTOME_NEUROTRANSMITTER_CLEARANCE	REACTOME_NEUROTRANSMITTER_CLEARANCE	0.379542029270849	0.7735141170157	1	COMT:570, SLC22A1:2753, ACHE:2844, MAOA:4089, SLC22A2:8719, SLC6A4:8719, ALDH2:8719, BCHE:8719, SLC6A3:8719, LRTOMT:8719
REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX	REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX	0.106306739212333	0.497846885194379	1	ELL:55, GTF2H2:398, IWS1:553, CDK7:974, SUPT16H:1162, SSRP1:1231, GTF2H1:1264, RTF1:1469, LEO1:1956, PAF1:2026, CCNH:2191, SUPT5H:2269, AFF4:2904, CCNK:2929, NELFE:3461, TCEA1:3677, POLR2F:3755, ELOA:8719, MNAT1:8719, CTDP1:8719, CCNT2:8719, NELFCD:8719, ERCC2:8719, SUPT6H:8719, GTF2H3:8719, GTF2F1:8719, CCNT1:8719, MLLT1:8719, CDK9:8719, NCBP1:8719, EAF1:8719, EAF2:8719, ERCC3:8719, MLLT3:8719, NELFA:8719, GTF2F2:8719, NELFB:8719, CTR9:8719, GTF2H4:8719, POLR2I:14782, ELOC:14941, POLR2J:15078
REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION	REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION	0.853271137627644	0.95702428923611	1	IL6:1083, MAP2K2:1488, IL6ST:1814, JAK1:1958, DUSP5:2675, JAK2:8719, TYK2:8719, IL6R:8719, PTPN11:8719, MAPK3:8719, DUSP1:8719, DUSP4:8719, DUSP9:8719, DUSP6:8719, DUSP10:8719, DUSP2:8719, PEA15:8719, DUSP7:8719, DUSP8:8719, DUSP16:15071
REACTOME_MAPK1_ERK2_ACTIVATION	REACTOME_MAPK1_ERK2_ACTIVATION	0.132689187465542	0.533124312906187	1	IL6:1083, MAP2K2:1488, IL6ST:1814, JAK1:1958, JAK2:8719, TYK2:8719, IL6R:8719, PTPN11:8719
REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX	REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX	0.668603008916434	0.888819570149893	1	GTF2H2:398, CDK7:974, GTF2H1:1264, CCNH:2191, SUPT5H:2269, NELFE:3461, POLR2F:3755, MNAT1:8719, CTDP1:8719, NELFCD:8719, ERCC2:8719, GTF2H3:8719, GTF2F1:8719, NCBP1:8719, ERCC3:8719, NELFA:8719, GTF2F2:8719, NELFB:8719, GTF2H4:8719, POLR2I:14782, POLR2J:15078
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	0.0408209647322062	0.318615581870856	1	ORC1:183, CCNB1:1093, ORC2:1823, MCM8:2295, ORC3:2949, ORC6:8719, ORC4:8719, ORC5:8719
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	0.331858291329574	0.747922052154711	1	ORC1:183, CCNB1:1093, E2F1:1616, ORC2:1823, MCM8:2295, PPP2R3B:2912, ORC3:2949, TFDP2:3369, TFDP1:8719, PPP2R1B:8719, POLA1:8719, RB1:8719, PRIM2:8719, PRIM1:8719, ORC6:8719, ORC4:8719, ORC5:8719, POLA2:14423, PPP2CA:14665
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.862720393364784	0.957551639882862	1	DYNLL1:108, BID:243, YWHAE:314, BCL2L11:632, PPP3CC:741, E2F1:1616, BAD:2758, TFDP2:3369, TP63:8719, BMF:8719, AKT2:8719, BBC3:8719, TP53:8719, SFN:8719, TFDP1:8719, DYNLL2:8719, AKT1:13292, TP73:13545, PPP3R1:13585, BCL2:13686, PPP1R13B:13935, TP53BP2:14389
