GO.ID	Description	pVal	p.adj	Phenotype	Gene.vals
REACTOME_APOPTOSIS	REACTOME_APOPTOSIS	0.624128593291486	0.876132456580535	-1	PLEC:3, TICAM2:168, RPS27A:188, DBNL:321, UACA:360, UBA52:446, DSG2:465, GSDMD:711, TP53BP2:830, SPTAN1:1104, PSMB9:1220, PTK2:1262, PPP1R13B:1284, BMX:1505, BCL2:1533, PPP3R1:1634, PSMB11:1638, GSN:1670, TP73:1674, ROCK1:1785, AKT1:1927, PSMB1:6500, VIM:6500, FAS:6500, CDH1:6500, PRKCQ:6500, ARHGAP10:6500, TP63:6500, PKP1:6500, ADD1:6500, DNM1L:6500, PSMD5:6500, DSP:6500, PSMB5:6500, XIAP:6500, STK24:6500, TRADD:6500, MAPK3:6500, PSMD7:6500, TJP1:6500, BMF:6500, AKT2:6500, BBC3:6500, GSDME:6500, UNC5B:6500, PSMD3:6500, C1QBP:6500, BIRC2:6500, PSMD9:6500, LMNB1:6500, UNC5A:6500, FASLG:6500, APAF1:6500, H1-3:6500, PSMF1:6500, PSMB2:6500, TRAF2:6500, PSMA1:6500, CASP9:6500, STK26:6500, DSG3:6500, DSG1:6500, APC:6500, NMT1:6500, TLR4:6500, CASP6:6500, TP53:6500, PSMB6:6500, CDKN2A:6500, APIP:6500, LY96:6500, PSMA8:6500, PSMD4:6500, PSMB4:6500, DFFA:6500, LMNA:6500, PSMD6:6500, HMGB2:6500, CASP7:6500, FADD:6500, H1-4:6500, DFFB:6500, AVEN:6500, UBB:6500, BCL2L1:6500, SFN:6500, PAK2:6500, SATB1:6500, H1-5:6500, PSMD13:6500, BCAP31:6500, MAPT:6500, DCC:6500, H1-2:6500, H1-0:6500, PSMD12:6500, OCLN:6500, TFDP1:6500, OPA1:6500, PSMB8:6500, PSMB10:6500, DYNLL2:6500, OMA1:11171, CD14:11339, TJP2:11458, PSMB7:11494, PSMC3:11536, SEM1:11557, PSME3:11707, CLSPN:11723, TFDP2:11850, GAS2:11851, PSMD8:11993, CASP8:12163, PSMD1:12298, DAPK1:12359, DAPK2:12401, BAD:12461, BAX:12632, FNTA:12933, CFLAR:13048, DAPK3:13060, BAK1:13088, PSME4:13171, PSMD10:13264, ACIN1:13304, DIABLO:13372, CASP3:13424, E2F1:13603, PSMD2:13780, APPL1:13917, PSME1:14198, RIPK1:14261, PRKCD:14276, H1-1:14379, PPP3CC:14478, BCL2L11:14587, TNFSF10:14651, YWHAE:14905, PSME2:14968, BID:14976, DYNLL1:15111
REACTOME_HEMOSTASIS	REACTOME_HEMOSTASIS	0.893676687464794	0.969265105546785	-1	KIF26B:79, GNB2:102, PIK3R5:111, CDC42:170, CD74:352, F10:418, TIMP1:434, SLC8A3:445, GATA5:494, ITGA6:523, KIF26A:530, CARMIL1:532, PPP2CA:554, PDE1B:558, RAP1B:575, DOCK1:606, DOCK11:612, KIF1C:624, RAP1A:687, ITPR1:718, RHOB:722, KIF25:773, GNA12:795, RHOA:805, PIK3R6:834, PTGIR:835, SHC1:877, DAGLA:890, TRPC6:932, TUBB4A:986, P2RX7:1008, ITGA3:1075, VEGFD:1085, GNAT3:1157, PLCG1:1191, CAPZB:1196, SLC8A2:1206, TUBB4B:1223, H3C4:1229, PTK2:1262, H3C13:1263, TUBB1:1273, DGKI:1309, TOR4A:1348, H3C8:1367, MAFF:1442, VPS45:1453, PIK3CG:1478, ARRB2:1483, QSOX1:1485, H3C11:1522, ITGB3:1529, DAGLB:1538, CD2:1622, ENDOD1:1657, P2RX2:1746, NOS1:1748, GUCY1A2:1754, TFPI:1764, TUBA4A:1777, CABLES2:1854, ACTB:1880, GNA13:1881, CD48:1892, AKT1:1927, JAK2:6500, PTPN11:6500, PRKCQ:6500, MAPK3:6500, C1QBP:6500, TP53:6500, FGR:6500, PRKAR2B:6500, ITGAL:6500, ITGA2B:6500, TBXA2R:6500, NOS2:6500, SELE:6500, VCL:6500, RAB27B:6500, LCP2:6500, BCAR1:6500, KIF1B:6500, ITIH4:6500, F7:6500, DGKG:6500, GNA15:6500, GPC1:6500, CD84:6500, ATP2B3:6500, RASGRP2:6500, PPP2R5B:6500, TRPC7:6500, ATP1B3:6500, GNB5:6500, WDR1:6500, PRKACA:6500, SPP2:6500, ACTN1:6500, IRAG1:6500, ATP2A3:6500, KIFAP3:6500, STXBP2:6500, APBB1IP:6500, ACTN2:6500, PPP2R5C:6500, RAPGEF3:6500, KIF22:6500, P2RX5:6500, APLP2:6500, APOB:6500, KIF3C:6500, GP6:6500, DOCK9:6500, KIF9:6500, KIF16B:6500, THPO:6500, RAPGEF4:6500, APOH:6500, ANGPT2:6500, SLC7A8:6500, ABL1:6500, P2RX6:6500, PICK1:6500, SLC16A8:6500, PDGFB:6500, VTI1B:6500, ITPK1:6500, ABHD12:6500, PROCR:6500, KIF3B:6500, F9:6500, SYTL4:6500, DGKH:6500, SLC7A5:6500, CSK:6500, PLAT:6500, KLC3:6500, PIK3R2:6500, MAG:6500, CAV1:6500, SERPINE1:6500, RARRES2:6500, CDC37L1:6500, DOCK8:6500, GATA3:6500, RAD51C:6500, AKAP10:6500, LGALS3BP:6500, PRKAR1A:6500, PF4V1:6500, P2RX3:6500, EHD1:6500, VWF:6500, GNB3:6500, PTPN6:6500, PHACTR2:6500, PDE10A:6500, PPP2R5D:6500, KIF20A:6500, SPARC:6500, GNAI2:6500, GNB4:6500, PDE1A:6500, FN1:6500, SDC1:6500, SOS1:6500, PLEK:6500, STXBP3:6500, DOCK7:6500, MFN2:6500, KIF21B:6500, MPL:6500, F3:6500, MYB:6500, TGFB3:6500, EPCAM:6500, AKAP1:6500, A1BG:6500, PIK3CA:6500, CD244:6500, PLAU:6500, SRGN:6500, ITPR2:6500, CDK2:6500, TUBA1B:6500, SDC4:6500, F13A1:6500, TREM1:6500, PRKCG:6500, F2RL3:6500, AAMP:6500, VPREB3:6500, DOCK4:6500, PDE11A:6500, ISLR:6500, ATP1B2:6500, KIF1A:6500, ACTN4:6500, CAP1:6500, KIF3A:6500, JCHAIN:6500, CABLES1:6500, DOCK2:6500, PHF21A:6500, MICAL1:6500, DOCK10:6500, SERPINE2:6500, GATA4:6500, KIF12:6500, TLN1:6500, KLC4:6500, TUBB2A:6500, TUBB2B:6500, ARRB1:6500, PRCP:6500, PPP2R1B:6500, THBS1:6500, KIF23:6500, KIF20B:6500, PRKG2:6500, TRPC3:6500, CENPE:6500, PDPK1:6500, KIF2B:6500, SLC16A3:6500, GRB7:6500, VAV1:6500, SOD1:6500, APP:6500, ITGA10:6500, F13B:6500, ECM1:6500, SCCPDH:6500, LEFTY2:6500, MANF:6500, DGKQ:6500, PIK3R1:6500, LHFPL2:6500, KCNMB1:6500, DOK2:6500, AK3:6500, DGKZ:6500, FERMT3:6500, ALDOA:6500, ADRA2A:6500, VEGFC:6500, MERTK:6500, PRKCA:6500, CXADR:6500, JAM2:6500, APOOL:6500, KIF5A:6500, GNA14:6500, KCNMA1:6500, TSPAN7:6500, ATP2B2:6500, PAFAH2:6500, F11R:6500, FCER1G:6500, CYB5R1:6500, PDE9A:6500, ITGB2:6500, VAV2:6500, JAML:6500, ITGA5:6500, PDPN:6500, SDC3:6500, ABHD6:6500, PF4:6500, CLEC3B:6500, TEX264:6500, ANXA5:6500, ITGA2:6500, KLKB1:6500, KIF6:6500, COL1A2:6500, NOS3:6500, KIF27:6500, JAM3:6500, TMX3:6500, IGF2:6500, STIM1:6500, TUBA1C:6500, KIFC2:6500, SERPINF2:6500, SLC3A2:6500, SDC2:6500, PCDH7:6500, P2RY1:6500, ITGAM:6500, ZFPM2:6500, KCNMB3:6500, PRKCE:6500, FGB:6500, BSG:6500, GTPBP2:6500, CTSW:6500, RASGRP1:6500, OLR1:6500, SELP:6500, ATP2A2:6500, CHID1:6500, SH2B1:6500, TUBAL3:6500, GP5:6500, GATA2:6500, F2:6500, F2R:6500, RAD51B:6500, ANXA2:6500, LCK:6500, SLC8A1:6500, GAS6:6500, TUBA8:6500, ADRA2C:6500, PROS1:6500, F8:6500, KIF18B:6500, PRKAR1B:6500, SELL:6500, SERPINA5:6500, KIF19:6500, PPIA:6500, CD47:6500, NHLRC2:6500, FLNA:6500, SRC:6500, PDGFA:6500, KCNMB2:6500, SERPINB2:6500, PSAP:6500, CFD:6500, KIF13B:6500, PLCG2:6500, MAFK:6500, F5:6500, CAPZA2:6500, L1CAM:6500, GP1BB:6500, KIFC1:6500, CD177:6500, LAT:6500, ITGA1:6500, ORM2:6500, ORM1:6500, H3C1:6500, H3C10:6500, HGF:11065, DGKE:11074, CD44:11179, PRKACB:11199, PLG:11205, CFL1:11264, STX4:11268, VEGFB:11283, ATP2A1:11301, DOCK3:11308, SLC7A11:11338, PPIL2:11396, TIMP3:11397, ADRA2B:11441, PPP2R5A:11473, NFE2:11523, CLEC1B:11532, PDE2A:11620, ITGA4:11628, H3C2:11629, MGLL:11645, SLC7A10:11688, CAPZA1:11702, DOCK6:11727, IGF1:11736, TAGLN2:11786, RACGAP1:11787, MIF:11827, MPIG6B:11931, SERPINC1:11934, F12:11948, ITPR3:11982, CD109:11986, PDE5A:11991, KNG1:12026, PTPN1:12055, PROC:12063, DGKA:12064, FAM3C:12067, F11:12080, MMRN1:12167, PIK3CB:12185, PLA2G4A:12187, SYK:12190, PIK3R3:12225, KDM1A:12234, KIF11:12276, INPP5D:12279, KIF2A:12327, ATP2B1:12337, TGFB2:12357, LYN:12368, GUCY1B1:12380, P2RX4:12393, PCYOX1L:12396, OLA1:12429, GATA6:12449, APOA1:12458, SH2B3:12463, THBD:12472, A2M:12483, LY6G6F:12559, EHD3:12624, HBE1:12708, RAF1:12731, LAMP2:12792, VAV3:12815, TUBA1A:12857, JMJD1C:12925, DGKB:12975, AHSG:12980, PECAM1:13040, TGFB1:13046, PRKCH:13051, HDAC1:13129, IRF1:13159, SIN3A:13238, CD36:13244, P2RX1:13276, ATP1B1:13292, KLC2:13314, SLC7A7:13354, ITGB1:13461, ITIH3:13501, ORAI2:13506, GUCY1A1:13538, GP9:13544, MFN1:13549, EHD2:13623, RCOR1:13692, HMG20B:13764, CALU:13770, KLC1:13776, VEGFA:13815, CD9:13829, KIF15:13843, CLU:13845, KIF2C:13869, WEE1:13882, PRKCB:13908, EGF:13916, SCG3:13930, DGKD:13931, KIF5B:13953, SH2B2:14002, LRP8:14017, SERPINA4:14055, IRF2:14137, SERPIND1:14191, RBSN:14208, PRKAR2A:14210, ORAI1:14271, PRKCD:14276, CD63:14307, GATA1:14318, DGKK:14331, PLAUR:14354, ITGAV:14361, FGG:14463, P2RY12:14485, TEK:14492, F2RL2:14572, BRPF3:14592, HSPA5:14654, GLG1:14655, SLC7A9:14698, KIF21A:14704, SRI:14720, KIF4A:14760, YES1:14771, ATP2B4:14773, CALM1:14824, SLC7A6:14917, ITGAX:15014, KIF18A:15069, COL1A1:15085, HABP4:15117, H3-3A:15139, TUBB8B:15172, ALB:15176, ANGPT4:15184, GRB14:15191, TUBB8:15192
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	0.192154040243615	0.62649861583949	-1	USP43:17, POLD2:42, RPS27A:188, POLE:383, UBA52:446, SPRTN:875, RPA1:1120, UBB:6500, RFC1:6500, RFC2:6500, POLD1:6500, UFD1:6500, POLD3:6500, POLE2:6500, USP10:6500, RFC5:6500, POLE4:6500, RPA2:6500, TRIM25:6500, POLK:6500, RFC3:6500, POLE3:6500, UBE2L6:6500, RFC4:6500, POLH:6500, POLD4:6500, NPLOC4:6500, ISG15:6500, PCLAF:11981, MAD2L2:12208, REV3L:12317, UBA7:12866, POLI:13155, REV1:13523, RPA3:13817, RCHY1:14063
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	0.100499191445305	0.487096887569585	-1	POLD2:42, RBX1:136, RPS27A:188, POLE:383, UBA52:446, RPA1:1120, UBB:6500, RFC1:6500, RFC2:6500, POLD1:6500, POLD3:6500, POLE2:6500, RFC5:6500, POLE4:6500, RPA2:6500, RFC3:6500, POLE3:6500, RFC4:6500, POLD4:6500, RAD18:6500, WDR48:6500, CUL4A:6500, CUL4B:6500, RPA3:13817, USP1:14042, DTL:14847, UBE2B:14886
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	0.114402272399861	0.515923424778589	-1	RPS27A:188, UBA52:446, SPRTN:875, RPA1:1120, UBB:6500, RFC1:6500, RFC2:6500, UFD1:6500, RFC5:6500, RPA2:6500, RFC3:6500, RFC4:6500, POLH:6500, NPLOC4:6500, RPA3:13817, RCHY1:14063
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	0.0293043410614034	0.28031083491443	-1	H4C15:237, H4C14:296, H4C3:452, H4C2:544, H2BC15:710, H4C13:912, MPG:1374, TINF2:6500, NEIL3:6500, OGG1:6500, MUTYH:6500, TERF1:6500, H4C8:6500, TERF2IP:6500, H2BC4:6500, H2AC20:6500, H2BC21:6500, H4C11:6500, H2BC9:6500, H2AC14:6500, H2AC4:6500, H4C1:6500, POT1:13756, ACD:14392, TERF2:14431
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	0.715713460438538	0.900510376253095	-1	MPG:1374, OGG1:6500, MUTYH:6500, UNG:6500, APEX1:6500, SMUG1:6500, MBD4:6500, NTHL1:11442, TDG:13003
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	0.1662019006509	0.594567513638041	-1	POLD2:42, LIG1:244, POLE:383, RPA1:1120, RFC1:6500, RFC2:6500, POLD1:6500, POLD3:6500, POLE2:6500, RFC5:6500, POLE4:6500, RPA2:6500, RFC3:6500, POLE3:6500, RFC4:6500, POLD4:6500, APEX1:6500, ADPRS:6500, PARP2:6500, PARP1:6500, FEN1:6500, RPA3:13817, POLB:14567, PARG:14571
REACTOME_FORMATION_OF_APOPTOSOME	REACTOME_FORMATION_OF_APOPTOSOME	0.466742504832881	0.82634574646351	-1	UACA:360, XIAP:6500, MAPK3:6500, APAF1:6500, CASP9:6500, APIP:6500, AVEN:6500, DIABLO:13372
REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE	REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE	0.74074591415747	0.911150190310011	-1	UACA:360, XIAP:6500, MAPK3:6500, APAF1:6500, CASP9:6500, APIP:6500, CASP7:6500, AVEN:6500, DIABLO:13372, CASP3:13424
