"","Rho","N","P","p.adj","permPValue","qValueNoperm","qValuePerm"
"TSPAN6",0.0249113731743888,64,0.810100650351703,1,0.824008034155152,1,0.999998240152332
"TNMD",NA,NA,NA,NA,NA,NA,NA
"DPM1",-0.055794898657775,68,0.578707175711768,1,0.99993954050786,1,0.999998240152332
"SCYL3",0.257146726010568,44,0.0411397790409939,1,0,1,0
"C1orf112",-0.0565697198166404,56,0.610546961876794,1,0.999990001199856,1,0.999998240152332
"FGR",-0.168761961772815,58,0.121815750142374,1,0.723594805633624,1,0.999998240152332
"CFH",-0.101937015276072,60,0.341566871095937,1,0.99993954050786,1,0.999998240152332
"FUCA2",0.0329697128432307,68,0.742823558168084,1,0.99993954050786,1,0.999998240152332
"GCLC",-0.042849884542941,66,0.674529789821297,1,0.461938939421571,1,0.999998240152332
"NFYA",-0.102713336165449,68,0.306681906274075,1,0.99993954050786,1,0.999998240152332
"NIPAL3",-0.04927305444663,55,0.660313616757878,1,0.141903544371134,1,0.881985106552892
"LAS1L",-0.175139720554696,62,0.0965206395846145,1,0,1,0
"ENPP4",-0.0524333955885482,64,0.613014743322165,1,0.99993954050786,1,0.999998240152332
"SEMA3F",-0.0335250793957651,37,0.807931920536725,1,0.999994652349223,1,0.999998240152332
"CFTR",0.0680217023851436,64,0.511733859690689,1,0.999998187394416,1,0.999998240152332
"ANKIB1",0.0723091801662129,66,0.478543198638701,1,0.999998081277102,1,0.999998240152332
"CYP51A1",0.0317016469646449,68,0.752384585952634,1,0.685128055315532,1,0.999998240152332
"KRIT1",0.0374936489750734,66,0.713285696121794,1,0.769283931656748,1,0.999998240152332
"RAD52",-0.0755928946018454,25,0.656500727775343,1,0.673596471313203,1,0.999998240152332
"BAD",0.010523115735439,62,0.920457498810808,1,0.99993954050786,1,0.999998240152332
"LAP3",-0.0355058446004023,68,0.723821372745789,1,0.457732485131163,1,0.999998240152332
"CD99",NA,NA,NA,NA,NA,NA,NA
"HS3ST1",0.0561584803931125,44,0.655611764829049,1,0.639001386735942,1,0.999998240152332
"AOC1",0.193022008047862,28,0.227424558028569,1,0.0508889176066609,1,0.455463641643862
"WNT16",-0.0633247586861304,20,0.741464612632977,1,0.401568353469771,1,0.999998240152332
"HECW1",NA,NA,NA,NA,NA,NA,NA
"MAD1L1",0.0736618101480728,62,0.484550694851482,1,0.810647737761247,1,0.999998240152332
"LASP1",-0.194938123747835,62,0.0643373920610815,1,0,1,0
"SNX11",-0.136434928401769,62,0.195431418612111,1,0.463376438046434,1,0.999998240152332
"TMEM176A",NA,NA,NA,NA,NA,NA,NA
"M6PR",0.00850271279814295,64,0.934632767992689,1,0.999997886089837,1,0.999998240152332
"KLHL13",-0.0131173630244657,42,0.919022017711696,1,0.623268698060942,1,0.999998240152332
"CYP26B1",-0.150772455086216,62,0.152507196120775,1,0.792517492503213,1,0.999998240152332
"ICA1",-0.0124673221923249,61,0.906608305639934,1,0,1,0
"DBNDD1",-0.107402722817805,37,0.436102511484232,1,0.792517492503213,1,0.999998240152332
"ALS2",0.00742392338645623,28,0.962972439770723,1,0.999998187394416,1,0.999998240152332
"CASP10",NA,NA,NA,NA,NA,NA,NA
"CFLAR",0.381385035698237,11,0.157299207050285,1,0,1,0
"TFPI",0.0926908929457468,46,0.451216540711487,1,0.141903544371134,1,0.881985106552892
"NDUFAF7",0.0323875137815648,40,0.806706335646521,1,0.999997786048118,1,0.999998240152332
"RBM5",-0.222283776066506,66,0.0293736538259025,1,0.680055486424186,1,0.999998240152332
"MTMR7",-0.0850271279814295,64,0.412116141160895,1,0.792517492503213,1,0.999998240152332
"SLC7A2",0.0399721251648386,60,0.709192707266765,1,0.490413755366613,1,0.999998240152332
"ARF5",0.0215571199359585,68,0.830127748020357,1,0.999991420065036,1,0.999998240152332
"SARM1",-0.13465462536381,66,0.186952521958814,1,0.792517492503213,1,0.999998240152332
"POLDIP2",-0.0107124711357353,66,0.91638784807712,1,0.999998187394416,1,0.999998240152332
"PLXND1",0.00641368343878791,52,0.955688280448471,1,0.999998081277102,1,0.999998240152332
"AK2",-0.0160687067036029,66,0.874868742936207,1,0.282291289014864,1,0.999998240152332
"CD38",NA,NA,NA,NA,NA,NA,NA
"FKBP4",-0.0205563075671696,63,0.844075598282895,1,0.999996769723262,1,0.999998240152332
"KDM1A",-0.106740793452257,60,0.319302036482855,1,0.207906219662023,1,0.999998240152332
"RBM6",-0.0531995176598931,54,0.638348108071144,1,0.944691965807008,1,0.999998240152332
"CAMKK1",-0.0929001995985777,62,0.378013819070415,1,0.141903544371134,1,0.881985106552892
"RECQL",NA,NA,NA,NA,NA,NA,NA
"VPS50",-0.11158979731555,68,0.26676285011272,1,0.999991420065036,1,0.999998240152332
"HSPB6",0.0460043706228236,64,0.657215997341141,1,0.999967227083538,1,0.999998240152332
"ARHGAP33",-0.216939932212468,54,0.0552847755465545,1,0.299980113721356,1,0.999998240152332
"NDUFAB1",-0.0632560096063825,64,0.54174905744502,1,0.999998187394416,1,0.999998240152332
"PDK4",0.0355058446004023,68,0.723821372745789,1,0.999998081277102,1,0.999998240152332
"SLC22A16",0.111274865515178,35,0.433306086089974,1,0.433590996799427,1,0.999998240152332
"ZMYND10",-0.0743391941675028,57,0.49940204112036,1,0.438834293459844,1,0.999998240152332
"ABCB5",0.253085534121766,18,0.213524354036182,1,0,1,0
"ARX",-0.0156269076979498,14,0.94684707139927,1,0.999993200193115,1,0.999998240152332
"SLC25A13",-0.0487345309369588,62,0.643752448336554,1,0.999997295682015,1,0.999998240152332
"ST7",-0.0211880575387909,55,0.850106739138526,1,0.684918824798901,1,0.999998240152332
"CDC27",0.139836635139227,58,0.199838516373841,1,0.70901880034512,1,0.999998240152332
"SLC4A1",-0.117337615205138,24,0.499499336012048,1,0,1,0
"CALCR",0,21,1,1,0,1,0
"HCCS",0.0819121978638317,46,0.505552016918914,1,0,1,0
"DVL2",0.0163299316185545,50,0.889749919759926,1,0.81871769030546,1,0.999998240152332
"UPF1",-0.129426660825176,67,0.201152486054599,1,0,1,0
"SKAP2",0.18068630765869,29,0.249609103986738,1,0,1,0
"SLC25A5",-0.0693675342783266,66,0.496619239767892,1,0.81871769030546,1,0.999998240152332
"MCUB",-0.182500140252323,60,0.0886187857648458,1,0,1,0
"HOXA11",0.0377425678048199,13,0.877370556064143,1,0.999997625656209,1,0.999998240152332
"POLR2J",-0.061608007261268,65,0.549144678638317,1,0.999998187394416,1,0.999998240152332
"DHX33",0.0439306827904052,64,0.671742840767154,1,0.999998187394416,1,0.999998240152332
"MEOX1",-0.107190101400992,41,0.412018324506558,1,0.76197884311134,1,0.999998240152332
"THSD7A",-0.104420319352873,31,0.490545764684761,1,0.858087875693902,1,0.999998240152332
"LIG3",0.0374104778420971,53,0.743420697695252,1,0.486566464908141,1,0.999998240152332
"RPAP3",-0.18386955239494,68,0.0672677900359816,1,0.110116641644532,1,0.87421027066455
"ACSM3",0.0342355256609224,42,0.790746493549438,1,0.999998187394416,1,0.999998240152332
"CIAPIN1",-0.0696310623822791,66,0.494985184152609,1,0.112462006079027,1,0.87421027066455
"SPPL2B",-0.0106606786424597,62,0.919421202841577,1,0.999993200193115,1,0.999998240152332
"ATOSB",-0.0571886263589597,50,0.62735024087826,1,0.99993954050786,1,0.999998240152332
"COPZ2",0.0143218843554676,57,0.896466939891479,1,0.999998187394416,1,0.999998240152332
"PRKAR2B",-0.0405781081147455,68,0.686333523268837,1,0.81871769030546,1,0.999998240152332
"MSL3",-0.00887646115010057,68,0.929607190892353,1,0.99993954050786,1,0.999998240152332
"CREBBP",-0.0346717637585861,56,0.754928628909561,1,0.141903544371134,1,0.881985106552892
"TSPOAP1",-0.103547350196934,63,0.321811379198151,1,0.717092145617482,1,0.999998240152332
"MPO",-0.0481025021215338,49,0.686167849855239,1,0.792517492503213,1,0.999998240152332
"PON1",0.00497527147281552,59,0.963295983419093,1,0.917678923985725,1,0.999998240152332
"GCFC2",-0.079193612772558,62,0.452354624122,1,0.999991420065036,1,0.999998240152332
"WDR54",0.0581018707873101,64,0.5751703741981,1,0.432237415384323,1,0.999998240152332
"CROT",-0.0408044319284274,66,0.689235051338765,1,0.351504718184137,1,0.999998240152332
"ABCB4",0.0341571350985945,58,0.754166665261853,1,0.999998187394416,1,0.999998240152332
"KMT2E",-0.181760827634918,48,0.130918816650499,1,0,1,0
"RHBDD2",-0.0427307331016652,55,0.703108708808113,1,0.99993954050786,1,0.999998240152332
"SOX8",0.054638249234908,37,0.69196540021438,1,0.37715710723192,1,0.999998240152332
"ZNF195",NA,NA,NA,NA,NA,NA,NA
"MYCBP2",-0.0704594848625236,48,0.558184649422657,1,0.99993954050786,1,0.999998240152332
"FBXL3",-0.132305282681923,56,0.233600851238967,1,0.141903544371134,1,0.881985106552892
"ITGAL",0.228887543840804,45,0.065890438888395,1,0.999998187394416,1,0.999998240152332
"PDK2",0.0317016469646449,68,0.752384585952634,1,0.970892119578129,1,0.999998240152332
"ITGA3",-0.133700202122581,64,0.197162496373224,1,0.545612406922703,1,0.999998240152332
"LAMP2",-0.0152167905430295,68,0.879629902126111,1,0.99993954050786,1,0.999998240152332
"ITGA2B",-0.12980882325586,63,0.214231941418717,1,0.299980113721356,1,0.999998240152332
"ASB4",0.0194697889486317,57,0.859588063258623,1,0.999998081277102,1,0.999998240152332
"GDE1",-0.0443823057505028,68,0.658709692965825,1,0.999998187394416,1,0.999998240152332
"REX1BD",-0.0854981960070962,49,0.472643320171249,1,0.333969754530228,1,0.999998240152332
"CRLF1",-0.153613417156234,33,0.294409585776561,1,0.633166793082391,1,0.999998240152332
"OSBPL7",-0.0974580721174323,59,0.367364352798866,1,0.999993200193115,1,0.999998240152332
"TMEM98",0.113369503975239,64,0.274144859291269,1,0.947735330583006,1,0.999998240152332
"MAP3K14",-0.0716186611066814,63,0.493187256885258,1,0.141903544371134,1,0.881985106552892
"ABCC8",-0.0398054289351021,34,0.782527924740067,1,0.999967227083538,1,0.999998240152332
"CACNG3",-0.160934849861756,27,0.323678160907016,1,0,1,0
"TMEM132A",-0.082335267823348,59,0.446331257209584,1,0.301300571504319,1,0.999998240152332
"AP2B1",0.0510552933347296,53,0.655081892659916,1,0.586715867158672,1,0.999998240152332
"TAC1",-0.0819565348257925,34,0.56981887020931,1,0.999998187394416,1,0.999998240152332
"ZNF263",-0.0826300858793997,52,0.474073155195828,1,0.999991420065036,1,0.999998240152332
"CX3CL1",0.0570504909524573,57,0.604214628441953,1,0.999998187394416,1,0.999998240152332
"SPATA20",0.00154306105452864,61,0.988414941304398,1,0.999998187394416,1,0.999998240152332
"CACNA1G",0.0732956667952456,47,0.546865268955839,1,0.99993954050786,1,0.999998240152332
"TNFRSF12A",-0.171791998954203,63,0.100236512149876,1,0.141903544371134,1,0.881985106552892
"DLX6",NA,NA,NA,NA,NA,NA,NA
"MAP3K9",-0.170750237888493,28,0.285634112305983,1,0.680055486424186,1,0.999998240152332
"RALA",0.10997536295081,60,0.304857746964635,1,0.56550466188347,1,0.999998240152332
"BAIAP2L1",-0.0545268327791892,68,0.587367874785891,1,0.432968111961415,1,0.999998240152332
"KDM7A",0.00267811778393381,66,0.979060960803665,1,0.999998081277102,1,0.999998240152332
"ETV1",-0.125973758200278,50,0.284907778462611,1,0.60119745360769,1,0.999998240152332
"ALDH3B1",0.0437736330270748,63,0.675342793791307,1,0.267044758353901,1,0.999998240152332
"TTC22",-0.0767464803164901,60,0.473963060262863,1,0.999993200193115,1,0.999998240152332
"PHTF2",-0.0470279156792462,54,0.677787257099189,1,0,1,0
"CCL26",NA,NA,NA,NA,NA,NA,NA
"FARP2",0.305952345320048,40,0.0208123340518824,1,0.185412255885265,1,0.999998240152332
"USH1C",-0.194322731665165,42,0.132043486344781,1,0.680055486424186,1,0.999998240152332
"GGCT",0.0682565476767419,67,0.500227477747936,1,0.99993954050786,1,0.999998240152332
"DBF4",-0.00479665501978063,60,0.964304296980899,1,0.999996603526219,1,0.999998240152332
"TBXA2R",NA,NA,NA,NA,NA,NA,NA
"IFRD1",0.0321374134072058,66,0.752796213958787,1,0.864467705226292,1,0.999998240152332
"LGALS14",NA,NA,NA,NA,NA,NA,NA
"COX10",-0.0639269433545362,66,0.530987284507012,1,0.821153919950881,1,0.999998240152332
"GTF2IRD1",-0.115272670280599,44,0.359964661347358,1,0.1770412663046,1,0.999998240152332
"PAF1",0.0634032939292898,68,0.528044891057857,1,0.999998081277102,1,0.999998240152332
"VPS41",-0.00913772455067977,62,0.930901235040378,1,0,1,0
"ARHGAP44",-0.125820508683078,48,0.295742413994498,1,0.141903544371134,1,0.881985106552892
"ELAC2",0.013978553547906,51,0.904571746502785,1,0.999997625656209,1,0.999998240152332
"SCIN",-0.0154985475097483,58,0.887009295984607,1,0.99993954050786,1,0.999998240152332
"ARSD",0.118279469712838,40,0.371555539357456,1,0.815061664841977,1,0.999998240152332
"PNPLA4",NA,NA,NA,NA,NA,NA,NA
"MYH13",0.0135612700724162,30,0.929885999950233,1,0.5055711263155,1,0.999998240152332
"CDKL3",-0.0707106781186548,16,0.744881619545956,1,0.680055486424186,1,0.999998240152332
"UPP2",0.0777713771047819,32,0.60150813444059,1,0.999997625656209,1,0.999998240152332
"PRSS21",NA,NA,NA,NA,NA,NA,NA
"MARK4",-0.0587968040575849,54,0.603439408904629,1,0.999997871389344,1,0.999998240152332
"PROM1",NA,NA,NA,NA,NA,NA,NA
"CCDC124",0.055794898657775,68,0.578707175711768,1,0.999993200193115,1,0.999998240152332
"PAFAH1B1",-0.166991553264794,41,0.201242620957724,1,0.307787711388432,1,0.999998240152332
"NOS2",0.031510052661165,59,0.770709705706111,1,0.999997625656209,1,0.999998240152332
"DNAH9",-0.0198779268053623,38,0.883782185585655,1,0.883248186037017,1,0.999998240152332
"BLTP2",0.0258902195602594,62,0.805929058944871,1,0.999991420065036,1,0.999998240152332
"SLC13A2",-0.065021632695425,54,0.565659088074039,1,0.99993954050786,1,0.999998240152332
"GAS7",-0.104574722748857,48,0.384820773523065,1,0,1,0
"TRAPPC6A",-0.00910379896311753,57,0.934077936550405,1,0,1,0
"MATK",-0.00420294224883908,37,0.975687355291384,1,0.999997392621641,1,0.999998240152332
"CD79B",-0.177571201301144,37,0.197887812135486,1,0.535837432761712,1,0.999998240152332
"SCN4A",0.11453422015351,48,0.341190973930472,1,0.200293598119049,1,0.999998240152332
"ST7L",0.0426355543820392,58,0.695886261876501,1,0.999998187394416,1,0.999998240152332
"TKTL1",0.162650012158089,10,0.568811400413337,1,0.999995254973974,1,0.999998240152332
"PAX6",-0.0496608887642327,24,0.775032604908896,1,0,1,0
"RPUSD1",-0.0373023548476495,22,0.837761913983851,1,0.999991420065036,1,0.999998240152332
"RHBDF1",-0.0666942319631378,31,0.659681877818457,1,0.0884447962010289,1,0.741406983255195
