,permpval,permstats
A1BG,0.198605873614444,-0.702007911728747
A1CF,0.798765855330819,-0.0975805080957137
A2M,0.0650211404410924,-1.18694541744632
A2ML1,0.422123185921609,0.374560792737172
A3GALT2,0.87132899097246,0.0598178358225717
A4GALT,0.491715232544852,-0.30828633775884
A4GNT,0.470689064106959,0.327265891884978
AAAS,0.966289566906639,0.0148927095420253
AACS,0.775225688492744,0.110571844592738
AADAC,0.505542223745858,-0.296242565544753
AADACL2,0.795109130385099,0.0995732594298249
AADACL3,0.727345446234716,0.138259275851721
AADACL4,0.833504742315164,-0.0790919248636326
AADAT,0.504742315163981,-0.296930284583004
AAGAB,0.983430465089704,0.00725634209485843
AAK1,0.211061592960804,0.675590788401154
AAMDC,0.376071306136442,0.424729801547022
AAMP,0.0970174837161467,1.01314999359744
AANAT,0.356759227516855,-0.447624785114996
AAR2,0.0421666095303394,1.37503131768233
AARD,0.542680836475831,-0.265455514259377
AARS1,0.587475717060907,-0.231010079974361
AARS2,0.651354130956462,-0.186182828168904
AARSD1,0.987887098617301,0.00529268623145377
AASDH,0.335618786424409,0.474153737318595
AASDHPPT,0.490572505999314,-0.309296795361956
AASS,0.922865958176208,0.0348613735697934
AATF,0.95326248428751,-0.0207874983315825
AATK,0.346817506570678,0.459898988430119
ABAT,0.758313335618786,-0.120151306489072
ABCA1,0.133013369900583,-0.876104703527525
ABCA10,0.121129013826991,0.916751818576625
ABCA12,0.507256313564164,-0.294772538816028
ABCA13,0.780139412638556,0.107827780989718
ABCA2,0.371386127299737,0.430174322862521
ABCA3,0.03702434007542,1.43151267363478
ABCA4,0.227973945834762,0.642114783818628
ABCA5,0.667466575248543,0.175570477601701
ABCA6,0.927322591703805,0.0327691596791444
ABCA7,0.785853045366244,0.104658659499373
ABCA8,0.0436521540395383,1.35999432092969
ABCA9,0.734430350817049,-0.134049383930995
ABCB1,0.210490229688036,-0.676768057980565
ABCB10,0.324305793623586,-0.48904529271994
ABCB11,0.371614672608845,-0.429907146919365
ABCB4,0.517083761855788,-0.286439100300173
ABCB5,0.850188549880014,0.0704847482955164
ABCB6,0.691235287395726,-0.160374099334044
ABCB7,0.709518912124329,-0.149036023995412
ABCB8,0.292995086275854,0.533139662994615
ABCB9,0.540052565421095,-0.267563966545045
ABCC1,0.980230830762199,0.00867164193834071
ABCC10,0.148325905610787,0.828782991377045
ABCC11,0.954748028796709,0.020111229611985
ABCC12,0.442920809050394,0.353673915462667
ABCC2,0.0438806993486459,-1.35772645947386
ABCC3,0.843789281225003,0.0737659958235395
ABCC4,0.613072791680951,-0.212487957539425
ABCC5,0.528511027311164,-0.276945946766344
ABCC6,0.856702091189578,0.0671701729952827
ABCC8,0.94629185235973,-0.0239748991992079
ABCC9,0.318934978859559,-0.496297847352764
ABCD1,0.758998971546109,-0.119758812579029
ABCD2,0.19060678779568,0.719861637539675
ABCD3,0.497771683236202,-0.302969812757658
ABCD4,0.166495257684836,-0.778598132071405
ABCE1,0.832247743115073,0.0797473738871247
ABCF1,0.489315506799223,-0.310411020882976
ABCF2-H2BE1,0.813164209804594,0.0898217444295076
ABCF2,0.849045823334476,0.0710688700808198
ABCF3,0.947777396868929,0.023293652813396
ABCG1,0.398925837047195,-0.399107835027216
ABCG2,0.624385784481774,-0.204546993167919
ABCG4,0.367615129699463,-0.434606622939425
ABCG5,0.897040338247058,-0.0471880270961425
ABCG8,0.412638555593646,-0.384430195414569
ABHD1,0.816135298822992,0.088237837984632
ABHD10,0.0838761284424637,-1.07636162392532
ABHD11,0.553079648040224,0.257212322196983
ABHD12,0.671808936121586,-0.172754223652313
ABHD12B,0.858530453662439,-0.0662442950016375
ABHD13,0.163866986630099,0.785508532509614
ABHD14A-ACY1,0.733401896926066,-0.13465797108191
ABHD14A,0.195520511941492,0.708807674300295
ABHD14B,0.0985030282253457,1.00655041801668
ABHD15,0.166380985030282,0.778896308864377
ABHD16A,0.604045251971203,-0.218930525045704
ABHD16B,0.493086504399497,0.307076883790167
ABHD17A,0.57844817735116,0.23773554301916
ABHD17B,0.304422351731231,0.516523463343132
ABHD17C,0.0885613072791681,1.05275598133508
ABHD18,0.0437664266940921,1.35885890987277
ABHD2,0.840246828933836,0.0755931178696547
ABHD3,0.510684493200777,-0.291847329181036
ABHD4,0.699691463832705,-0.155093424405662
ABHD5,0.110387384298937,-0.957080557425902
ABHD6,0.0916466689521198,-1.03788331555723
ABHD8,0.696263284196092,0.157226505716926
ABI1,0.786995771911781,-0.104027600856075
ABI2,0.264541195291967,0.577506688487423
ABI3,0.622214604045252,-0.206059799749601
ABI3BP,0.153239629756599,-0.814628905989796
ABITRAM,0.835904468060793,-0.0778433533800655
ABL1,0.318706433550451,0.496609169575345
ABL2,0.00765626785510227,2.11598288114057
ABLIM1,0.0733630442235173,1.13452265577254
ABLIM2,0.828019654896583,-0.0819593541428771
ABLIM3,0.718317906524969,-0.143683307159834
ABO,0.26374128671009,0.578821879357701
ABR,0.570334818877843,-0.243870113975273
ABRA,0.515141126728374,-0.288073776467326
ABRACL,0.387612844246372,0.411601840256719
ABRAXAS1,0.479373785853045,0.319325718676676
ABRAXAS2,0.201119872014627,0.696545016027245
ABT1,0.0250257113472746,1.60161356900128
ABTB1,0.330133699005828,-0.481310141997198
ABTB2,0.446577533996115,0.35010312879466
ACAA1,0.724260084561764,0.140105448987113
ACAA2,0.687921380413667,-0.162461192583571
ACACA,0.824934293223632,-0.0835806420280546
ACACB,0.154610901611244,-0.810759887243772
ACAD10,0.202948234487487,0.692614722398813
ACAD11,0.295280539366929,-0.529765174518349
ACAD8,0.0885613072791681,-1.05275598133508
ACAD9,0.294594903439607,0.530774770824011
ACADL,0.287281453548166,-0.541692410491456
ACADM,0.710318820706205,-0.148546678048537
ACADS,0.206719232087761,0.684619116981581
ACADSB,0.125471374700034,-0.901455343727322
ACAN,0.387155753628157,0.412114282182726
ACAP1,0.370357673408753,0.431378652809185
ACAP2,0.7283739001257,0.137645624703681
ACAP3,0.208776139869729,0.680319136488857
ACAT1,0.416409553193921,-0.380479315540434
ACAT2,0.197006056450691,0.705520422352701
ACBD3,0.198377328305337,0.702507963000922
ACBD4,0.516626671237573,0.286823176807101
ACBD5,0.261227288309907,-0.582981457782132
ACBD6,0.704376642669409,0.152195053795013
ACBD7,0.0948463032796252,1.02297959146532
ACCS,0.152782539138384,0.815926276579411
ACCSL,0.129128099645755,-0.888979240357975
ACD,0.732830533653297,0.134996443924156
ACE,0.192206604959433,0.716231692379502
ACE2,0.764712604273797,-0.116501751551038
ACER1,0.0961033024797166,-1.01726168804348
ACER2,0.924580047994515,-0.0340554826688415
ACER3,0.85978745286253,-0.0656088969630538
ACHE,0.842760827334019,-0.0742956591911945
ACIN1,0.50348531596389,0.298013191026646
ACKR1,0.993715003999543,0.00273815276315698
ACKR2,0.59878870986173,-0.222726396857668
ACKR3,0.228431036452977,0.641244889723278
ACKR4,0.059878870986173,1.22272639685767
ACLY,0.629185235973032,0.201221476784084
ACMSD,0.942977945377671,0.0254984645402812
ACO1,0.524282939092675,-0.280434274612165
ACO2,0.794652039766884,0.0998229974941555
ACOD1,0.0871900354245229,1.05953314588651
ACOT1,0.220203405325106,0.657175969185942
ACOT11,0.430922180322249,0.365601151435775
