,Rho,N,P,p.adj
A1BG,0.00638853344209946,109,0.935487833048908,0.978822063181693
A1CF,0.00199896230816232,108,0.979888946541812,0.994291291373724
A2M,-0.225517743244538,144,0.000996606568780649,0.0464132109247866
A2ML1,0.0276130231676892,123,0.709868438369303,0.894515952792131
A3GALT2,0.0580369105061333,119,0.441948561900172,0.753191778301544
A4GALT,-0.0580635720749862,135,0.412124229381084,0.732502503316743
A4GNT,-0.0221116843240204,128,0.761124765201343,0.917573729449894
AAAS,0.0604921393751544,108,0.445557110951465,0.755089995923928
AACS,0.0985229376853999,130,0.172172828191559,0.51023719737972
AADAC,0.0322876732010009,108,0.683885114056116,0.884673998636527
AADACL2,0.125297529070731,103,0.122982331391847,0.44172957514845
AADACL3,0.108494065455006,140,0.118514785784836,0.436108504193615
AADACL4,0.100504723273585,116,0.188722283332507,0.532505940859177
AADAT,-0.148840070701666,128,0.0407230726715768,0.270498004466526
AAGAB,-0.0893914167139649,111,0.252990468286158,0.604968340299455
AAK1,0.150515040575573,121,0.0443172149857036,0.280670712648075
AAMDC,0.0758051943177901,70,0.443822991962132,0.754523115071571
AAMP,0.0887463897196876,76,0.349703111833978,0.685563090028124
AANAT,0.139452004397094,118,0.0658223521907008,0.335508178457378
AAR2,0.00105677311162441,105,0.989518743696943,0.997547157146386
AARD,0.147229737652413,74,0.125932682783207,0.446360766822399
AARS1,-0.00593585786573015,125,0.935734281986003,0.978952495801056
AARS2,-0.0016745089197523,138,0.980917987476744,0.994499786656336
AARSD1,0.0110498924021966,126,0.880204476984677,0.960228677912428
AASDH,-0.145042393931209,144,0.034266056063885,0.249899596723848
AASDHPPT,-0.0121504799306535,93,0.88710010243308,0.962387528077207
AASS,-0.0462296427045072,129,0.523403244585227,0.80186314629815
AATF,0.0618085100582328,132,0.388050168404228,0.715796273309881
AATK,0.163624666827343,130,0.0233667109389564,0.209065642041887
ABAT,-0.141894339396353,114,0.0658705399045982,0.33551107519624
ABCA1,0.0569445715987691,137,0.417722409436816,0.736594178270685
ABCA10,0.0197972952972706,103,0.807464046958819,0.93506856347658
ABCA12,0.00941508102012838,143,0.891085620217217,0.9640726901857
ABCA13,0.226283525738266,131,0.00164456107180637,0.0593876303968846
ABCA2,0.120375084638761,121,0.10775444036553,0.417542897479142
ABCA3,-0.104707113163246,143,0.127800069566628,0.449163388777214
ABCA4,0.157294752132714,139,0.0241345535293005,0.2119731740754
ABCA5,-0.0461120643839289,141,0.505494052015622,0.791079865717922
ABCA6,-0.0148175656092675,142,0.829971865972311,0.94306481630358
ABCA7,0.122814999420604,117,0.106709333944837,0.415945092289194
ABCA8,0.153183051719089,131,0.0330918686510798,0.246978978350547
ABCA9,-0.0256035832179976,130,0.722743314497763,0.902190254553854
