,Rho,N,P,p.adj
ARF5,-0.0228217732293819,16,0.916359140273489,0.96847427805734
M6PR,0.274011906879515,59,0.0112632038407381,0.112479269921255
FKBP4,-0.0883122139691588,102,0.27938393477929,0.608506249234226
CYP26B1,-0.00891000458731704,54,0.937256498953332,0.975272021171826
NDUFAF7,0.174756310708169,104,0.0306322070590021,0.200801493298954
FUCA2,-0.0951144964346752,108,0.230352252114546,0.55592044764154
DBNDD1,-0.0601688543822441,76,0.526061596625341,0.79064422403992
HS3ST1,0.0167129180570442,80,0.856519492390557,0.947798605090883
SEMA3F,-0.0102236687393291,90,0.906483116604443,0.966535986294822
CFTR,0.321458731185814,115,2.84589048079952e-05,0.00250531163086905
CYP51A1,-0.0998337488459583,86,0.262379652831694,0.590281335634414
USP28,0.0591153124096188,111,0.449677746691405,0.74374728024729
SLC7A2,-0.0978699677188257,98,0.240169521578732,0.565952860549403
HSPB6,-0.00443815147945857,44,0.971884085581531,0.988074911269168
PDK4,-0.135646012186363,91,0.117003642564725,0.400597125821903
USH1C,0.0623224006434318,114,0.419175008479259,0.723539184923629
RALA,-0.22457002318179,18,0.269689899845028,0.59877805928308
BAIAP2L1,-0.125616775788332,91,0.146618113405805,0.447001731780016
CACNG3,-0.225727443034925,29,0.150350925877095,0.452619927429166
TMEM132A,0.0407209020331609,110,0.604224068958451,0.835432440920703
DVL2,0.141754475839821,72,0.146269470693429,0.446358870816157
RPAP3,-0.0312153932493844,104,0.699386217952141,0.885397104025642
HOXA11,0.0227331446490158,43,0.858427290260402,0.948507526003922
TRAPPC6A,-0.00396555021163601,76,0.966668501915141,0.986834082940786
SPATA20,0.168346723311475,111,0.031336180100666,0.203649007165484
CD79B,-0.0438400087407702,105,0.585772379273745,0.824020906911165
RHBDD2,-0.0123934971339743,86,0.88934292184377,0.960470433781022
RPUSD1,-0.104181731009114,91,0.228633781058708,0.553573988877273
TSR3,0.158995675911635,90,0.0677073868226532,0.304984497150538
NDUFAB1,-0.0756850083397613,73,0.434679503917491,0.734172275869796
YBX2,0.400094975048933,73,3.63206236444213e-05,0.00297586450010354
ITGA3,0.200796063815609,112,0.00989492923939825,0.105564651349811
KRT33A,-0.207081308318529,73,0.0325604550599329,0.208629055008225
LRRC23,0.28056407118298,98,0.000759567791223783,0.0222486059353397
TFAP2D,-0.168415071664137,26,0.31151480355771,0.637996812242734
CRY1,0.0345946221316199,67,0.732597897824896,0.899730077107567
PGLYRP1,-0.281748994356416,74,0.00340532140902976,0.056170464545279
STARD3NL,-0.0155384484006055,55,0.889772734699271,0.960470433781022
CD74,0.260417971034677,98,0.00177596971088308,0.0381399419042713
RPS20,-0.162697843363992,18,0.423901448000128,0.726906167129586
MGST1,-0.269794965492733,77,0.00420848262743828,0.0644319485815173
CPA1,0.0150063000429325,105,0.852019404393814,0.946506433877718
SYPL1,0.0807280240613619,105,0.315607462091055,0.641673110449467
RANBP9,0.0190699712564904,79,0.837587738885972,0.940732581123772
CD4,0.00139649472865082,120,0.985175794660634,0.993517464942906
PLEKHG6,0.16695960770404,120,0.0263232939387788,0.184950025933962
QPCTL,-0.0129943070134162,89,0.881978569494123,0.957461890534536
PPP5C,-0.0385765263632159,61,0.716600625208875,0.893123350251906
UBR7,0.268869809174061,93,0.00167993212165286,0.0369355662661044
MAP4K5,0.20499670465693,66,0.0445352610584696,0.242205736646844
ERCC1,0.0738818834043556,76,0.436256310591117,0.735119176362023
GPRC5A,-0.0166202568349865,111,0.831689018185015,0.938281602620092
HEBP1,0.0182548921296661,73,0.850544117364879,0.946044294974347
COX15,-0.0428054023863408,93,0.616956973480137,0.842898647849495
MS4A12,0.145672953755677,45,0.241792424562528,0.567451998415506
XYLT2,0.119078878669856,98,0.152976387774927,0.455414726921205
FTSJ1,-0.057579532354577,66,0.572554439810484,0.817833934395964
SCTR,-0.0194004789781409,103,0.811249674170588,0.93136063376727
RALBP1,0.129611058487018,72,0.184053258496846,0.498726280950122
SYT13,0.068360797398492,95,0.419378119676154,0.723577082839831
SNAI2,-0.0778498944161523,45,0.531614576881612,0.793795438452098
SLC7A9,-0.199413781001361,97,0.0172786026969665,0.143114899331872
RTF2,0.0538027720261931,87,0.543452770983664,0.800943550210575
RB1CC1,0.0246861409619762,120,0.742570879337349,0.904625026203778
AKAP11,0.0105404986792302,123,0.887069656076944,0.95960527122487
B4GALT7,0.104397345668014,75,0.274554449748712,0.603924311977953
FAM13B,-0.00355471895215531,90,0.967418897572342,0.986978100577993
CHPF2,0.0295089263248546,88,0.73747364757655,0.902303659146835
GABARAPL2,-0.20865621238292,15,0.354539479773501,0.676078399955479
MYOC,0.076017787751066,117,0.318043974745786,0.642963004449822
FAM136A,-0.252539437458429,46,0.0401082876133741,0.229973112481923
NSMAF,0.0347758539388229,113,0.653600994193878,0.861855169647707
OTC,0.00334649821761985,78,0.971492247846286,0.987898262955248
TTC17,-0.0919278791506373,91,0.288106479130945,0.615733395595534
HOXC8,0.168025703177487,23,0.344704222006958,0.667481303724652
MRI1,0.0634086621101275,92,0.461225680076719,0.750621276588234
TARBP1,0.0331151936092873,121,0.658154669766851,0.865113149467131
RTN4R,-0.200023469951793,88,0.023078858740128,0.171089864472583
PSMA4,0.0474779538344898,27,0.770931284548382,0.914634123173332
ZPBP,0.0819912659871614,78,0.381262231620415,0.697140593411314
LCP2,-0.0660635105705378,112,0.396065263491824,0.707251822096461
DCN,0.197954111863649,71,0.0439790435373819,0.240341615120955
TNFRSF17,0.0405882388848941,91,0.6390534011296,0.852759524636045
MRPS10,-0.00236297033421018,85,0.978962529917846,0.9913250224812
GRN,0.0836207788397769,114,0.278394366593172,0.607494537259356
THAP3,0.120784807978632,97,0.149301316884224,0.451353524509698
VAMP3,0.17878712151737,62,0.0897775671828039,0.350244950199195
RCN1,-0.0837470874755265,65,0.415467091167971,0.720892063707205
RFC2,0.0632468530438829,88,0.472486024893499,0.757455327714261
PPP1R3F,0.00924970555228541,93,0.913932299494972,0.96847427805734
NFE2L3,0.100128955539735,115,0.192335888175629,0.508844288831244
CBLN4,-0.0853566166194808,38,0.53020896113127,0.793170360517403
