"","GO_Biological_Process_2023.stat","GO_Biological_Process_2023.pval","GO_Biological_Process_2023.p.adj","GO_Biological_Process_2023.num.genes","GO_Biological_Process_2023.gene.vals"
"'De Novo' AMP Biosynthetic Process (GO:0044208)",0.0952312369979197,0.460829901086619,0.843565339669002,5,"ATIC:671, ADSS2:2521, ADSS1:6646, PAICS:9558, PFAS:13117"
"'De Novo' Post-Translational Protein Folding (GO:0051084)",0.064693059785222,0.262990386403162,0.750128217014419,25,"DNAJC7:189, UGGT1:235, DNAJB13:545, DNAJC18:845, SDF2:946, HSPA8:2247, ERO1A:2315, HSPA1L:2705, CCT2:4286, DNAJB14:4712, HSPA2:5497, HSPE1:5605, ST13:6278, CHCHD4:6636, HSPA13:8360, HSPA5:9386, PTGES3:11104, GAK:11828, SDF2L1:11850, DNAJB12:12105, DNAJB1:12577, HSPA14:13388, ENTPD5:13467, DNAJB4:13518, SELENOF:14091"
"2-Oxoglutarate Metabolic Process (GO:0006103)",-0.0487457534058543,0.527754115241633,0.866292405426733,14,"PHYH:491, OGDHL:500, D2HGDH:969, TAT:2625, IDH2:4752, L2HGDH:5199, DLST:5559, ADHFE1:7046, GOT2:7829, GOT1:10905, GPT2:12003, OGDH:13056, IDH1:14515, MRPS36:15419"
"3'-UTR-mediated mRNA Destabilization (GO:0061158)",-0.0514052366082152,0.505482529401567,0.859703241292817,14,"PLEKHN1:883, ZFP36:1714, UPF1:3039, KHSRP:4644, RBM24:4673, ZC3H12A:5421, ZFP36L1:6167, DHX36:7187, DND1:7878, TRIM71:8745, ZFP36L2:9192, MOV10:11624, RC3H1:14142, TARDBP:14948"
"3'-UTR-mediated mRNA Stabilization (GO:0070935)",0.127696002956211,0.110929440097024,0.603069427143223,13,"DAZL:336, HNRNPC:451, TARDBP:1055, MAPKAPK2:1419, RBM47:2770, MAPK14:4227, BOLL:5551, ELAVL4:7338, ELAVL1:7956, YBX3:8900, MYD88:11138, HNRNPA0:12354, ZFP36:14289"
"3'-Phosphoadenosine 5'-Phosphosulfate Metabolic Process (GO:0050427)",-0.0448680553172506,0.561100588321744,0.88148693701157,14,"SULT2B1:201, SULT1E1:646, ENPP1:3041, PAPSS1:3683, PAPSS2:3782, TPST1:5088, SULT1A3:8396, SULT1C3:8843, SULT1C4:9505, TPST2:10974, SULT1A2:11473, SULT1A1:11556, SULT1B1:11880, BPNT1:12654"
"5S Class rRNA Transcription By RNA Polymerase III (GO:0042791)",0.206913106096976,0.109076589010961,0.602901263649803,5,"GTF3C3:769, GTF3C4:987, GTF3C2:3042, GTF3C6:6369, GTF3C5:12399"
"7-Methylguanosine RNA Capping (GO:0009452)",-0.0442150744119059,0.732045138313371,0.939016222857925,5,"CMTR2:167, NCBP1:6456, RNMT:8227, RAMAC:8251, RNGTT:13254"
"7-Methylguanosine Cap Hypermethylation (GO:0036261)",0.0305333333333333,0.854664087307523,0.966449012759658,3,"SNRPD2:1327, SNRPE:9365, TGS1:11930"
"7-Methylguanosine mRNA Capping (GO:0006370)",-0.0442150744119059,0.732045138313371,0.939016222857925,5,"CMTR2:167, NCBP1:6456, RNMT:8227, RAMAC:8251, RNGTT:13254"
"ADP Transport (GO:0015866)",-0.0455574355222242,0.676380588053114,0.922621458622417,7,"SLC25A42:1159, SLC25A5:2506, SLC25A41:3745, SLC25A4:5523, SLC25A24:11861, SLC25A23:12706, SLC25A25:13285"
"AMP Biosynthetic Process (GO:0006167)",0.0499702762026706,0.647068391256975,0.914167925137197,7,"ATIC:671, ADSS2:2521, ADSS1:6646, APRT:8601, NUDT2:9512, PAICS:9558, PFAS:13117"
"AMP Metabolic Process (GO:0046033)",0.158676098157366,0.0684285004953007,0.531938759271571,11,"AMPD3:2290, AMPD2:2299, ADSS2:2521, NT5E:2758, NT5C1A:2784, AK9:2850, SORD:3302, ADSS1:6646, NUDT2:9512, AMPD1:10875, AK4:14538"
"ATF6-mediated Unfolded Protein Response (GO:0036500)",-0.00685497852818012,0.953629037612331,0.990391914929691,6,"MBTPS2:2195, MBTPS1:5375, DDIT3:7760, CREBZF:9371, XBP1:10962, ATF6B:11558"
"ATP Biosynthetic Process (GO:0006754)",-3.37273815747552e-05,0.999593984615636,0.999965166934468,19,"ATP5F1C:1072, ATP5MF:2439, ATP5MC1:2539, ATP5F1D:4439, ATP5MC2:5022, ATP5PF:5216, ATP5F1B:5503, ATP5MC3:5787, VPS9D1:6267, NUDT2:6491, ATP5MG:9592, ATP5F1A:9593, PRKAG2:10347, SLC25A13:11146, ATP5PD:11954, ALDOA:12166, TGFB1:13148, ATP5PB:13476, ATP5PO:15403"
"ATP Metabolic Process (GO:0046034)",0.0587638320904499,0.250139467253133,0.743792190706337,32,"MYH8:279, ATP5PO:600, MYH7:1353, CTNS:1449, HSPA8:2247, ATP1A2:2499, NT5E:2758, TGFB1:2855, FIGNL1:2915, ATP1B1:3389, ALDOA:3837, BAD:4621, SLC25A13:4857, NADK:4994, NMNAT1:5272, PRKAG2:5656, MYH3:6201, ATP5F1A:6410, MYH6:8928, MYH4:9285, NUDT2:9512, CLPX:9521, NUDT5:10080, PARG:10232, ATP5F1B:10500, ENPP3:12479, ENPP1:12962, OLA1:13493, NDUFS1:13890, PARP1:14233, AK4:14538, ATP5F1C:14931"
"ATP Synthesis Coupled Electron Transport (GO:0042773)",0.101392222755641,0.432340813765909,0.837330087911833,5,"NDUFV1:10, NDUFS2:2475, NDUFA12:2907, NDUFB6:12781, NDUFV3:13777"
"ATP Transport (GO:0015867)",0.0503762709150588,0.545710068098031,0.876601262150665,12,"CALHM3:2237, SLC25A25:2718, CD47:3127, SLC25A23:3297, SLC25A24:4142, CALHM1:5970, SLC17A9:6589, SLC25A17:7478, SLC25A4:10480, SLC25A41:12258, SLC25A5:13497, SLC25A42:14844"
"AV Node Cell Action Potential (GO:0086016)",0.0315409031500894,0.789039167851256,0.95253603696855,6,"SCN5A:231, SCN10A:4233, SCN4B:7689, CACNA1G:10072, CACNB2:10394, TRPM4:12511"
"AV Node Cell To Bundle Of His Cell Communication (GO:0086067)",-0.0258601376220195,0.841274351060012,0.96565534799986,5,"GJC1:549, GJC3:4977, CXADR:5309, GJA5:11280, SCN5A:15772"
"Arp2/3 Complex-Mediated Actin Nucleation (GO:0034314)",-0.128553126751541,0.095865035688317,0.579059206601628,14,"JMY:234, IQGAP2:1493, TRIM27:2532, WIPF3:3188, ARPC2:3483, ARPC5:4915, ARPC1B:5471, WHAMM:6285, ARPC1A:6767, ARPC5L:7243, ACTR3:7830, WASHC1:9467, ARPC4:11916, ARPC3:12164"
"B Cell Activation (GO:0042113)",-0.0328762075785747,0.322282636592366,0.785984730142593,76,"MALT1:378, NHEJ1:692, RASGRP1:736, TCF3:855, ZBTB7A:886, IL11:987, FNIP1:1299, JAK3:1491, BTK:1562, KLF6:1617, PIK3R3:1732, CD40LG:1773, BLNK:2085, PIK3R2:2160, KIT:2189, PAX5:2225, BCL2:2422, GPR183:2445, SLC25A5:2506, LAX1:2748, ITGB1:2885, HHEX:3271, PTPN2:3303, CTPS1:3587, RAG1:3595, CD22:3959, CEBPG:4972, PLCG2:5334, CLCF1:5584, HDAC5:5639, PIK3R1:5831, RAG2:6099, IL10:6158, BANK1:6247, CASP8:6437, ADGRG3:6582, IFNE:6716, NFAM1:6809, AICDA:6960, CR2:7084, HDAC4:7267, TOP2B:7374, LYL1:7480, GPS2:8607, PIK3CD:8780, CHRNB2:8896, DCAF1:9669, AKAP17A:10295, PTPRJ:10618, CD70:11169, AQP8:11182, PTPRC:11209, ITGA4:11222, ZAP70:11256, TPD52:11397, CD86:11585, VCAM1:11983, PRKCB:12035, FCRLA:12051, MEF2C:12322, FLT3:12347, RABL3:12463, CD40:12527, DNAJB9:12817, CD79A:12870, HSPD1:12875, IL4:12944, CD79B:13238, MS4A1:13759, IFNK:13982, SLC39A7:14043, MSH2:14843, HDAC9:15437, CHRNA4:15450, EPHB2:15533, PHB2:15656"
"B Cell Activation Involved In Immune Response (GO:0002312)",-0.0123668165301472,0.877314069210524,0.973755399046493,13,"MSH6:1021, RNF168:1268, CD40LG:1773, GPR183:2445, LIG4:3023, EXOSC3:7008, CD180:7636, EXOSC6:9719, CD19:11015, FCGR2B:13105, RNF8:13850, GAPT:14555, MSH2:14843"
"B Cell Chemotaxis (GO:0035754)",-0.0932309169467115,0.470300445698492,0.844720161363203,5,"HSD3B7:1983, GAS6:3830, CYP7B1:6444, PIK3CD:8780, CXCL13:11425"
"B Cell Differentiation (GO:0030183)",-0.0482397812705468,0.220469487089645,0.712684880196944,54,"NHEJ1:692, TCF3:855, ZBTB7A:886, IL11:987, FNIP1:1299, JAK3:1491, KLF6:1617, PIK3R3:1732, BLNK:2085, PIK3R2:2160, KIT:2189, PAX5:2225, SYVN1:2375, SLC25A5:2506, ITGB1:2885, HHEX:3271, PTPN2:3303, RAG1:3595, CEBPG:4972, PLCG2:5334, CLCF1:5584, HDAC5:5639, PIK3R1:5831, RAG2:6099, IL10:6158, ADGRG3:6582, IFNE:6716, NFAM1:6809, AICDA:6960, CR2:7084, HDAC4:7267, TOP2B:7374, LYL1:7480, GPS2:8607, PIK3CD:8780, DCAF1:9669, PTPRJ:10618, AQP8:11182, PTPRC:11209, ITGA4:11222, TPD52:11397, VCAM1:11983, FLT3:12347, RABL3:12463, DNAJB9:12817, CD79A:12870, IL4:12944, CD79B:13238, MS4A1:13759, IFNK:13982, SLC39A7:14043, IRF2BP2:14176, MSH2:14843, HDAC9:15437"
"B Cell Homeostasis (GO:0001782)",0.0715187734557032,0.457513385238796,0.843435989890611,9,"GAPT:1448, NCKAP1L:2362, MEF2C:3681, TNFRSF13B:4490, DOCK10:4599, LYN:6121, TNFAIP3:12139, DOCK11:13052, PPP2R3C:14009"
"B Cell Mediated Immunity (GO:0019724)",-0.0609679374992851,0.429667560091103,0.834581913685132,14,"IL2RB:66, IL9R:363, MPL:755, IL21R:2613, CD27:3184, CD74:3405, SLA2:4956, CSF2RB:7814, CD19:11015, CD70:11169, FCER1G:12086, TLR8:12801, FCGR2B:13105, MSH2:14843"
"B Cell Proliferation (GO:0042100)",0.0897758430618764,0.20007698820837,0.695600060181224,17,"GAPT:1448, IFNK:2021, MS4A1:2244, HSPD1:3128, CD79A:3133, CD40:3476, MEF2C:3681, PTPRC:4794, CD70:4834, CD19:4988, CD180:8367, CR2:8919, IFNE:9287, IL10:9845, CTPS1:12416, CD40LG:14230, RASGRP1:15267"
"B Cell Receptor Signaling Pathway (GO:0050853)",0.0480668756530825,0.370466635878755,0.806974045408519,29,"TEC:555, BAX:1003, LCK:1466, MS4A1:2244, NCKAP1L:2362, CD79B:2765, VAV3:2987, CD79A:3133, PLEKHA1:3647, MEF2C:3681, PRKCB:3968, PTPRC:4794, CD19:4988, BMX:5950, PIK3CD:7223, SYK:7631, NFAM1:9194, SH2B2:9642, CD38:9905, CTLA4:9935, PLCG2:10669, ITK:10904, NFATC2:11579, BLK:11685, RFTN1:12635, BCL2:13581, BLNK:13918, BCAR1:13964, BTK:14441"
