"","Rho","N","P","p.adj"
"ARF5",NA,NA,NA,NA
"M6PR",0.138861911766626,125,0.0592553691339199,0.188107436410103
"FKBP4",0.0106180887397804,177,0.863407479969538,0.934035052357528
"CYP26B1",-0.169143402418969,94,0.0468988633189142,0.160392308362741
"NDUFAF7",0.0438608910331275,189,0.462577798339973,0.673986507324466
"FUCA2",-0.229145918932057,193,0.000105016282855354,0.00187134806041356
"DBNDD1",-0.0720034840401672,137,0.305513005039832,0.526472012346262
"HS3ST1",-0.0961711000155355,143,0.161906265614278,0.361291878728166
"SEMA3F",0.0480028381964141,153,0.470005689647077,0.679959411059807
"CFTR",0.184608133919901,212,0.0010508646004288,0.0105099595850385
"CYP51A1",0.0371412458159721,155,0.573648809882461,0.756512959925757
"USP28",0.0654466515099627,205,0.253426299928472,0.472380110551743
"SLC7A2",-0.0915214160424057,180,0.134779129259178,0.322141243675185
"HSPB6",0.0485201000309057,89,0.579340778919449,0.760384772331776
"PDK4",0.135030629407686,159,0.0382408484559447,0.139647813482605
"USH1C",0.0431693208620623,204,0.452374667989134,0.664851160650452
"RALA",0.117851130197758,16,0.587593847955658,0.766064588152716
"BAIAP2L1",0.201662114217925,177,0.00108538453805905,0.010763440760965
"CACNG3",0.101673280220275,53,0.373680247249393,0.592576607300797
"TMEM132A",-0.0307851684885926,181,0.613937939833982,0.784244824237517
"DVL2",-0.160435661745842,126,0.0286557912446039,0.114437227725518
"RPAP3",-0.226323883055936,193,0.000127658895799307,0.00216169063553493
"HOXA11",0.130219965196762,78,0.164346661441047,0.364349581099977
"TRAPPC6A",0.0373967326196262,137,0.59459205452129,0.771128945293375
"SPATA20",0.024686504061317,208,0.664318055200601,0.819451186437136
"CD79B",0.0368599200933911,195,0.530543189106976,0.727049080422183
"RHBDD2",0.0906194806614344,165,0.156476058916529,0.353642262157634
"RPUSD1",-0.273324517263973,163,2.1597851878521e-05,0.000602105968223159
"TSR3",-0.216139643903618,148,0.00138038367863373,0.0129563470821512
"NDUFAB1",-0.0941389951981634,127,0.19735225476463,0.407277634865051
"YBX2",0.081429582100511,136,0.248284397353006,0.46670350363477
"ITGA3",0.0662033879357318,205,0.247979057401804,0.466340652821048
"KRT33A",-0.14567454429683,127,0.0460586404078319,0.158433010276467
"LRRC23",0.101408547593119,181,0.0965672472497544,0.260053831748745
"TFAP2D",-0.039352089073397,42,0.760368330055203,0.876867542342415
"CRY1",0.0188286166970038,120,0.802188335659796,0.902134075787244
"PGLYRP1",0.016947307931213,147,0.802627152149561,0.902447982623474
"STARD3NL",-0.0638529371324386,102,0.434149051879838,0.648060568696767
"CD74",-0.0632219190903176,176,0.307058086776211,0.528167634590233
"RPS20",0.223606797749979,10,0.433421930956074,0.647402010562783
"MGST1",-0.084050558625979,136,0.233383903744708,0.449844522732211
