GO.ID	Description	p.Val	Empty	phenoType
NADH Dehydrogenase Complex Assembly (GO:0010257)	NADH Dehydrogenase Complex Assembly 	1.21549831585659e-07		1
Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188)	Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway 	0.0605677677680974		-1
Aerobic Electron Transport Chain (GO:0019646)	Aerobic Electron Transport Chain 	4.07719629483233e-05		1
Aerobic Respiration (GO:0009060)	Aerobic Respiration 	0.00460743879702014		1
Cardiac Conduction (GO:0061337)	Cardiac Conduction 	0.0990244739193116		-1
Cellular Respiration (GO:0045333)	Cellular Respiration 	6.33924310392791e-05		1
Chemical Synaptic Transmission (GO:0007268)	Chemical Synaptic Transmission 	0.0568411824650698		-1
Cytoplasmic Translation (GO:0002181)	Cytoplasmic Translation 	0.0406051418467401		1
Epidermis Development (GO:0008544)	Epidermis Development 	0.0108607027334206		-1
Gene Expression (GO:0010467)	Gene Expression 	0.0695117443790718		1
Hepoxilin Biosynthetic Process (GO:0051122)	Hepoxilin Biosynthetic Process 	0.0783737459036114		-1
Hepoxilin Metabolic Process (GO:0051121)	Hepoxilin Metabolic Process 	0.0783737459036114		-1
Intermediate Filament Organization (GO:0045109)	Intermediate Filament Organization 	1.01476707737823e-13		-1
Long-Chain Fatty Acid Biosynthetic Process (GO:0042759)	Long-Chain Fatty Acid Biosynthetic Process 	0.0568411824650698		-1
Long-Chain Fatty Acid Metabolic Process (GO:0001676)	Long-Chain Fatty Acid Metabolic Process 	0.0748010190119497		-1
Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)	Mitochondrial ATP Synthesis Coupled Electron Transport 	4.07719629483233e-05		1
Mitochondrial RNA Metabolic Process (GO:0000959)	Mitochondrial RNA Metabolic Process 	0.0568411824650698		1
Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)	Mitochondrial Electron Transport, NADH To Ubiquinone 	0.000262726701960138		1
Mitochondrial Gene Expression (GO:0140053)	Mitochondrial Gene Expression 	0.0132839489896978		1
Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981)	Mitochondrial Respiratory Chain Complex I Assembly 	1.21549831585659e-07		1
