GO.ID	Description	p.Val	Empty	phenoType
'De Novo' AMP Biosynthetic Process (GO:0044208)	'De Novo' AMP Biosynthetic Process 	0.966513549840496		-1
'De Novo' Post-Translational Protein Folding (GO:0051084)	'De Novo' Post-Translational Protein Folding 	0.961196726693825		1
2-Oxoglutarate Metabolic Process (GO:0006103)	2-Oxoglutarate Metabolic Process 	0.966513549840496		1
3'-UTR-mediated mRNA Destabilization (GO:0061158)	3'-UTR-mediated mRNA Destabilization 	0.970699474333173		1
3'-UTR-mediated mRNA Stabilization (GO:0070935)	3'-UTR-mediated mRNA Stabilization 	0.734058660927875		-1
3'-Phosphoadenosine 5'-Phosphosulfate Metabolic Process (GO:0050427)	3'-Phosphoadenosine 5'-Phosphosulfate Metabolic Process 	0.726243550329387		1
5S Class rRNA Transcription By RNA Polymerase III (GO:0042791)	5S Class rRNA Transcription By RNA Polymerase III 	0.289383987953457		-1
7-Methylguanosine RNA Capping (GO:0009452)	7-Methylguanosine RNA Capping 	0.966513549840496		-1
7-Methylguanosine Cap Hypermethylation (GO:0036261)	7-Methylguanosine Cap Hypermethylation 	0.966513549840496		1
7-Methylguanosine mRNA Capping (GO:0006370)	7-Methylguanosine mRNA Capping 	0.966513549840496		-1
ADP Transport (GO:0015866)	ADP Transport 	0.966513549840496		-1
AMP Biosynthetic Process (GO:0006167)	AMP Biosynthetic Process 	0.970699474333173		-1
AMP Metabolic Process (GO:0046033)	AMP Metabolic Process 	0.972999660461697		1
ATF6-mediated Unfolded Protein Response (GO:0036500)	ATF6-mediated Unfolded Protein Response 	0.970699474333173		1
ATP Biosynthetic Process (GO:0006754)	ATP Biosynthetic Process 	0.957022838891206		1
ATP Metabolic Process (GO:0046034)	ATP Metabolic Process 	0.957022838891206		-1
ATP Synthesis Coupled Electron Transport (GO:0042773)	ATP Synthesis Coupled Electron Transport 	0.966513549840496		1
ATP Transport (GO:0015867)	ATP Transport 	0.966513549840496		-1
AV Node Cell Action Potential (GO:0086016)	AV Node Cell Action Potential 	0.966513549840496		-1
AV Node Cell To Bundle Of His Cell Communication (GO:0086067)	AV Node Cell To Bundle Of His Cell Communication 	0.965251104351926		1
Arp2/3 Complex-Mediated Actin Nucleation (GO:0034314)	Arp2/3 Complex-Mediated Actin Nucleation 	0.957022838891206		1
B Cell Activation (GO:0042113)	B Cell Activation 	0.970307066022047		-1
B Cell Activation Involved In Immune Response (GO:0002312)	B Cell Activation Involved In Immune Response 	0.966513549840496		1
B Cell Chemotaxis (GO:0035754)	B Cell Chemotaxis 	0.970699474333173		1
B Cell Differentiation (GO:0030183)	B Cell Differentiation 	0.966513549840496		-1
B Cell Homeostasis (GO:0001782)	B Cell Homeostasis 	0.970699474333173		-1
B Cell Mediated Immunity (GO:0019724)	B Cell Mediated Immunity 	0.966513549840496		1
B Cell Proliferation (GO:0042100)	B Cell Proliferation 	0.345401568524863		-1
B Cell Receptor Signaling Pathway (GO:0050853)	B Cell Receptor Signaling Pathway 	0.970699474333173		-1
BMP Signaling Pathway (GO:0030509)	BMP Signaling Pathway 	0.966513549840496		1
C-terminal Protein Amino Acid Modification (GO:0018410)	C-terminal Protein Amino Acid Modification 	0.9680408576935		1
C-terminal Protein Deglutamylation (GO:0035609)	C-terminal Protein Deglutamylation 	0.918925279484014		1
C-terminal Protein Lipidation (GO:0006501)	C-terminal Protein Lipidation 	0.970699474333173		-1
C4-dicarboxylate Transport (GO:0015740)	C4-dicarboxylate Transport 	0.971919059042776		1
CD4-positive, Alpha-Beta T Cell Activation (GO:0035710)	CD4-positive, Alpha-Beta T Cell Activation 	0.966513549840496		-1
CD40 Signaling Pathway (GO:0023035)	CD40 Signaling Pathway 	0.970699474333173		-1
CENP-A Containing Chromatin Assembly (GO:0034080)	CENP-A Containing Chromatin Assembly 	0.442261371635586		1
COPI Coating Of Golgi Vesicle (GO:0048205)	COPI Coating Of Golgi Vesicle 	0.970699474333173		1
COPI-coated Vesicle Budding (GO:0035964)	COPI-coated Vesicle Budding 	0.970699474333173		1
COPII Vesicle Coating (GO:0048208)	COPII Vesicle Coating 	0.970699474333173		-1
COPII-coated Vesicle Budding (GO:0090114)	COPII-coated Vesicle Budding 	0.9680408576935		1
COPII-coated Vesicle Cargo Loading (GO:0090110)	COPII-coated Vesicle Cargo Loading 	0.966513549840496		1
CRD-mediated mRNA Stabilization (GO:0070934)	CRD-mediated mRNA Stabilization 	0.957022838891206		-1
Cdc42 Protein Signal Transduction (GO:0032488)	Cdc42 Protein Signal Transduction 	0.949598338687289		-1
DNA Alkylation (GO:0006305)	DNA Alkylation 	0.957022838891206		1
DNA Biosynthetic Process (GO:0071897)	DNA Biosynthetic Process 	0.966513549840496		1
DNA Catabolic Process (GO:0006308)	DNA Catabolic Process 	0.957022838891206		-1
DNA Conformation Change (GO:0071103)	DNA Conformation Change 	0.966513549840496		-1
DNA Cytosine Deamination (GO:0070383)	DNA Cytosine Deamination 	0.850050674885548		-1
DNA Damage Checkpoint Signaling (GO:0000077)	DNA Damage Checkpoint Signaling 	0.970699474333173		-1
DNA Damage Response (GO:0006974)	DNA Damage Response 	0.915987105849		1
DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)	DNA Damage Response, Signal Transduction By P53 Class Mediator 	0.950869865346313		-1
DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)	DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest 	0.734058660927875		-1
DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Transcription Of P21 Class Mediator (GO:0006978)	DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Transcription Of P21 Class Mediator 	0.970699474333173		-1
DNA Damage Response, Signal Transduction Resulting In Transcription (GO:0042772)	DNA Damage Response, Signal Transduction Resulting In Transcription 	0.970699474333173		1
DNA Dealkylation (GO:0035510)	DNA Dealkylation 	0.970699474333173		1
DNA Dealkylation Involved In DNA Repair (GO:0006307)	DNA Dealkylation Involved In DNA Repair 	0.970699474333173		1
DNA Deamination (GO:0045006)	DNA Deamination 	0.931441816646344		-1
DNA Double-Strand Break Processing (GO:0000729)	DNA Double-Strand Break Processing 	0.287994646696835		1
DNA Double-Strand Break Processing Involved In Repair Via Single-Strand Annealing (GO:0010792)	DNA Double-Strand Break Processing Involved In Repair Via Single-Strand Annealing 	0.826944613953577		1
DNA Duplex Unwinding (GO:0032508)	DNA Duplex Unwinding 	0.987913441811039		1
DNA Geometric Change (GO:0032392)	DNA Geometric Change 	0.970699474333173		1
DNA Integrity Checkpoint Signaling (GO:0031570)	DNA Integrity Checkpoint Signaling 	0.966513549840496		1
DNA Ligation (GO:0006266)	DNA Ligation 	0.949598338687289		1
DNA Metabolic Process (GO:0006259)	DNA Metabolic Process 	0.903943785168395		1
DNA Methylation (GO:0006306)	DNA Methylation 	0.949598338687289		1
DNA Methylation Involved In Embryo Development (GO:0043045)	DNA Methylation Involved In Embryo Development 	0.970699474333173		1
DNA Methylation-Dependent Heterochromatin Formation (GO:0006346)	DNA Methylation-Dependent Heterochromatin Formation 	0.949598338687289		-1
DNA Modification (GO:0006304)	DNA Modification 	0.909150161543174		1
DNA Recombination (GO:0006310)	DNA Recombination 	0.786528878463898		1
DNA Repair (GO:0006281)	DNA Repair 	0.0592702771553371		1
DNA Repair-Dependent Chromatin Remodeling (GO:0140861)	DNA Repair-Dependent Chromatin Remodeling 	0.880447604328339		1
DNA Replication (GO:0006260)	DNA Replication 	0.970699474333173		1
DNA Replication Checkpoint Signaling (GO:0000076)	DNA Replication Checkpoint Signaling 	0.850050674885548		1
DNA Replication Initiation (GO:0006270)	DNA Replication Initiation 	0.970699474333173		1
DNA Replication-Dependent Chromatin Assembly (GO:0006335)	DNA Replication-Dependent Chromatin Assembly 	0.956695985017526		1
DNA Strand Elongation (GO:0022616)	DNA Strand Elongation 	0.970699474333173		-1
DNA Strand Elongation Involved In DNA Replication (GO:0006271)	DNA Strand Elongation Involved In DNA Replication 	0.970699474333173		-1
DNA Strand Resection Involved In Replication Fork Processing (GO:0110025)	DNA Strand Resection Involved In Replication Fork Processing 	0.957022838891206		1
DNA Synthesis Involved In DNA Repair (GO:0000731)	DNA Synthesis Involved In DNA Repair 	0.970699474333173		1
DNA Topological Change (GO:0006265)	DNA Topological Change 	0.957022838891206		-1
