,Rho,N,P,p.adj
A1BG,0.0597906491328223,135,0.490910622259652,0.967483045411314
A1CF,0.142773047877394,135,0.0985506108031616,0.809010884089897
A2M,0.0369004394021542,183,0.61994494009947,0.975833515235413
A2ML1,-0.0485263347273278,147,0.559441079579836,0.971257450133906
A3GALT2,-0.123592427487486,142,0.142817064546667,0.858316207288056
A4GALT,-0.0707775989226069,167,0.363392984613795,0.950508417316311
A4GNT,-0.121841480767696,164,0.120138186666201,0.834071132439018
AAAS,0.0221676227991807,143,0.792710941169314,0.99045124466027
AACS,0.0188400741424115,168,0.808475187853076,0.991832771452602
AADAC,-0.125655819870852,121,0.169653984759571,0.871387869730086
AADACL2,-0.199454989555033,128,0.0239975157859448,0.611483869224877
AADACL3,-0.048646612284082,174,0.523834847576686,0.971092426743474
AADACL4,-0.0662427651792719,152,0.417454696495784,0.95593279266261
AADAT,-0.0249560561704508,163,0.751839471194474,0.988381628095141
AAGAB,-0.0888551086653166,146,0.286187295899042,0.932837036980126
AAK1,-0.0291084122627515,154,0.720074807437026,0.986189177080586
AAMDC,0.0258318425653493,91,0.807963456668959,0.991832771452602
AAMP,0.0192484705108855,101,0.848482848262121,0.99420312208493
AANAT,-0.10459799724769,153,0.198189054369905,0.892691258207412
AAR2,0.0607575643051457,144,0.469431022076694,0.96329050145113
AARD,-0.106758760226601,111,0.264751228281457,0.927560324911186
AARS1,-0.123455985975753,159,0.121051551972987,0.834705432154721
AARS2,0.0606064620640778,179,0.420289158201062,0.95593279266261
AARSD1,0.173522357956327,159,0.0287139962727038,0.645293638331121
AASDH,0.119144706092821,179,0.112163455825171,0.820995900728109
AASDHPPT,0.0037687368460539,118,0.967691878048872,0.998795344490427
AASS,-0.0502568203665387,165,0.521484948769338,0.971092426743474
AATF,-0.164957438591441,167,0.0331448079164066,0.671613170502461
AATK,0.0111217852591866,168,0.88622465803059,0.995319015832559
ABAT,0.0140098963408614,145,0.86717368072661,0.994681491151935
ABCA1,0.0585490036102121,176,0.440192597004794,0.95610260388627
ABCA10,-0.112171561604447,125,0.21296575473164,0.904693602399166
ABCA12,-0.0854138511687273,184,0.248983374157048,0.920823351122136
ABCA13,-0.287561066141493,163,0.000197645088579294,0.0629926676644723
ABCA2,-0.160676064502946,159,0.0430497414997126,0.705770935104077
ABCA3,-0.0517119362854577,182,0.488127846902418,0.967178935885456
ABCA4,0.0109622367174387,182,0.883231373908979,0.995319015832559
ABCA5,-0.0466282075397427,181,0.533079910571558,0.971092426743474
ABCA6,-0.148192327488613,171,0.0530705179444019,0.737314398958957
ABCA7,0.0629720409069586,151,0.442400498444114,0.956825184104358
ABCA8,-0.0103736352953763,169,0.89351329479896,0.99608390925528
ABCA9,-0.194187090876105,158,0.0144919915183098,0.517958570201669
ABCB1,0.0232417706605969,177,0.758795947018102,0.988381628095141
ABCB10,0.0936507703657025,155,0.246434136129402,0.918523721988032
ABCB11,0.101083485043882,178,0.179413871282243,0.879482693102188
ABCB4,0.0611064726709616,172,0.425854977961417,0.95593279266261
ABCB5,0.0859648307851435,161,0.278240296067168,0.929204281030585
ABCB6,-0.0732383816192045,169,0.343993406099933,0.944978896605598
ABCB7,0.0528978835081695,144,0.528901773756131,0.971092426743474
ABCB8,-0.148251549083739,169,0.0544035128592852,0.741670837423869
ABCB9,0.0545351774407486,156,0.498933055599038,0.96809952314878
ABCC1,0.0302435093442965,177,0.68944796702528,0.982305349864857
ABCC10,-0.0198364748238014,185,0.788697086497917,0.99045124466027
ABCC11,-0.142999314743632,144,0.0872963865798033,0.796496291817864
ABCC12,-0.130614534119293,154,0.10639680545423,0.814166508669578
ABCC2,0.00403137590393185,182,0.956925814544607,0.998795344490427
ABCC3,-0.0352729809759507,173,0.644996881291599,0.978702808268431
ABCC4,-0.0635976280699252,180,0.39634532139741,0.95593279266261
ABCC5,0.0694714374116696,148,0.401466634980187,0.95593279266261
ABCC6,0.20886533941737,183,0.00454710527029789,0.343008856848393
ABCC8,0.00834906410651642,175,0.912680508671421,0.998319933213104
ABCC9,0.0374323355205052,131,0.671219195622799,0.9799726724473
ABCD1,0.12927025337112,156,0.107757342077605,0.816059502555598
ABCD2,0.000694394292723153,150,0.993271188436662,0.999945045991414
ABCD3,0.0918408302537543,136,0.287599593838439,0.932987013499162
ABCD4,-0.103352045590076,167,0.183803972896907,0.882473772362065
ABCE1,0.14853048944294,58,0.265821828353768,0.927560324911186
ABCF1,0.0443072191834163,149,0.591580357698064,0.973744997390588
ABCF2-H2BE1,-0.0105662155189903,106,0.914393141960467,0.998449413265962
ABCF2,-0.0988768235966028,93,0.345706189116976,0.945146786648782
ABCF3,0.0809173520846902,138,0.345442799396879,0.945146786648782
ABCG1,-0.304351200097148,135,0.000332095612778695,0.0884356584620673
ABCG2,0.0109030758149984,165,0.889456508055696,0.995734467348635
ABCG4,-0.10320047722365,128,0.246364662672489,0.918523721988032
ABCG5,-0.0184849316265024,171,0.810353972866099,0.991832771452602
ABCG8,0.0448021762616097,174,0.557192617977511,0.971092426743474
ABHD1,-0.00841374275524966,168,0.913803511683055,0.998374037686263
ABHD10,0.0335157330327082,156,0.677877349418277,0.980755402407279
ABHD11,0.172505611485205,104,0.0799270383137847,0.784474684692324
ABHD12,0.0838914475709485,122,0.358256132354778,0.94974959463524
ABHD12B,-0.0564133436910793,165,0.471705421738694,0.963505649840915
ABHD13,-0.0403308845860121,92,0.702679087263744,0.984889921891787
ABHD14A-ACY1,-0.00558582390318529,133,0.94912049369355,0.998795344490427
ABHD14A,0.0870422033233636,129,0.326666737111711,0.944927017339619
ABHD14B,-0.0233576135761537,132,0.790360582614448,0.99045124466027
ABHD15,0.00683867735137241,147,0.934481562395119,0.998795344490427
ABHD16A,0.0819059181307013,137,0.341350613366062,0.944978896605598
ABHD16B,-0.23478242155705,146,0.0043378751741203,0.337835961590634
ABHD17A,0.126079186406674,101,0.208996899736895,0.900477378130696
ABHD17B,-0.0902872652123776,56,0.508123255449917,0.970755567268494
ABHD17C,-0.138917735769987,64,0.273623242956594,0.928129647395107
ABHD18,0.154626227003744,135,0.0733456753624492,0.764496134202124
ABHD2,-0.0175870049284878,93,0.867116676750032,0.994681491151935
ABHD3,0.0427344399575841,128,0.631966362274812,0.976310592072667
ABHD4,0.00578906233678338,111,0.951915404792108,0.998795344490427
ABHD5,-0.0322060081461607,132,0.713921389941102,0.985210891800802
ABHD6,-0.0696435048677862,126,0.438400601674394,0.95610260388627
ABHD8,0.251320199746848,123,0.00504779374373588,0.360970531818788
ABI1,-0.0520766165830563,71,0.666243382067689,0.9799726724473
ABI2,0.0327849549134737,103,0.742338136769343,0.988381628095141
ABI3,0.0316642536236507,152,0.69856545786094,0.983844720034044
ABI3BP,0.0188704524130527,183,0.79984466323378,0.991832771452602
