,Rho,N,P,p.adj
ARF5,-0.135868410058039,78,0.235585463362558,0.995386969712441
M6PR,0.0277513369247421,346,0.606947342740734,0.995386969712441
FKBP4,-0.0133934783854951,441,0.779111296804764,0.995386969712441
CYP26B1,0.0732801146010432,267,0.232715053605623,0.995386969712441
NDUFAF7,-0.0482183160202651,491,0.286268355544161,0.995386969712441
FUCA2,0.00476611548191149,515,0.914076471329462,0.995386969712441
DBNDD1,0.0449712693912634,357,0.396908273820477,0.995386969712441
HS3ST1,0.0269851534410498,380,0.600000371723172,0.995386969712441
SEMA3F,0.0285394066059929,420,0.559718627441693,0.995386969712441
CFTR,-0.0926290440482344,532,0.0326737678247063,0.995386969712441
CYP51A1,0.0672037940895335,423,0.167695021901301,0.995386969712441
USP28,0.0327902661612134,507,0.461302976315387,0.995386969712441
SLC7A2,0.00965864937773724,482,0.832493110570009,0.995386969712441
HSPB6,-0.075430640159839,274,0.213254894145876,0.995386969712441
PDK4,0.0187075883038315,395,0.71089072265156,0.995386969712441
USH1C,0.0253514201358836,509,0.568243945695594,0.995386969712441
RALA,-0.115743704943932,87,0.285717493756723,0.995386969712441
BAIAP2L1,-0.0373398625947082,459,0.424825873931141,0.995386969712441
CACNG3,-0.077517182413104,148,0.349040893190351,0.995386969712441
TMEM132A,0.0613619978056741,536,0.156000076637781,0.995386969712441
DVL2,0.0559892161548056,370,0.282745254659103,0.995386969712441
RPAP3,-0.0776810431919788,499,0.0830012562763346,0.995386969712441
HOXA11,0.127781176524518,230,0.0529559849242806,0.995386969712441
TRAPPC6A,0.0473177613722159,353,0.375421751293787,0.995386969712441
SPATA20,0.0526591727223084,495,0.242225545563495,0.995386969712441
CD79B,-0.0539901682819214,495,0.230511143844486,0.995386969712441
RHBDD2,0.000567865437101799,396,0.991012293293273,0.99780442653986
RPUSD1,0.00123993828463128,422,0.979739052411652,0.996716448564618
TSR3,-0.0683917048100667,431,0.156370305476314,0.995386969712441
NDUFAB1,-0.0624455755705573,351,0.243257466688113,0.995386969712441
YBX2,0.00325094748129691,347,0.951884774051394,0.996102876668523
ITGA3,0.0105093604135798,517,0.811581586110509,0.995386969712441
KRT33A,0.0929055271797713,350,0.0826273029688871,0.995386969712441
LRRC23,0.00859323578808588,474,0.851976261597527,0.995386969712441
TFAP2D,-0.077573029544583,164,0.323490853518464,0.995386969712441
CRY1,0.0143904043989284,345,0.789982274727268,0.995386969712441
PGLYRP1,-0.0370179976316918,438,0.439652415005701,0.995386969712441
STARD3NL,0.0744101489169193,266,0.22644970130873,0.995386969712441
CD74,-0.00650612113971634,445,0.891139717283892,0.995386969712441
RPS20,-0.126717973683282,79,0.265779404044544,0.995386969712441
MGST1,0.0308833722221234,376,0.550507837424745,0.995386969712441
CPA1,0.0264377542874848,497,0.556526460479249,0.995386969712441
SYPL1,-0.0281588103006769,439,0.556245618058464,0.995386969712441
RANBP9,0.0404449418081007,377,0.433620418591685,0.995386969712441
CD4,-0.0567431716460786,551,0.183517787758835,0.995386969712441
PLEKHG6,-0.0230183888284399,538,0.594216123305336,0.995386969712441
QPCTL,-0.0360379221740091,392,0.476794886574215,0.995386969712441
PPP5C,0.0695434041694901,272,0.25302133625379,0.995386969712441
UBR7,-0.0387546039549439,436,0.419551214883989,0.995386969712441
MAP4K5,0.0345999663315814,376,0.503569045131287,0.995386969712441
ERCC1,-0.0172980814356154,279,0.773607576718258,0.995386969712441
GPRC5A,-0.0329602507579989,479,0.471721357821269,0.995386969712441
HEBP1,0.0493330179268001,349,0.358163540318429,0.995386969712441
COX15,0.073794006139153,440,0.122196168405845,0.995386969712441
MS4A12,-0.0242247609430828,319,0.666444480806918,0.995386969712441
XYLT2,0.086657885795462,479,0.058064371316834,0.995386969712441
FTSJ1,-0.0106511823879617,354,0.841717025684868,0.995386969712441
SCTR,-0.0256565667941358,491,0.570608279129983,0.995386969712441
RALBP1,0.023587663357294,396,0.639806130934436,0.995386969712441
SYT13,0.0487364264159047,461,0.296395110675829,0.995386969712441
SNAI2,0.037823725335802,206,0.589360882765513,0.995386969712441
SLC7A9,0.00510744445586048,460,0.913008050324886,0.995386969712441
RTF2,-0.0129714495253245,433,0.787814673081007,0.995386969712441
RB1CC1,0.0266719460519052,528,0.540848140441308,0.995386969712441
AKAP11,-0.0351235883662667,586,0.396049096591579,0.995386969712441
B4GALT7,-0.0656982416534691,373,0.205529857080826,0.995386969712441
FAM13B,0.0379231899626055,462,0.416096264547518,0.995386969712441
CHPF2,0.0992863513699569,412,0.0439938888230911,0.995386969712441
GABARAPL2,-0.0977012187859205,77,0.397928322612471,0.995386969712441
MYOC,-0.0070717708850326,493,0.875542630646422,0.995386969712441
FAM136A,-0.101388630626908,261,0.102188428060729,0.995386969712441
NSMAF,0.0518510707421607,492,0.250985386912264,0.995386969712441
OTC,-0.0248160575533125,375,0.631917047330947,0.995386969712441
TTC17,0.0264556581535023,437,0.581252573029805,0.995386969712441
HOXC8,-0.090875092038935,91,0.391619669721733,0.995386969712441
MRI1,-0.0362955015804678,463,0.435902129296463,0.995386969712441
TARBP1,-0.0306974048477613,554,0.47086700927814,0.995386969712441
RTN4R,0.0163187037617931,411,0.741516584696851,0.995386969712441
PSMA4,-0.0211938399863354,133,0.80867221527306,0.995386969712441
ZPBP,0.0134530442516018,427,0.781633401478053,0.995386969712441
LCP2,-0.0554534385696737,497,0.21717014773796,0.995386969712441
DCN,-0.00941307261035388,396,0.851872509224724,0.995386969712441
TNFRSF17,-0.0452163058924243,445,0.341278056726121,0.995386969712441
MRPS10,-0.0204690714953961,415,0.677576465747498,0.995386969712441
GRN,-0.0229624194019213,553,0.590002536523847,0.995386969712441
THAP3,0.00207507729551438,451,0.96494770986481,0.996561581411829
VAMP3,-0.0131033935301782,285,0.825678005508127,0.995386969712441
RCN1,0.0286642463798228,338,0.599484868703715,0.995386969712441
RFC2,-0.0480528699436455,374,0.354070375175965,0.995386969712441
PPP1R3F,-0.0990596591302442,394,0.0494297621140094,0.995386969712441
NFE2L3,-0.0642541341784221,548,0.133027707442201,0.995386969712441
CBLN4,0.0229127048753667,214,0.738934555906301,0.995386969712441
CLDN11,-0.0356695118593134,213,0.604680964409885,0.995386969712441
FAM168A,-0.113062098607569,119,0.220849171024026,0.995386969712441
RELT,0.0279240649053695,508,0.530037677887252,0.995386969712441
PKP2,-0.0257627576470219,491,0.569014101997012,0.995386969712441
YIPF1,-0.0477165121973552,394,0.344825018717627,0.995386969712441
ADCK2,-0.0324771069734114,476,0.479634636057839,0.995386969712441
INPP4A,-0.0107375345115515,412,0.827980607421755,0.995386969712441
SLC2A3,0.0162221454932915,412,0.742688784503409,0.995386969712441
STYK1,-0.00309878235599398,508,0.944455427362173,0.996102876668523
GNA11,0.0113918868732458,166,0.884182028288171,0.995386969712441
CREB3L3,-0.0850653333821379,468,0.0659656344212999,0.995386969712441
HDAC7,-0.0586299930298341,492,0.194189333632311,0.995386969712441
MRPS35,-0.0522791128285794,468,0.259016966121644,0.995386969712441
APPBP2,-0.0146363272542334,174,0.847988873593132,0.995386969712441
CA11,-0.00158190601164507,255,0.979945751472464,0.996716448564618
ISOC2,-0.0495136461504646,387,0.331302728226557,0.995386969712441
CD22,-0.0502377537500044,586,0.224634170719495,0.995386969712441
GSC2,-0.0278178456204686,310,0.625621001348589,0.995386969712441
KCNQ1,-0.0732479716461863,435,0.127168983530899,0.995386969712441
TRIB2,0.0131108704152804,186,0.859028748882892,0.995386969712441
OTUD5,-0.0517175712211155,263,0.403558860687607,0.995386969712441
GPKOW,-0.0664387140141467,483,0.144849121680751,0.995386969712441
AQR,-0.0242954883526533,489,0.591987128575126,0.995386969712441
LMCD1,-0.00768557100697501,361,0.884299093537398,0.995386969712441
PSMC4,-0.0535242414619514,100,0.596880058499562,0.995386969712441
FNDC8,0.0105549373011743,460,0.821381442417505,0.995386969712441
ACAP1,-0.0239859197311661,481,0.599750685667553,0.995386969712441
DERL2,0.0270738453289892,124,0.765334558257949,0.995386969712441
NOX3,-0.0409254702981447,534,0.345219165714831,0.995386969712441
ANO8,-0.0165770205461346,448,0.726403849123877,0.995386969712441
ICAM3,0.083851474067424,452,0.0749274976505262,0.995386969712441
CTTNBP2,-0.0403515024717582,560,0.340516397244913,0.995386969712441
ACTL6B,-0.0837831761630409,136,0.332166613033054,0.995386969712441
KIF22,-0.0203616346967163,485,0.654652854196809,0.995386969712441
PRSS22,-0.0835822188905939,460,0.0733099469874021,0.995386969712441
YTHDC2,-0.00315972302337605,415,0.948831312034316,0.996102876668523
TMEM161A,-0.0501927331543142,455,0.285350922382624,0.995386969712441
FOXJ2,0.0637740992640104,440,0.181781122929762,0.995386969712441
GOLGA5,-0.0417396847497205,516,0.344017840152817,0.995386969712441
PPP2R5B,0.0462907057952878,228,0.48673857610966,0.995386969712441
PYGM,0.0910021708840147,390,0.0726367197550938,0.995386969712441
BCL3,-0.106487649562353,395,0.0343693084775255,0.995386969712441
PRLH,0.0711653393163887,394,0.158571679414276,0.995386969712441
FSTL3,-0.00954080173008402,319,0.865215325988203,0.995386969712441
EPHA8,-0.0226248036788373,445,0.634081997270759,0.995386969712441
TRIP13,0.0102589078577349,417,0.834550130581001,0.995386969712441
VASH1,-0.0486569825572491,367,0.352627685543454,0.995386969712441
KRT14,0.0637909253035285,414,0.195200022350226,0.995386969712441
KRT20,0.00642440226532665,506,0.885376149963933,0.995386969712441
HSD17B10,0.0378835289935792,388,0.456828991719707,0.995386969712441
FGF4,0.0526514733504975,323,0.345553701708339,0.995386969712441
ST6GAL1,-0.0132876841425397,446,0.779597478730727,0.995386969712441
TIMM21,-0.0515536711151412,465,0.267239633515125,0.995386969712441
BPIFB2,0.00188183331952625,526,0.965656395774166,0.996561581411829
REXO1,0.0146347459913944,454,0.755813103941175,0.995386969712441
MKRN2,0.0417994170696331,421,0.392287515176306,0.995386969712441
GPATCH1,-0.0345322225746711,526,0.42933075484622,0.995386969712441
KEAP1,-0.00113313349203421,318,0.983941983114385,0.996716448564618
P2RY10,-0.0802628237754967,369,0.123791756379113,0.995386969712441
TNS1,-0.0289215011078378,544,0.500852689693006,0.995386969712441
NGFR,0.0233097310994508,383,0.649288281776194,0.995386969712441
NTN1,-0.090414286306444,190,0.214755995708285,0.995386969712441
ISOC1,0.029865637020736,236,0.648051739677866,0.995386969712441
MNT,0.0260994323109232,321,0.641312164301805,0.995386969712441
AP3M2,-0.00377567053080713,201,0.957575976301314,0.996546915475493
